rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Marc Schnatterer,Unknown,461,124,128,35.073,N/A,Schnatterer,Unknown,42,0,1.FC Heidenheim 1846,Attack - Left Winger,"1,80 m",Germany,de,https://www.transfermarkt.us/marc-schnatterer/profil/spieler/18684,https://img.a.transfermarkt.technology/portrait/small/18684-1657204787.jpg?lm=1,N/A,18.11.1985,Heilbronn,Retired
2,Tim Kleindienst,Unknown,172,83,23,14.491,N/A,Kleindienst,19,38,0,1.FC Heidenheim 1846,Attack - Centre-Forward,"1,94 m",Germany,de,https://www.transfermarkt.us/tim-kleindienst/profil/spieler/193033,https://img.a.transfermarkt.technology/portrait/small/193033-1722945738.jpg?lm=1,N/A,31.08.1995,Jüterbog,Borussia Mönchengladbach
3,Andreas Spann,Unknown,141,43,22,10.957,N/A,Spann,-,23,0,1.FC Heidenheim 1846,Attack - Centre-Forward,"1,83 m",Germany,de,https://www.transfermarkt.us/andreas-spann/profil/spieler/3969,https://img.a.transfermarkt.technology/portrait/small/s_3969_2036_2010_2.jpg?lm=1,N/A,17.05.1984,Ulm,Retired
4,Patrick Mayer,Unknown,111,42,17,6.814,N/A,Mayer,Unknown,10,0,1.FC Heidenheim 1846,Attack - Centre-Forward,"1,80 m",Germany,de,https://www.transfermarkt.us/patrick-mayer/profil/spieler/47942,https://img.a.transfermarkt.technology/portrait/small/47942-1468420197.jpg?lm=1,N/A,28.03.1988,Wangen im Allgäu,Retired
5,Alexander Raaf,Unknown,118,41,0,7.637,N/A,Raaf,Unknown,15,1,1.FC Heidenheim 1846,Attack - Centre-Forward,"1,82 m",Germany,de,https://www.transfermarkt.us/alexander-raaf/profil/spieler/24755,https://img.a.transfermarkt.technology/portrait/small/E_I_s_24755_75_2009_1.jpg?lm=1,N/A,21.01.1974,Unknown,Retired
6,Dinko Radojevic,Unknown,88,41,0,7.532,N/A,Radojevic,Unknown,13,0,1.FC Heidenheim 1846,Midfield - Attacking Midfield,"1,79 m",Croatia,hr,https://www.transfermarkt.us/dinko-radojevic/profil/spieler/24757,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.08.1978,Nova Gradiska,Retired
7,Dieter Jarosch,Unknown,116,40,2,6.576,N/A,Jarosch,Unknown,14,1,1.FC Heidenheim 1846,Attack - Centre-Forward,"1,87 m",Germany,de,https://www.transfermarkt.us/dieter-jarosch/profil/spieler/12240,https://img.a.transfermarkt.technology/portrait/small/s_12240_2036_2010_2.jpg?lm=1,N/A,14.09.1980,Freiburg im Breisgau,Retired
8,Tim Göhlert,Unknown,310,37,8,26.166,N/A,Göhlert,Unknown,63,2,1.FC Heidenheim 1846,Defender - Centre-Back,"1,90 m",Germany,de,https://www.transfermarkt.us/tim-gohlert/profil/spieler/18077,https://img.a.transfermarkt.technology/portrait/small/18077-1512926195.jpg?lm=1,N/A,15.09.1984,Karl-Marx-Stadt,TSG Söflingen
9,Robert Leipertz,Unknown,167,37,26,10.953,N/A,Leipertz,Unknown,13,0,1.FC Heidenheim 1846,Midfield - Attacking Midfield,"1,83 m",Germany,de,https://www.transfermarkt.us/robert-leipertz/profil/spieler/119120,https://img.a.transfermarkt.technology/portrait/small/119120-1719302586.jpg?lm=1,N/A,01.02.1993,Jülich,SSV Ulm 1846
10,Florian Niederlechner,Unknown,84,30,14,5.849,N/A,Niederlechner,Unknown,12,0,1.FC Heidenheim 1846,Attack - Centre-Forward,"1,87 m",Germany,de,https://www.transfermarkt.us/florian-niederlechner/profil/spieler/152963,https://img.a.transfermarkt.technology/portrait/small/152963-1720778535.jpg?lm=1,N/A,24.10.1990,Ebersberg,Hertha BSC
11,Denis Thomalla,Unknown,211,30,21,12.396,N/A,Thomalla,-,7,1,1.FC Heidenheim 1846,Midfield - Attacking Midfield,"1,86 m",Germany,de,https://www.transfermarkt.us/denis-thomalla/profil/spieler/94030,https://img.a.transfermarkt.technology/portrait/small/94030-1657875455.jpg?lm=1,N/A,16.08.1992,Pforzheim,AEL Limassol
12,Alper Bagceci,Unknown,269,26,8,16.324,N/A,Bagceci,Unknown,41,0,1.FC Heidenheim 1846,Midfield - Right Midfield,"1,80 m",Germany,de,https://www.transfermarkt.us/alper-bagceci/profil/spieler/11061,https://img.a.transfermarkt.technology/portrait/small/11061-1557159436.jpg?lm=1,N/A,16.04.1984,Ulm,Türkspor Neu-Ulm
13,Bastian Heidenfelder,Unknown,119,24,9,6.241,N/A,Heidenfelder,Unknown,11,0,1.FC Heidenheim 1846,Attack - Centre-Forward,"1,74 m",Germany,de,https://www.transfermarkt.us/bastian-heidenfelder/profil/spieler/15530,https://img.a.transfermarkt.technology/portrait/small/s_15530_2036_2010_2.jpg?lm=1,N/A,08.01.1986,Ansbach,Retired
14,Robert Glatzel,Robert Nesta Glatzel,61,24,10,3.949,N/A,Glatzel,Unknown,6,1,1.FC Heidenheim 1846,Attack - Centre-Forward,"1,93 m",Germany,de,https://www.transfermarkt.us/robert-glatzel/profil/spieler/196139,https://img.a.transfermarkt.technology/portrait/small/196139-1728397946.jpg?lm=1,N/A,08.01.1994,München,Hamburger SV
15,Nikola Dovedan,Unknown,85,20,12,4.991,N/A,Dovedan,-,11,1,1.FC Heidenheim 1846,Attack - Second Striker,"1,72 m",Austria,at,https://www.transfermarkt.us/nikola-dovedan/profil/spieler/120189,https://img.a.transfermarkt.technology/portrait/small/120189-1690187018.jpg?lm=1,N/A,06.07.1994,Tulln,Fatih Karagümrük
16,Niklas Beste,Jan-Niklas Beste,68,20,28,5.631,N/A,Beste,-,8,0,1.FC Heidenheim 1846,Attack - Left Winger,"1,75 m",Germany,de,https://www.transfermarkt.us/niklas-beste/profil/spieler/342967,https://img.a.transfermarkt.technology/portrait/small/342967-1690186107.jpg?lm=1,N/A,04.01.1999,Hamm,SC Freiburg
17,Ertac Seskir,Unknown,138,19,1,10.506,N/A,Seskir,Unknown,20,0,1.FC Heidenheim 1846,Midfield - Defensive Midfield,"1,75 m",Türkiye,tr,https://www.transfermarkt.us/ertac-seskir/profil/spieler/24761,https://img.a.transfermarkt.technology/portrait/small/f_B_s_24761_2036_2009_1.jpg?lm=1,N/A,12.11.1982,Schwäbisch Gmünd,TV Straßdorf
18,Frank Schmidt,Unknown,88,19,0,7.430,N/A,Schmidt,-,19,0,1.FC Heidenheim 1846,Midfield - Defensive Midfield,"1,90 m",Germany,de,https://www.transfermarkt.us/frank-schmidt/profil/spieler/926,https://img.a.transfermarkt.technology/portrait/small/926-1646044563.jpg?lm=1,N/A,03.01.1974,Heidenheim an der Brenz,Retired
19,Patrick Mainka,Unknown,248,19,7,22.227,N/A,Mainka,Unknown,21,0,1.FC Heidenheim 1846,Defender - Centre-Back,"1,94 m",Germany,de,https://www.transfermarkt.us/patrick-mainka/profil/spieler/133731,https://img.a.transfermarkt.technology/portrait/small/133731-1657874688.jpg?lm=1,N/A,06.11.1994,Gütersloh,1.FC Heidenheim 1846
20,Christian Kühlwetter,Unknown,93,18,11,4.985,N/A,Kühlwetter,Unknown,13,0,1.FC Heidenheim 1846,Attack - Centre-Forward,"1,82 m",Germany,de,https://www.transfermarkt.us/christian-kuhlwetter/profil/spieler/184204,https://img.a.transfermarkt.technology/portrait/small/184204-1690186941.jpg?lm=1,N/A,21.04.1996,Bonn,SSV Jahn Regensburg
21,Stefan Schimmer,Unknown,149,17,12,3.775,N/A,Schimmer,Unknown,3,0,1.FC Heidenheim 1846,Attack - Centre-Forward,"1,85 m",Germany,de,https://www.transfermarkt.us/stefan-schimmer/profil/spieler/394033,https://img.a.transfermarkt.technology/portrait/small/394033-1721852150.jpg?lm=1,N/A,28.04.1994,Wertingen,1.FC Heidenheim 1846
22,Smail Morabit,Unknown,94,17,7,5.993,N/A,Morabit,Unknown,12,0,1.FC Heidenheim 1846,Attack - Second Striker,"1,78 m",France,fr,https://www.transfermarkt.us/smail-morabit/profil/spieler/56502,https://img.a.transfermarkt.technology/portrait/small/56502-1660896817.png?lm=1,N/A,05.07.1988,Forbach,SSEP Hombourg-Haut
23,John Verhoek,Unknown,57,16,5,4.048,N/A,Verhoek,Unknown,5,0,1.FC Heidenheim 1846,Attack - Centre-Forward,"1,88 m",Netherlands,nl,https://www.transfermarkt.us/john-verhoek/profil/spieler/75295,https://img.a.transfermarkt.technology/portrait/small/75295-1698436410.JPG?lm=1,N/A,25.03.1989,Leidschendam,De Tubanters 1897
