rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Karl-Heinz Mähn,Unknown,203,85,4,17.761,N/A,Mähn,Unknown,5,0,1.FSV Mainz 05,Attack,,Germany,de,https://www.transfermarkt.us/karl-heinz-mahn/profil/spieler/97275,https://img.a.transfermarkt.technology/portrait/small/97275-1634111968.jpg?lm=1,N/A,26.10.1960,Unknown,Retired
2,Michael Thurk,Unknown,202,64,29,14.296,N/A,Thurk,-,44,1,1.FSV Mainz 05,Attack - Centre-Forward,"1,78 m",Germany,de,https://www.transfermarkt.us/michael-thurk/profil/spieler/1077,https://img.a.transfermarkt.technology/portrait/small/1077-1599466953.jpg?lm=1,N/A,28.05.1976,Frankfurt am Main,Retired
3,Sven Demandt,Unknown,188,57,15,12.597,N/A,Demandt,Unknown,12,1,1.FSV Mainz 05,Attack - Centre-Forward,"1,86 m",Germany,de,https://www.transfermarkt.us/sven-demandt/profil/spieler/1486,https://img.a.transfermarkt.technology/portrait/small/1486-1446127489.jpg?lm=1,N/A,13.02.1965,Köln,Retired
4,Norbert Hönnscheidt,Unknown,147,56,1,11.389,N/A,Hönnscheidt,-,6,0,1.FSV Mainz 05,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/norbert-honnscheidt/profil/spieler/99018,https://img.a.transfermarkt.technology/portrait/small/99018-1634111924.jpg?lm=1,N/A,03.11.1960,Wiesbaden,Retired
5,Jürgen Klopp,Jürgen Norbert Klopp,340,56,7,27.357,N/A,Klopp,Unknown,79,3,1.FSV Mainz 05,Defender - Right-Back,"1,91 m",Germany,de,https://www.transfermarkt.us/jurgen-klopp/profil/spieler/1041,https://img.a.transfermarkt.technology/portrait/small/1041-1543589989.jpg?lm=1,N/A,16.06.1967,Stuttgart,Retired
6,Karl-Heinz Wettig,Unknown,127,50,1,11.430,N/A,Wettig,Unknown,0,0,1.FSV Mainz 05,Attack,Unknown,Germany,de,https://www.transfermarkt.us/karl-heinz-wettig/profil/spieler/382093,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.04.1927,Unknown,---
7,Michael Müller,Unknown,352,44,2,31.261,N/A,Müller,Unknown,34,3,1.FSV Mainz 05,Defender - Sweeper,,Germany,de,https://www.transfermarkt.us/michael-muller/profil/spieler/100898,https://img.a.transfermarkt.technology/portrait/small/100898-1633434091.jpg?lm=1,N/A,04.04.1964,Mainz,Retired
8,Bernhard Christ,Unknown,188,44,1,16.920,N/A,Christ,Unknown,0,0,1.FSV Mainz 05,Attack,Unknown,Germany,de,https://www.transfermarkt.us/bernhard-christ/profil/spieler/352038,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.03.1932,Unknown,Retired
9,Jonathan Burkardt,Jonathan Michael Burkardt,138,42,14,8.756,N/A,Burkardt,9,4,0,1.FSV Mainz 05,Attack - Centre-Forward,"1,83 m",Germany,de,https://www.transfermarkt.us/jonathan-burkardt/profil/spieler/333647,https://img.a.transfermarkt.technology/portrait/small/333647-1698840239.jpg?lm=1,N/A,11.07.2000,Darmstadt,1.FSV Mainz 05
10,Vincenz Fuchs,Unknown,91,37,4,8.220,N/A,Fuchs,Unknown,0,0,1.FSV Mainz 05,Defender,Unknown,Germany,de,https://www.transfermarkt.us/vincenz-fuchs/profil/spieler/103522,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.02.1938,Kriftel,---
11,Lothar Buchmann,Unknown,106,36,0,9.540,N/A,Buchmann,Unknown,0,0,1.FSV Mainz 05,Midfield - Right Midfield,Unknown,Germany,de,https://www.transfermarkt.us/lothar-buchmann/profil/spieler/141285,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.08.1936,Breslau,---
12,Karim Onisiwo,Unknown,233,35,32,14.189,N/A,Onisiwo,18,19,0,1.FSV Mainz 05,Attack - Centre-Forward,"1,88 m",Austria,at,https://www.transfermarkt.us/karim-onisiwo/profil/spieler/119234,https://img.a.transfermarkt.technology/portrait/small/119234-1722886304.jpg?lm=1,N/A,17.03.1992,Wien,Red Bull Salzburg
13,Benjamin Auer,Unknown,128,34,16,9.212,N/A,Auer,-,7,0,1.FSV Mainz 05,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/benjamin-auer/profil/spieler/805,https://img.a.transfermarkt.technology/portrait/small/805-1471288216.jpg?lm=1,N/A,11.01.1981,Landau,Retired
14,Robin Quaison,Robin Kwamina Quaison,130,34,12,8.635,N/A,Quaison,22,8,0,1.FSV Mainz 05,Attack - Centre-Forward,"1,83 m",Sweden,se,https://www.transfermarkt.us/robin-quaison/profil/spieler/206542,https://img.a.transfermarkt.technology/portrait/small/206542-1735062490.jpg?lm=1,N/A,09.10.1993,Stockholm,Aris Thessaloniki
15,Abderrahim Ouakili,عبد الرحيم الوكيلي,121,33,15,9.386,N/A,Ouakili,-,17,1,1.FSV Mainz 05,Midfield - Attacking Midfield,,Morocco,ma,https://www.transfermarkt.us/abderrahim-ouakili/profil/spieler/1066,https://img.a.transfermarkt.technology/portrait/small/1066-1702908610.jpg?lm=1,N/A,12.12.1970,Rabat,---
16,Josef Meinhardt,Unknown,146,32,0,13.140,N/A,Meinhardt,Unknown,0,0,1.FSV Mainz 05,Attack,Unknown,Germany,de,https://www.transfermarkt.us/josef-meinhardt/profil/spieler/382296,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.03.1923,Hechtsheim,Retired
17,Yunus Mallı,Yunus Mallı,146,32,23,9.809,N/A,Mallı,19,4,0,1.FSV Mainz 05,Midfield - Attacking Midfield,"1,79 m",Türkiye,tr,https://www.transfermarkt.us/yunus-malli/profil/spieler/85352,https://img.a.transfermarkt.technology/portrait/small/85352-1696345876.png?lm=1,N/A,24.02.1992,Kassel,Without Club
18,Michael Schuhmacher,Unknown,320,32,2,28.057,N/A,Schuhmacher,Unknown,24,0,1.FSV Mainz 05,Midfield - Defensive Midfield,,Germany,de,https://www.transfermarkt.us/michael-schuhmacher/profil/spieler/97312,https://img.a.transfermarkt.technology/portrait/small/97312-1669907096.jpg?lm=1,N/A,20.08.1957,Ludwigshafen,Retired
19,Armin Maier,Unknown,92,31,0,7.538,N/A,Maier,Unknown,1,0,1.FSV Mainz 05,Attack,Unknown,Germany,de,https://www.transfermarkt.us/armin-maier/profil/spieler/380411,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.03.1964,Unknown,Retired
20,Werner Sommer,Unknown,184,31,0,16.560,N/A,Sommer,Unknown,0,0,1.FSV Mainz 05,Midfield,Unknown,Germany,de,https://www.transfermarkt.us/werner-sommer/profil/spieler/103845,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.08.1935,Unknown,Retired
21,Gerd Klier,Unknown,84,30,4,6.636,N/A,Klier,Unknown,1,0,1.FSV Mainz 05,Attack - Right Winger,,Germany,de,https://www.transfermarkt.us/gerd-klier/profil/spieler/94068,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.01.1944,Oestrich,---
22,Andriy Voronin,Воронін Андрій Вікторович,79,30,12,5.064,N/A,Voronin,10,13,0,1.FSV Mainz 05,Attack - Second Striker,,Ukraine,ua,https://www.transfermarkt.us/andriy-voronin/profil/spieler/1075,https://img.a.transfermarkt.technology/portrait/small/1075-1461328176.jpg?lm=1,N/A,21.07.1979,Odessa,Retired
23,Thomas Ziemer,Unknown,104,30,1,7.037,N/A,Ziemer,Unknown,15,0,1.FSV Mainz 05,Midfield - Attacking Midfield,,Germany,de,https://www.transfermarkt.us/thomas-ziemer/profil/spieler/1065,https://img.a.transfermarkt.technology/portrait/small/s_1065_123_2013_04_26_1.jpg?lm=1,N/A,18.08.1969,Nürnberg,Retired
24,Mohamed Zidan,محمد عبدالله زيدان‎,57,30,6,4.382,N/A,Zidan,9,2,0,1.FSV Mainz 05,Attack - Second Striker,"1,72 m",Egypt,eg,https://www.transfermarkt.us/mohamed-zidan/profil/spieler/17275,https://img.a.transfermarkt.technology/portrait/small/17275-1493293874.jpg?lm=1,N/A,11.12.1981,Port Said,Retired
25,Jürgen Kramny,Unknown,229,30,25,16.435,N/A,Kramny,-,22,2,1.FSV Mainz 05,Midfield - Right Midfield,"1,82 m",Germany,de,https://www.transfermarkt.us/jurgen-kramny/profil/spieler/949,https://img.a.transfermarkt.technology/portrait/small/949-1701436101.jpg?lm=1,N/A,18.10.1971,Bad Canstatt,Retired
26,Shinji Okazaki,岡崎 慎司,70,29,7,5.973,N/A,Okazaki,18,7,0,1.FSV Mainz 05,Attack - Centre-Forward,"1,75 m",Japan,jp,https://www.transfermarkt.us/shinji-okazaki/profil/spieler/79642,https://img.a.transfermarkt.technology/portrait/small/79642-1693900086.jpg?lm=1,N/A,16.04.1986,"Takarazuka, Hyogo",Retired
27,Wolfgang Elze,Unknown,50,29,0,4.500,N/A,Elze,Unknown,0,0,1.FSV Mainz 05,Attack,Unknown,Germany,de,https://www.transfermarkt.us/wolfgang-elze/profil/spieler/382826,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.10.1930,Unknown,Retired
