rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Niall McGinn,Unknown,356,87,81,26.708,N/A,McGinn,#20,11,0,Aberdeen FC,Attack - Left Winger,"1,83 m",Northern Ireland,unknown,https://www.transfermarkt.us/niall-mcginn/profil/spieler/68321,https://img.a.transfermarkt.technology/portrait/small/68321-1624024174.jpg?lm=1,N/A,20.07.1987,Donaghmore,Greenock Morton FC
2,Adam Rooney,Adam Christopher David Rooney,197,87,20,13.825,N/A,Rooney,#17,10,0,Aberdeen FC,Attack - Centre-Forward,"1,78 m",Ireland,ie,https://www.transfermarkt.us/adam-rooney/profil/spieler/37773,https://img.a.transfermarkt.technology/portrait/small/37773-1590138142.jpg?lm=1,N/A,21.04.1988,Dublin,Hereford FC
3,Darren Mackie,Darren Graham Mackie,340,62,22,22.168,N/A,Mackie,Unknown,41,0,Aberdeen FC,Attack - Centre-Forward,"1,76 m",Scotland,unknown,https://www.transfermarkt.us/darren-mackie/profil/spieler/12781,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.01.1982,Inverurie (Aberdeenshire),Retired
4,Sam Cosgrove,Sam Benjamin Cosgrove,103,47,9,7.434,N/A,Cosgrove,#24,18,2,Aberdeen FC,Attack - Centre-Forward,"1,94 m",England,unknown,https://www.transfermarkt.us/sam-cosgrove/profil/spieler/351691,https://img.a.transfermarkt.technology/portrait/small/351691-1564736035.png?lm=1,N/A,02.12.1996,Beverley,Stockport County
5,Bojan Miovski,Бојан Миовски,98,44,7,7.597,N/A,Miovski,#19,14,0,Aberdeen FC,Attack - Centre-Forward,"1,89 m",North Macedonia,mk,https://www.transfermarkt.us/bojan-miovski/profil/spieler/476219,https://img.a.transfermarkt.technology/portrait/small/476219-1611947628.jpeg?lm=1,N/A,24.06.1999,Štip,Girona FC
6,Scott Vernon,Scott Malcolm Vernon,158,44,20,11.128,N/A,Vernon,Unknown,9,0,Aberdeen FC,Attack - Centre-Forward,"1,85 m",England,unknown,https://www.transfermarkt.us/scott-vernon/profil/spieler/46594,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.12.1983,Manchester,Retired
7,Andy Considine,Andrew MacLaren Considine,561,41,33,46.996,N/A,Considine,Unknown,95,4,Aberdeen FC,Defender - Centre-Back,"1,83 m",Scotland,unknown,https://www.transfermarkt.us/andy-considine/profil/spieler/21306,https://img.a.transfermarkt.technology/portrait/small/21306-1612224625.jpg?lm=1,N/A,01.04.1987,Banchory,Retired
8,Jonny Hayes,Jonathan Hayes,352,38,90,27.497,N/A,Hayes,Unknown,48,1,Aberdeen FC,Midfield - Right Midfield,"1,68 m",Ireland,ie,https://www.transfermarkt.us/jonny-hayes/profil/spieler/52380,https://img.a.transfermarkt.technology/portrait/small/52380-1624023961.jpg?lm=1,N/A,09.07.1987,Dublin,St Mungo Amateurs
9,Lewis Ferguson,Unknown,169,37,23,15.086,N/A,Ferguson,#19,46,2,Aberdeen FC,Midfield - Central Midfield,"1,81 m",Scotland,unknown,https://www.transfermarkt.us/lewis-ferguson/profil/spieler/428563,https://img.a.transfermarkt.technology/portrait/small/428563-1663656344.jpg?lm=1,N/A,24.08.1999,Hamilton,Bologna FC 1909
10,Robbie Winters,Robert Winters,123,32,6,9.716,N/A,Winters,Unknown,7,0,Aberdeen FC,Attack - Centre-Forward,"1,80 m",Scotland,unknown,https://www.transfermarkt.us/robbie-winters/profil/spieler/11376,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.11.1974,East Kilbride,Retired
11,Lee Miller,Lee Adamson Miller,134,30,13,11.059,N/A,Miller,Unknown,15,1,Aberdeen FC,Attack - Centre-Forward,,Scotland,unknown,https://www.transfermarkt.us/lee-miller/profil/spieler/20980,https://img.a.transfermarkt.technology/portrait/small/s_20980_1220_2013_09_24_1.jpg?lm=1,N/A,18.05.1983,Lanark,Without Club
12,Duk,Unknown,113,27,13,6.462,N/A,Duk,#18,18,0,Aberdeen FC,Attack - Left Winger,"1,82 m",Cape Verde,unknown,https://www.transfermarkt.us/duktm/profil/spieler/535959,https://img.a.transfermarkt.technology/portrait/small/535959-1681745685.jpg?lm=1,N/A,16.02.2000,Lisboa,CD Leganés
13,Arild Stavrum,Unknown,59,27,0,4.862,N/A,Stavrum,Unknown,1,0,Aberdeen FC,Attack - Centre-Forward,,Norway,no,https://www.transfermarkt.us/arild-stavrum/profil/spieler/1723,https://img.a.transfermarkt.technology/portrait/small/1723-1490268820.jpg?lm=1,N/A,16.04.1972,Kristiansund,Retired
