rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Andrey Fedkov,Федьков Андрей Юрьевич,98,54,2,6.891,N/A,Fedkov,Unknown,2,0,Akhmat Grozny,Attack - Centre-Forward,"1,82 m",Russia,unknown,https://www.transfermarkt.us/andrey-fedkov/profil/spieler/24127,https://img.a.transfermarkt.technology/portrait/small/24127-1636381748.jpg?lm=1,N/A,04.07.1971,Rostov-na-Donu,Retired
2,Mohamed Konaté,Unknown,90,34,3,5.236,N/A,Konaté,#13,5,0,Akhmat Grozny,Attack - Centre-Forward,"1,91 m",Burkina Faso,bf,https://www.transfermarkt.us/mohamed-konate/profil/spieler/457743,https://img.a.transfermarkt.technology/portrait/small/457743-1633698713.png?lm=1,N/A,12.12.1997,Odienné,Al-Riyadh SC
3,Bernard Berisha,Unknown,192,28,23,11.617,N/A,Berisha,#7,49,0,Akhmat Grozny,Attack - Left Winger,"1,65 m",Kosovo,unknown,https://www.transfermarkt.us/bernard-berisha/profil/spieler/240226,https://img.a.transfermarkt.technology/portrait/small/240226-1605979135.png?lm=1,N/A,24.10.1991,Peć,Akhmat Grozny
4,Maurício,Unknown,172,28,16,13.481,N/A,Maurício,Unknown,22,0,Akhmat Grozny,Midfield - Defensive Midfield,"1,84 m",Brazil,br,https://www.transfermarkt.us/mauricio/profil/spieler/53286,https://img.a.transfermarkt.technology/portrait/small/53286-1664191566.png?lm=1,N/A,21.10.1988,São José dos Campos,AA Internacional de Limeira
5,Timur Dzhabrailov,Джабраилов Тимур Мамедович,225,25,5,15.818,N/A,Dzhabrailov,Unknown,43,0,Akhmat Grozny,Defender - Centre-Back,"1,82 m",Russia,unknown,https://www.transfermarkt.us/timur-dzhabrailov/profil/spieler/24125,https://img.a.transfermarkt.technology/portrait/small/24125-1704827167.png?lm=1,N/A,05.08.1973,"Staraya Sunzha, Chechnya Republic",Retired
6,Ablaye Mbengue,Ablaye Vieux Mbengue,112,23,3,4.549,N/A,Mbengue,#19,8,0,Akhmat Grozny,Attack - Centre-Forward,"1,87 m",Senegal,sn,https://www.transfermarkt.us/ablaye-mbengue/profil/spieler/354040,https://img.a.transfermarkt.technology/portrait/small/354040-1693303916.jpg?lm=1,N/A,19.05.1992,Dakar,Al-Arabi SC
7,Aílton,Unknown,87,22,5,6.129,N/A,Aílton,Unknown,5,0,Akhmat Grozny,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/ailton/profil/spieler/32860,https://img.a.transfermarkt.technology/portrait/small/32860-1674670154.png?lm=1,N/A,20.08.1984,Hematita,Retired
8,Vladimir Iljin,Ильин Владимир Дмитриевич,102,22,7,6.008,N/A,Iljin,#15,11,0,Akhmat Grozny,Attack - Centre-Forward,"1,87 m",Russia,unknown,https://www.transfermarkt.us/vladimir-iljin/profil/spieler/220650,https://img.a.transfermarkt.technology/portrait/small/220650-1722312532.png?lm=1,N/A,20.05.1992,St. Petersburg,Fakel Voronezh
9,Shamil Asildarov,Асильдаров Шамиль Саидбегович,79,22,6,5.689,N/A,Asildarov,Unknown,11,0,Akhmat Grozny,Attack - Centre-Forward,"1,90 m",Russia,unknown,https://www.transfermarkt.us/shamil-asildarov/profil/spieler/43402,https://img.a.transfermarkt.technology/portrait/small/43402-1605597494.png?lm=1,N/A,18.05.1983,Makhachkala,Retired
10,Igor Lebedenko,Лебеденко Игорь Владимирович,147,21,14,10.696,N/A,Lebedenko,Unknown,17,0,Akhmat Grozny,Attack - Centre-Forward,"1,82 m",Russia,unknown,https://www.transfermarkt.us/igor-lebedenko/profil/spieler/15102,https://img.a.transfermarkt.technology/portrait/small/15102-1720981530.png?lm=1,N/A,27.05.1983,Moskau,Retired
11,Zaur Sadaev,Садаев Заур Умарович,138,21,4,5.182,N/A,Sadaev,Unknown,25,0,Akhmat Grozny,Attack - Centre-Forward,"1,82 m",Russia,unknown,https://www.transfermarkt.us/zaur-sadaev/profil/spieler/51268,https://img.a.transfermarkt.technology/portrait/small/51268-1555242808.png?lm=1,N/A,06.11.1989,"Shali, Chechnya Republic",Medialiga (RU)
12,Magomed Adiev,Адиев Магомед Мусаевич,104,21,7,5.164,N/A,Adiev,Unknown,8,0,Akhmat Grozny,Attack - Centre-Forward,"1,89 m",Russia,unknown,https://www.transfermarkt.us/magomed-adiev/profil/spieler/24117,https://img.a.transfermarkt.technology/portrait/small/24117-1637076407.png?lm=1,N/A,30.06.1977,Grozny,Retired
13,Shamil Lakhiyalov,Лахиялов Шамиль Гаджиалиевич,80,21,13,6.284,N/A,Lakhiyalov,Unknown,9,1,Akhmat Grozny,Attack - Second Striker,"1,74 m",Russia,unknown,https://www.transfermarkt.us/shamil-lakhiyalov/profil/spieler/49474,https://img.a.transfermarkt.technology/portrait/small/49474-1651230075.png?lm=1,N/A,28.10.1979,Makhachkala,Retired
14,Konstantin Kamnev,Камнєв Костянтин Миколайович,63,20,0,4.810,N/A,Kamnev,Unknown,5,0,Akhmat Grozny,Midfield - Right Midfield,"1,71 m",Ukraine,ua,https://www.transfermarkt.us/konstantin-kamnev/profil/spieler/493850,https://img.a.transfermarkt.technology/portrait/small/493850-1591300277.jpg?lm=1,N/A,20.06.1972,Odessa,Retired
