rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Youssef Al-Salem,يوسف منصور السالم,136,52,8,10.189,N/A,Al-Salem,Unknown,12,0,Al-Ettifaq FC,Attack - Centre-Forward,"1,79 m",Saudi Arabia,sa,https://www.transfermarkt.us/youssef-al-salem/profil/spieler/153244,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.05.1985,Khobar,---
2,Saleh Bashir,"Saleh Bashir Al-Dosari, صالح بشير الدوسري",145,47,14,9.055,N/A,Bashir,Unknown,13,1,Al-Ettifaq FC,Attack - Centre-Forward,"1,78 m",Saudi Arabia,sa,https://www.transfermarkt.us/saleh-bashir/profil/spieler/107304,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.04.1982,Dammam,Retired
3,Mohammed Al-Kuwaykibi,"Mohammed Marzoq Al-Kuwaykibi, محمد الكويكبي",189,38,27,14.987,N/A,Al-Kuwaykibi,#7,19,1,Al-Ettifaq FC,Attack - Right Winger,"1,69 m",Saudi Arabia,sa,https://www.transfermarkt.us/mohammed-al-kuwaykibi/profil/spieler/264888,https://img.a.transfermarkt.technology/portrait/small/264888-1685658275.jpg?lm=1,N/A,02.12.1994,Sakakah,Al-Taawoun FC
4,Sebastián Tagliabúe,Sebastián Lucas Tagliabúe,54,31,4,4.357,N/A,Tagliabúe,Unknown,9,0,Al-Ettifaq FC,Attack - Centre-Forward,"1,81 m",United Arab Emirates,ae,https://www.transfermarkt.us/sebastian-tagliabue/profil/spieler/89771,https://img.a.transfermarkt.technology/portrait/small/89771-1574068042.jpg?lm=1,N/A,22.02.1985,Olivos,Retired
5,Hazaa Al-Hazaa,Hazaa Ibrahim Al-Hazaa هزاع إبراهيم الهزاع,120,30,8,5.278,N/A,Al-Hazaa,Unknown,6,0,Al-Ettifaq FC,Attack - Centre-Forward,"1,75 m",Saudi Arabia,sa,https://www.transfermarkt.us/hazaa-al-hazaa/profil/spieler/270375,https://img.a.transfermarkt.technology/portrait/small/270375-1680720026.jpg?lm=1,N/A,08.08.1991,Dammam,Without Club
6,Filip Kiss,Unknown,135,29,4,11.785,N/A,Kiss,#87,28,1,Al-Ettifaq FC,Midfield - Defensive Midfield,"1,86 m",Slovakia,sk,https://www.transfermarkt.us/filip-kiss/profil/spieler/90360,https://img.a.transfermarkt.technology/portrait/small/s_90360_603_2013_04_17_1.jpg?lm=1,N/A,13.10.1990,Dunajská Streda,Al-Orooba FC
7,Naïm Sliti,Unknown,86,23,15,6.319,N/A,Sliti,#5,5,1,Al-Ettifaq FC,Attack - Left Winger,"1,73 m",Tunisia,tn,https://www.transfermarkt.us/naim-sliti/profil/spieler/184491,https://img.a.transfermarkt.technology/portrait/small/184491-1685660468.jpg?lm=1,N/A,27.07.1992,Marseille,Al-Shamal SC
8,Prince Tagoe,Unknown,50,21,3,3.243,N/A,Tagoe,Unknown,3,0,Al-Ettifaq FC,Attack - Centre-Forward,,Ghana,gh,https://www.transfermarkt.us/prince-tagoe/profil/spieler/37649,https://img.a.transfermarkt.technology/portrait/small/37649-1589538409.jpg?lm=1,N/A,09.11.1986,Accra,Retired
9,Moussa Dembélé,Unknown,47,21,5,3.602,N/A,Dembélé,#9,5,0,Al-Ettifaq FC,Attack - Centre-Forward,"1,87 m",France,fr,https://www.transfermarkt.us/moussa-dembele/profil/spieler/229004,https://img.a.transfermarkt.technology/portrait/small/229004-1672831392.jpg?lm=1,N/A,12.07.1996,Pontoise,Al-Ettifaq FC
10,Hamad Al-Hamad,"Hamad Muhanna Hamad Al-Hamad, حمد الحمد",108,20,10,6.601,N/A,Al-Hamad,Unknown,6,0,Al-Ettifaq FC,Attack - Right Winger,"1,64 m",Saudi Arabia,sa,https://www.transfermarkt.us/hamad-al-hamad/profil/spieler/153249,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.08.1987,Dammam,Al-Thoqbah Club
