rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Mohammed Al-Sahlawi,محمد السهلاوي,258,121,27,18.361,N/A,Al-Sahlawi,#10,13,0,Al-Nassr FC,Attack - Centre-Forward,"1,79 m",Saudi Arabia,sa,https://www.transfermarkt.us/mohammed-al-sahlawi/profil/spieler/150787,https://img.a.transfermarkt.technology/portrait/small/150787-1703722983.png?lm=1,N/A,10.01.1987,Hofuf,Al-Safa FC
2,Abderrazak Hamdallah,عبد الرزاق حمد الله,108,112,24,9.208,N/A,Hamdallah,#9,20,0,Al-Nassr FC,Attack - Centre-Forward,"1,82 m",Morocco,ma,https://www.transfermarkt.us/abderrazak-hamdallah/profil/spieler/235052,https://img.a.transfermarkt.technology/portrait/small/235052-1703282879.png?lm=1,N/A,17.12.1990,Safi,Al-Shabab FC
3,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,98,88,19,8.615,N/A,Ronaldo,#7,11,1,Al-Nassr FC,Attack - Centre-Forward,"1,88 m",Portugal,pt,https://www.transfermarkt.us/cristiano-ronaldo/profil/spieler/8198,https://img.a.transfermarkt.technology/portrait/small/8198-1694609670.jpg?lm=1,N/A,05.02.1985,Funchal,Al-Nassr FC
4,Talisca,Unknown,104,76,10,8.576,N/A,Talisca,#94,17,4,Al-Nassr FC,Attack - Centre-Forward,"1,90 m",Brazil,br,https://www.transfermarkt.us/talisca/profil/spieler/258626,https://img.a.transfermarkt.technology/portrait/small/258626-1738664288.jpg?lm=1,N/A,01.02.1994,Feira de Santana,Fenerbahce
5,Saad Al-Harthi,Saad Mishal Al-Harthi,130,44,12,9.037,N/A,Al-Harthi,Unknown,6,0,Al-Nassr FC,Attack - Centre-Forward,"1,78 m",Saudi Arabia,sa,https://www.transfermarkt.us/saad-al-harthi/profil/spieler/31674,https://img.a.transfermarkt.technology/portrait/small/31674-1641392663.jpg?lm=1,N/A,03.02.1984,Riyadh,Retired
6,Hassan Al-Raheb,حسن علي الراهب,121,36,10,4.936,N/A,Hassan Al-Raheb,Unknown,14,0,Al-Nassr FC,Attack - Second Striker,"1,68 m",Saudi Arabia,sa,https://www.transfermarkt.us/hassan-al-raheb/profil/spieler/93632,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.08.1983,Dammam,Retired
7,Giuliano,Unknown,78,31,19,6.751,N/A,Giuliano,#8,4,0,Al-Nassr FC,Midfield - Attacking Midfield,"1,72 m",Brazil,br,https://www.transfermarkt.us/giuliano/profil/spieler/54375,https://img.a.transfermarkt.technology/portrait/small/54375-1706143918.jpg?lm=1,N/A,31.05.1990,Curitiba,Club Athletico Paranaense
8,Sadio Mané,Sadio Mané,84,28,22,7.189,N/A,Mané,#10,12,0,Al-Nassr FC,Attack - Left Winger,"1,74 m",Senegal,sn,https://www.transfermarkt.us/sadio-mane/profil/spieler/200512,https://img.a.transfermarkt.technology/portrait/small/200512-1667830279.jpg?lm=1,N/A,10.04.1992,Bambaly,Al-Nassr FC
9,Yahya Al-Shehri,Yahya Sulaiman Ali Al-Shehri - يحيى سليمان علي الشهري,208,28,42,13.857,N/A,Al-Shehri,#88,2,0,Al-Nassr FC,Midfield - Attacking Midfield,"1,65 m",Saudi Arabia,sa,https://www.transfermarkt.us/yahya-al-shehri/profil/spieler/150788,https://img.a.transfermarkt.technology/portrait/small/150788-1681073978.png?lm=1,N/A,26.06.1990,Dammam,Al-Riyadh SC
10,Adrian Mierzejewski,Unknown,68,25,19,5.645,N/A,Mierzejewski,Unknown,6,0,Al-Nassr FC,Midfield - Attacking Midfield,"1,76 m",Poland,pl,https://www.transfermarkt.us/adrian-mierzejewski/profil/spieler/16955,https://img.a.transfermarkt.technology/portrait/small/s_16955_449_2013_08_14_1.jpg?lm=1,N/A,06.11.1986,Olsztyn,Retired
11,Rayan Belal,Unknown,86,21,3,4.470,N/A,Belal,Unknown,3,0,Al-Nassr FC,Attack - Centre-Forward,"1,83 m",Saudi Arabia,sa,https://www.transfermarkt.us/rayan-belal/profil/spieler/153220,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.01.1989,Medina,Unknown
12,Sami Al-Najei,سامي النجعي,143,21,18,6.612,N/A,Al-Najei,#14,15,0,Al-Nassr FC,Midfield - Attacking Midfield,"1,76 m",Saudi Arabia,sa,https://www.transfermarkt.us/sami-al-najei/profil/spieler/434672,https://img.a.transfermarkt.technology/portrait/small/434672-1685035526.PNG?lm=1,N/A,07.02.1997,Jizan,Al-Nassr FC
13,Abdalrahman Al-Bishi,عبدالرحمن البيشي,77,20,2,4.449,N/A,Al-Bishi,Unknown,1,0,Al-Nassr FC,Attack - Centre-Forward,Unknown,Saudi Arabia,sa,https://www.transfermarkt.us/abdalrahman-al-bishi/profil/spieler/1139141,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.04.1983,Unknown,Retired
14,Víctor Figueroa,Víctor Alberto Figueroa,58,18,8,4.521,N/A,Figueroa,Unknown,7,1,Al-Nassr FC,Attack - Right Winger,"1,68 m",Argentina,ar,https://www.transfermarkt.us/victor-figueroa/profil/spieler/40501,https://img.a.transfermarkt.technology/portrait/small/40501-1718024806.JPG?lm=1,N/A,29.09.1983,San Isidro,CA Chacarita Juniors
15,Élton,Unknown,23,17,2,1.693,N/A,Élton,Unknown,0,0,Al-Nassr FC,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/elton/profil/spieler/41052,https://img.a.transfermarkt.technology/portrait/small/41052-1684691906.jpg?lm=1,N/A,01.08.1985,Iramaia,Retired
16,Nordin Amrabat,نور الدين المرابط,100,17,26,8.082,N/A,Amrabat,#37,18,0,Al-Nassr FC,Attack - Right Winger,"1,79 m",Morocco,ma,https://www.transfermarkt.us/nordin-amrabat/profil/spieler/55619,https://img.a.transfermarkt.technology/portrait/small/55619-1728416194.png?lm=1,N/A,31.03.1987,Naarden,Hull City
17,Ayman Yahya,"Ayman Yahya Salem, أيمن يحيى سالم",111,17,15,4.920,N/A,Yahya,#23,17,1,Al-Nassr FC,Attack - Right Winger,"1,68 m",Saudi Arabia,sa,https://www.transfermarkt.us/ayman-yahya/profil/spieler/735815,https://img.a.transfermarkt.technology/portrait/small/735815-1685034359.PNG?lm=1,N/A,14.05.2001,Riyadh,Al-Nassr FC
18,Mohammed Al-Shahrani,محمد الشهراني,50,16,3,2.961,N/A,Al-Shahrani,Unknown,1,0,Al-Nassr FC,Attack - Centre-Forward,"1,78 m",Saudi Arabia,sa,https://www.transfermarkt.us/mohammed-al-shahrani/profil/spieler/153257,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.05.1982,Unknown,Unknown
19,Petros,Unknown,103,16,9,8.921,N/A,Petros,#66,22,1,Al-Nassr FC,Midfield - Defensive Midfield,"1,82 m",Brazil,br,https://www.transfermarkt.us/petros/profil/spieler/200558,https://img.a.transfermarkt.technology/portrait/small/200558-1716742070.png?lm=1,N/A,29.05.1989,Juazeiro,Al-Okhdood Club
20,Julio César Baldivieso,Julio César Baldivieso Rico,40,15,13,3.419,N/A,Baldivieso,Unknown,0,0,Al-Nassr FC,Midfield - Attacking Midfield,"1,80 m",Bolivia,bo,https://www.transfermarkt.us/julio-cesar-baldivieso/profil/spieler/101393,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.12.1971,Cochabamba,Retired
