rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Karim El Berkaoui,كريم البركاوي,123,59,7,9.027,N/A,El Berkaoui,#11,16,0,Al-Raed SFC,Attack - Centre-Forward,"1,75 m",Morocco,ma,https://www.transfermarkt.us/karim-el-berkaoui/profil/spieler/362278,https://img.a.transfermarkt.technology/portrait/small/362278-1681075662.png?lm=1,N/A,29.03.1995,Agadir,Al-Raed SFC
2,Ismaël Bangoura,Unknown,85,41,6,6.332,N/A,Bangoura,Unknown,6,1,Al-Raed SFC,Attack - Centre-Forward,"1,74 m",Guinea,gn,https://www.transfermarkt.us/ismael-bangoura/profil/spieler/34529,https://img.a.transfermarkt.technology/portrait/small/34529-1449648993.jpg?lm=1,N/A,02.01.1985,Conakry,Retired
3,Mohammed Fouzair,محمد فوزير,134,36,16,10.915,N/A,Fouzair,#10,24,0,Al-Raed SFC,Attack - Right Winger,"1,68 m",Morocco,ma,https://www.transfermarkt.us/mohammed-fouzair/profil/spieler/236708,https://img.a.transfermarkt.technology/portrait/small/236708-1681075223.png?lm=1,N/A,24.12.1991,Casablanca,Al-Raed SFC
4,Saleh Al-Shehri,"Saleh Khaled Al-Shehri, صالح خالد الشهري",80,27,7,3.973,N/A,Al-Shehri,#21,11,0,Al-Raed SFC,Attack - Centre-Forward,"1,84 m",Saudi Arabia,sa,https://www.transfermarkt.us/saleh-al-shehri/profil/spieler/242267,https://img.a.transfermarkt.technology/portrait/small/242267-1697051090.png?lm=1,N/A,01.11.1993,Jeddah,Al-Ittihad Club
5,Yves-Diba Ilunga,Unknown,42,16,0,3.143,N/A,Ilunga,Unknown,7,0,Al-Raed SFC,Attack - Centre-Forward,"1,80 m",DR Congo,unknown,https://www.transfermarkt.us/yves-diba-ilunga/profil/spieler/153433,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.08.1987,Lubumbashi,Retired
6,Julio Tavarès,Unknown,57,15,9,4.240,N/A,Tavarès,Unknown,1,0,Al-Raed SFC,Attack - Centre-Forward,"1,87 m",Cape Verde,unknown,https://www.transfermarkt.us/julio-tavares/profil/spieler/216426,https://img.a.transfermarkt.technology/portrait/small/216426-1681075727.png?lm=1,N/A,19.11.1988,Tarrafal de São Nicolau,Al-Diraiyah FC
7,Fahad Al-Juhani,"Fahad bin Ayed bin Awadh Al-Dhabiani Al-Juhani, فهد عايد الجهني",59,15,2,3.958,N/A,Al-Juhani,#9,6,1,Al-Raed SFC,Attack - Centre-Forward,"1,79 m",Saudi Arabia,sa,https://www.transfermarkt.us/fahad-al-juhani/profil/spieler/209741,https://img.a.transfermarkt.technology/portrait/small/209741-1680720065.jpg?lm=1,N/A,26.10.1991,Riyadh,Al-Jabalain FC
8,Raed Al-Ghamdi,رائد الغامدي,94,14,4,3.393,N/A,Al-Ghamdi,#9,8,0,Al-Raed SFC,Attack - Centre-Forward,"1,76 m",Saudi Arabia,sa,https://www.transfermarkt.us/raed-al-ghamdi/profil/spieler/177998,https://img.a.transfermarkt.technology/portrait/small/177998-1681074140.png?lm=1,N/A,06.05.1994,Unknown,Al-Raed SFC
9,Amir Sayoud,أمير سعيود,51,12,10,3.987,N/A,Sayoud,#7,6,0,Al-Raed SFC,Midfield - Attacking Midfield,"1,71 m",Algeria,dz,https://www.transfermarkt.us/amir-sayoud/profil/spieler/122493,https://img.a.transfermarkt.technology/portrait/small/122493-1680719731.jpg?lm=1,N/A,30.09.1990,Guelma,Al-Raed SFC
10,Mousa Al-Shamri,موسى الشمري,45,12,4,2.807,N/A,Al-Shamri,Unknown,6,0,Al-Raed SFC,Attack,"1,75 m",Saudi Arabia,sa,https://www.transfermarkt.us/mousa-al-shamri/profil/spieler/141978,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.05.1986,Unknown,Without Club
11,Shikabala,محمود عبد الرازق شيكابالا,24,10,5,1.883,N/A,Shikabala,#10,2,0,Al-Raed SFC,Attack - Right Winger,"1,83 m",Egypt,eg,https://www.transfermarkt.us/shikabala/profil/spieler/28463,https://img.a.transfermarkt.technology/portrait/small/28463-1497271438.jpg?lm=1,N/A,05.03.1986,Aswan,Zamalek SC
12,Meshal Al-Enazi,مشعل العنزي,59,10,0,2.528,N/A,Al-Enazi,Unknown,5,0,Al-Raed SFC,Midfield - Left Midfield,"1,78 m",Saudi Arabia,sa,https://www.transfermarkt.us/meshal-al-enazi/profil/spieler/209491,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.01.1987,Unknown,Arar FC
13,Jalal Daoudi,جلال الداودي,38,10,1,2.743,N/A,Daoudi,Unknown,15,1,Al-Raed SFC,Midfield - Defensive Midfield,"1,75 m",Morocco,ma,https://www.transfermarkt.us/jalal-daoudi/profil/spieler/236322,https://img.a.transfermarkt.technology/portrait/small/236322-1726146289.jpg?lm=1,N/A,17.08.1988,Agadir,KAC Kénitra
14,Sultan Al-Sawadi,سلطان السوادي,84,9,16,6.201,N/A,Al-Sawadi,#49,6,0,Al-Raed SFC,Attack - Left Winger,"1,68 m",Saudi Arabia,sa,https://www.transfermarkt.us/sultan-al-sawadi/profil/spieler/224234,https://img.a.transfermarkt.technology/portrait/small/224234-1685533362.JPG?lm=1,N/A,14.12.1992,Jeddah,NEOM SC
15,Waleed Al-Gizani,Waleed Khaled Abd Rabo Al-Gizani,38,9,5,2.154,N/A,Al-Gizani,Unknown,4,0,Al-Raed SFC,Attack - Centre-Forward,"1,80 m",Saudi Arabia,sa,https://www.transfermarkt.us/waleed-al-gizani/profil/spieler/153630,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.02.1981,Jeddah,Retired
16,Boris Kabi,Boris Landry Kabi,21,9,2,1.654,N/A,Kabi,Unknown,2,1,Al-Raed SFC,Attack - Centre-Forward,"1,83 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/boris-kabi/profil/spieler/268133,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.12.1984,Yamoussoukro,Retired
