rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Nasser Al-Shamrani,ناصر الشمراني‎,222,132,30,17.394,N/A,Al-Shamrani,Unknown,15,2,Al-Shabab FC,Attack - Centre-Forward,"1,73 m",Saudi Arabia,sa,https://www.transfermarkt.us/nasser-al-shamrani/profil/spieler/107307,https://img.a.transfermarkt.technology/portrait/small/107307-1484820903.jpg?lm=1,N/A,23.11.1983,Mecca,Retired
2,Cristian Guanca,Cristian David Guanca,121,50,24,10.118,N/A,Guanca,#11,10,1,Al-Shabab FC,Midfield - Attacking Midfield,"1,77 m",Argentina,ar,https://www.transfermarkt.us/cristian-guanca/profil/spieler/167423,https://img.a.transfermarkt.technology/portrait/small/167423-1685910871.jpg?lm=1,N/A,26.03.1993,Buenos Aires,Al-Shabab FC
3,Carlos Júnior,Unknown,81,41,8,6.020,N/A,Carlos Júnior,#17,5,0,Al-Shabab FC,Attack - Right Winger,"1,72 m",Brazil,br,https://www.transfermarkt.us/carlos-junior/profil/spieler/284000,https://img.a.transfermarkt.technology/portrait/small/284000-1685911165.jpg?lm=1,N/A,15.08.1995,Santa Luz,NEOM SC
4,Godwin Attram,Unknown,58,35,4,4.873,N/A,Attram,Unknown,1,0,Al-Shabab FC,Attack - Centre-Forward,"1,71 m",Ghana,gh,https://www.transfermarkt.us/godwin-attram/profil/spieler/37641,https://img.a.transfermarkt.technology/portrait/small/s_37641_23387_2010_2.jpg?lm=1,N/A,07.08.1980,Accra,Retired
5,Hassan Muath,"حسن معاذ , Hassan Muath Fallatah",353,30,37,29.618,N/A,Muath,Unknown,37,2,Al-Shabab FC,Defender - Right-Back,"1,73 m",Saudi Arabia,sa,https://www.transfermarkt.us/hassan-muath/profil/spieler/126381,https://img.a.transfermarkt.technology/portrait/small/126381-1522312582.jpg?lm=1,N/A,27.01.1986,Medina,Retired
6,Mohamed Benyettou,محمد بن يطو,66,30,6,5.405,N/A,Benyettou,#9,4,0,Al-Shabab FC,Attack - Centre-Forward,"1,86 m",Algeria,dz,https://www.transfermarkt.us/mohamed-benyettou/profil/spieler/233103,https://img.a.transfermarkt.technology/portrait/small/233103-1710370138.jpg?lm=1,N/A,01.11.1989,Mohammadia,Al-Sailiya SC
7,Camacho,Unknown,140,25,48,11.683,N/A,Camacho,Unknown,9,0,Al-Shabab FC,Midfield - Attacking Midfield,"1,70 m",Brazil,br,https://www.transfermarkt.us/camacho/profil/spieler/137181,https://img.a.transfermarkt.technology/portrait/small/s_137181_2125_2012_1.jpg?lm=1,N/A,24.03.1980,Rio de Janeiro,Retired
8,Naif Ahmed Taib Hazazi,نايف هزازي,34,25,3,2.654,N/A,Hazazi,Unknown,5,0,Al-Shabab FC,Attack - Centre-Forward,"1,81 m",Saudi Arabia,sa,https://www.transfermarkt.us/naif-ahmed-taib-hazazi/profil/spieler/93468,https://img.a.transfermarkt.technology/portrait/small/93468-1687986835.jpg?lm=1,N/A,27.07.1988,Jeddah,Without Club
9,Sebastián Tagliabúe,Sebastián Lucas Tagliabúe,38,23,3,2.441,N/A,Tagliabúe,Unknown,5,0,Al-Shabab FC,Attack - Centre-Forward,"1,81 m",United Arab Emirates,ae,https://www.transfermarkt.us/sebastian-tagliabue/profil/spieler/89771,https://img.a.transfermarkt.technology/portrait/small/89771-1574068042.jpg?lm=1,N/A,22.02.1985,Olivos,Retired
10,Naji Majrashi,"Naji Mohammed Majrashi, ناجي مجرشي",86,23,5,4.035,N/A,Majrashi,Unknown,1,0,Al-Shabab FC,Attack - Centre-Forward,"1,64 m",Saudi Arabia,sa,https://www.transfermarkt.us/naji-majrashi/profil/spieler/31421,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.02.1984,Unknown,Retired
11,Abdoh Otayf,عبده عطيف,175,23,30,12.689,N/A,Otayf,Unknown,6,0,Al-Shabab FC,Midfield - Attacking Midfield,"1,72 m",Saudi Arabia,sa,https://www.transfermarkt.us/abdoh-otayf/profil/spieler/31418,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.04.1984,Riyadh,Retired
12,Éver Banega,Éver Maximiliano David Banega,108,22,25,9.280,N/A,Banega,#5,20,4,Al-Shabab FC,Midfield - Central Midfield,"1,74 m",Argentina,ar,https://www.transfermarkt.us/ever-banega/profil/spieler/12249,https://img.a.transfermarkt.technology/portrait/small/12249-1721742812.jpg?lm=1,N/A,29.06.1988,Rosario,CA Newell's Old Boys
