rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Lamine Diarra,Unknown,127,49,18,9.539,N/A,Diarra,Unknown,4,0,Antalyaspor,Attack - Centre-Forward,"1,75 m",Senegal,sn,https://www.transfermarkt.us/lamine-diarra/profil/spieler/4902,https://img.a.transfermarkt.technology/portrait/small/4902-1448027651.jpg?lm=1,N/A,20.12.1983,Bignona,Retired
2,Samuel Eto'o,Samuel Eto'o Fils,77,44,14,6.606,N/A,Eto'o,Unknown,11,0,Antalyaspor,Attack - Centre-Forward,"1,80 m",Cameroon,cm,https://www.transfermarkt.us/samuel-etoo/profil/spieler/4257,https://img.a.transfermarkt.technology/portrait/small/4257-1683640611.jpg?lm=1,N/A,10.03.1981,Douala,Retired
3,Tita,Unknown,183,40,44,14.560,N/A,Tita,Unknown,28,1,Antalyaspor,Attack - Left Winger,"1,65 m",Brazil,br,https://www.transfermarkt.us/tita/profil/spieler/21488,https://img.a.transfermarkt.technology/portrait/small/21488-1465323364.jpg?lm=1,N/A,20.07.1981,Rio de Janeiro,Retired
4,Fazlı Ulusal,Unknown,98,40,5,7.881,N/A,Ulusal,Unknown,17,0,Antalyaspor,Attack - Centre-Forward,"1,83 m",Türkiye,tr,https://www.transfermarkt.us/fazli-ulusal/profil/spieler/7162,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.01.1974,Trabzon,Retired
5,Necati Ateş,Necati Ateş,87,35,14,7.135,N/A,Ateş,Unknown,16,0,Antalyaspor,Attack - Centre-Forward,"1,82 m",Türkiye,tr,https://www.transfermarkt.us/necati-ates/profil/spieler/6949,https://img.a.transfermarkt.technology/portrait/small/6949-1743693496.jpg?lm=1,N/A,03.01.1980,Izmir,Retired
6,Haji Wright,Haji Amir Wright,64,31,5,4.538,N/A,Wright,#11,3,0,Antalyaspor,Attack - Centre-Forward,"1,93 m",United States,us,https://www.transfermarkt.us/haji-wright/profil/spieler/315291,https://img.a.transfermarkt.technology/portrait/small/315291-1709161726.jpg?lm=1,N/A,27.03.1998,"Los Angeles, California",Coventry City
7,Emrah Başsan,Emrah Başsan,165,31,24,9.527,N/A,Başsan,#17,10,0,Antalyaspor,Attack - Right Winger,"1,77 m",Türkiye,tr,https://www.transfermarkt.us/emrah-bassan/profil/spieler/177031,https://img.a.transfermarkt.technology/portrait/small/177031-1724077057.png?lm=1,N/A,17.04.1992,Kocaeli,Sivasspor
8,Atilla Birlik,Unknown,67,28,8,5.356,N/A,Birlik,Unknown,17,0,Antalyaspor,Attack - Centre-Forward,"1,75 m",Türkiye,tr,https://www.transfermarkt.us/atilla-birlik/profil/spieler/1617,https://img.a.transfermarkt.technology/portrait/small/1617-1646994430.jpg?lm=1,N/A,27.11.1977,Ludwigshafen am Rhein,Retired
9,Mustafa Gürsel,Unknown,234,27,11,17.663,N/A,Gürsel,Unknown,29,0,Antalyaspor,Attack - Left Winger,"1,83 m",Türkiye,tr,https://www.transfermarkt.us/mustafa-gursel/profil/spieler/7342,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.11.1974,Kirklareli,Retired
10,Andre Kona,Andre N'Gole Kona,82,25,10,6.528,N/A,Kona,Unknown,9,1,Antalyaspor,Attack - Centre-Forward,"1,81 m",DR Congo,unknown,https://www.transfermarkt.us/andre-kona/profil/spieler/51878,https://img.a.transfermarkt.technology/portrait/small/51878-1653229839.jpeg?lm=1,N/A,16.06.1970,Lubumbashi,Retired
11,Coşkun Birdal,Unknown,56,24,7,4.397,N/A,Birdal,Unknown,2,0,Antalyaspor,Attack - Centre-Forward,"1,74 m",Türkiye,tr,https://www.transfermarkt.us/coskun-birdal/profil/spieler/10151,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.12.1973,Bayburt,Retired
12,Ali Zitouni,علي زيتوني‎,166,24,22,12.421,N/A,Zitouni,Unknown,21,0,Antalyaspor,Attack - Right Winger,"1,78 m",Tunisia,tn,https://www.transfermarkt.us/ali-zitouni/profil/spieler/37858,https://img.a.transfermarkt.technology/portrait/small/37858-1594558471.jpeg?lm=1,N/A,11.01.1981,Tunis,Retired
13,Fredy,Unknown,153,23,21,10.267,N/A,Fredy,#16,26,1,Antalyaspor,Midfield - Central Midfield,"1,70 m",Angola,ao,https://www.transfermarkt.us/fredy/profil/spieler/87854,https://img.a.transfermarkt.technology/portrait/small/87854-1665560587.png?lm=1,N/A,27.03.1990,Luanda,Bodrum FK
14,Taner Gülleri,Unknown,51,22,4,3.717,N/A,Gülleri,Unknown,5,0,Antalyaspor,Attack - Centre-Forward,"1,85 m",Türkiye,tr,https://www.transfermarkt.us/taner-gulleri/profil/spieler/34968,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.04.1976,Adana,Retired
15,Nuri Kamburoğlu,Unknown,245,21,2,21.273,N/A,Kamburoğlu,Unknown,14,0,Antalyaspor,Defender - Centre-Back,"1,79 m",Türkiye,tr,https://www.transfermarkt.us/nuri-kamburoglu/profil/spieler/25477,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.05.1967,Bartin,Retired
16,Cafer Aydın,Unknown,76,20,4,5.945,N/A,Aydın,Unknown,18,1,Antalyaspor,Attack - Centre-Forward,"1,81 m",Türkiye,tr,https://www.transfermarkt.us/cafer-aydin/profil/spieler/6954,https://img.a.transfermarkt.technology/portrait/small/6954-1618319384.jpeg?lm=1,N/A,17.11.1971,Corum,Retired
17,Deniz Kadah,Unknown,60,20,6,4.788,N/A,Kadah,#63,9,0,Antalyaspor,Attack - Centre-Forward,"1,88 m",Türkiye,tr,https://www.transfermarkt.us/deniz-kadah/profil/spieler/50413,https://img.a.transfermarkt.technology/portrait/small/50413-1660654349.png?lm=1,N/A,02.03.1986,Sanliurfa,Altay SK
18,Ömer Şişmanoğlu,Ömer Hasan Şişmanoğlu,40,20,5,1.574,N/A,Şişmanoğlu,#77,4,0,Antalyaspor,Attack - Centre-Forward,"1,86 m",Türkiye,tr,https://www.transfermarkt.us/omer-sismanoglu/profil/spieler/50774,https://img.a.transfermarkt.technology/portrait/small/50774-1715210043.png?lm=1,N/A,01.08.1989,Hamburg,Sakaryaspor
19,Serge Djiehoua,Serge Pacome Djiehoua,88,19,3,5.578,N/A,Djiehoua,Unknown,12,2,Antalyaspor,Attack - Centre-Forward,"1,80 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/serge-djiehoua/profil/spieler/38450,https://img.a.transfermarkt.technology/portrait/small/38450-1486590051.jpeg?lm=1,N/A,25.09.1983,Abidjan,CS&O Blénod et Pont-a-Mousson
