rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Nicolás Ibáñez,Nicolás Alejandro Ibañez,115,57,7,9.684,N/A,Ibáñez,#9,22,0,Atlético de San Luis,Attack - Centre-Forward,"1,78 m",Argentina,ar,https://www.transfermarkt.us/nicolas-ibanez/profil/spieler/267753,https://img.a.transfermarkt.technology/portrait/small/267753-1611773421.jpg?lm=1,N/A,23.08.1994,Venado Tuerto,Tigres UANL
2,Germán Berterame,Unknown,93,31,6,7.166,N/A,Berterame,#7,18,1,Atlético de San Luis,Attack - Centre-Forward,"1,76 m",Mexico,mx,https://www.transfermarkt.us/german-berterame/profil/spieler/401572,https://img.a.transfermarkt.technology/portrait/small/401572-1691601648.jpg?lm=1,N/A,13.11.1998,Córdoba,CF Monterrey
3,Léo Bonatini,Leonardo Bonatini Lohner Maia,78,20,5,4.524,N/A,Bonatini,#9,2,0,Atlético de San Luis,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/leo-bonatini/profil/spieler/181781,https://img.a.transfermarkt.technology/portrait/small/181781-1630734813.jpg?lm=1,N/A,28.03.1994,Belo Horizonte,Atlético de San Luis
4,Juan Castro,Juan David Castro Ruiz,289,19,9,16.689,N/A,Castro,#2,33,0,Atlético de San Luis,Midfield - Central Midfield,"1,65 m",Mexico,mx,https://www.transfermarkt.us/juan-castro/profil/spieler/262092,https://img.a.transfermarkt.technology/portrait/small/262092-1672189789.jpg?lm=1,N/A,21.12.1991,Veracruz,Atlético Ottawa
5,Othoniel Arce,Othoniel Arce Jaramillo,40,19,5,2.797,N/A,Arce,Unknown,13,0,Atlético de San Luis,Attack - Centre-Forward,"1,90 m",Mexico,mx,https://www.transfermarkt.us/othoniel-arce/profil/spieler/155041,https://img.a.transfermarkt.technology/portrait/small/155041-1681496709.jpg?lm=1,N/A,08.11.1989,Tejupilco de Hidalgo,Without Club
6,Vitinho,Unknown,97,17,8,5.502,N/A,Vitinho,#11,15,0,Atlético de San Luis,Attack - Right Winger,"1,69 m",Brazil,br,https://www.transfermarkt.us/vitinho/profil/spieler/813048,https://img.a.transfermarkt.technology/portrait/small/813048-1657826743.jpg?lm=1,N/A,23.04.2001,Acreúna,Atlético de San Luis
7,Leandro Carrijó,Leandro Carrijó Silva,29,17,1,2.373,N/A,Carrijó,Unknown,3,0,Atlético de San Luis,Attack - Centre-Forward,"1,87 m",Brazil,br,https://www.transfermarkt.us/leandro-carrijo/profil/spieler/52982,https://img.a.transfermarkt.technology/portrait/small/52982-1638005570.JPG?lm=1,N/A,03.09.1985,Uberaba,Retired
8,Unai Bilbao,Unai Bilbao Arteta,146,15,3,12.766,N/A,Bilbao,#31,23,0,Atlético de San Luis,Defender - Centre-Back,"1,92 m",Spain,es,https://www.transfermarkt.us/unai-bilbao/profil/spieler/175445,https://img.a.transfermarkt.technology/portrait/small/175445-1617673339.jpg?lm=1,N/A,04.02.1994,Bilbao,Club Tijuana
9,Sébastien Salles-Lamonge,Sébastien Antoine Luc Salles-Lamonge,65,15,2,4.255,N/A,Salles-Lamonge,#19,3,0,Atlético de San Luis,Midfield - Central Midfield,"1,71 m",France,fr,https://www.transfermarkt.us/sebastien-salles-lamonge/profil/spieler/288251,https://img.a.transfermarkt.technology/portrait/small/288251-1644082782.jpg?lm=1,N/A,28.01.1996,Tarbes,Atlético de San Luis
10,Ian González,Ian González Nieto,64,13,5,4.486,N/A,González,#24,8,2,Atlético de San Luis,Attack - Centre-Forward,"1,93 m",Spain,es,https://www.transfermarkt.us/ian-gonzalez/profil/spieler/253892,https://img.a.transfermarkt.technology/portrait/small/253892-1620240396.jpg?lm=1,N/A,11.02.1993,Madrid,CD Cazalegas
