rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Guillermo May,Luis Guillermo May Bartesaghi,22,8,2,1.905,N/A,May,#10,0,0,Auckland FC,Attack - Centre-Forward,"1,81 m",Uruguay,uy,https://www.transfermarkt.us/guillermo-may/profil/spieler/479718,https://img.a.transfermarkt.technology/portrait/small/479718-1721743149.jpg?lm=1,N/A,11.03.1998,Montevideo,Auckland FC
2,Neyder Moreno,Neyder Stiven Moreno Betancur,18,7,2,904.000,N/A,Moreno,#25,1,0,Auckland FC,Midfield - Attacking Midfield,"1,75 m",Colombia,co,https://www.transfermarkt.us/neyder-moreno/profil/spieler/571908,https://img.a.transfermarkt.technology/portrait/small/571908-1661134754.jpg?lm=1,N/A,09.02.1997,Medellín,Auckland FC
3,Logan Rogerson,Logan Tipene Rogerson,22,7,2,1.533,N/A,Rogerson,#27,2,0,Auckland FC,Attack - Right Winger,"1,82 m",New Zealand,nz,https://www.transfermarkt.us/logan-rogerson/profil/spieler/312317,https://img.a.transfermarkt.technology/portrait/small/312317-1712677027.png?lm=1,N/A,28.05.1998,Hamilton,Auckland FC
4,Nando Pijnaker,Unknown,21,4,0,1.795,N/A,Pijnaker,#4,5,0,Auckland FC,Defender - Centre-Back,"1,92 m",New Zealand,nz,https://www.transfermarkt.us/nando-pijnaker/profil/spieler/455425,https://img.a.transfermarkt.technology/portrait/small/455425-1558942512.png?lm=1,N/A,25.02.1999,Brummen,Auckland FC
5,Hiroki Sakai,酒井 宏樹,19,3,3,1.665,N/A,Sakai,#2,0,0,Auckland FC,Defender - Right-Back,"1,85 m",Japan,jp,https://www.transfermarkt.us/hiroki-sakai/profil/spieler/83002,https://img.a.transfermarkt.technology/portrait/small/83002-1600434375.jpg?lm=1,N/A,12.04.1990,"Nakano, Nagano",Auckland FC
6,Jake Brimmer,Jake William Brimmer,21,3,3,1.266,N/A,Brimmer,#22,1,0,Auckland FC,Midfield - Attacking Midfield,"1,69 m",Australia,au,https://www.transfermarkt.us/jake-brimmer/profil/spieler/337282,https://img.a.transfermarkt.technology/portrait/small/337282-1703768761.png?lm=1,N/A,03.04.1998,Melbourne,Auckland FC
7,Jesse Randall,Jesse Carmichael Randall,14,2,1,569.000,N/A,Randall,#21,1,0,Auckland FC,Attack - Right Winger,"1,76 m",New Zealand,nz,https://www.transfermarkt.us/jesse-randall/profil/spieler/677509,https://img.a.transfermarkt.technology/portrait/small/677509-1572443463.png?lm=1,N/A,19.08.2002,Wellington,Auckland FC
8,Max Mata,Max Andrew Mata,17,2,2,636.000,N/A,Mata,#9,2,0,Auckland FC,Attack - Centre-Forward,"1,86 m",New Zealand,nz,https://www.transfermarkt.us/max-mata/profil/spieler/408965,https://img.a.transfermarkt.technology/portrait/small/408965-1510669705.jpg?lm=1,N/A,10.07.2000,Auckland,Auckland FC
9,Louis Verstraete,Unknown,19,1,2,1.399,N/A,Verstraete,#6,5,1,Auckland FC,Midfield - Defensive Midfield,"1,87 m",Belgium,be,https://www.transfermarkt.us/louis-verstraete/profil/spieler/396841,https://img.a.transfermarkt.technology/portrait/small/396841-1714737941.png?lm=1,N/A,04.05.1999,Unknown,Auckland FC
10,Luis Felipe Gallegos,Luis Felipe Gallegos Leiva,22,1,2,1.616,N/A,Gallegos,#28,4,0,Auckland FC,Midfield - Central Midfield,"1,73 m",Chile,cl,https://www.transfermarkt.us/luis-felipe-gallegos/profil/spieler/155054,https://img.a.transfermarkt.technology/portrait/small/155054-1469552434.png?lm=1,N/A,03.12.1991,Copiapó,Auckland FC
11,Francis de Vries,Unknown,22,1,6,1.898,N/A,de Vries,#15,1,0,Auckland FC,Defender - Left-Back,"1,88 m",New Zealand,nz,https://www.transfermarkt.us/francis-de-vries/profil/spieler/207061,https://img.a.transfermarkt.technology/portrait/small/207061-1511087669.jpg?lm=1,N/A,28.11.1994,Christchurch,Auckland FC
12,Callan Elliot,Callan Rennie Elliot,13,1,0,604.000,N/A,Elliot,#17,1,0,Auckland FC,Defender - Right-Back,"1,75 m",New Zealand,nz,https://www.transfermarkt.us/callan-elliot/profil/spieler/482204,https://img.a.transfermarkt.technology/portrait/small/482204-1558942642.png?lm=1,N/A,07.07.1999,Dumfries,Auckland FC
13,Marlee Francois,Marlee Jean Francois,9,0,0,290.000,N/A,Francois,#11,0,0,Auckland FC,Attack - Left Winger,"1,81 m",Australia,au,https://www.transfermarkt.us/marlee-francois/profil/spieler/801427,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.12.2002,Sydney,Auckland FC
14,Finn McKenlay,Unknown,2,0,0,47.000,N/A,McKenlay,#18,1,0,Auckland FC,Midfield - Central Midfield,"1,90 m",New Zealand,nz,https://www.transfermarkt.us/finn-mckenlay/profil/spieler/1122320,https://img.a.transfermarkt.technology/portrait/small/1122320-1688038414.jpg?lm=1,N/A,04.09.2005,London,Auckland FC
15,Jonty Bidois,Unknown,3,0,0,10.000,N/A,Bidois,#35,0,0,Auckland FC,Attack - Centre-Forward,"1,84 m",New Zealand,nz,https://www.transfermarkt.us/jonty-bidois/profil/spieler/1016716,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.11.2004,Tauranga,Auckland FC
16,Scott Galloway,Scott Robert Galloway,4,0,0,100.000,N/A,Galloway,#3,0,0,Auckland FC,Defender - Left-Back,"1,76 m",Australia,au,https://www.transfermarkt.us/scott-galloway/profil/spieler/257415,https://img.a.transfermarkt.technology/portrait/small/257415-1717110217.jpg?lm=1,N/A,25.04.1995,Perth,Auckland FC
17,Luis Toomey,Unknown,8,0,1,99.000,N/A,Toomey,#8,0,0,Auckland FC,Midfield - Central Midfield,"1,78 m",New Zealand,nz,https://www.transfermarkt.us/luis-toomey/profil/spieler/643838,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.07.2001,Unknown,Auckland FC
18,Alex Paulsen,Alexander Noah Paulsen,22,0,0,1.980,N/A,Paulsen,#12,0,0,Auckland FC,Goalkeeper,"1,93 m",New Zealand,nz,https://www.transfermarkt.us/alex-paulsen/profil/spieler/617009,https://img.a.transfermarkt.technology/portrait/small/617009-1572443297.png?lm=1,N/A,04.07.2002,Auckland,Auckland FC
19,Daniel Hall,Daniel Peter Olatunji Hall,9,0,0,810.000,N/A,Hall,#23,3,0,Auckland FC,Defender - Centre-Back,"1,84 m",Australia,au,https://www.transfermarkt.us/daniel-hall/profil/spieler/833592,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.06.1999,Melbourne,Auckland FC
20,Liam Gillion,William Bruce Gillion,12,0,1,961.000,N/A,Gillion,#14,0,0,Auckland FC,Attack - Left Winger,"1,78 m",New Zealand,nz,https://www.transfermarkt.us/liam-gillion/profil/spieler/878242,https://img.a.transfermarkt.technology/portrait/small/878242-1705967043.jpg?lm=1,N/A,17.10.2002,Auckland,Auckland FC
21,Cameron Howieson,Cameron Drew Neru Howieson,16,0,0,511.000,N/A,Howieson,#7,4,0,Auckland FC,Midfield - Central Midfield,"1,77 m",New Zealand,nz,https://www.transfermarkt.us/cameron-howieson/profil/spieler/172323,https://img.a.transfermarkt.technology/portrait/small/172323-1705966788.jpg?lm=1,N/A,22.12.1994,Blenheim,Auckland FC
22,Tommy Smith,Thomas Jefferson Smith,21,0,0,1.162,N/A,Smith,#5,1,0,Auckland FC,Defender - Centre-Back,"1,87 m",New Zealand,nz,https://www.transfermarkt.us/tommy-smith/profil/spieler/54381,https://img.a.transfermarkt.technology/portrait/small/54381-1550087802.jpg?lm=1,N/A,31.03.1990,Macclesfield,Auckland FC
23,Adama Coulibaly,Unknown,1,0,0,8.000,N/A,Coulibaly,#16,1,1,Auckland FC,Defender - Centre-Back,"1,81 m",New Zealand,nz,https://www.transfermarkt.us/adama-coulibaly/profil/spieler/880131,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.01.2005,Unknown,Auckland FC
