rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Ernst Stojaspal,Unknown,200,250,0,18.030,N/A,Stojaspal,Unknown,0,0,Austria Vienna,Attack - Centre-Forward,Unknown,Austria,at,https://www.transfermarkt.us/ernst-stojaspal/profil/spieler/129717,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.01.1925,Wien,---
2,Matthias Sindelar,Unknown,350,225,0,31.530,N/A,Sindelar,Unknown,0,1,Austria Vienna,Attack - Centre-Forward,Unknown,Austria,at,https://www.transfermarkt.us/matthias-sindelar/profil/spieler/129716,https://img.a.transfermarkt.technology/portrait/small/129716-1591689060.jpg?lm=1,N/A,10.02.1903,Kozlau bei Iglau,---
3,Horst Nemec,Unknown,227,172,0,20.415,N/A,Nemec,Unknown,3,2,Austria Vienna,Attack - Centre-Forward,Unknown,Austria,at,https://www.transfermarkt.us/horst-nemec/profil/spieler/129715,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.01.1939,Unknown,---
4,Toni Polster,Anton Polster,201,167,1,16.257,N/A,Polster,Unknown,19,0,Austria Vienna,Attack - Centre-Forward,"1,87 m",Austria,at,https://www.transfermarkt.us/toni-polster/profil/spieler/22416,https://img.a.transfermarkt.technology/portrait/small/22416-1461223886.jpg?lm=1,N/A,10.03.1964,Wien,Retired
5,Adolf Huber,Unknown,204,155,1,18.321,N/A,Huber,Unknown,0,0,Austria Vienna,Attack - Centre-Forward,Unknown,Austria,at,https://www.transfermarkt.us/adolf-huber/profil/spieler/179287,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.03.1923,Wien,---
6,Ernst Fiala,Unknown,442,139,3,38.267,N/A,Fiala,Unknown,15,9,Austria Vienna,Attack - Centre-Forward,"1,74 m",Austria,at,https://www.transfermarkt.us/ernst-fiala/profil/spieler/99485,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.02.1940,Wien,---
7,Josef Stroh,Unknown,268,134,0,24.059,N/A,Stroh,Unknown,0,1,Austria Vienna,Attack - Right Winger,Unknown,Austria,at,https://www.transfermarkt.us/josef-stroh/profil/spieler/260771,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.03.1913,Wien,---
8,Herbert Prohaska,Unknown,584,134,2,51.028,N/A,Prohaska,Unknown,37,2,Austria Vienna,Midfield - Attacking Midfield,,Austria,at,https://www.transfermarkt.us/herbert-prohaska/profil/spieler/78249,https://img.a.transfermarkt.technology/portrait/small/78249-1466159596.jpg?lm=1,N/A,08.08.1955,Wien,Retired
9,Ernst Melchior,Unknown,171,128,0,15.390,N/A,Melchior,Unknown,0,0,Austria Vienna,Attack - Right Winger,Unknown,Austria,at,https://www.transfermarkt.us/ernst-melchior/profil/spieler/179299,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.06.1920,Villach,---
10,Andreas Ogris,Unknown,346,124,3,27.594,N/A,Ogris,Unknown,55,4,Austria Vienna,Attack - Right Winger,"1,78 m",Austria,at,https://www.transfermarkt.us/andreas-ogris/profil/spieler/76002,https://img.a.transfermarkt.technology/portrait/small/M_l_s_76002_123_2009_1.jpg?lm=1,N/A,07.10.1964,Wien,Retired
