rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Nenê,Unknown,56,29,3,3.730,N/A,Nenê,#18,7,1,Avs Futebol,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/nene/profil/spieler/45717,https://img.a.transfermarkt.technology/portrait/small/45717-1537365392.jpg?lm=1,N/A,28.07.1983,Sorocaba,Avs Futebol
2,John Mercado,John Anthony Mercado Cuero,63,10,9,4.653,N/A,Mercado,#17,3,1,Avs Futebol,Attack - Left Winger,"1,86 m",Ecuador,ec,https://www.transfermarkt.us/john-mercado/profil/spieler/659804,https://img.a.transfermarkt.technology/portrait/small/659804-1575284239.png?lm=1,N/A,03.06.2002,Guayaquil,Avs Futebol
3,Benny,Unknown,39,6,5,3.129,N/A,Benny,#20,10,0,Avs Futebol,Attack - Left Winger,"1,76 m",Portugal,pt,https://www.transfermarkt.us/benny/profil/spieler/450790,https://img.a.transfermarkt.technology/portrait/small/450790-1553168814.jpg?lm=1,N/A,04.12.1997,Porto,Moreirense FC
4,Vasco Lopes,Vasco Rafael Fortes Lopes,49,5,5,3.323,N/A,Lopes,#10,11,0,Avs Futebol,Attack - Right Winger,"1,86 m",Cape Verde,unknown,https://www.transfermarkt.us/vasco-lopes/profil/spieler/632857,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.09.1999,Barreiro,Avs Futebol
5,Zé Luís,Unknown,21,4,1,1.067,N/A,Zé Luís,#29,2,0,Avs Futebol,Attack - Centre-Forward,"1,84 m",Cape Verde,unknown,https://www.transfermarkt.us/ze-luis/profil/spieler/134602,https://img.a.transfermarkt.technology/portrait/small/134602-1617369617.png?lm=1,N/A,24.01.1991,Fogo,Avs Futebol
6,Jonatan Lucca,Unknown,38,3,2,2.615,N/A,Lucca,#47,4,0,Avs Futebol,Midfield - Central Midfield,"1,84 m",Brazil,br,https://www.transfermarkt.us/jonatan-lucca/profil/spieler/232577,https://img.a.transfermarkt.technology/portrait/small/232577-1684346971.jpg?lm=1,N/A,02.06.1994,Santa Maria,Pakhtakor Tashkent
7,Gustavo Assunção,Gustavo Enrique Giordano Amaro Assunção da Silva,19,2,0,1.271,N/A,Assunção,#12,6,0,Avs Futebol,Midfield - Defensive Midfield,"1,78 m",Brazil,br,https://www.transfermarkt.us/gustavo-assuncao/profil/spieler/461629,https://img.a.transfermarkt.technology/portrait/small/461629-1591609013.jpg?lm=1,N/A,30.03.2000,São Paulo,Avs Futebol
8,Gustavo Mendonça,Gustavo Pinto Mendonça,43,2,1,1.236,N/A,Mendonça,#23,2,0,Avs Futebol,Midfield - Central Midfield,"1,76 m",Portugal,pt,https://www.transfermarkt.us/gustavo-mendonca/profil/spieler/637788,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.03.2003,Amares,Avs Futebol
9,Anthony Correia,Anthony Paulo Rodrigues Correia,39,2,1,3.448,N/A,Correia,#41,10,1,Avs Futebol,Defender - Centre-Back,"1,85 m",France,fr,https://www.transfermarkt.us/anthony-correia/profil/spieler/478357,https://img.a.transfermarkt.technology/portrait/small/478357-1602153736.png?lm=1,N/A,06.09.1999,Castres,FC Vizela
10,Edson Farias,Edson Rodrigues Farias,32,2,5,1.417,N/A,Farias,#12,8,0,Avs Futebol,Attack - Right Winger,"1,70 m",Brazil,br,https://www.transfermarkt.us/edson-farias/profil/spieler/240773,https://img.a.transfermarkt.technology/portrait/small/240773-1534350739.png?lm=1,N/A,12.01.1992,Juazeiro Do Norte,AD Fafe
11,Tunde Akinsola,Babatunde Jimoh Akinsola,43,2,3,1.491,N/A,Akinsola,#11,2,0,Avs Futebol,Attack - Left Winger,"1,75 m",Nigeria,ng,https://www.transfermarkt.us/tunde-akinsola/profil/spieler/924447,https://img.a.transfermarkt.technology/portrait/small/924447-1700777468.jpg?lm=1,N/A,10.03.2003,Lagos,Avs Futebol
12,Jaume Grau,Jaume Grau Ciscar,25,2,2,1.718,N/A,Grau,#15,11,0,Avs Futebol,Midfield - Central Midfield,"1,84 m",Spain,es,https://www.transfermarkt.us/jaume-grau/profil/spieler/340864,https://img.a.transfermarkt.technology/portrait/small/340864-1448530794.jpg?lm=1,N/A,05.05.1997,Tavernes de la Valldigna,Avs Futebol
13,Carlos Daniel,Unknown,8,2,0,276.000,N/A,Carlos Daniel,#98,2,0,Avs Futebol,Attack - Right Winger,"1,77 m",Brazil,br,https://www.transfermarkt.us/carlos-daniel/profil/spieler/997868,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.04.2002,Unknown,CD Trofense
14,Zé Ricardo,Unknown,23,1,0,1.599,N/A,Zé Ricardo,#12,8,2,Avs Futebol,Defender - Left-Back,"1,75 m",Brazil,br,https://www.transfermarkt.us/ze-ricardo/profil/spieler/519748,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.09.1998,Goiânia,CD Feirense
15,Rodrigo Ribeiro,Rodrigo Duarte Ribeiro,17,1,0,1.006,N/A,Ribeiro,#20,0,0,Avs Futebol,Attack - Centre-Forward,"1,86 m",Portugal,pt,https://www.transfermarkt.us/rodrigo-ribeiro/profil/spieler/726701,https://img.a.transfermarkt.technology/portrait/small/726701-1666100589.jpg?lm=1,N/A,28.04.2005,Viana do Castelo,Avs Futebol
16,Talles Wander,Unknown,10,1,0,289.000,N/A,Talles Wander,#19,1,0,Avs Futebol,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/talles-wander/profil/spieler/980866,https://img.a.transfermarkt.technology/portrait/small/980866-1737741482.jpg?lm=1,N/A,24.10.2003,Cotia,SC União Torreense
17,Stênio,Unknown,18,1,1,550.000,N/A,Stênio,Unknown,1,0,Avs Futebol,Attack - Right Winger,"1,80 m",Brazil,br,https://www.transfermarkt.us/stenio/profil/spieler/796574,https://img.a.transfermarkt.technology/portrait/small/796574-1723703738.png?lm=1,N/A,05.04.2003,Poços de Caldas,América Futebol Clube (MG)
18,Baptiste Roux,Unknown,18,1,1,1.503,N/A,Roux,#6,4,0,Avs Futebol,Defender - Centre-Back,"1,90 m",France,fr,https://www.transfermarkt.us/baptiste-roux/profil/spieler/796895,https://img.a.transfermarkt.technology/portrait/small/796895-1656330562.png?lm=1,N/A,26.11.1999,Bressuire,Avs Futebol
19,Kiki,Unknown,21,1,2,1.498,N/A,Kiki,#24,3,0,Avs Futebol,Defender - Left-Back,"1,81 m",Portugal,pt,https://www.transfermarkt.us/kiki/profil/spieler/270055,https://img.a.transfermarkt.technology/portrait/small/270055-1690030617.png?lm=1,N/A,10.12.1994,Esposende,Avs Futebol
