rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Fessou Euloge Placca,Unknown,96,30,9,6.191,N/A,Placca,#77,6,0,Beerschot VA,Attack - Centre-Forward,"1,87 m",Togo,tg,https://www.transfermarkt.us/fessou-euloge-placca/profil/spieler/247882,https://img.a.transfermarkt.technology/portrait/small/247882-1680709605.png?lm=1,N/A,31.12.1994,Lomé,Yelimay Semey
2,Marius Noubissi,Unknown,94,28,9,5.783,N/A,Noubissi,#45,12,2,Beerschot VA,Attack - Centre-Forward,"1,80 m",Cameroon,cm,https://www.transfermarkt.us/marius-noubissi/profil/spieler/357701,https://img.a.transfermarkt.technology/portrait/small/357701-1626769984.jpg?lm=1,N/A,28.11.1996,Bamougoum,FC Ararat-Armenia
3,Raphael Holzhauser,Unknown,98,27,32,8.020,N/A,Holzhauser,#26,17,1,Beerschot VA,Midfield - Attacking Midfield,"1,93 m",Austria,at,https://www.transfermarkt.us/raphael-holzhauser/profil/spieler/104414,https://img.a.transfermarkt.technology/portrait/small/104414-1741969377.jpeg?lm=1,N/A,16.02.1993,Wiener Neustadt,SV Gloggnitz
4,Hernán Losada,Hernán Pablo Losada,68,27,7,5.812,N/A,Losada,Unknown,10,1,Beerschot VA,Midfield - Attacking Midfield,"1,72 m",Argentina,ar,https://www.transfermarkt.us/hernan-losada/profil/spieler/40421,https://img.a.transfermarkt.technology/portrait/small/40421-1487601865.jpg?lm=1,N/A,09.05.1982,Buenos Aires,Retired
5,Tarik Tissoudali,طارق تيسودالي,78,20,13,5.034,N/A,Tissoudali,#9,7,0,Beerschot VA,Attack - Centre-Forward,"1,82 m",Morocco,ma,https://www.transfermarkt.us/tarik-tissoudali/profil/spieler/245228,https://img.a.transfermarkt.technology/portrait/small/245228-1727967656.png?lm=1,N/A,02.04.1993,Amsterdam,Khor Fakkan SSC
6,Dante Vanzeir,Unknown,39,17,4,2.938,N/A,Vanzeir,#14,2,0,Beerschot VA,Attack - Centre-Forward,"1,75 m",Belgium,be,https://www.transfermarkt.us/dante-vanzeir/profil/spieler/289648,https://img.a.transfermarkt.technology/portrait/small/289648-1710582152.jpg?lm=1,N/A,16.04.1998,Beringen,KAA Gent
7,Jan Van den Bergh,Unknown,186,15,8,16.099,N/A,Van den Bergh,#5,40,2,Beerschot VA,Defender - Centre-Back,"1,88 m",Belgium,be,https://www.transfermarkt.us/jan-van-den-bergh/profil/spieler/334495,https://img.a.transfermarkt.technology/portrait/small/334495-1718024479.jpg?lm=1,N/A,02.10.1994,Bonheiden,NAC Breda
8,Thibaud Verlinden,Thibaud Christa Philippe Verlinden,87,14,24,6.964,N/A,Verlinden,#7,14,0,Beerschot VA,Attack - Left Winger,"1,74 m",Belgium,be,https://www.transfermarkt.us/thibaud-verlinden/profil/spieler/338673,https://img.a.transfermarkt.technology/portrait/small/338673-1711615201.png?lm=1,N/A,09.07.1999,Brugge,Oud-Heverlee Leuven
9,Thibo Baeten,Thibo Roger Baeten,32,14,3,2.665,N/A,Baeten,#97,2,0,Beerschot VA,Attack - Centre-Forward,"1,85 m",Belgium,be,https://www.transfermarkt.us/thibo-baeten/profil/spieler/486043,https://img.a.transfermarkt.technology/portrait/small/486043-1690213294.jpg?lm=1,N/A,04.06.2002,Aalst,Roda JC Kerkrade
10,Alexander Maes,Unknown,130,13,8,10.221,N/A,Maes,#11,20,2,Beerschot VA,Midfield - Central Midfield,"1,74 m",Belgium,be,https://www.transfermarkt.us/alexander-maes/profil/spieler/110796,https://img.a.transfermarkt.technology/portrait/small/110796-1536673947.jpg?lm=1,N/A,26.03.1992,Genk,Las Rozas CF
11,Simon Vermeiren,Simon Jo Vermeiren,32,12,0,1.763,N/A,Vermeiren,Unknown,1,0,Beerschot VA,Attack - Centre-Forward,"1,85 m",Belgium,be,https://www.transfermarkt.us/simon-vermeiren/profil/spieler/84487,https://img.a.transfermarkt.technology/portrait/small/84487-1608454154.jpg?lm=1,N/A,22.12.1990,Leuven,Retired
12,Joren Dom,Unknown,148,12,3,12.167,N/A,Dom,#85,13,0,Beerschot VA,Midfield - Defensive Midfield,"1,78 m",Belgium,be,https://www.transfermarkt.us/joren-dom/profil/spieler/80442,https://img.a.transfermarkt.technology/portrait/small/80442-1713338237.png?lm=1,N/A,29.11.1989,Antwerpen,RSCA Futures
13,Tom Reyners,Unknown,56,11,6,3.618,N/A,Reyners,#7,5,0,Beerschot VA,Attack - Right Winger,"1,69 m",Belgium,be,https://www.transfermarkt.us/tom-reyners/profil/spieler/358042,https://img.a.transfermarkt.technology/portrait/small/358042-1711615076.png?lm=1,N/A,20.04.2000,Unknown,Beerschot VA
14,Tom Van Hyfte,Unknown,80,10,6,6.871,N/A,Van Hyfte,Unknown,19,0,Beerschot VA,Midfield - Central Midfield,"1,87 m",Belgium,be,https://www.transfermarkt.us/tom-van-hyfte/profil/spieler/22372,https://img.a.transfermarkt.technology/portrait/small/22372-1473749920.jpg?lm=1,N/A,28.04.1986,Gent,Retired
15,Mohamed Messoudi,محمد مسعودي,66,10,13,4.065,N/A,Messoudi,Unknown,12,0,Beerschot VA,Midfield - Attacking Midfield,"1,77 m",Belgium,be,https://www.transfermarkt.us/mohamed-messoudi/profil/spieler/13073,https://img.a.transfermarkt.technology/portrait/small/13073-1485424040.jpg?lm=1,N/A,07.01.1984,Wilrijk,Retired
