rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Xizhe Zhang,张稀哲,394,62,77,28.901,N/A,Zhang,#10,38,1,Beijing Guoan,Midfield - Attacking Midfield,"1,76 m",China,cn,https://www.transfermarkt.us/xizhe-zhang/profil/spieler/150163,https://img.a.transfermarkt.technology/portrait/small/150163-1563441605.jpg?lm=1,N/A,23.01.1991,"Wuhan, Hubei",Beijing Guoan
2,Cédric Bakambu,Unknown,87,58,21,7.116,N/A,Bakambu,#11,11,0,Beijing Guoan,Attack - Centre-Forward,"1,82 m",DR Congo,unknown,https://www.transfermarkt.us/cedric-bakambu/profil/spieler/127048,https://img.a.transfermarkt.technology/portrait/small/127048-1563441766.jpg?lm=1,N/A,11.04.1991,Ivry-sur-Seine,Real Betis Balompié
3,Yuning Zhang,张玉宁,136,51,19,9.064,N/A,Zhang,#9,8,1,Beijing Guoan,Attack - Centre-Forward,"1,85 m",China,cn,https://www.transfermarkt.us/yuning-zhang/profil/spieler/264429,https://img.a.transfermarkt.technology/portrait/small/264429-1500536088.jpg?lm=1,N/A,05.01.1997,"Wenzhou, Zhejiang",Beijing Guoan
4,Renato Augusto,Unknown,152,40,45,12.763,N/A,Renato Augusto,#7,6,0,Beijing Guoan,Midfield - Central Midfield,"1,86 m",Brazil,br,https://www.transfermarkt.us/renato-augusto/profil/spieler/53058,https://img.a.transfermarkt.technology/portrait/small/53058-1509544256.jpg?lm=1,N/A,08.02.1988,Rio de Janeiro,Fluminense Football Club
5,Joel Griffiths,Joel Michael Griffiths,90,31,2,7.093,N/A,Griffiths,Unknown,20,1,Beijing Guoan,Attack - Right Winger,"1,81 m",Australia,au,https://www.transfermarkt.us/joel-griffiths/profil/spieler/9552,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.08.1979,Sydney,Retired
6,Ziming Wang,王子铭,169,31,5,5.374,N/A,Wang,#20,7,0,Beijing Guoan,Attack - Centre-Forward,"1,87 m",China,cn,https://www.transfermarkt.us/ziming-wang/profil/spieler/317148,https://img.a.transfermarkt.technology/portrait/small/317148-1563441841.jpg?lm=1,N/A,05.08.1996,"Qingdao, Shandong",Beijing Guoan
7,Jonathan Soriano,Jonathan Soriano Casas,36,31,6,3.089,N/A,Soriano,Unknown,2,0,Beijing Guoan,Attack - Centre-Forward,"1,80 m",Spain,es,https://www.transfermarkt.us/jonathan-soriano/profil/spieler/7893,https://img.a.transfermarkt.technology/portrait/small/7893-1469013847.jpg?lm=1,N/A,24.09.1985,El Pont de Vilomara i Rocafort,Retired
8,Dejan Damjanović,Дејан Дамјановић,58,30,12,4.732,N/A,Damjanović,Unknown,8,0,Beijing Guoan,Attack - Centre-Forward,"1,89 m",Montenegro,me,https://www.transfermarkt.us/dejan-damjanovic/profil/spieler/42434,https://img.a.transfermarkt.technology/portrait/small/42434-1675694761.jpg?lm=1,N/A,27.07.1981,Mostar,Retired
9,Jonathan Viera,Jonathan Viera Ramos,88,30,30,7.242,N/A,Viera,#10,9,0,Beijing Guoan,Midfield - Attacking Midfield,"1,71 m",Spain,es,https://www.transfermarkt.us/jonathan-viera/profil/spieler/153238,https://img.a.transfermarkt.technology/portrait/small/153238-1563441637.jpg?lm=1,N/A,21.10.1989,Las Palmas de Gran Canaria,Johor Darul Ta'zim
10,Fabio Abreu,Fábio Gonçalves Abreu,49,29,17,3.851,N/A,Abreu,#29,8,0,Beijing Guoan,Attack - Centre-Forward,"1,82 m",Angola,ao,https://www.transfermarkt.us/fabio-abreu/profil/spieler/292398,https://img.a.transfermarkt.technology/portrait/small/292398-1530714101.png?lm=1,N/A,29.01.1993,Lisboa,Beijing Guoan
11,Dabao Yu,于大宝,229,28,21,15.189,N/A,Yu,Unknown,39,2,Beijing Guoan,Defender - Centre-Back,"1,85 m",China,cn,https://www.transfermarkt.us/dabao-yu/profil/spieler/58386,https://img.a.transfermarkt.technology/portrait/small/58386-1563441814.jpg?lm=1,N/A,18.04.1988,Qingdao,Retired
12,Wálter Martínez,Wálter Julián Martínez Ramos,76,24,5,6.106,N/A,Martínez,Unknown,9,0,Beijing Guoan,Midfield - Left Midfield,"1,65 m",Honduras,hn,https://www.transfermarkt.us/walter-martinez/profil/spieler/62253,https://img.a.transfermarkt.technology/portrait/small/62253-1613241218.jpg?lm=1,N/A,28.03.1982,Tegucigalpa,---
13,Joffre Guerrón,Joffre David Guerrón Méndez,63,23,10,4.251,N/A,Guerrón,Unknown,11,1,Beijing Guoan,Attack - Centre-Forward,"1,78 m",Ecuador,ec,https://www.transfermarkt.us/joffre-guerron/profil/spieler/73620,https://img.a.transfermarkt.technology/portrait/small/73620-1471009321.jpg?lm=1,N/A,28.04.1985,Ibarra,Retired
