rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Sunil Chhetri,सुनिल छेत्री,299,129,25,23.790,N/A,Chhetri,#11,31,0,Bengaluru FC,Attack - Centre-Forward,"1,70 m",India,in,https://www.transfermarkt.us/sunil-chhetri/profil/spieler/64601,https://img.a.transfermarkt.technology/portrait/small/64601-1711917449.jpg?lm=1,N/A,03.08.1984,"Secunderabad, Telangana",Bengaluru FC
2,Miku,Nicolás Ladislao Fedor Flores,39,25,4,3.416,N/A,Miku,#7,4,0,Bengaluru FC,Attack - Centre-Forward,"1,86 m",Venezuela,ve,https://www.transfermarkt.us/miku/profil/spieler/58001,https://img.a.transfermarkt.technology/portrait/small/58001-1739035697.JPG?lm=1,N/A,19.08.1985,Caracas,Metropolitanos FC
3,Udanta Singh,Kumam Udanta Singh,201,22,22,12.691,N/A,Singh,#21,9,0,Bengaluru FC,Attack - Right Winger,"1,70 m",India,in,https://www.transfermarkt.us/udanta-singh/profil/spieler/351114,https://img.a.transfermarkt.technology/portrait/small/351114-1727330220.JPG?lm=1,N/A,14.06.1996,"Moirang, Manipur",FC Goa
4,C.K. Vineeth,Chekiyot Kizhakkeveettill Vineeth,76,20,1,3.865,N/A,Vineeth,#13,5,0,Bengaluru FC,Midfield - Right Midfield,"1,76 m",India,in,https://www.transfermarkt.us/c-k-vineeth/profil/spieler/315434,https://img.a.transfermarkt.technology/portrait/small/315434-1587125026.png?lm=1,N/A,20.05.1988,"Kannur, Kerala",Thrissur Magic FC
5,Cleiton Silva,Cleiton Augusto Oliveira Silva,42,19,10,3.475,N/A,Silva,#10,7,0,Bengaluru FC,Attack - Centre-Forward,"1,75 m",Brazil,br,https://www.transfermarkt.us/cleiton-silva/profil/spieler/281827,https://img.a.transfermarkt.technology/portrait/small/281827-1701409745.jpg?lm=1,N/A,03.02.1987,Manaus,East Bengal FC
6,Rahul Bheke,राहुल शंकर भेके,117,16,2,9.960,N/A,Bheke,#2,17,0,Bengaluru FC,Defender - Right-Back,"1,79 m",India,in,https://www.transfermarkt.us/rahul-bheke/profil/spieler/400929,https://img.a.transfermarkt.technology/portrait/small/400929-1712252842.png?lm=1,N/A,06.12.1990,"Mumbai, Maharashtra",Bengaluru FC
7,Javi Hernández,Francisco Javier Hernández González,53,15,5,4.091,N/A,Hernández,#10,8,0,Bengaluru FC,Midfield - Attacking Midfield,"1,84 m",Spain,es,https://www.transfermarkt.us/javi-hernandez/profil/spieler/62917,https://img.a.transfermarkt.technology/portrait/small/62917-1697282120.jpg?lm=1,N/A,06.06.1989,Salamanca,Jamshedpur FC
8,Sean Rooney,Sean Daniel Rooney,45,14,0,3.392,N/A,Rooney,Unknown,3,0,Bengaluru FC,Attack - Centre-Forward,"1,77 m",Australia,au,https://www.transfermarkt.us/sean-rooney/profil/spieler/123149,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.03.1989,"Blacktown, New South Wales",Retired
9,Siva Sakthi N,Sivasakthi Narayanan,77,14,3,2.897,N/A,Siva Sakthi N,#9,2,0,Bengaluru FC,Attack - Centre-Forward,Unknown,India,in,https://www.transfermarkt.us/siva-sakthi-n/profil/spieler/759256,https://img.a.transfermarkt.technology/portrait/small/759256-1712325423.png?lm=1,N/A,09.07.2001,"Sivagangai, Tamil Nadu",Bengaluru FC
10,Eugeneson Lyngdoh,Unknown,73,13,3,5.426,N/A,Lyngdoh,Unknown,15,0,Bengaluru FC,Midfield - Central Midfield,"1,69 m",India,in,https://www.transfermarkt.us/eugeneson-lyngdoh/profil/spieler/351108,https://img.a.transfermarkt.technology/portrait/small/351108-1588080062.jpeg?lm=1,N/A,10.09.1986,"Shillong, Meghalaya",Without Club
