rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Silva,Unknown,107,41,9,7.486,N/A,Silva,Unknown,16,1,Boavista FC,Attack - Centre-Forward,"1,79 m",Brazil,br,https://www.transfermarkt.us/silva/profil/spieler/13953,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.07.1975,Campina Grande,Retired
2,Yusupha Njie,Yusupha O M Njie,140,36,6,8.289,N/A,Njie,Unknown,15,1,Boavista FC,Attack - Centre-Forward,"1,88 m",The Gambia,unknown,https://www.transfermarkt.us/yusupha-njie/profil/spieler/177964,https://img.a.transfermarkt.technology/portrait/small/177964-1510676322.jpg?lm=1,N/A,01.03.1994,Banjul,SC Farense
3,Erwin Sánchez,Erwin Sánchez Freking,138,29,11,10.093,N/A,Sánchez,Unknown,19,1,Boavista FC,Midfield - Attacking Midfield,"1,75 m",Bolivia,bo,https://www.transfermarkt.us/erwin-sanchez/profil/spieler/16886,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.10.1969,Santa Cruz de la Sierra,Retired
4,Jimmy Floyd Hasselbaink,Jerrel Hasselbaink,36,24,1,2.424,N/A,Hasselbaink,Unknown,7,0,Boavista FC,Attack - Centre-Forward,"1,78 m",Netherlands,nl,https://www.transfermarkt.us/jimmy-floyd-hasselbaink/profil/spieler/3175,https://img.a.transfermarkt.technology/portrait/small/3175-1490627112.jpg?lm=1,N/A,27.03.1972,Paramaribo,Retired
5,Martelinho,Unknown,194,22,10,11.987,N/A,Martelinho,Unknown,36,0,Boavista FC,Attack - Right Winger,"1,76 m",Portugal,pt,https://www.transfermarkt.us/martelinho/profil/spieler/13177,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.11.1974,São Paio de Oleiros,Retired
6,Nuno Gomes,Unknown,48,20,4,3.583,N/A,Nuno Gomes,Unknown,3,1,Boavista FC,Attack - Centre-Forward,"1,81 m",Portugal,pt,https://www.transfermarkt.us/nuno-gomes/profil/spieler/3626,https://img.a.transfermarkt.technology/portrait/small/3626-1720496035.jpg?lm=1,N/A,05.07.1976,Amarante,Retired
7,Robert Bozenik,Róbert Boženík,89,19,4,6.373,N/A,Bozenik,#9,14,0,Boavista FC,Attack - Centre-Forward,"1,88 m",Slovakia,sk,https://www.transfermarkt.us/robert-bozenik/profil/spieler/454576,https://img.a.transfermarkt.technology/portrait/small/454576-1716968211.jpg?lm=1,N/A,18.11.1999,Terchová,Boavista FC
8,Zé Manuel,Unknown,88,19,11,6.836,N/A,Zé Manuel,Unknown,16,1,Boavista FC,Attack - Right Winger,"1,68 m",Portugal,pt,https://www.transfermarkt.us/ze-manuel/profil/spieler/14389,https://img.a.transfermarkt.technology/portrait/small/s_14389_3348_2010_1.jpg?lm=1,N/A,22.02.1975,Fraião,Retired
9,Whelliton,Unknown,52,16,1,2.919,N/A,Whelliton,Unknown,8,0,Boavista FC,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/whelliton/profil/spieler/136504,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.07.1972,Santos (SP),Retired
10,Ricardo Sousa,Ricardo André Pinho de Sousa,49,16,1,3.693,N/A,Sousa,Unknown,13,1,Boavista FC,Midfield - Attacking Midfield,"1,75 m",Portugal,pt,https://www.transfermarkt.us/ricardo-sousa/profil/spieler/13179,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.01.1979,São João da Madeira,Retired
