rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Celal Dumanlı,Unknown,280,48,13,14.718,N/A,Dumanlı,#48,35,1,Bodrum FK,Attack - Centre-Forward,"1,89 m",Türkiye,tr,https://www.transfermarkt.us/celal-dumanli/profil/spieler/374578,https://img.a.transfermarkt.technology/portrait/small/374578-1671272534.png?lm=1,N/A,28.04.1994,Mugla,Bodrum FK
2,Ozan Sol,Unknown,74,45,8,5.285,N/A,Sol,#23,19,0,Bodrum FK,Attack - Left Winger,"1,78 m",Türkiye,tr,https://www.transfermarkt.us/ozan-sol/profil/spieler/251824,https://img.a.transfermarkt.technology/portrait/small/251824-1664104303.png?lm=1,N/A,13.06.1993,Mugla,Corum FK
3,Mümin Aysever,Unknown,51,35,0,4.136,N/A,Aysever,Unknown,7,0,Bodrum FK,Attack - Centre-Forward,"1,77 m",Türkiye,tr,https://www.transfermarkt.us/mumin-aysever/profil/spieler/50794,https://img.a.transfermarkt.technology/portrait/small/50794-1461190461.jpg?lm=1,N/A,18.11.1987,Kardzhali,Retired
4,Kenan Özer,Unknown,75,23,13,5.065,N/A,Özer,#22,15,0,Bodrum FK,Attack - Right Winger,"1,70 m",Türkiye,tr,https://www.transfermarkt.us/kenan-ozer/profil/spieler/38195,https://img.a.transfermarkt.technology/portrait/small/38195-1671272482.png?lm=1,N/A,16.08.1987,Nikosia,Magusa Türk Gücü
5,Harun Kavaklıdere,Unknown,92,22,2,5.319,N/A,Kavaklıdere,#7,12,0,Bodrum FK,Attack - Right Winger,"1,78 m",Türkiye,tr,https://www.transfermarkt.us/harun-kavaklidere/profil/spieler/456936,https://img.a.transfermarkt.technology/portrait/small/456936-1638060223.png?lm=1,N/A,16.03.1998,Manisa,Van Spor FK
6,Gökdeniz Bayrakdar,Unknown,87,22,9,6.212,N/A,Bayrakdar,#41,11,0,Bodrum FK,Attack - Right Winger,"1,81 m",Türkiye,tr,https://www.transfermarkt.us/gokdeniz-bayrakdar/profil/spieler/345105,https://img.a.transfermarkt.technology/portrait/small/345105-1717099642.png?lm=1,N/A,23.11.2001,Kocaeli,Bodrum FK
7,Samet Yalçın,Unknown,134,20,6,11.150,N/A,Yalçın,#23,25,0,Bodrum FK,Midfield - Central Midfield,"1,80 m",Türkiye,tr,https://www.transfermarkt.us/samet-yalcin/profil/spieler/355757,https://img.a.transfermarkt.technology/portrait/small/355757-1671272289.png?lm=1,N/A,03.03.1994,Istanbul,Kocaelispor
8,Çağrı Tekin,Unknown,34,18,0,2.586,N/A,Tekin,Unknown,11,1,Bodrum FK,Attack - Centre-Forward,"1,91 m",Türkiye,tr,https://www.transfermarkt.us/cagri-tekin/profil/spieler/137615,https://img.a.transfermarkt.technology/portrait/small/137615-1537127213.jpg?lm=1,N/A,13.10.1987,Manisa,Unknown
9,Cem Ekinci,Unknown,38,16,0,2.082,N/A,Ekinci,#7,1,0,Bodrum FK,Attack - Left Winger,"1,80 m",Türkiye,tr,https://www.transfermarkt.us/cem-ekinci/profil/spieler/90772,https://img.a.transfermarkt.technology/portrait/small/90772-1696085591.png?lm=1,N/A,05.03.1990,Nürnberg,Serik Belediyespor
10,Göksu Türkdoğan,Unknown,33,14,2,2.446,N/A,Türkdoğan,Unknown,4,0,Bodrum FK,Attack - Centre-Forward,"1,82 m",Türkiye,tr,https://www.transfermarkt.us/goksu-turkdogan/profil/spieler/179478,https://img.a.transfermarkt.technology/portrait/small/179478-1609799581.jpg?lm=1,N/A,15.04.1985,Istanbul,Without Club
