rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,David Bartek,Unknown,361,32,21,23.443,N/A,Bartek,#55,34,0,Bohemians Prague 1905,Midfield - Right Midfield,Unknown,Czech Republic,cz,https://www.transfermarkt.us/david-bartek/profil/spieler/62971,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.02.1988,Praha,Bohemians Prague 1905 B
2,Josef Jindrisek,Josef Jindřišek,435,27,11,34.344,N/A,Jindrisek,#4,44,0,Bohemians Prague 1905,Midfield - Defensive Midfield,"1,78 m",Czech Republic,cz,https://www.transfermarkt.us/josef-jindrisek/profil/spieler/21040,https://img.a.transfermarkt.technology/portrait/small/21040-1684310196.jpg?lm=1,N/A,14.02.1981,Plavy,Bohemians Prague 1905
3,David Puskac,David Puškáč,134,27,13,6.958,N/A,Puskac,#24,12,2,Bohemians Prague 1905,Attack - Centre-Forward,"1,89 m",Czech Republic,cz,https://www.transfermarkt.us/david-puskac/profil/spieler/194562,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.05.1993,Unknown,FK Jablonec
4,Milan Skoda,Milan Škoda,114,25,6,8.031,N/A,Skoda,#21,19,0,Bohemians Prague 1905,Attack - Centre-Forward,"1,92 m",Czech Republic,cz,https://www.transfermarkt.us/milan-skoda/profil/spieler/63047,https://img.a.transfermarkt.technology/portrait/small/63047-1697911030.png?lm=1,N/A,16.01.1986,Praha,SK Slavia Prague B
5,Roman Kvet,Roman Květ,101,22,12,7.110,N/A,Kvet,#16,15,1,Bohemians Prague 1905,Midfield - Central Midfield,"1,87 m",Czech Republic,cz,https://www.transfermarkt.us/roman-kvet/profil/spieler/400649,https://img.a.transfermarkt.technology/portrait/small/400649-1693401752.png?lm=1,N/A,17.12.1997,Benesov,FCV Dender EH
6,Petr Hronek,Unknown,110,19,13,8.326,N/A,Hronek,#5,22,0,Bohemians Prague 1905,Midfield - Central Midfield,"1,82 m",Czech Republic,cz,https://www.transfermarkt.us/petr-hronek/profil/spieler/280856,https://img.a.transfermarkt.technology/portrait/small/280856-1697832731.png?lm=1,N/A,04.07.1993,Unknown,FC Slovan Velvary
7,Lukas Hulka,Lukáš Hůlka,208,17,6,18.232,N/A,Hulka,#28,21,0,Bohemians Prague 1905,Defender - Centre-Back,"1,82 m",Czech Republic,cz,https://www.transfermarkt.us/lukas-hulka/profil/spieler/198607,https://img.a.transfermarkt.technology/portrait/small/198607-1707975001.jpg?lm=1,N/A,31.03.1995,Mladá Boleslav,Bohemians Prague 1905
8,Lukas Hartig,Lukáš Hartig,118,15,10,8.034,N/A,Hartig,Unknown,17,0,Bohemians Prague 1905,Attack - Centre-Forward,"1,84 m",Czech Republic,cz,https://www.transfermarkt.us/lukas-hartig/profil/spieler/15654,https://img.a.transfermarkt.technology/portrait/small/15654-1674682619.jpg?lm=1,N/A,28.10.1976,Kolín,Retired
9,Jan Matousek,Jan Matoušek,65,15,4,3.527,N/A,Matousek,#10,10,0,Bohemians Prague 1905,Midfield - Attacking Midfield,"1,78 m",Czech Republic,cz,https://www.transfermarkt.us/jan-matousek/profil/spieler/400653,https://img.a.transfermarkt.technology/portrait/small/400653-1659469858.jpg?lm=1,N/A,09.05.1998,Příbram,Bohemians Prague 1905
10,Jakub Rada,Jakub Rada,102,15,12,8.502,N/A,Rada,Unknown,17,0,Bohemians Prague 1905,Midfield - Defensive Midfield,"1,85 m",Czech Republic,cz,https://www.transfermarkt.us/jakub-rada/profil/spieler/70193,https://img.a.transfermarkt.technology/portrait/small/70193-1618929694.jpg?lm=1,N/A,05.05.1987,Praha,TJ Spoje Prague
11,Yusuf,Unknown,55,14,9,3.457,N/A,Yusuf,#9,5,0,Bohemians Prague 1905,Attack - Centre-Forward,"1,94 m",Bahrain,bh,https://www.transfermarkt.us/yusuf/profil/spieler/351181,https://img.a.transfermarkt.technology/portrait/small/351181-1702842333.png?lm=1,N/A,12.06.1993,Manama,Bohemians Prague 1905
12,Erik Prekop,Unknown,63,14,7,4.481,N/A,Prekop,#33,18,0,Bohemians Prague 1905,Attack - Centre-Forward,"1,85 m",Slovakia,sk,https://www.transfermarkt.us/erik-prekop/profil/spieler/446573,https://img.a.transfermarkt.technology/portrait/small/446573-1618929021.jpg?lm=1,N/A,08.10.1997,Unknown,FC Banik Ostrava
13,Vladimir Hruska,Vladimír Hruška,35,14,0,2.647,N/A,Hruska,Unknown,3,0,Bohemians Prague 1905,Midfield - Left Midfield,"1,89 m",Czech Republic,cz,https://www.transfermarkt.us/vladimir-hruska/profil/spieler/298547,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.08.1957,Praha,Retired
14,Pavel Chaloupka,Pavel Chaloupka,42,13,0,3.634,N/A,Chaloupka,Unknown,3,0,Bohemians Prague 1905,Midfield - Attacking Midfield,,Czech Republic,cz,https://www.transfermarkt.us/pavel-chaloupka/profil/spieler/106983,https://img.a.transfermarkt.technology/portrait/small/106983-1491834493.jpg?lm=1,N/A,04.05.1959,Most,Retired
15,Dominik Masek,Dominik Mašek,75,13,6,5.236,N/A,Masek,#9,7,0,Bohemians Prague 1905,Midfield - Attacking Midfield,"1,73 m",Czech Republic,cz,https://www.transfermarkt.us/dominik-masek/profil/spieler/126770,https://img.a.transfermarkt.technology/portrait/small/126770-1447863914.jpg?lm=1,N/A,10.07.1995,Příbram,FK Pribram
16,Jan Moravec,Unknown,189,12,13,14.528,N/A,Moravec,Unknown,17,0,Bohemians Prague 1905,Midfield - Right Midfield,"1,78 m",Czech Republic,cz,https://www.transfermarkt.us/jan-moravec/profil/spieler/63021,https://img.a.transfermarkt.technology/portrait/small/63021-1655891736.jpg?lm=1,N/A,13.07.1987,Rohozná,SK Moravske Kninice
17,Michal Smid,Michal Šmíd,202,12,2,16.424,N/A,Smid,Unknown,37,3,Bohemians Prague 1905,Defender - Centre-Back,"1,89 m",Czech Republic,cz,https://www.transfermarkt.us/michal-smid/profil/spieler/63050,https://img.a.transfermarkt.technology/portrait/small/63050-1606430520.jpg?lm=1,N/A,20.10.1986,Praha,Retired
