rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Adi Preißler,Alfred Preißler,274,177,5,24.720,N/A,Preißler,-,0,0,Borussia Dortmund,Attack - Second Striker,Unknown,Germany,de,https://www.transfermarkt.us/adi-preissler/profil/spieler/187643,https://img.a.transfermarkt.technology/portrait/small/187643-1521645639.jpg?lm=1,N/A,09.04.1921,Duisburg,---
2,Marco Reus,Unknown,429,170,131,31.706,N/A,Reus,11,38,1,Borussia Dortmund,Midfield - Attacking Midfield,"1,80 m",Germany,de,https://www.transfermarkt.us/marco-reus/profil/spieler/35207,https://img.a.transfermarkt.technology/portrait/small/35207-1740776651.jpg?lm=1,N/A,31.05.1989,Dortmund,Los Angeles Galaxy
3,Michael Zorc,Unknown,572,159,38,46.934,N/A,Zorc,-,85,2,Borussia Dortmund,Midfield - Defensive Midfield,"1,83 m",Germany,de,https://www.transfermarkt.us/michael-zorc/profil/spieler/38033,https://img.a.transfermarkt.technology/portrait/small/38033-1457434598.jpg?lm=1,N/A,25.08.1962,Dortmund,Retired
4,Manfred Burgsmüller,Unknown,252,158,5,22.715,N/A,Burgsmüller,-,32,0,Borussia Dortmund,Midfield - Attacking Midfield,,Germany,de,https://www.transfermarkt.us/manfred-burgsmuller/profil/spieler/13767,https://img.a.transfermarkt.technology/portrait/small/13767-1558378317.jpg?lm=1,N/A,22.12.1949,Essen,---
5,Timo Konietzka,Friedhelm Konietzka,196,155,17,17.670,N/A,Konietzka,-,0,0,Borussia Dortmund,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/timo-konietzka/profil/spieler/71377,https://img.a.transfermarkt.technology/portrait/small/71377-1484846341.jpg?lm=1,N/A,02.08.1938,Lünen,---
6,Lothar Emmerich,Unknown,249,148,42,22.222,N/A,Emmerich,-,0,0,Borussia Dortmund,Attack - Left Winger,,Germany,de,https://www.transfermarkt.us/lothar-emmerich/profil/spieler/96563,https://img.a.transfermarkt.technology/portrait/small/96563-1462376163.png?lm=1,N/A,29.11.1941,Dortmund-Dorstfeld,---
7,Jürgen Schütz,Unknown,214,143,9,18.355,N/A,Schütz,-,0,0,Borussia Dortmund,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/jurgen-schutz/profil/spieler/96599,https://img.a.transfermarkt.technology/portrait/small/96599-1485350573.jpg?lm=1,N/A,01.07.1939,Dortmund,---
8,Pierre-Emerick Aubameyang,Pierre-Emerick Emiliano François Aubameyang,213,141,35,16.494,N/A,Aubameyang,-,15,0,Borussia Dortmund,Attack - Centre-Forward,"1,87 m",Gabon,ga,https://www.transfermarkt.us/pierre-emerick-aubameyang/profil/spieler/58864,https://img.a.transfermarkt.technology/portrait/small/58864-1676029326.png?lm=1,N/A,18.06.1989,Laval,Al-Qadsiah FC
9,Alfred Niepieklo,Unknown,201,126,5,18.090,N/A,Niepieklo,Unknown,0,0,Borussia Dortmund,Attack - Second Striker,Unknown,Germany,de,https://www.transfermarkt.us/alfred-niepieklo/profil/spieler/289741,https://img.a.transfermarkt.technology/portrait/small/289741-1649929842.jpg?lm=1,N/A,11.06.1927,Castrop-Rauxel,---
10,Alfred Kelbassa,Unknown,218,123,5,19.650,N/A,Kelbassa,15,0,0,Borussia Dortmund,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/alfred-kelbassa/profil/spieler/96574,https://img.a.transfermarkt.technology/portrait/small/96574-1447931537.jpg?lm=1,N/A,21.04.1925,Buer,---
