rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jupp Heynckes,Josef Heynckes,417,298,49,36.683,N/A,Heynckes,-,8,1,Borussia Mönchengladbach,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/jupp-heynckes/profil/spieler/97301,https://img.a.transfermarkt.technology/portrait/small/97301-1444739580.jpg?lm=1,N/A,09.05.1945,Mönchengladbach,Retired
2,Herbert Laumen,Unknown,274,141,19,24.192,N/A,Laumen,-,0,0,Borussia Mönchengladbach,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/herbert-laumen/profil/spieler/89901,https://img.a.transfermarkt.technology/portrait/small/89901-1488982827.jpg?lm=1,N/A,11.08.1943,Mönchengladbach,Retired
3,Günter Netzer,Günter Theodor Netzer,358,137,75,31.885,N/A,Netzer,10,1,0,Borussia Mönchengladbach,Midfield - Attacking Midfield,,Germany,de,https://www.transfermarkt.us/gunter-netzer/profil/spieler/24690,https://img.a.transfermarkt.technology/portrait/small/24690-1473850278.jpg?lm=1,N/A,14.09.1944,Mönchengladbach,Retired
4,Allan Simonsen,Allan Rodenkam Simonsen,249,117,9,21.122,N/A,Simonsen,9,6,0,Borussia Mönchengladbach,Attack - Second Striker,,Denmark,dk,https://www.transfermarkt.us/allan-simonsen/profil/spieler/8026,https://img.a.transfermarkt.technology/portrait/small/8026-1436517725.jpg?lm=1,N/A,15.12.1952,Vejle,Retired
5,Hans-Jörg Criens,Unknown,347,117,19,25.832,N/A,Criens,Unknown,19,1,Borussia Mönchengladbach,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/hans-jorg-criens/profil/spieler/17941,https://img.a.transfermarkt.technology/portrait/small/17941-1577400257.jpg?lm=1,N/A,16.12.1960,Neuss,---
6,Uwe Rahn,Unknown,288,113,4,23.933,N/A,Rahn,-,20,0,Borussia Mönchengladbach,Midfield - Attacking Midfield,,Germany,de,https://www.transfermarkt.us/uwe-rahn/profil/spieler/25266,https://img.a.transfermarkt.technology/portrait/small/25266-1461142164.jpg?lm=1,N/A,21.05.1962,Mannheim-Schönau,Retired
7,Bernd Rupp,Unknown,201,100,41,17.730,N/A,Rupp,-,2,0,Borussia Mönchengladbach,Attack - Left Winger,,Germany,de,https://www.transfermarkt.us/bernd-rupp/profil/spieler/89946,https://img.a.transfermarkt.technology/portrait/small/89946-1477469567.jpg?lm=1,N/A,24.02.1942,Burgsolms,Retired
8,Ulrich Kohn,Unknown,150,87,0,13.620,N/A,Kohn,Unknown,0,0,Borussia Mönchengladbach,Attack - Centre-Forward,Unknown,Germany,de,https://www.transfermarkt.us/ulrich-kohn/profil/spieler/97393,https://img.a.transfermarkt.technology/portrait/small/97393-1488979399.jpg?lm=1,N/A,11.02.1937,Königsberg,Retired
9,Frank Mill,Unknown,190,86,1,16.081,N/A,Mill,11,18,1,Borussia Mönchengladbach,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/frank-mill/profil/spieler/84562,https://img.a.transfermarkt.technology/portrait/small/84562-1461143062.jpg?lm=1,N/A,23.07.1958,Essen,Retired
10,Hans-Günter Bruns,Unknown,407,85,9,34.545,N/A,Bruns,-,55,2,Borussia Mönchengladbach,Defender - Sweeper,"1,79 m",Germany,de,https://www.transfermarkt.us/hans-gunter-bruns/profil/spieler/95085,https://img.a.transfermarkt.technology/portrait/small/95085-1461143491.jpg?lm=1,N/A,15.11.1954,Mülheim an der Ruhr,Retired
11,Lars Stindl,Lars Edi Stindl,271,83,61,20.063,N/A,Stindl,13,59,0,Borussia Mönchengladbach,Midfield - Attacking Midfield,"1,81 m",Germany,de,https://www.transfermarkt.us/lars-stindl/profil/spieler/48298,https://img.a.transfermarkt.technology/portrait/small/48298-1690132937.jpg?lm=1,N/A,26.08.1988,Speyer,Retired
12,Wilfried Hannes,Unknown,326,72,3,26.140,N/A,Hannes,-,36,0,Borussia Mönchengladbach,Defender - Centre-Back,,Germany,de,https://www.transfermarkt.us/wilfried-hannes/profil/spieler/95042,https://img.a.transfermarkt.technology/portrait/small/95042-1461142733.jpg?lm=1,N/A,17.05.1957,Düren,Retired
13,Raffael,Unknown,201,71,35,14.815,N/A,Raffael,Unknown,7,0,Borussia Mönchengladbach,Attack - Second Striker,"1,74 m",Brazil,br,https://www.transfermarkt.us/raffael/profil/spieler/19819,https://img.a.transfermarkt.technology/portrait/small/19819-1533289199.jpg?lm=1,N/A,28.03.1985,Fortaleza,Ay-Yildizspor Hückelhoven
14,Martin Dahlin,Martin Nathaniel Dahlin,146,68,22,11.178,N/A,Dahlin,-,23,2,Borussia Mönchengladbach,Attack - Centre-Forward,,Sweden,se,https://www.transfermarkt.us/martin-dahlin/profil/spieler/21654,https://img.a.transfermarkt.technology/portrait/small/21654-1461223293.jpg?lm=1,N/A,16.04.1968,Uddevalla,Retired
15,Herbert Wimmer,Unknown,469,68,45,40.022,N/A,Wimmer,-,0,1,Borussia Mönchengladbach,Midfield - Central Midfield,,Germany,de,https://www.transfermarkt.us/herbert-wimmer/profil/spieler/97316,https://img.a.transfermarkt.technology/portrait/small/97316-1724679758.jpg?lm=1,N/A,09.11.1944,Eupen,Retired
16,Alassane Pléa,Alassane Alexandre Pléa,230,67,52,15.387,N/A,Pléa,22,17,0,Borussia Mönchengladbach,Attack - Centre-Forward,"1,81 m",France,fr,https://www.transfermarkt.us/alassane-plea/profil/spieler/167329,https://img.a.transfermarkt.technology/portrait/small/167329-1627997314.jpg?lm=1,N/A,10.03.1993,Lille,Borussia Mönchengladbach
17,Rainer Bonhof,Unknown,329,63,19,28.760,N/A,Bonhof,-,13,1,Borussia Mönchengladbach,Midfield - Defensive Midfield,"1,80 m",Germany,de,https://www.transfermarkt.us/rainer-bonhof/profil/spieler/72348,https://img.a.transfermarkt.technology/portrait/small/72348-1478184400.jpg?lm=1,N/A,29.03.1952,Emmerich,Retired
18,Arie van Lent,Unknown,158,62,23,12.765,N/A,van Lent,Unknown,10,0,Borussia Mönchengladbach,Attack - Centre-Forward,,Netherlands,nl,https://www.transfermarkt.us/arie-van-lent/profil/spieler/803,https://img.a.transfermarkt.technology/portrait/small/803-1461311178.jpg?lm=1,N/A,31.08.1970,Opheusden,Retired
19,Christian Hochstätter,Unknown,395,61,28,30.778,N/A,Hochstätter,-,56,1,Borussia Mönchengladbach,Midfield - Defensive Midfield,,Germany,de,https://www.transfermarkt.us/christian-hochstatter/profil/spieler/81611,https://img.a.transfermarkt.technology/portrait/small/81611-1588152921.jpg?lm=1,N/A,19.10.1963,Augsburg,Retired
20,Henning Jensen,Unknown,182,60,13,15.108,N/A,Jensen,-,4,0,Borussia Mönchengladbach,Attack - Centre-Forward,Unknown,Denmark,dk,https://www.transfermarkt.us/henning-jensen/profil/spieler/97327,https://img.a.transfermarkt.technology/portrait/small/97327-1512502113.PNG?lm=1,N/A,17.08.1949,Nørresundby,---
21,Christian Kulik,Unknown,324,58,11,26.131,N/A,Kulik,-,16,2,Borussia Mönchengladbach,Midfield - Defensive Midfield,,Germany,de,https://www.transfermarkt.us/christian-kulik/profil/spieler/97305,https://img.a.transfermarkt.technology/portrait/small/97305-1490791980.jpg?lm=1,N/A,06.12.1952,Zabrze,Retired
22,Patrick Herrmann,Unknown,420,56,66,20.794,N/A,Herrmann,15,38,0,Borussia Mönchengladbach,Attack - Right Winger,"1,79 m",Germany,de,https://www.transfermarkt.us/patrick-herrmann/profil/spieler/32711,https://img.a.transfermarkt.technology/portrait/small/32711-1662966551.jpg?lm=1,N/A,12.02.1991,Uchtelfangen,Retired
23,Ewald Lienen,Unknown,329,51,6,26.231,N/A,Lienen,-,15,0,Borussia Mönchengladbach,Attack - Left Winger,"1,76 m",Germany,de,https://www.transfermarkt.us/ewald-lienen/profil/spieler/15408,https://img.a.transfermarkt.technology/portrait/small/15408-1460648138.jpg?lm=1,N/A,28.11.1953,Liemke,Retired
24,Lothar Matthäus,Lothar Herbert Matthäus,200,51,1,17.481,N/A,Matthäus,8,19,0,Borussia Mönchengladbach,Midfield - Defensive Midfield,"1,77 m",Germany,de,https://www.transfermarkt.us/lothar-matthaus/profil/spieler/1527,https://img.a.transfermarkt.technology/portrait/small/1527-1448894024.jpg?lm=1,N/A,21.03.1961,Erlangen,Retired
25,Karl Heinz Mülhausen,Unknown,179,51,0,16.200,N/A,Mülhausen,Unknown,0,0,Borussia Mönchengladbach,Midfield - Defensive Midfield,Unknown,Germany,de,https://www.transfermarkt.us/karl-heinz-mulhausen/profil/spieler/97402,https://img.a.transfermarkt.technology/portrait/small/97402-1715257328.png?lm=1,N/A,18.06.1937,Mönchengladbach,---
26,Horst Köppel,Unknown,219,51,14,16.272,N/A,Köppel,-,1,0,Borussia Mönchengladbach,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/horst-koppel/profil/spieler/97073,https://img.a.transfermarkt.technology/portrait/small/97073-1477469154.jpg?lm=1,N/A,17.05.1948,Stuttgart,Retired
