rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Eugen Meier,Unknown,355,265,0,31.674,N/A,Meier,Unknown,0,0,BSC Young Boys,Attack - Centre-Forward,Unknown,Switzerland,ch,https://www.transfermarkt.us/eugen-meier/profil/spieler/215427,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.04.1930,Schaffhausen,---
2,Jean-Pierre Nsame,Unknown,242,140,39,15.550,N/A,Nsame,#33,28,3,BSC Young Boys,Attack - Centre-Forward,"1,88 m",Cameroon,cm,https://www.transfermarkt.us/jean-pierre-nsame/profil/spieler/225055,https://img.a.transfermarkt.technology/portrait/small/225055-1721813549.png?lm=1,N/A,01.05.1993,Douala,FC St. Gallen 1879
3,Ernst Wechselberger,Unknown,187,131,0,16.506,N/A,Wechselberger,Unknown,1,1,BSC Young Boys,Attack - Centre-Forward,Unknown,Switzerland,ch,https://www.transfermarkt.us/ernst-wechselberger/profil/spieler/290520,https://img.a.transfermarkt.technology/portrait/small/290520-1589446420.jpg?lm=1,N/A,26.01.1931,Augsburg,---
4,Guillaume Hoarau,Unknown,188,118,35,13.432,N/A,Hoarau,Unknown,23,1,BSC Young Boys,Attack - Centre-Forward,"1,92 m",France,fr,https://www.transfermarkt.us/guillaume-hoarau/profil/spieler/23934,https://img.a.transfermarkt.technology/portrait/small/23934-1533136406.jpg?lm=1,N/A,05.03.1984,Saint-Louis,Retired
5,Dario Zuffi,Unknown,221,100,2,19.365,N/A,Zuffi,Unknown,8,1,BSC Young Boys,Attack - Centre-Forward,"1,76 m",Switzerland,ch,https://www.transfermarkt.us/dario-zuffi/profil/spieler/221363,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.12.1964,Winterthur,Retired
6,Walter Müller,Unknown,127,87,0,11.278,N/A,Müller,Unknown,12,2,BSC Young Boys,Attack - Centre-Forward,Unknown,Switzerland,ch,https://www.transfermarkt.us/walter-muller/profil/spieler/638577,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.11.1942,Uznach,---
7,Christian Fassnacht,Unknown,262,81,42,19.019,N/A,Fassnacht,#16,26,0,BSC Young Boys,Attack - Right Winger,"1,85 m",Switzerland,ch,https://www.transfermarkt.us/christian-fassnacht/profil/spieler/250490,https://img.a.transfermarkt.technology/portrait/small/250490-1626261724.jpg?lm=1,N/A,11.11.1993,Zürich,BSC Young Boys
8,Thomas Häberli,Unknown,288,78,44,19.336,N/A,Häberli,Unknown,32,1,BSC Young Boys,Attack - Centre-Forward,"1,82 m",Switzerland,ch,https://www.transfermarkt.us/thomas-haberli/profil/spieler/4839,https://img.a.transfermarkt.technology/portrait/small/4839-1617527858.jpg?lm=1,N/A,11.04.1974,Luzern,Retired
9,Georges Bregy,Unknown,207,60,0,18.490,N/A,Bregy,Unknown,26,0,BSC Young Boys,Midfield - Central Midfield,,Switzerland,ch,https://www.transfermarkt.us/georges-bregy/profil/spieler/85512,https://img.a.transfermarkt.technology/portrait/small/85512-1528792879.jpg?lm=1,N/A,17.01.1958,Raron,Retired
10,Stéphane Chapuisat,Unknown,113,58,35,9.111,N/A,Chapuisat,Unknown,9,0,BSC Young Boys,Attack - Centre-Forward,"1,81 m",Switzerland,ch,https://www.transfermarkt.us/stephane-chapuisat/profil/spieler/3501,https://img.a.transfermarkt.technology/portrait/small/3501-1457434534.jpg?lm=1,N/A,28.06.1969,Lausanne,Retired
11,Seydou Doumbia,Unknown,79,58,21,4.979,N/A,Doumbia,Unknown,4,0,BSC Young Boys,Attack - Centre-Forward,"1,79 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/seydou-doumbia/profil/spieler/75287,https://img.a.transfermarkt.technology/portrait/small/75287-1510680050.jpg?lm=1,N/A,31.12.1987,Abidjan,Retired
12,Jean-Claude Bruttin,Unknown,235,56,0,19.462,N/A,Bruttin,Unknown,15,2,BSC Young Boys,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/jean-claude-bruttin/profil/spieler/692202,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.01.1945,Unknown,Retired
13,Gürkan Sermeter,Unknown,194,56,25,14.711,N/A,Sermeter,Unknown,26,1,BSC Young Boys,Midfield - Right Midfield,"1,81 m",Switzerland,ch,https://www.transfermarkt.us/gurkan-sermeter/profil/spieler/4853,https://img.a.transfermarkt.technology/portrait/small/4853-1460635240.jpg?lm=1,N/A,14.02.1974,Wädenswil,Retired
14,Roland Schönenberger,Unknown,220,49,0,19.358,N/A,Schönenberger,Unknown,15,0,BSC Young Boys,Midfield - Attacking Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/roland-schonenberger/profil/spieler/298761,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.10.1955,Wangen bei Olten,Retired
15,Bert Theunissen,Lambertus Ignatius Theunissen,146,48,0,11.733,N/A,Theunissen,Unknown,6,1,BSC Young Boys,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/bert-theunissen/profil/spieler/188706,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,31.08.1939,Arnhem,Retired
