rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Martín Cauteruccio,Martín Cauteruccio Rodríguez,52,25,5,4.394,N/A,Cauteruccio,#9,2,2,CA Aldosivi,Attack - Centre-Forward,"1,79 m",Uruguay,uy,https://www.transfermarkt.us/martin-cauteruccio/profil/spieler/76599,https://img.a.transfermarkt.technology/portrait/small/76599-1738038344.jpg?lm=1,N/A,14.04.1987,Montevideo,Club Sporting Cristal
2,Matías Gigli,Matías Nicolás Gigli,77,24,2,6.127,N/A,Gigli,Unknown,3,0,CA Aldosivi,Attack - Centre-Forward,"1,75 m",Argentina,ar,https://www.transfermarkt.us/matias-gigli/profil/spieler/76149,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.07.1976,Arroyo Seco,Retired
3,Cristian Chávez,Cristian Gabriel Chávez,37,14,5,2.884,N/A,Chávez,Unknown,3,0,CA Aldosivi,Attack - Centre-Forward,"1,75 m",Argentina,ar,https://www.transfermarkt.us/cristian-chavez/profil/spieler/70132,https://img.a.transfermarkt.technology/portrait/small/s_70132_6195_2011_1.jpg?lm=1,N/A,04.06.1987,Lomas de Zamora,CSD Liniers
4,Elías Torres,Elías David Torres,68,14,2,3.448,N/A,Torres,#9,5,0,CA Aldosivi,Attack - Centre-Forward,"1,86 m",Argentina,ar,https://www.transfermarkt.us/elias-torres/profil/spieler/1014363,https://img.a.transfermarkt.technology/portrait/small/1014363-1732812928.JPG?lm=1,N/A,02.03.2001,Ucacha,CA Aldosivi
5,Agustín Colazo,Rodrigo Agustín Colazo,37,14,2,3.141,N/A,Colazo,#21,3,0,CA Aldosivi,Attack - Centre-Forward,"1,86 m",Argentina,ar,https://www.transfermarkt.us/agustin-colazo/profil/spieler/842808,https://img.a.transfermarkt.technology/portrait/small/842808-1732804707.JPG?lm=1,N/A,15.11.2000,Río Segundo,CA Unión (Santa Fe)
6,Diego Martínez,Diego Leonardo Martínez,52,13,4,3.472,N/A,Martínez,Unknown,5,0,CA Aldosivi,Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/diego-martinez/profil/spieler/104548,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.08.1984,Cmte. Nicanor Otamendi,FC Ferro Carril Sud (Olavarría)
7,José Sand,José Gustavo Sand,32,12,5,2.798,N/A,Sand,Unknown,8,0,CA Aldosivi,Attack - Centre-Forward,"1,82 m",Argentina,ar,https://www.transfermarkt.us/jose-sand/profil/spieler/26269,https://img.a.transfermarkt.technology/portrait/small/26269-1722344526.JPG?lm=1,N/A,17.07.1980,Bella Vista,Retired
8,Fernando Telechea,Unknown,32,12,1,2.638,N/A,Telechea,Unknown,5,0,CA Aldosivi,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/fernando-telechea/profil/spieler/90105,https://img.a.transfermarkt.technology/portrait/small/90105-1722282535.jpg?lm=1,N/A,06.10.1981,Balcarce,Retired
9,Federico Andrada,Federico Óscar Andrada,64,12,7,4.673,N/A,Andrada,Unknown,7,0,CA Aldosivi,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/federico-andrada/profil/spieler/234249,https://img.a.transfermarkt.technology/portrait/small/234249-1743120034.JPG?lm=1,N/A,03.03.1994,Buenos Aires,Carlos A. Mannucci
10,Pablo Lugüercio,Pablo Ariel Lugüercio,66,10,7,4.870,N/A,Lugüercio,Unknown,13,0,CA Aldosivi,Attack - Right Winger,"1,77 m",Argentina,ar,https://www.transfermarkt.us/pablo-luguercio/profil/spieler/27456,https://img.a.transfermarkt.technology/portrait/small/27456-1722281315.JPG?lm=1,N/A,10.03.1982,La Plata,Retired
11,Sebastián Penco,Sebastián Ariel Penco,37,9,2,2.786,N/A,Penco,Unknown,4,1,CA Aldosivi,Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/sebastian-penco/profil/spieler/30688,https://img.a.transfermarkt.technology/portrait/small/30688-1682980771.png?lm=1,N/A,22.09.1983,Morón,Without Club
12,Enrique Seccafien,Mariano Enrique Pablo Seccafien,108,9,6,6.569,N/A,Seccafien,Unknown,15,0,CA Aldosivi,Midfield - Left Midfield,"1,75 m",Argentina,ar,https://www.transfermarkt.us/enrique-seccafien/profil/spieler/55230,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.06.1984,Morón,Retired
13,Tobías Cervera,Tobías Ariel Cervera Cadi,33,9,2,1.971,N/A,Cervera,#30,4,0,CA Aldosivi,Attack - Centre-Forward,"1,82 m",Syria,sy,https://www.transfermarkt.us/tobias-cervera/profil/spieler/1029814,https://img.a.transfermarkt.technology/portrait/small/1029814-1695216936.JPG?lm=1,N/A,06.08.2002,Mar del Plata,Club Atlético Platense
14,Gastón Díaz,Ángel Gastón Díaz,59,9,2,4.380,N/A,Díaz,Unknown,22,2,CA Aldosivi,Defender - Right-Back,"1,75 m",Argentina,ar,https://www.transfermarkt.us/gaston-diaz/profil/spieler/46532,https://img.a.transfermarkt.technology/portrait/small/46532-1722283284.jpg?lm=1,N/A,26.03.1981,Lomas de Zamora,Retired
15,Ignacio Malcorra,Víctor Ignacio Malcorra,49,8,3,3.957,N/A,Malcorra,#10,10,1,CA Aldosivi,Midfield - Attacking Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/ignacio-malcorra/profil/spieler/87518,https://img.a.transfermarkt.technology/portrait/small/87518-1742570974.png?lm=1,N/A,24.07.1987,Río Colorado,CA Rosario Central
16,Jorge Piñero da Silva,Jorge Armando Piñero da Silva,24,8,0,1.464,N/A,Piñero da Silva,Unknown,0,0,CA Aldosivi,Attack - Centre-Forward,"1,88 m",Argentina,ar,https://www.transfermarkt.us/jorge-pinero-da-silva/profil/spieler/87525,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.07.1987,Posadas,Comisión de Actividades Infantiles
17,Mauricio Carrasco,Mauricio Nicolás Carrasco,28,7,0,1.290,N/A,Carrasco,Unknown,3,0,CA Aldosivi,Attack - Left Winger,"1,73 m",Argentina,ar,https://www.transfermarkt.us/mauricio-carrasco/profil/spieler/69801,https://img.a.transfermarkt.technology/portrait/small/69801-1722428969.JPG?lm=1,N/A,24.09.1987,Neuquén,Without Club
18,Paolo Frangipane,Paolo Daniel Frangipane,38,7,10,3.058,N/A,Frangipane,Unknown,0,0,CA Aldosivi,Midfield - Attacking Midfield,"1,69 m",Argentina,ar,https://www.transfermarkt.us/paolo-frangipane/profil/spieler/73690,https://img.a.transfermarkt.technology/portrait/small/73690-1722280491.JPG?lm=1,N/A,11.07.1979,Buenos Aires,Social Atlético Televisión
19,Darío Cajaravilla,Unknown,106,7,2,9.316,N/A,Cajaravilla,Unknown,18,1,CA Aldosivi,Defender - Centre-Back,Unknown,Argentina,ar,https://www.transfermarkt.us/dario-cajaravilla/profil/spieler/87320,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.03.1980,Mar del Plata,Retired
