rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Darío Cvitanich,Darío Cvitanich,167,66,16,11.437,N/A,Cvitanich,Unknown,37,0,CA Banfield,Attack - Centre-Forward,"1,77 m",Argentina,ar,https://www.transfermarkt.us/dario-cvitanich/profil/spieler/30758,https://img.a.transfermarkt.technology/portrait/small/30758-1485513803.jpg?lm=1,N/A,16.05.1984,Baradero,Retired
2,Santiago Silva,Santiago Martín Silva Olivera,65,34,11,5.784,N/A,Silva,Unknown,14,3,CA Banfield,Attack - Centre-Forward,"1,85 m",Uruguay,uy,https://www.transfermarkt.us/santiago-silva/profil/spieler/7274,https://img.a.transfermarkt.technology/portrait/small/7274-1644784809.JPG?lm=1,N/A,09.12.1980,Montevideo,Retired
3,Josemir Lujambio,Josemir Lujambio Llanes,82,34,3,6.402,N/A,Lujambio,Unknown,9,1,CA Banfield,Attack - Centre-Forward,"1,78 m",Uruguay,uy,https://www.transfermarkt.us/josemir-lujambio/profil/spieler/54350,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.09.1971,Durazno,Retired
4,Nicolás Bertolo,Nicolás Santiago Bertolo,181,31,23,12.813,N/A,Bertolo,Unknown,24,0,CA Banfield,Attack - Left Winger,"1,80 m",Argentina,ar,https://www.transfermarkt.us/nicolas-bertolo/profil/spieler/52903,https://img.a.transfermarkt.technology/portrait/small/52903-1645449173.JPG?lm=1,N/A,02.01.1986,Córdoba,Without Club
5,Jesús Dátolo,Jesús Alberto Dátolo,165,28,17,9.748,N/A,Dátolo,Unknown,17,0,CA Banfield,Midfield - Attacking Midfield,"1,75 m",Argentina,ar,https://www.transfermarkt.us/jesus-datolo/profil/spieler/30759,https://img.a.transfermarkt.technology/portrait/small/30759-1483547358.jpg?lm=1,N/A,19.05.1984,Carlos Spegazzini,Retired
6,Giuliano Galoppo,Unknown,86,21,3,6.651,N/A,Galoppo,#34,12,0,CA Banfield,Midfield - Central Midfield,"1,79 m",Argentina,ar,https://www.transfermarkt.us/giuliano-galoppo/profil/spieler/567249,https://img.a.transfermarkt.technology/portrait/small/567249-1637344187.JPG?lm=1,N/A,18.06.1999,Buenos Aires,CA River Plate
7,Daniel Bilos,Daniel Rubén Bilos,106,21,11,6.388,N/A,Bilos,Unknown,12,0,CA Banfield,Midfield - Left Midfield,"1,94 m",Argentina,ar,https://www.transfermarkt.us/daniel-bilos/profil/spieler/30752,https://img.a.transfermarkt.technology/portrait/small/30752-1692985345.jpg?lm=1,N/A,03.09.1980,Pergamino,Retired
8,Milton Giménez,Unknown,58,20,4,4.412,N/A,Giménez,#9,12,0,CA Banfield,Attack - Centre-Forward,"1,84 m",Argentina,ar,https://www.transfermarkt.us/milton-gimenez/profil/spieler/730779,https://img.a.transfermarkt.technology/portrait/small/730779-1739899590.jpg?lm=1,N/A,12.08.1996,Grand Bourg,CA Boca Juniors
9,Cristian Lucchetti,Cristian David Lucchetti,283,19,1,25.392,N/A,Lucchetti,Unknown,15,0,CA Banfield,Goalkeeper,"1,82 m",Argentina,ar,https://www.transfermarkt.us/cristian-lucchetti/profil/spieler/30685,https://img.a.transfermarkt.technology/portrait/small/30685-1637255769.JPG?lm=1,N/A,26.06.1978,Luján de Cuyo,Retired
10,Jorge Cervera,Jorge Elio Cervera,88,19,12,6.763,N/A,Cervera,Unknown,14,0,CA Banfield,Attack - Centre-Forward,"1,78 m",Argentina,ar,https://www.transfermarkt.us/jorge-cervera/profil/spieler/30756,https://img.a.transfermarkt.technology/portrait/small/30756-1705513154.JPG?lm=1,N/A,17.01.1975,San Rafael,Retired
11,Rubén Ramírez,Rubén Darío Ramírez,39,16,7,3.419,N/A,Ramírez,Unknown,4,0,CA Banfield,Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/ruben-ramirez/profil/spieler/56040,https://img.a.transfermarkt.technology/portrait/small/56040-1722280732.JPG?lm=1,N/A,17.10.1982,Margarita,Huracán Futbol Club (Vera)
12,Facundo Ferreyra,Unknown,58,15,5,4.097,N/A,Ferreyra,Unknown,10,0,CA Banfield,Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/facundo-ferreyra/profil/spieler/93795,https://img.a.transfermarkt.technology/portrait/small/93795-1727450906.jpg?lm=1,N/A,14.03.1991,Lomas de Zamora,Without Club
13,Sebastián Fernández,Sebastián Bruno Fernández Miglierina,69,15,12,5.015,N/A,Fernández,#30,7,1,CA Banfield,Attack - Second Striker,"1,71 m",Uruguay,uy,https://www.transfermarkt.us/sebastian-fernandez/profil/spieler/64545,https://img.a.transfermarkt.technology/portrait/small/64545-1720713441.jpg?lm=1,N/A,23.05.1985,Montevideo,Danubio FC
