rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,José Sand,José Gustavo Sand,320,171,34,25.292,N/A,Sand,Unknown,46,1,CA Lanús,Attack - Centre-Forward,"1,82 m",Argentina,ar,https://www.transfermarkt.us/jose-sand/profil/spieler/26269,https://img.a.transfermarkt.technology/portrait/small/26269-1722344526.JPG?lm=1,N/A,17.07.1980,Bella Vista,Retired
2,Lautaro Acosta,Lautaro Germán Acosta,418,59,61,29.585,N/A,Acosta,#7,71,0,CA Lanús,Attack - Left Winger,"1,71 m",Argentina,ar,https://www.transfermarkt.us/lautaro-acosta/profil/spieler/45307,https://img.a.transfermarkt.technology/portrait/small/45307-1721935906.png?lm=1,N/A,14.03.1988,Glew,CA Lanús
3,Silvio Romero,Silvio Ezequiel Romero,138,42,12,9.434,N/A,Romero,#10,7,0,CA Lanús,Attack - Centre-Forward,"1,77 m",Argentina,ar,https://www.transfermarkt.us/silvio-romero/profil/spieler/88082,https://img.a.transfermarkt.technology/portrait/small/88082-1717080478.jpeg?lm=1,N/A,22.07.1988,Córdoba,Instituto ACC
4,Diego Klimowicz,Diego Fernando Klimowicz,68,38,7,5.974,N/A,Klimowicz,Unknown,15,3,CA Lanús,Attack - Centre-Forward,,Argentina,ar,https://www.transfermarkt.us/diego-klimowicz/profil/spieler/1424,https://img.a.transfermarkt.technology/portrait/small/1424-1461311512.jpg?lm=1,N/A,06.07.1974,Quilmes,Retired
5,Claudio Graf,Claudio Fernando Graf,81,33,6,6.740,N/A,Graf,Unknown,14,1,CA Lanús,Attack - Centre-Forward,"1,73 m",Argentina,ar,https://www.transfermarkt.us/claudio-graf/profil/spieler/48627,https://img.a.transfermarkt.technology/portrait/small/s_48627_10511_2012_1.jpg?lm=1,N/A,31.01.1976,Bahía Blanca,Retired
6,Mario Regueiro,Mario Ignacio Regueiro Pintos,106,29,12,8.456,N/A,Regueiro,Unknown,20,3,CA Lanús,Attack - Left Winger,"1,78 m",Uruguay,uy,https://www.transfermarkt.us/mario-regueiro/profil/spieler/7871,https://img.a.transfermarkt.technology/portrait/small/7871-1688351150.jpg?lm=1,N/A,09.09.1978,Montevideo,Retired
7,Diego Váleri,Diego Hernán Váleri,200,29,32,12.821,N/A,Váleri,Unknown,24,1,CA Lanús,Midfield - Attacking Midfield,"1,78 m",Argentina,ar,https://www.transfermarkt.us/diego-valeri/profil/spieler/54588,https://img.a.transfermarkt.technology/portrait/small/54588-1618763253.JPG?lm=1,N/A,01.05.1986,Lanús,Retired
8,Walter Bou,Walter Ariel Bou,58,23,5,4.527,N/A,Bou,#9,3,1,CA Lanús,Attack - Centre-Forward,"1,74 m",Argentina,ar,https://www.transfermarkt.us/walter-bou/profil/spieler/334233,https://img.a.transfermarkt.technology/portrait/small/334233-1721936038.png?lm=1,N/A,25.08.1993,Concordia,CA Lanús
9,Víctor Ayala,Víctor Hugo Ayala Núñez,163,23,17,11.980,N/A,Ayala,Unknown,38,2,CA Lanús,Midfield - Central Midfield,"1,77 m",Paraguay,py,https://www.transfermarkt.us/victor-ayala/profil/spieler/122519,https://img.a.transfermarkt.technology/portrait/small/122519-1681906916.JPG?lm=1,N/A,01.01.1988,Eusebio Ayala,Encarnacena FC
10,José Manuel López,José Manuel Alberto López,59,22,5,4.046,N/A,López,#42,5,0,CA Lanús,Attack - Centre-Forward,"1,90 m",Argentina,ar,https://www.transfermarkt.us/jose-manuel-lopez/profil/spieler/844797,https://img.a.transfermarkt.technology/portrait/small/844797-1739618753.jpg?lm=1,N/A,06.12.2000,San Lorenzo,Sociedade Esportiva Palmeiras
11,Marcelino Moreno,Damián Marcelino Moreno,176,22,34,13.368,N/A,Moreno,#10,15,1,CA Lanús,Midfield - Attacking Midfield,"1,68 m",Argentina,ar,https://www.transfermarkt.us/marcelino-moreno/profil/spieler/456617,https://img.a.transfermarkt.technology/portrait/small/456617-1721935774.png?lm=1,N/A,25.06.1995,Palmira,CA Lanús
12,Maximiliano Velázquez,Maximiliano Nicolás Velázquez,426,22,46,36.239,N/A,Velázquez,Unknown,94,3,CA Lanús,Defender - Left-Back,"1,75 m",Argentina,ar,https://www.transfermarkt.us/maximiliano-velazquez/profil/spieler/54552,https://img.a.transfermarkt.technology/portrait/small/54552-1463494573.JPG?lm=1,N/A,14.03.1980,Concepción del Uruguay,Retired
13,Leandro Díaz,Leandro Nicolás Díaz,102,21,8,5.959,N/A,Díaz,#27,21,2,CA Lanús,Attack - Centre-Forward,"1,84 m",Argentina,ar,https://www.transfermarkt.us/leandro-diaz/profil/spieler/140214,https://img.a.transfermarkt.technology/portrait/small/140214-1721936051.png?lm=1,N/A,06.06.1992,San Miguel de Tucumán,Club Atlético Tucumán
