rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Sabino,Unknown,142,65,0,12.780,N/A,Sabino,Unknown,0,0,CA Osasuna,Attack,Unknown,Spain,es,https://www.transfermarkt.us/sabino/profil/spieler/309231,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.12.1931,Mutriku,---
2,Ante Budimir,Unknown,170,65,7,11.016,N/A,Budimir,#17,22,0,CA Osasuna,Attack - Centre-Forward,"1,90 m",Croatia,hr,https://www.transfermarkt.us/ante-budimir/profil/spieler/46413,https://img.a.transfermarkt.technology/portrait/small/46413-1732219707.jpg?lm=1,N/A,22.07.1991,Zenica,CA Osasuna
3,Roberto Torres,Roberto Torres Morales,353,60,55,23.445,N/A,Torres,#19,55,0,CA Osasuna,Midfield - Attacking Midfield,"1,78 m",Spain,es,https://www.transfermarkt.us/roberto-torres/profil/spieler/63056,https://img.a.transfermarkt.technology/portrait/small/63056-1490619627.jpg?lm=1,N/A,07.03.1989,Arre,Gimnàstic de Tarragona
4,Jan Urban,Unknown,167,47,2,14.031,N/A,Urban,Unknown,26,1,CA Osasuna,Attack - Centre-Forward,"1,79 m",Poland,pl,https://www.transfermarkt.us/jan-urban/profil/spieler/117226,https://img.a.transfermarkt.technology/portrait/small/117226-1543590934.jpg?lm=1,N/A,14.05.1962,Jaworzno,Retired
5,Cuco Ziganda,José Ángel Ziganda Lakuntza,160,44,0,11.521,N/A,Ziganda,Unknown,15,1,CA Osasuna,Attack - Centre-Forward,"1,85 m",Spain,es,https://www.transfermarkt.us/cuco-ziganda/profil/spieler/150419,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.10.1966,Larraintzar,Retired
6,Enrique Martín,Enrique Martín Monreal Lizarraga,244,38,1,19.459,N/A,Martín,Unknown,15,1,CA Osasuna,Attack - Left Winger,,Spain,es,https://www.transfermarkt.us/enrique-martin/profil/spieler/310961,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.03.1956,Tiebas-Muruarte de Reta,Retired
7,Patxi Iriguibel,Francisco Iriguibel Aristu,110,38,1,8.636,N/A,Iriguibel,Unknown,12,0,CA Osasuna,Attack - Centre-Forward,"1,78 m",Spain,es,https://www.transfermarkt.us/patxi-iriguibel/profil/spieler/310922,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.04.1951,Pamplona,Retired
8,José Manuel Echeverria,José Manuel Echeverria Salaverria,189,38,2,13.414,N/A,Echeverria,Unknown,20,3,CA Osasuna,Attack - Centre-Forward,"1,73 m",Spain,es,https://www.transfermarkt.us/jose-manuel-echeverria/profil/spieler/310879,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.03.1952,Goizueta,Retired
9,John Aloisi,Unknown,128,32,10,8.243,N/A,Aloisi,Unknown,14,1,CA Osasuna,Attack - Centre-Forward,"1,83 m",Australia,au,https://www.transfermarkt.us/john-aloisi/profil/spieler/7741,https://img.a.transfermarkt.technology/portrait/small/7741-1416907223.jpg?lm=1,N/A,05.02.1976,Adelaide,Retired
10,Javad Nekounam,جواد نکونام,198,31,1,16.137,N/A,Nekounam,Unknown,41,2,CA Osasuna,Midfield - Defensive Midfield,"1,86 m",Iran,ir,https://www.transfermarkt.us/javad-nekounam/profil/spieler/24619,https://img.a.transfermarkt.technology/portrait/small/24619-1405082723.jpg?lm=1,N/A,07.09.1980,"Shar Rey, Tehran",Retired
11,Walter Pandiani,Walter Gerardo Pandiani Urquiza,103,31,2,6.734,N/A,Pandiani,Unknown,22,0,CA Osasuna,Attack - Centre-Forward,"1,83 m",Uruguay,uy,https://www.transfermarkt.us/walter-pandiani/profil/spieler/7691,https://img.a.transfermarkt.technology/portrait/small/7691-1406132360.jpg?lm=1,N/A,27.04.1976,Montevideo,Retired
12,Iván Rosado,Juan Manuel Rosado Mojarro,137,31,10,9.217,N/A,Rosado,Unknown,13,0,CA Osasuna,Attack - Centre-Forward,"1,74 m",Spain,es,https://www.transfermarkt.us/ivan-rosado/profil/spieler/7744,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.04.1974,Huelva,Retired
13,Patxi Rípodas,Francisco José Rípodas Oroz,237,31,0,19.798,N/A,Rípodas,Unknown,35,3,CA Osasuna,Midfield - Central Midfield,"1,78 m",Spain,es,https://www.transfermarkt.us/patxi-ripodas/profil/spieler/154640,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.09.1960,Pamplona,Retired
14,Miguel Sola,Miguel Ángel Sola Elizalde,207,30,0,13.209,N/A,Sola,Unknown,26,0,CA Osasuna,Midfield - Attacking Midfield,"1,67 m",Spain,es,https://www.transfermarkt.us/miguel-sola/profil/spieler/154915,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.09.1957,Pamplona,Retired
15,Chimy Ávila,Luis Ezequiel Ávila,123,29,10,6.940,N/A,Ávila,#9,24,3,CA Osasuna,Attack - Centre-Forward,"1,72 m",Argentina,ar,https://www.transfermarkt.us/chimy-avila/profil/spieler/167721,https://img.a.transfermarkt.technology/portrait/small/167721-1708949836.jpg?lm=1,N/A,06.02.1994,Rosario,Real Betis Balompié
16,Patxi Puñal,Francisco Puñal Martínez,477,28,32,37.817,N/A,Puñal,Unknown,153,3,CA Osasuna,Midfield - Defensive Midfield,"1,79 m",Spain,es,https://www.transfermarkt.us/patxi-punal/profil/spieler/7739,https://img.a.transfermarkt.technology/portrait/small/s_7739_331_2013_10_17_1.jpg?lm=1,N/A,06.09.1975,Pamplona,Retired
17,Rubén García,Rubén García Santos,250,27,32,16.212,N/A,García,#14,19,0,CA Osasuna,Attack - Right Winger,"1,72 m",Spain,es,https://www.transfermarkt.us/ruben-garcia/profil/spieler/213260,https://img.a.transfermarkt.technology/portrait/small/213260-1583310204.jpg?lm=1,N/A,14.07.1993,Xàtiva,CA Osasuna
18,Nino,Unknown,147,27,20,11.164,N/A,Nino,Unknown,17,0,CA Osasuna,Attack - Centre-Forward,"1,69 m",Spain,es,https://www.transfermarkt.us/nino/profil/spieler/29178,https://img.a.transfermarkt.technology/portrait/small/29178-1516285918.jpg?lm=1,N/A,10.06.1980,Almería,Retired
19,Pierre Webó,Pierre Achille Webo Kouamo,137,26,3,7.321,N/A,Webó,Unknown,15,0,CA Osasuna,Attack - Centre-Forward,"1,81 m",Cameroon,cm,https://www.transfermarkt.us/pierre-webo/profil/spieler/16589,https://img.a.transfermarkt.technology/portrait/small/16589-1536739124.jpg?lm=1,N/A,20.01.1982,Bafoussam,Retired
20,Julián Vergara,Julián Vergara Medrano,27,25,0,2.430,N/A,Vergara,Unknown,0,0,CA Osasuna,Attack,Unknown,Spain,es,https://www.transfermarkt.us/julian-vergara/profil/spieler/348962,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.09.1913,Olite,---
21,Adolfo Marañón,Adolfo Pérez Marañón,91,25,0,8.149,N/A,Marañón,Unknown,0,0,CA Osasuna,Midfield,Unknown,Spain,es,https://www.transfermarkt.us/adolfo-maranon/profil/spieler/309769,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,31.03.1935,Olite,Retired
22,Valdo,Unknown,141,23,11,9.821,N/A,Valdo,Unknown,24,0,CA Osasuna,Attack - Right Winger,"1,84 m",Cape Verde,unknown,https://www.transfermarkt.us/valdo/profil/spieler/7528,https://img.a.transfermarkt.technology/portrait/small/s_7528_6709_2012_1.jpg?lm=1,N/A,23.04.1981,Villablino,Retired
