rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Marco Ruben,Marco Gastón Ruben Rodríguez,283,106,13,20.736,N/A,Ruben,Unknown,39,2,CA Rosario Central,Attack - Centre-Forward,"1,79 m",Argentina,ar,https://www.transfermarkt.us/marco-ruben/profil/spieler/30825,https://img.a.transfermarkt.technology/portrait/small/30825-1636496485.JPG?lm=1,N/A,26.10.1986,Capitán Bermúdez,Retired
2,Luciano Figueroa,Luciano Gabriel Figueroa Herrera,93,47,6,7.544,N/A,Figueroa,Unknown,11,0,CA Rosario Central,Attack - Centre-Forward,,Argentina,ar,https://www.transfermarkt.us/luciano-figueroa/profil/spieler/7133,https://img.a.transfermarkt.technology/portrait/small/s_7133_15817_2013_12_03_1.jpg?lm=1,N/A,19.05.1981,Santa Fe de la Vera Cruz,Retired
3,Juan Antonio Pizzi,Juan Antonio Pizzi Torroja,73,40,5,5.979,N/A,Pizzi,Unknown,7,4,CA Rosario Central,Attack - Centre-Forward,"1,85 m",Spain,es,https://www.transfermarkt.us/juan-antonio-pizzi/profil/spieler/8015,https://img.a.transfermarkt.technology/portrait/small/8015-1702628281.jpg?lm=1,N/A,07.06.1968,Santa Fe,Retired
4,Gonzalo Castillejos,Gonzalo Rubén Castillejos,79,33,5,5.765,N/A,Castillejos,Unknown,8,0,CA Rosario Central,Attack - Centre-Forward,"1,82 m",Argentina,ar,https://www.transfermarkt.us/gonzalo-castillejos/profil/spieler/58383,https://img.a.transfermarkt.technology/portrait/small/58383-1463495825.JPG?lm=1,N/A,05.03.1986,Leones,CAABM Sarmiento (Leones)
5,Ezequiel González,Unknown,141,33,23,11.371,N/A,González,Unknown,46,1,CA Rosario Central,Midfield - Attacking Midfield,"1,78 m",Argentina,ar,https://www.transfermarkt.us/ezequiel-gonzalez/profil/spieler/19054,https://img.a.transfermarkt.technology/portrait/small/19054-1692023287.JPG?lm=1,N/A,10.07.1980,Rosario,Retired
6,Rafael Maceratesi,Rafael Nazareno Maceratesi,75,30,6,5.546,N/A,Maceratesi,Unknown,19,1,CA Rosario Central,Attack - Centre-Forward,"1,77 m",Argentina,ar,https://www.transfermarkt.us/rafael-maceratesi/profil/spieler/164971,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.04.1975,Elortondo,Retired
7,Germán Herrera,Germán Gustavo Herrera,133,30,7,7.381,N/A,Herrera,Unknown,32,1,CA Rosario Central,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/german-herrera/profil/spieler/32710,https://img.a.transfermarkt.technology/portrait/small/32710-1726682431.jpg?lm=1,N/A,19.07.1983,Granadero Baigorria,Retired
8,Emilio Zelaya,Emilio José Zelaya,113,21,14,7.282,N/A,Zelaya,Unknown,11,0,CA Rosario Central,Attack - Centre-Forward,"1,86 m",Argentina,ar,https://www.transfermarkt.us/emilio-zelaya/profil/spieler/30832,https://img.a.transfermarkt.technology/portrait/small/30832-1496827942.jpg?lm=1,N/A,30.07.1987,San Miguel de Tucumán,Without Club
9,Jáminton Campaz,Jáminton Leandro Campaz,95,19,12,7.095,N/A,Campaz,#99,20,0,CA Rosario Central,Attack - Left Winger,"1,65 m",Colombia,co,https://www.transfermarkt.us/jaminton-campaz/profil/spieler/491553,https://img.a.transfermarkt.technology/portrait/small/491553-1742571062.png?lm=1,N/A,24.05.2000,Tumaco,CA Rosario Central
10,Ignacio Malcorra,Víctor Ignacio Malcorra,112,19,23,8.747,N/A,Malcorra,#10,17,0,CA Rosario Central,Midfield - Attacking Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/ignacio-malcorra/profil/spieler/87518,https://img.a.transfermarkt.technology/portrait/small/87518-1742570974.png?lm=1,N/A,24.07.1987,Río Colorado,CA Rosario Central
11,Alejo Veliz,Unknown,63,19,2,4.374,N/A,Veliz,#9,9,0,CA Rosario Central,Attack - Centre-Forward,"1,86 m",Argentina,ar,https://www.transfermarkt.us/alejo-veliz/profil/spieler/888493,https://img.a.transfermarkt.technology/portrait/small/888493-1674736266.JPG?lm=1,N/A,19.09.2003,Gödeken,RCD Espanyol Barcelona
12,Fernando Zampedri,Fernando Matías Zampedri,63,18,6,4.788,N/A,Zampedri,#9,18,0,CA Rosario Central,Attack - Centre-Forward,"1,85 m",Chile,cl,https://www.transfermarkt.us/fernando-zampedri/profil/spieler/104006,https://img.a.transfermarkt.technology/portrait/small/104006-1651653330.jpg?lm=1,N/A,14.02.1988,Chajarí,CD Universidad Católica
13,Germán Rivarola,Germán Ezequiel Rivarola,201,18,12,14.078,N/A,Rivarola,Unknown,46,4,CA Rosario Central,Defender - Left-Back,"1,83 m",Argentina,ar,https://www.transfermarkt.us/german-rivarola/profil/spieler/30823,https://img.a.transfermarkt.technology/portrait/small/30823-1705498475.JPG?lm=1,N/A,18.04.1979,Santa Eufemia,Retired
14,Franco Niell,Unknown,75,18,5,3.492,N/A,Niell,Unknown,6,0,CA Rosario Central,Attack - Centre-Forward,"1,63 m",Argentina,ar,https://www.transfermarkt.us/franco-niell/profil/spieler/54857,https://img.a.transfermarkt.technology/portrait/small/s_54857_4064_2010_1.jpg?lm=1,N/A,22.05.1983,Trelew,Retired
15,Emanuel Villa,Emanuel Alejandro Villa,45,18,2,3.472,N/A,Villa,Unknown,4,0,CA Rosario Central,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/emanuel-villa/profil/spieler/54022,https://img.a.transfermarkt.technology/portrait/small/54022-1477559294.jpg?lm=1,N/A,24.02.1982,Casilda,Retired
16,José Vizcarra,José Nicolás Vizcarra,66,17,7,3.505,N/A,Vizcarra,Unknown,6,0,CA Rosario Central,Attack - Centre-Forward,"1,78 m",Argentina,ar,https://www.transfermarkt.us/jose-vizcarra/profil/spieler/56586,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.08.1984,Rosario,Retired
17,Paulo Ferrari,Paulo Andrés Ferrari,347,17,14,30.121,N/A,Ferrari,Unknown,55,0,CA Rosario Central,Defender - Right-Back,"1,69 m",Argentina,ar,https://www.transfermarkt.us/paulo-ferrari/profil/spieler/30807,https://img.a.transfermarkt.technology/portrait/small/30807-1697470708.jpg?lm=1,N/A,04.01.1982,Rosario,Retired
18,César Delgado,César Fabián Delgado Godoy,93,16,27,5.403,N/A,Delgado,Unknown,2,0,CA Rosario Central,Attack - Right Winger,"1,71 m",Argentina,ar,https://www.transfermarkt.us/cesar-delgado/profil/spieler/31427,https://img.a.transfermarkt.technology/portrait/small/31427-1415311307.jpg?lm=1,N/A,18.08.1981,Rosario,Retired
19,Antonio Medina,Antonio César Medina,123,15,1,7.418,N/A,Medina,Unknown,16,3,CA Rosario Central,Attack - Centre-Forward,"1,73 m",Argentina,ar,https://www.transfermarkt.us/antonio-medina/profil/spieler/119676,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.12.1984,Resistencia,CA Boca Unidos
20,Emiliano Vecchio,Emiliano Gabriel Vecchio,76,15,13,5.587,N/A,Vecchio,Unknown,9,0,CA Rosario Central,Midfield - Attacking Midfield,"1,77 m",Argentina,ar,https://www.transfermarkt.us/emiliano-vecchio/profil/spieler/75728,https://img.a.transfermarkt.technology/portrait/small/75728-1543928136.jpg?lm=1,N/A,16.11.1988,Rosario,CA Defensores de Belgrano
21,Lucas Gamba,Lucas Emanuel Gamba,89,14,11,5.959,N/A,Gamba,#18,4,0,CA Rosario Central,Attack - Centre-Forward,"1,65 m",Argentina,ar,https://www.transfermarkt.us/lucas-gamba/profil/spieler/125906,https://img.a.transfermarkt.technology/portrait/small/125906-1721144476.png?lm=1,N/A,24.06.1987,San Rafael,CA Unión (Santa Fe)
22,Federico Carrizo,Federico Gastón Carrizo,165,14,17,11.629,N/A,Carrizo,#8,21,1,CA Rosario Central,Attack - Left Winger,"1,73 m",Argentina,ar,https://www.transfermarkt.us/federico-carrizo/profil/spieler/148710,https://img.a.transfermarkt.technology/portrait/small/148710-1453986245.jpg?lm=1,N/A,17.05.1991,Villa Giardino,Club Cerro Porteño
