rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Sebastián Penco,Sebastián Ariel Penco,149,48,6,9.390,N/A,Penco,Unknown,21,0,CA San Martín (San Juan),Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/sebastian-penco/profil/spieler/30688,https://img.a.transfermarkt.technology/portrait/small/30688-1682980771.png?lm=1,N/A,22.09.1983,Morón,Without Club
2,Matías Giménez,Matías Daniel Giménez Rojas,92,25,8,6.765,N/A,Giménez,#34,12,1,CA San Martín (San Juan),Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/matias-gimenez/profil/spieler/656112,https://img.a.transfermarkt.technology/portrait/small/656112-1720466488.png?lm=1,N/A,06.03.1999,San Juan,CA Independiente
3,Gastón Caprari,Gastón Nicolás Caprari,77,23,0,5.075,N/A,Caprari,Unknown,20,2,CA San Martín (San Juan),Attack - Centre-Forward,"1,81 m",Argentina,ar,https://www.transfermarkt.us/gaston-caprari/profil/spieler/70832,https://img.a.transfermarkt.technology/portrait/small/s_70832_10511_2012_1.jpg?lm=1,N/A,17.02.1985,Córdoba,Retired
4,Martín Bravo,Martín Iván Bravo,56,16,1,3.868,N/A,Bravo,Unknown,7,0,CA San Martín (San Juan),Attack - Second Striker,"1,68 m",Argentina,ar,https://www.transfermarkt.us/martin-bravo/profil/spieler/54480,https://img.a.transfermarkt.technology/portrait/small/54480-1497862863.png?lm=1,N/A,19.09.1986,Santa Fé,Retired
5,Humberto Osorio,Humberto Segundo Osorio Botello,49,16,2,3.438,N/A,Osorio,#31,5,0,CA San Martín (San Juan),Attack - Centre-Forward,"1,78 m",Colombia,co,https://www.transfermarkt.us/humberto-osorio/profil/spieler/84133,https://img.a.transfermarkt.technology/portrait/small/84133-1583847122.jpg?lm=1,N/A,24.06.1988,Valledupar,Lobos de la UPNFM
6,Luis Tonelotto,Luis Francisco Tonelotto,56,14,6,3.899,N/A,Tonelotto,Unknown,7,0,CA San Martín (San Juan),Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/luis-tonelotto/profil/spieler/30867,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.04.1976,Concepción del Uruguay,Retired
7,Sebastián González,Sebastián Emmanuel González,112,14,20,7.595,N/A,González,#10,16,0,CA San Martín (San Juan),Midfield - Attacking Midfield,"1,66 m",Argentina,ar,https://www.transfermarkt.us/sebastian-gonzalez/profil/spieler/106404,https://img.a.transfermarkt.technology/portrait/small/s_106404_1775_2012_1.jpg?lm=1,N/A,04.03.1992,Lomas de Zamora,CA San Martín (San Juan)
8,Mauro Bogado,Mauro Ezequiel Bogado,91,13,6,7.059,N/A,Bogado,Unknown,27,2,CA San Martín (San Juan),Midfield - Central Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/mauro-bogado/profil/spieler/54822,https://img.a.transfermarkt.technology/portrait/small/54822-1462366670.jpg?lm=1,N/A,31.05.1985,San Martín (BUE),Retired
9,Emanuel Dening,Fernando Emanuel Dening,53,12,7,3.905,N/A,Dening,Unknown,15,0,CA San Martín (San Juan),Attack - Right Winger,"1,73 m",Argentina,ar,https://www.transfermarkt.us/emanuel-dening/profil/spieler/124904,https://img.a.transfermarkt.technology/portrait/small/124904-1711309639.png?lm=1,N/A,14.12.1988,Goya,CA San Miguel
10,Nicolas Franco,Unknown,60,10,4,2.567,N/A,Franco,Unknown,6,0,CA San Martín (San Juan),Attack - Centre-Forward,"1,83 m",Argentina,ar,https://www.transfermarkt.us/nicolas-franco/profil/spieler/441421,https://img.a.transfermarkt.technology/portrait/small/441421-1732823505.png?lm=1,N/A,29.04.1996,Azul,CA Colegiales
11,Nazareno Fúnez,Nazareno Manuel Fúnez,20,10,0,1.303,N/A,Fúnez,#45,0,0,CA San Martín (San Juan),Attack - Centre-Forward,"1,87 m",Argentina,ar,https://www.transfermarkt.us/nazareno-funez/profil/spieler/960200,https://img.a.transfermarkt.technology/portrait/small/960200-1639413512.JPG?lm=1,N/A,06.02.2001,Rosario,CA Central Córdoba (SdE)
12,Facundo Barceló,Facundo Barceló Viera,41,10,7,2.539,N/A,Barceló,#31,3,0,CA San Martín (San Juan),Attack - Centre-Forward,"1,80 m",Uruguay,uy,https://www.transfermarkt.us/facundo-barcelo/profil/spieler/259911,https://img.a.transfermarkt.technology/portrait/small/259911-1706846039.jpg?lm=1,N/A,31.03.1993,Florida,Goiás EC
13,Ezequiel Rescaldani,Ezequiel Édison Rescaldani,27,10,2,1.934,N/A,Rescaldani,Unknown,3,0,CA San Martín (San Juan),Attack - Centre-Forward,"1,92 m",Argentina,ar,https://www.transfermarkt.us/ezequiel-rescaldani/profil/spieler/164477,https://img.a.transfermarkt.technology/portrait/small/164477-1468574035.jpg?lm=1,N/A,11.06.1992,Leones,Retired
14,Marcos Figueroa,Marcos Daniel Figueroa,36,9,4,2.898,N/A,Figueroa,Unknown,3,0,CA San Martín (San Juan),Attack - Centre-Forward,"1,72 m",Argentina,ar,https://www.transfermarkt.us/marcos-figueroa/profil/spieler/81599,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.01.1990,Rosario,CS Desamparados (San Juan)
15,Javier Toledo,Javier Fabián Toledo,22,9,1,1.596,N/A,Toledo,Unknown,2,2,CA San Martín (San Juan),Attack - Centre-Forward,"1,90 m",Argentina,ar,https://www.transfermarkt.us/javier-toledo/profil/spieler/72620,https://img.a.transfermarkt.technology/portrait/small/72620-1677497976.JPG?lm=1,N/A,20.04.1986,Marcos Juárez,CA Temperley
16,Luis Ardente,Luis Emanuel Ardente,197,9,0,17.567,N/A,Ardente,Unknown,23,0,CA San Martín (San Juan),Goalkeeper,"1,86 m",Argentina,ar,https://www.transfermarkt.us/luis-ardente/profil/spieler/60876,https://img.a.transfermarkt.technology/portrait/small/s_60876_10511_2012_1.jpg?lm=1,N/A,17.09.1981,San Isidro,Retired
17,Tomás Fernández,Aldo Tomás Luján Fernández,59,8,9,3.478,N/A,Fernández,#27,4,0,CA San Martín (San Juan),Attack - Right Winger,"1,76 m",Argentina,ar,https://www.transfermarkt.us/tomas-fernandez/profil/spieler/613364,https://img.a.transfermarkt.technology/portrait/small/613364-1732823389.png?lm=1,N/A,11.02.1998,Junín,CA San Martín (San Juan)
18,Jorge Luna,Jorge Luis Luna,42,8,8,3.036,N/A,Luna,#10,5,1,CA San Martín (San Juan),Midfield - Attacking Midfield,"1,71 m",Argentina,ar,https://www.transfermarkt.us/jorge-luna/profil/spieler/55925,https://img.a.transfermarkt.technology/portrait/small/55925-1719605808.png?lm=1,N/A,14.12.1986,Tigre,Santiago Wanderers
19,Sebastián Brusco,José Sebastián Brusco,33,8,2,2.903,N/A,Brusco,Unknown,9,0,CA San Martín (San Juan),Defender - Centre-Back,"1,86 m",Argentina,ar,https://www.transfermarkt.us/sebastian-brusco/profil/spieler/54455,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.08.1974,Unknown,Retired
20,Marcos Gelabert,Marcos Agustín Gelabert,134,8,6,9.572,N/A,Gelabert,Unknown,36,2,CA San Martín (San Juan),Midfield - Defensive Midfield,"1,76 m",Argentina,ar,https://www.transfermarkt.us/marcos-gelabert/profil/spieler/20130,https://img.a.transfermarkt.technology/portrait/small/20130-1722343584.jpg?lm=1,N/A,16.09.1981,General Pico,Retired
