rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Michael Santos,Michael Nicolás Santos Rosadilla,103,34,10,6.195,N/A,Santos,#7,9,0,CA Talleres,Attack - Centre-Forward,"1,74 m",Uruguay,uy,https://www.transfermarkt.us/michael-santos/profil/spieler/178107,https://img.a.transfermarkt.technology/portrait/small/178107-1662916366.png?lm=1,N/A,13.03.1993,Montevideo,CA Vélez Sarsfield
2,Nahuel Bustos,Lautaro Nahuel Bustos,105,28,7,5.817,N/A,Bustos,#7,13,0,CA Talleres,Attack - Centre-Forward,"1,76 m",Argentina,ar,https://www.transfermarkt.us/nahuel-bustos/profil/spieler/439629,https://img.a.transfermarkt.technology/portrait/small/439629-1588661972.jpg?lm=1,N/A,04.07.1998,Córdoba,CA Talleres
3,Diego Valoyes,Diego Luis Valoyes Ruíz,141,26,20,9.649,N/A,Valoyes,#7,25,0,CA Talleres,Attack - Right Winger,"1,81 m",Colombia,co,https://www.transfermarkt.us/diego-valoyes/profil/spieler/413983,https://img.a.transfermarkt.technology/portrait/small/413983-1662916084.png?lm=1,N/A,22.09.1996,Cartagena de Indias,FC Juárez
4,Sebastián Palacios,Sebastián Alberto Palacios,80,21,7,5.496,N/A,Palacios,#34,12,2,CA Talleres,Attack - Right Winger,"1,69 m",Argentina,ar,https://www.transfermarkt.us/sebastian-palacios/profil/spieler/262861,https://img.a.transfermarkt.technology/portrait/small/262861-1660812667.jpg?lm=1,N/A,20.01.1992,Juan Bautista Alberdi,CA Talleres
5,Federico Girotti,Unknown,99,20,1,6.330,N/A,Girotti,#9,9,0,CA Talleres,Attack - Centre-Forward,"1,90 m",Argentina,ar,https://www.transfermarkt.us/federico-girotti/profil/spieler/639149,https://img.a.transfermarkt.technology/portrait/small/639149-1662916238.png?lm=1,N/A,02.06.1999,Acassuso,CA Talleres
6,Ramón Sosa,Ramón Sosa Acosta,56,17,13,4.115,N/A,Sosa,#24,5,0,CA Talleres,Attack - Left Winger,"1,79 m",Paraguay,py,https://www.transfermarkt.us/ramon-sosa/profil/spieler/745191,https://img.a.transfermarkt.technology/portrait/small/745191-1731056200.jpg?lm=1,N/A,31.08.1999,Maracaná,Nottingham Forest
7,Aldo Osorio,Aldo Pedro Arcángel Osorio,33,16,2,2.375,N/A,Osorio,Unknown,2,0,CA Talleres,Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/aldo-osorio/profil/spieler/6439,https://img.a.transfermarkt.technology/portrait/small/6439-1729265074.JPG?lm=1,N/A,12.06.1974,San Nicolás (Buenos Aires),Retired
8,Jonathan Menéndez,Jonathan Diego Menéndez,56,16,6,3.707,N/A,Menéndez,#37,4,0,CA Talleres,Attack - Left Winger,"1,64 m",Argentina,ar,https://www.transfermarkt.us/jonathan-menendez/profil/spieler/232142,https://img.a.transfermarkt.technology/portrait/small/232142-1645892981.jpg?lm=1,N/A,05.03.1994,Buenos Aires,CA San Martín (San Juan)
9,Rodrigo Astudillo,Rodrigo Daniel Astudillo,51,16,5,4.310,N/A,Astudillo,Unknown,5,0,CA Talleres,Attack - Centre-Forward,"1,78 m",Argentina,ar,https://www.transfermarkt.us/rodrigo-astudillo/profil/spieler/74050,https://img.a.transfermarkt.technology/portrait/small/74050-1705345663.JPG?lm=1,N/A,23.11.1977,Jesús María,Retired
10,Gonzalo Klusener,Gonzalo Martín Klusener,48,16,0,3.258,N/A,Klusener,Unknown,5,1,CA Talleres,Attack - Centre-Forward,"1,83 m",Argentina,ar,https://www.transfermarkt.us/gonzalo-klusener/profil/spieler/87367,https://img.a.transfermarkt.technology/portrait/small/87367-1729199086.JPG?lm=1,N/A,21.10.1983,La Plata,Arsenal FC
