rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Saviour Godwin,Saviour Amunde Godwin,102,24,14,8.018,N/A,Godwin,#10,18,1,Casa Pia AC,Attack - Left Winger,"1,73 m",Nigeria,ng,https://www.transfermarkt.us/saviour-godwin/profil/spieler/295327,https://img.a.transfermarkt.technology/portrait/small/295327-1716063806.png?lm=1,N/A,22.08.1996,Jos,Al-Okhdood Club
2,Jota Silva,Unknown,56,16,7,3.220,N/A,Jota Silva,#20,9,0,Casa Pia AC,Attack - Right Winger,"1,79 m",Portugal,pt,https://www.transfermarkt.us/jota-silva/profil/spieler/663244,https://img.a.transfermarkt.technology/portrait/small/663244-1731056081.jpg?lm=1,N/A,01.08.1999,Gondomar,Nottingham Forest
3,Clayton,Unknown,64,16,1,3.481,N/A,Clayton,#9,15,1,Casa Pia AC,Attack - Centre-Forward,"1,84 m",Brazil,br,https://www.transfermarkt.us/clayton/profil/spieler/733579,https://img.a.transfermarkt.technology/portrait/small/733579-1737125523.jpg?lm=1,N/A,11.01.1999,Belo Horizonte,Rio Ave FC
4,Felippe Cardoso,Unknown,46,12,0,2.293,N/A,Felippe Cardoso,#9,10,0,Casa Pia AC,Attack - Centre-Forward,"1,87 m",Brazil,br,https://www.transfermarkt.us/felippe-cardoso/profil/spieler/596067,https://img.a.transfermarkt.technology/portrait/small/596067-1722258336.png?lm=1,N/A,04.10.1998,São Paulo,Henan FC
5,Nuno Moreira,Nuno Gonçalo Rocha Moreira,38,11,7,2.668,N/A,Moreira,#17,3,0,Casa Pia AC,Attack - Left Winger,"1,75 m",Portugal,pt,https://www.transfermarkt.us/nuno-moreira/profil/spieler/461937,https://img.a.transfermarkt.technology/portrait/small/461937-1729963502.jpg?lm=1,N/A,16.06.1999,Espinho,Clube de Regatas Vasco da Gama
6,Malik Abubakari,Abdul Malik Abubakari,33,11,4,2.346,N/A,Abubakari,#9,5,1,Casa Pia AC,Attack - Centre-Forward,"1,85 m",Ghana,gh,https://www.transfermarkt.us/malik-abubakari/profil/spieler/682794,https://img.a.transfermarkt.technology/portrait/small/682794-1562053567.png?lm=1,N/A,10.05.2000,Tamale,Lyngby Boldklub
7,Leonardo Lelo,Leonardo Filipe da Cruz Lelo,137,10,17,11.747,N/A,Lelo,#5,12,0,Casa Pia AC,Defender - Left-Back,"1,75 m",Portugal,pt,https://www.transfermarkt.us/leonardo-lelo/profil/spieler/669956,https://img.a.transfermarkt.technology/portrait/small/669956-1663603059.png?lm=1,N/A,30.03.2000,Olhão,Casa Pia AC
8,Cassiano,Unknown,22,10,2,1.545,N/A,Cassiano,#90,3,0,Casa Pia AC,Attack - Centre-Forward,"1,84 m",Brazil,br,https://www.transfermarkt.us/cassiano/profil/spieler/238367,https://img.a.transfermarkt.technology/portrait/small/238367-1705756565.jpg?lm=1,N/A,16.06.1989,Porto Alegre,Casa Pia AC
9,Rafael Martins,Clecildo Rafael Martins de Souza Ladislau,36,9,1,1.877,N/A,Martins,#9,7,0,Casa Pia AC,Attack - Centre-Forward,"1,77 m",Brazil,br,https://www.transfermarkt.us/rafael-martins/profil/spieler/99499,https://img.a.transfermarkt.technology/portrait/small/99499-1663603828.png?lm=1,N/A,17.03.1989,Santos,Leixões SC
10,Zach Muscat,Unknown,61,7,2,4.989,N/A,Muscat,#22,12,0,Casa Pia AC,Defender - Centre-Back,"1,84 m",Malta,mt,https://www.transfermarkt.us/zach-muscat/profil/spieler/198722,https://img.a.transfermarkt.technology/portrait/small/198722-1475747327.jpg?lm=1,N/A,22.08.1993,St. Andrews,Sanliurfaspor
