rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Léonard Kweuke,Leony Léonard Kweuke,120,58,14,9.224,N/A,Kweuke,Unknown,18,0,Caykur Rizespor,Attack - Centre-Forward,,Cameroon,cm,https://www.transfermarkt.us/leonard-kweuke/profil/spieler/80697,https://img.a.transfermarkt.technology/portrait/small/s_80697_126_2013_09_13_1.jpg?lm=1,N/A,12.07.1987,Yaoundè,Retired
2,Braian Samudio,Braian José Samudio Segovia,139,39,18,10.109,N/A,Samudio,#81,17,2,Caykur Rizespor,Attack - Centre-Forward,"1,81 m",Paraguay,py,https://www.transfermarkt.us/braian-samudio/profil/spieler/520405,https://img.a.transfermarkt.technology/portrait/small/520405-1726737466.jpg?lm=1,N/A,23.12.1995,Ciudad del Este,Antalyaspor
3,Okan Öztürk,Unknown,167,34,10,12.099,N/A,Öztürk,Unknown,18,1,Caykur Rizespor,Attack - Centre-Forward,"1,84 m",Türkiye,tr,https://www.transfermarkt.us/okan-ozturk/profil/spieler/7184,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.11.1977,Amasya,Retired
4,Deniz Kadah,Unknown,92,30,6,5.856,N/A,Kadah,#63,7,0,Caykur Rizespor,Attack - Centre-Forward,"1,88 m",Türkiye,tr,https://www.transfermarkt.us/deniz-kadah/profil/spieler/50413,https://img.a.transfermarkt.technology/portrait/small/50413-1660654349.png?lm=1,N/A,02.03.1986,Sanliurfa,Altay SK
5,Emmanuel Tetteh,Unknown,84,29,11,6.152,N/A,Tetteh,Unknown,7,0,Caykur Rizespor,Attack - Centre-Forward,"1,70 m",Ghana,gh,https://www.transfermarkt.us/emmanuel-tetteh/profil/spieler/7040,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.12.1974,Accra,Retired
6,Elionar Bombinha,Unknown,104,27,3,7.762,N/A,Elionar Bombinha,Unknown,10,0,Caykur Rizespor,Attack - Centre-Forward,"1,84 m",Brazil,br,https://www.transfermarkt.us/elionar-bombinha/profil/spieler/53564,https://img.a.transfermarkt.technology/portrait/small/s_53564_7209_2012_1.jpg?lm=1,N/A,10.06.1982,Santa Luzia,Retired
7,Vedat Muriqi,Unknown,52,25,11,4.405,N/A,Muriqi,#7,8,0,Caykur Rizespor,Attack - Centre-Forward,"1,94 m",Kosovo,unknown,https://www.transfermarkt.us/vedat-muriqi/profil/spieler/256267,https://img.a.transfermarkt.technology/portrait/small/256267-1627914833.jpg?lm=1,N/A,24.04.1994,Prizren,RCD Mallorca
8,Ümit Ozan Kazmaz,Unknown,62,21,10,5.142,N/A,Kazmaz,Unknown,16,0,Caykur Rizespor,Midfield - Attacking Midfield,Unknown,Türkiye,tr,https://www.transfermarkt.us/umit-ozan-kazmaz/profil/spieler/7004,https://img.a.transfermarkt.technology/portrait/small/7004-1466616544.jpg?lm=1,N/A,25.08.1976,Rize,Retired
9,Yannick Bolasie,Unknown,55,20,4,3.278,N/A,Bolasie,#11,10,0,Caykur Rizespor,Attack - Left Winger,"1,85 m",DR Congo,unknown,https://www.transfermarkt.us/yannick-bolasie/profil/spieler/75471,https://img.a.transfermarkt.technology/portrait/small/75471-1663954867.png?lm=1,N/A,24.05.1989,Lyon,Cruzeiro Esporte Clube
10,Ousman Jallow,Unknown,48,20,6,4.035,N/A,Jallow,Unknown,6,0,Caykur Rizespor,Attack - Centre-Forward,"1,81 m",The Gambia,unknown,https://www.transfermarkt.us/ousman-jallow/profil/spieler/78990,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.10.1988,Banjul,Without Club
11,Severin Bikoko,Severin Brice Bikoko,35,19,3,2.973,N/A,Bikoko,Unknown,5,0,Caykur Rizespor,Attack - Centre-Forward,"1,85 m",Cameroon,cm,https://www.transfermarkt.us/severin-bikoko/profil/spieler/86614,https://img.a.transfermarkt.technology/portrait/small/s_86614_19771_2012_11_20_1.jpg?lm=1,N/A,24.09.1988,Yaounde,Without Club
12,Milan Skoda,Milan Škoda,48,19,3,3.410,N/A,Skoda,#21,3,0,Caykur Rizespor,Attack - Centre-Forward,"1,92 m",Czech Republic,cz,https://www.transfermarkt.us/milan-skoda/profil/spieler/63047,https://img.a.transfermarkt.technology/portrait/small/63047-1697911030.png?lm=1,N/A,16.01.1986,Praha,SK Slavia Prague B
13,Fernando Boldrin,Unknown,111,18,20,9.194,N/A,Fernando Boldrin,Unknown,23,0,Caykur Rizespor,Midfield - Attacking Midfield,"1,80 m",Brazil,br,https://www.transfermarkt.us/fernando-boldrin/profil/spieler/144752,https://img.a.transfermarkt.technology/portrait/small/144752-1663339682.png?lm=1,N/A,23.02.1989,Cravinhos,Without Club
14,Saffet Akyüz,Unknown,42,17,7,2.978,N/A,Akyüz,Unknown,5,0,Caykur Rizespor,Attack - Centre-Forward,"1,82 m",Türkiye,tr,https://www.transfermarkt.us/saffet-akyuz/profil/spieler/7186,https://img.a.transfermarkt.technology/portrait/small/7186-1741624612.jpg?lm=1,N/A,11.03.1970,Trabzon,Retired
15,Joel Pohjanpalo,Unknown,33,16,1,2.123,N/A,Pohjanpalo,#19,0,0,Caykur Rizespor,Attack - Centre-Forward,"1,86 m",Finland,fi,https://www.transfermarkt.us/joel-pohjanpalo/profil/spieler/173491,https://img.a.transfermarkt.technology/portrait/small/173491-1658913890.jpg?lm=1,N/A,13.09.1994,Helsinki,Palermo FC
16,Fahri Tatan,Unknown,158,16,13,11.821,N/A,Tatan,Unknown,31,0,Caykur Rizespor,Midfield - Defensive Midfield,"1,70 m",Türkiye,tr,https://www.transfermarkt.us/fahri-tatan/profil/spieler/7442,https://img.a.transfermarkt.technology/portrait/small/7442-1741687390.jpeg?lm=1,N/A,30.05.1983,Rize,Retired
17,Hasan Vezir,Unknown,40,16,0,3.362,N/A,Vezir,Unknown,6,0,Caykur Rizespor,Attack - Centre-Forward,Unknown,Türkiye,tr,https://www.transfermarkt.us/hasan-vezir/profil/spieler/197172,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.09.1962,Rize,Retired
18,Dal Varesanovic,Dal Varešanović,64,15,5,3.930,N/A,Varesanovic,#8,11,0,Caykur Rizespor,Midfield - Attacking Midfield,"1,77 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/dal-varesanovic/profil/spieler/433105,https://img.a.transfermarkt.technology/portrait/small/433105-1729514636.jpg?lm=1,N/A,23.05.2001,Wien,Caykur Rizespor
19,Hakan Tecimer,Unknown,65,15,1,5.464,N/A,Tecimer,Unknown,10,0,Caykur Rizespor,Attack - Right Winger,Unknown,Türkiye,tr,https://www.transfermarkt.us/hakan-tecimer/profil/spieler/214917,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.01.1967,Rize,Retired
20,Sinan Bayraktar,Ali Rıza Sinan Bayraktar,69,15,1,5.691,N/A,Bayraktar,Unknown,9,0,Caykur Rizespor,Attack - Centre-Forward,Unknown,Türkiye,tr,https://www.transfermarkt.us/sinan-bayraktar/profil/spieler/577744,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.01.1965,Ordu,Retired
