rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Francisco Palencia,Juan Francisco Palencia Hernández,224,92,8,18.192,N/A,Palencia,Unknown,37,2,CD Cruz Azul,Attack - Centre-Forward,"1,71 m",Mexico,mx,https://www.transfermarkt.us/francisco-palencia/profil/spieler/39487,https://img.a.transfermarkt.technology/portrait/small/s_39487_123_2012_1.jpg?lm=1,N/A,28.04.1973,Mexico City,Retired
2,Christian Gimenez,Christian Eduardo Gimenez,310,74,50,21.853,N/A,Gimenez,Unknown,59,3,CD Cruz Azul,Midfield - Attacking Midfield,"1,70 m",Mexico,mx,https://www.transfermarkt.us/christian-gimenez/profil/spieler/28085,https://img.a.transfermarkt.technology/portrait/small/28085-1507888706.jpg?lm=1,N/A,01.02.1981,Resistencia,Retired
3,Emanuel Villa,Emanuel Alejandro Villa,132,66,19,10.819,N/A,Villa,Unknown,22,1,CD Cruz Azul,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/emanuel-villa/profil/spieler/54022,https://img.a.transfermarkt.technology/portrait/small/54022-1477559294.jpg?lm=1,N/A,24.02.1982,Casilda,Retired
4,Javier Orozco,Javier Antonio Orozco Peñuelas,172,62,13,8.574,N/A,Orozco,Unknown,7,1,CD Cruz Azul,Attack - Centre-Forward,"1,74 m",Mexico,mx,https://www.transfermarkt.us/javier-orozco/profil/spieler/82784,https://img.a.transfermarkt.technology/portrait/small/82784-1452772908.jpg?lm=1,N/A,16.11.1987,Los Mochis,Retired
5,César Delgado,César Fabián Delgado Godoy,149,60,11,12.348,N/A,Delgado,Unknown,27,2,CD Cruz Azul,Attack - Right Winger,"1,71 m",Argentina,ar,https://www.transfermarkt.us/cesar-delgado/profil/spieler/31427,https://img.a.transfermarkt.technology/portrait/small/31427-1415311307.jpg?lm=1,N/A,18.08.1981,Rosario,Retired
6,Carlos Hermosillo,Carlos Manuel Hermosillo Goytortúa,72,53,2,5.908,N/A,Hermosillo,Unknown,14,1,CD Cruz Azul,Attack - Centre-Forward,"1,88 m",Mexico,mx,https://www.transfermarkt.us/carlos-hermosillo/profil/spieler/102516,https://img.a.transfermarkt.technology/portrait/small/102516-1511855911.png?lm=1,N/A,24.08.1964,Cerro Azul,Retired
7,Jonathan Rodríguez,Jonathan Javier Rodríguez Portillo,108,50,12,7.791,N/A,Rodríguez,#14,7,1,CD Cruz Azul,Attack - Centre-Forward,"1,78 m",Uruguay,uy,https://www.transfermarkt.us/jonathan-rodriguez/profil/spieler/280795,https://img.a.transfermarkt.technology/portrait/small/280795-1740822087.jpg?lm=1,N/A,06.07.1993,Florida,Portland Timbers
8,Miguel Sabah,Miguel Sabah Rodríguez,116,45,6,7.576,N/A,Sabah,Unknown,21,0,CD Cruz Azul,Attack - Centre-Forward,"1,75 m",Mexico,mx,https://www.transfermarkt.us/miguel-sabah/profil/spieler/53189,https://img.a.transfermarkt.technology/portrait/small/53189-1425462609.jpg?lm=1,N/A,14.11.1979,Cancún,Retired
9,Sebastián Abreu,Washington Sebastián Abreu Gallo,46,42,0,3.662,N/A,Abreu,Unknown,9,1,CD Cruz Azul,Attack - Centre-Forward,"1,93 m",Uruguay,uy,https://www.transfermarkt.us/sebastian-abreu/profil/spieler/53817,https://img.a.transfermarkt.technology/portrait/small/53817-1491387995.jpg?lm=1,N/A,17.10.1976,Minas,Retired
10,Mariano Pavone,Hugo Mariano Pavone,103,41,11,8.321,N/A,Pavone,Unknown,18,0,CD Cruz Azul,Attack - Centre-Forward,"1,77 m",Argentina,ar,https://www.transfermarkt.us/mariano-pavone/profil/spieler/27462,https://img.a.transfermarkt.technology/portrait/small/27462-1640617204.JPG?lm=1,N/A,27.05.1982,Tres Sargentos,Retired
