rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Bryan Róchez,Bryan Giovanni Róchez Mejía,133,49,10,7.670,N/A,Róchez,#95,22,0,CD Nacional,Attack - Centre-Forward,"1,83 m",Honduras,hn,https://www.transfermarkt.us/bryan-rochez/profil/spieler/333199,https://img.a.transfermarkt.technology/portrait/small/333199-1534846060.jpg?lm=1,N/A,01.01.1995,Tegucigalpa,CD Mafra
2,Adriano,Unknown,94,45,3,7.624,N/A,Adriano,Unknown,14,1,CD Nacional,Attack - Centre-Forward,"1,81 m",Brazil,br,https://www.transfermarkt.us/adriano/profil/spieler/14225,https://img.a.transfermarkt.technology/portrait/small/s_14225_1075_2009_1.jpg?lm=1,N/A,03.01.1979,Rio Branco,Retired
3,Mateus,Unknown,152,38,20,10.726,N/A,Mateus,#9,20,0,CD Nacional,Attack - Left Winger,"1,76 m",Angola,ao,https://www.transfermarkt.us/mateus/profil/spieler/37947,https://img.a.transfermarkt.technology/portrait/small/37947-1510676783.jpg?lm=1,N/A,19.06.1984,Luanda,FC Maia Lidador
4,Mario Rondón,Mario Júnior Rondón Fernández,133,37,16,10.385,N/A,Rondón,Unknown,12,0,CD Nacional,Attack - Centre-Forward,"1,82 m",Venezuela,ve,https://www.transfermarkt.us/mario-rondon/profil/spieler/119272,https://img.a.transfermarkt.technology/portrait/small/119272-1693986691.png?lm=1,N/A,26.03.1986,Caracas,Retired
5,João Camacho,João Pedro Gomes Camacho,182,30,17,12.673,N/A,Camacho,#7,24,1,CD Nacional,Attack - Left Winger,"1,74 m",Portugal,pt,https://www.transfermarkt.us/joao-camacho/profil/spieler/268732,https://img.a.transfermarkt.technology/portrait/small/268732-1705665037.png?lm=1,N/A,23.06.1994,Funchal,Fatih Karagümrük
6,Claudemir,Unknown,120,26,9,9.976,N/A,Claudemir,Unknown,21,0,CD Nacional,Midfield - Defensive Midfield,"1,73 m",Brazil,br,https://www.transfermarkt.us/claudemir/profil/spieler/162532,https://img.a.transfermarkt.technology/portrait/small/162532-1731017186.jpg?lm=1,N/A,17.08.1984,Rio de Janeiro,Retired
7,Witi,Unknown,237,25,40,14.168,N/A,Witi,#81,28,0,CD Nacional,Attack - Left Winger,"1,77 m",Mozambique,mz,https://www.transfermarkt.us/witi/profil/spieler/352425,https://img.a.transfermarkt.technology/portrait/small/352425-1534846226.jpg?lm=1,N/A,26.08.1996,Beira,Al-Orooba FC
8,Marco Matias,Marco André da Silva Lopes Matias,82,25,13,6.196,N/A,Matias,#77,12,0,CD Nacional,Attack - Left Winger,"1,77 m",Portugal,pt,https://www.transfermarkt.us/marco-matias/profil/spieler/61764,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.05.1989,Barreiro,SC Farense
9,Ricardo Gomes,Ricardo Jorge Pires Gomes,81,24,9,5.367,N/A,Gomes,#10,9,1,CD Nacional,Attack - Centre-Forward,"1,87 m",Cape Verde,unknown,https://www.transfermarkt.us/ricardo-gomes/profil/spieler/258835,https://img.a.transfermarkt.technology/portrait/small/258835-1741159443.jpg?lm=1,N/A,18.12.1991,Praia,Al-Khor SC
10,Nenê,Unknown,36,23,6,3.245,N/A,Nenê,#18,11,0,CD Nacional,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/nene/profil/spieler/45717,https://img.a.transfermarkt.technology/portrait/small/45717-1537365392.jpg?lm=1,N/A,28.07.1983,Sorocaba,Avs Futebol
