rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Henrik Larsson,Henrik Edward Larsson,292,224,61,25.313,N/A,Larsson,Unknown,15,0,Celtic FC,Attack - Centre-Forward,,Sweden,se,https://www.transfermarkt.us/henrik-larsson/profil/spieler/3514,https://img.a.transfermarkt.technology/portrait/small/3514-1562138802.jpg?lm=1,N/A,20.09.1971,Helsingborg,Retired
2,Leigh Griffiths,Unknown,262,123,51,14.589,N/A,Griffiths,Unknown,28,0,Celtic FC,Attack - Centre-Forward,"1,80 m",Scotland,unknown,https://www.transfermarkt.us/leigh-griffiths/profil/spieler/45611,https://img.a.transfermarkt.technology/portrait/small/45611-1590138992.jpg?lm=1,N/A,20.08.1990,Edinburgh,Mandurah City
3,James Forrest,Unknown,519,109,109,32.414,N/A,Forrest,#49,16,2,Celtic FC,Attack - Right Winger,"1,75 m",Scotland,unknown,https://www.transfermarkt.us/james-forrest/profil/spieler/84992,https://img.a.transfermarkt.technology/portrait/small/84992-1701211739.jpg?lm=1,N/A,07.07.1991,Prestwick,Celtic FC
4,John Hartson,Unknown,197,105,36,14.868,N/A,Hartson,Unknown,27,1,Celtic FC,Attack - Centre-Forward,"1,85 m",Wales,unknown,https://www.transfermarkt.us/john-hartson/profil/spieler/3094,https://img.a.transfermarkt.technology/portrait/small/3094-1564990914.jpg?lm=1,N/A,05.04.1975,Swansea,Retired
5,Kris Commons,Kristian Arran Commons,227,89,72,15.076,N/A,Commons,Unknown,13,1,Celtic FC,Midfield - Attacking Midfield,"1,68 m",Scotland,unknown,https://www.transfermarkt.us/kris-commons/profil/spieler/13561,https://img.a.transfermarkt.technology/portrait/small/s_13561_371_2012_1.jpg?lm=1,N/A,30.08.1983,Mansfield,Retired
6,Odsonne Edouard,Odsonne Édouard,179,87,37,12.199,N/A,Edouard,#27,12,0,Celtic FC,Attack - Centre-Forward,"1,87 m",France,fr,https://www.transfermarkt.us/odsonne-edouard/profil/spieler/344152,https://img.a.transfermarkt.technology/portrait/small/344152-1598301744.jpg?lm=1,N/A,16.01.1998,Kourou,Leicester City
7,Kyogo Furuhashi,古橋 亨梧,165,85,19,10.741,N/A,Furuhashi,#7,9,0,Celtic FC,Attack - Centre-Forward,"1,70 m",Japan,jp,https://www.transfermarkt.us/kyogo-furuhashi/profil/spieler/489463,https://img.a.transfermarkt.technology/portrait/small/489463-1671709799.jpg?lm=1,N/A,20.01.1995,"Ikoma, Nara",Stade Rennais FC
8,Chris Sutton,Christopher Roy Sutton,196,84,29,16.500,N/A,Sutton,Unknown,25,1,Celtic FC,Attack - Centre-Forward,,England,unknown,https://www.transfermarkt.us/chris-sutton/profil/spieler/7453,https://img.a.transfermarkt.technology/portrait/small/7453-1562138265.jpg?lm=1,N/A,10.03.1973,Nottingham,Retired
9,Gary Hooper,Unknown,138,82,30,11.128,N/A,Hooper,Unknown,9,0,Celtic FC,Attack - Centre-Forward,"1,77 m",England,unknown,https://www.transfermarkt.us/gary-hooper/profil/spieler/42513,https://img.a.transfermarkt.technology/portrait/small/s_42513_1123_2013_08_05_1.jpg?lm=1,N/A,26.01.1988,Loughton,Maldon & Tiptree FC
10,Anthony Stokes,Anthony Christopher Stokes,192,76,64,13.088,N/A,Stokes,Unknown,16,2,Celtic FC,Attack - Centre-Forward,"1,85 m",Ireland,ie,https://www.transfermarkt.us/anthony-stokes/profil/spieler/35587,https://img.a.transfermarkt.technology/portrait/small/35587-1600164724.jpg?lm=1,N/A,25.07.1988,Dublin,Retired
