rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Cuauhtémoc Blanco,Cuauhtémoc Blanco Bravo,291,138,16,24.146,N/A,Blanco,Unknown,106,7,CF América,Attack - Second Striker,"1,77 m",Mexico,mx,https://www.transfermarkt.us/cuauhtemoc-blanco/profil/spieler/28066,https://img.a.transfermarkt.technology/portrait/small/28066-1593522573.jpg?lm=1,N/A,17.01.1973,Mexico City,Retired
2,Henry Martin,Henry Josué Martin Mex,294,115,56,19.210,N/A,Martin,#21,10,0,CF América,Attack - Centre-Forward,"1,77 m",Mexico,mx,https://www.transfermarkt.us/henry-martin/profil/spieler/286339,https://img.a.transfermarkt.technology/portrait/small/286339-1565165533.png?lm=1,N/A,18.11.1992,Mérida,CF América
3,Salvador Cabañas,Salvador Cabañas Ortega,163,98,13,13.758,N/A,Cabañas,Unknown,7,0,CF América,Attack - Centre-Forward,"1,73 m",Paraguay,py,https://www.transfermarkt.us/salvador-cabanas/profil/spieler/38785,https://img.a.transfermarkt.technology/portrait/small/38785-1719158199.jpg?lm=1,N/A,05.08.1980,Asunción,Retired
4,Oribe Peralta,Oribe Peralta Morones,216,73,27,16.940,N/A,Peralta,Unknown,37,1,CF América,Attack - Centre-Forward,"1,78 m",Mexico,mx,https://www.transfermarkt.us/oribe-peralta/profil/spieler/53563,https://img.a.transfermarkt.technology/portrait/small/53563-1497615119.jpg?lm=1,N/A,12.01.1984,Torreón,Retired
5,Christian Benítez,Christian Rogelio Benítez Betancourt,79,52,15,6.886,N/A,Benítez,Unknown,11,0,CF América,Attack - Centre-Forward,"1,70 m",Ecuador,ec,https://www.transfermarkt.us/christian-benitez/profil/spieler/30916,https://img.a.transfermarkt.technology/portrait/small/s_30916_33288_2013_07_29_1.jpg?lm=1,N/A,01.05.1986,Quito,---
6,Álex Zendejas,Alejandro Zendejas Saavedra,143,40,23,9.772,N/A,Zendejas,#17,19,0,CF América,Attack - Right Winger,"1,67 m",United States,us,https://www.transfermarkt.us/alex-zendejas/profil/spieler/351505,https://img.a.transfermarkt.technology/portrait/small/351505-1735980931.jpg?lm=1,N/A,07.02.1998,Ciudad Juárez,CF América
7,Diego Valdés,Diego Alfonso Valdés Contreras,131,38,31,9.098,N/A,Valdés,#10,12,0,CF América,Midfield - Attacking Midfield,"1,79 m",Chile,cl,https://www.transfermarkt.us/diego-valdes/profil/spieler/249776,https://img.a.transfermarkt.technology/portrait/small/249776-1691602983.jpg?lm=1,N/A,30.01.1994,Puente Alto,CF América
8,Raúl Jiménez,Raúl Alonso Jiménez Rodríguez,103,38,16,7.857,N/A,Jiménez,#7,10,0,CF América,Attack - Centre-Forward,"1,87 m",Mexico,mx,https://www.transfermarkt.us/raul-jimenez/profil/spieler/206040,https://img.a.transfermarkt.technology/portrait/small/206040-1742820547.jpg?lm=1,N/A,05.05.1991,Tepeji del Río de Ocampo,Fulham FC
9,Kléber Pereira,Kléber João Boas Pereira,61,37,0,4.816,N/A,Pereira,Unknown,11,0,CF América,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/kleber-pereira/profil/spieler/28109,https://img.a.transfermarkt.technology/portrait/small/28109-1720056102.jpg?lm=1,N/A,13.08.1975,Peri Mirim,Retired
10,Iván Zamorano,Iván Luis Zamorano Zamora,72,37,0,5.585,N/A,Zamorano,Unknown,16,0,CF América,Attack - Centre-Forward,"1,78 m",Chile,cl,https://www.transfermarkt.us/ivan-zamorano/profil/spieler/129083,https://img.a.transfermarkt.technology/portrait/small/129083-1605190647.jpg?lm=1,N/A,18.01.1967,Maipú,Retired
11,Roger Martínez,Roger Beyker Martínez Tobinson,162,35,17,9.330,N/A,Martínez,#38,21,3,CF América,Attack - Centre-Forward,"1,80 m",Colombia,co,https://www.transfermarkt.us/roger-martinez/profil/spieler/285771,https://img.a.transfermarkt.technology/portrait/small/285771-1724348495.png?lm=1,N/A,23.06.1994,Cartagena de Indias,Al-Taawoun FC
12,Pável Pardo,Pável Pardo Segura,385,32,27,32.988,N/A,Pardo,Unknown,108,5,CF América,Midfield - Defensive Midfield,,Mexico,mx,https://www.transfermarkt.us/pavel-pardo/profil/spieler/29579,https://img.a.transfermarkt.technology/portrait/small/29579-1720393766.jpg?lm=1,N/A,26.07.1976,Guadalajara,Retired
13,Hugo Castillo,Hugo Norberto Castillo Franco,110,31,1,6.535,N/A,Castillo,Unknown,19,1,CF América,Attack - Centre-Forward,"1,73 m",Argentina,ar,https://www.transfermarkt.us/hugo-castillo/profil/spieler/808440,https://img.a.transfermarkt.technology/portrait/small/808440-1712339606.jpg?lm=1,N/A,17.03.1971,Capioví,Retired
14,Matías Vuoso,Vicente José Matías Vuoso,94,29,6,5.521,N/A,Vuoso,Unknown,21,1,CF América,Attack - Centre-Forward,"1,75 m",Mexico,mx,https://www.transfermarkt.us/matias-vuoso/profil/spieler/3812,https://img.a.transfermarkt.technology/portrait/small/3812-1441286665.jpg?lm=1,N/A,03.11.1981,Mar del Plata,Retired
15,Reinaldo Navia,Reinaldo Marcelino Navia Amador,49,28,0,3.597,N/A,Navia,Unknown,10,6,CF América,Attack - Centre-Forward,"1,72 m",Chile,cl,https://www.transfermarkt.us/reinaldo-navia/profil/spieler/21768,https://img.a.transfermarkt.technology/portrait/small/21768-1542022737.jpg?lm=1,N/A,10.05.1978,Quilpué,Retired
16,Ángel Reyna,Ángel Eduardo Reyna Martínez,103,28,15,7.250,N/A,Reyna,Unknown,36,1,CF América,Attack - Second Striker,"1,69 m",Mexico,mx,https://www.transfermarkt.us/angel-reyna/profil/spieler/53829,https://img.a.transfermarkt.technology/portrait/small/53829-1441798926.jpg?lm=1,N/A,19.09.1984,Mexico City,Retired
17,Claudio López,Claudio Javier López,98,28,1,7.259,N/A,López,Unknown,20,0,CF América,Attack - Centre-Forward,"1,78 m",Argentina,ar,https://www.transfermarkt.us/claudio-lopez/profil/spieler/3418,https://img.a.transfermarkt.technology/portrait/small/s_3418_123_2013_03_21_1.jpg?lm=1,N/A,17.07.1974,Río Tercero,Retired
18,Michael Arroyo,Michael Antonio Arroyo Mina,132,27,12,7.857,N/A,Arroyo,Unknown,30,2,CF América,Attack - Left Winger,"1,79 m",Ecuador,ec,https://www.transfermarkt.us/michael-arroyo/profil/spieler/45874,https://img.a.transfermarkt.technology/portrait/small/45874-1470917622.jpg?lm=1,N/A,23.04.1987,Guayaquil,CA Espartanos Chanduy
19,Bruno Valdez,Bruno Amílcar Valdez Rojas,227,27,8,19.216,N/A,Valdez,#18,39,3,CF América,Defender - Centre-Back,"1,81 m",Paraguay,py,https://www.transfermarkt.us/bruno-valdez/profil/spieler/335768,https://img.a.transfermarkt.technology/portrait/small/335768-1565160240.png?lm=1,N/A,06.10.1992,Fernando de la Mora,Club Cerro Porteño
20,Daniel Montenegro,Daniel Gastón Montenegro,142,27,45,11.249,N/A,Montenegro,Unknown,15,1,CF América,Midfield - Attacking Midfield,"1,74 m",Argentina,ar,https://www.transfermarkt.us/daniel-montenegro/profil/spieler/25020,https://img.a.transfermarkt.technology/portrait/small/25020-1462372391.jpg?lm=1,N/A,28.03.1979,Buenos Aires,Retired
