rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Gaúcho,Unknown,98,45,1,7.968,N/A,Gaúcho,Unknown,14,0,CF Estrela Amadora,Attack - Centre-Forward,"1,81 m",Brazil,br,https://www.transfermarkt.us/gaucho/profil/spieler/14117,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.09.1972,Unknown,Retired
2,Paulinho,Unknown,44,19,3,2.442,N/A,Paulinho,#7,5,0,CF Estrela Amadora,Attack - Centre-Forward,"1,86 m",Portugal,pt,https://www.transfermarkt.us/paulinho/profil/spieler/842718,https://img.a.transfermarkt.technology/portrait/small/842718-1668162713.png?lm=1,N/A,21.09.1999,Braga,Bandirmaspor
3,Kikas,Unknown,76,17,2,4.086,N/A,Kikas,#98,9,0,CF Estrela Amadora,Attack - Centre-Forward,"1,77 m",Portugal,pt,https://www.transfermarkt.us/kikas/profil/spieler/383807,https://img.a.transfermarkt.technology/portrait/small/383807-1743700258.jpg?lm=1,N/A,17.09.1998,Castelo Branco,CF Estrela Amadora
4,Anselmo,Unknown,87,16,2,5.303,N/A,Anselmo,Unknown,14,0,CF Estrela Amadora,Attack - Centre-Forward,"1,82 m",Portugal,pt,https://www.transfermarkt.us/anselmo/profil/spieler/33999,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.01.1984,Freiria,Retired
5,Diogo Pinto,Diogo Costa Pinto,34,14,0,2.604,N/A,Pinto,#23,4,0,CF Estrela Amadora,Midfield - Attacking Midfield,"1,75 m",Portugal,pt,https://www.transfermarkt.us/diogo-pinto/profil/spieler/462252,https://img.a.transfermarkt.technology/portrait/small/462252-1723992438.jpg?lm=1,N/A,29.06.1999,Tomar,NK Olimpija Ljubljana
6,António Semedo,António Paulo Sanchez Semedo,112,12,8,8.086,N/A,Semedo,Unknown,12,0,CF Estrela Amadora,Attack - Right Winger,"1,70 m",Portugal,pt,https://www.transfermarkt.us/antonio-semedo/profil/spieler/13207,https://img.a.transfermarkt.technology/portrait/small/13207-1697782907.jpg?lm=1,N/A,01.06.1979,Lisboa,Retired
7,Ronaldo Tavares,Ronaldo Rodrigues Tavares,55,11,4,2.814,N/A,Tavares,#20,9,0,CF Estrela Amadora,Attack - Centre-Forward,"1,94 m",Portugal,pt,https://www.transfermarkt.us/ronaldo-tavares/profil/spieler/340531,https://img.a.transfermarkt.technology/portrait/small/340531-1739447654.jpg?lm=1,N/A,22.07.1997,Seixal,Yverdon Sport FC
8,Júlio César,Júlio César da Silva e Souza,30,10,0,2.343,N/A,César,Unknown,2,1,CF Estrela Amadora,Attack - Centre-Forward,"1,77 m",Brazil,br,https://www.transfermarkt.us/julio-cesar/profil/spieler/13208,https://img.a.transfermarkt.technology/portrait/small/s_13208_776_2012_1.jpg?lm=1,N/A,26.02.1980,Itaguai,Retired
9,Maurício,Unknown,62,9,1,5.493,N/A,Maurício,Unknown,21,1,CF Estrela Amadora,Defender - Centre-Back,"1,92 m",Brazil,br,https://www.transfermarkt.us/mauricio/profil/spieler/17374,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.07.1976,Passo Fundo,Retired
10,Rui Neves,Unknown,134,7,2,10.881,N/A,Rui Neves,Unknown,29,1,CF Estrela Amadora,Defender - Right-Back,"1,74 m",Portugal,pt,https://www.transfermarkt.us/rui-neves/profil/spieler/13196,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.12.1969,Lisboa,Retired
