rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Rogelio Funes Mori,Rogelio Gabriel Funes Mori,328,160,39,25.020,N/A,Funes Mori,#29,67,2,CF Monterrey,Attack - Centre-Forward,"1,86 m",Mexico,mx,https://www.transfermarkt.us/rogelio-funes-mori/profil/spieler/135082,https://img.a.transfermarkt.technology/portrait/small/135082-1668454750.jpg?lm=1,N/A,05.03.1991,Mendoza,UNAM Pumas
2,Humberto Suazo,Humberto Andrés Suazo Pontivo,255,121,77,19.882,N/A,Suazo,#26,53,1,CF Monterrey,Attack - Centre-Forward,"1,70 m",Chile,cl,https://www.transfermarkt.us/humberto-suazo/profil/spieler/39655,https://img.a.transfermarkt.technology/portrait/small/39655-1415311323.jpg?lm=1,N/A,10.05.1981,San Antonio,San Luis de Quillota
3,Dorlan Pabón,Dorlan Mauricio Pabón Ríos,300,88,82,21.536,N/A,Pabón,#8,40,0,CF Monterrey,Attack - Right Winger,"1,68 m",Colombia,co,https://www.transfermarkt.us/dorlan-pabon/profil/spieler/74667,https://img.a.transfermarkt.technology/portrait/small/74667-1717729153.JPG?lm=1,N/A,24.01.1988,Medellín,Envigado FC
4,Aldo de Nigris,Jesús Aldo de Nigris Guajardo,232,83,32,15.196,N/A,de Nigris,Unknown,44,2,CF Monterrey,Attack - Centre-Forward,"1,84 m",Mexico,mx,https://www.transfermarkt.us/aldo-de-nigris/profil/spieler/53787,https://img.a.transfermarkt.technology/portrait/small/53787-1469189075.png?lm=1,N/A,22.07.1983,Monterrey,Retired
5,Guillermo Franco,Guillermo Luis Franco Farquarson,122,64,0,9.961,N/A,Franco,Unknown,36,7,CF Monterrey,Attack - Centre-Forward,"1,85 m",Mexico,mx,https://www.transfermarkt.us/guillermo-franco/profil/spieler/37558,https://img.a.transfermarkt.technology/portrait/small/37558-1720394033.jpg?lm=1,N/A,03.11.1976,Corrientes,Retired
6,Luis Pérez,Luis Ernesto Pérez Gómez,382,56,25,31.574,N/A,Pérez,Unknown,111,5,CF Monterrey,Midfield - Central Midfield,"1,71 m",Mexico,mx,https://www.transfermarkt.us/luis-perez/profil/spieler/31438,https://img.a.transfermarkt.technology/portrait/small/31438-1720408658.jpg?lm=1,N/A,12.01.1981,Mexico City,Retired
7,Germán Berterame,Unknown,117,47,11,8.839,N/A,Berterame,#7,9,1,CF Monterrey,Attack - Centre-Forward,"1,76 m",Mexico,mx,https://www.transfermarkt.us/german-berterame/profil/spieler/401572,https://img.a.transfermarkt.technology/portrait/small/401572-1691601648.jpg?lm=1,N/A,13.11.1998,Córdoba,CF Monterrey
8,Jesús Arellano,José de Jesús Arellano Alcocer,359,46,13,27.241,N/A,Arellano,Unknown,57,5,CF Monterrey,Attack - Right Winger,"1,71 m",Mexico,mx,https://www.transfermarkt.us/jesus-arellano/profil/spieler/29571,https://img.a.transfermarkt.technology/portrait/small/29571-1720408163.jpg?lm=1,N/A,08.05.1973,Monterrey,Retired
9,Nicolás Sánchez,Nicolás Gabriel Sánchez,180,42,2,15.558,N/A,Sánchez,Unknown,32,3,CF Monterrey,Defender - Centre-Back,"1,85 m",Argentina,ar,https://www.transfermarkt.us/nicolas-sanchez/profil/spieler/58911,https://img.a.transfermarkt.technology/portrait/small/58911-1580827496.png?lm=1,N/A,04.02.1986,Buenos Aires,Retired
10,Neri Cardozo,Neri Raúl Cardozo Pringles,310,42,50,21.213,N/A,Cardozo,Unknown,49,4,CF Monterrey,Midfield - Attacking Midfield,"1,72 m",Argentina,ar,https://www.transfermarkt.us/neri-cardozo/profil/spieler/19955,https://img.a.transfermarkt.technology/portrait/small/19955-1506587060.png?lm=1,N/A,08.08.1986,Mendoza,Retired
