rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Ignacio Piatti,Ignacio Alberto Piatti,163,79,37,13.702,N/A,Piatti,Unknown,18,0,CF Montréal,Attack - Left Winger,"1,80 m",Argentina,ar,https://www.transfermarkt.us/ignacio-piatti/profil/spieler/37433,https://img.a.transfermarkt.technology/portrait/small/37433-1583612041.jpg?lm=1,N/A,04.02.1985,General Baldissera,Retired
2,Marco Di Vaio,Unknown,87,40,14,6.720,N/A,Di Vaio,Unknown,10,1,CF Montréal,Attack - Centre-Forward,"1,79 m",Italy,it,https://www.transfermarkt.us/marco-di-vaio/profil/spieler/4170,https://img.a.transfermarkt.technology/portrait/small/4170-1455621250.jpg?lm=1,N/A,15.07.1976,Roma,Retired
3,Romell Quioto,Romell Samir Quioto Robinson,94,38,19,6.598,N/A,Quioto,#91,15,2,CF Montréal,Attack - Centre-Forward,"1,80 m",Honduras,hn,https://www.transfermarkt.us/romell-quioto/profil/spieler/221907,https://img.a.transfermarkt.technology/portrait/small/221907-1678525170.jpg?lm=1,N/A,09.08.1991,Balfate,Al-Arabi SC
4,Didier Drogba,Didier Yves Drogba Tébily,41,23,7,3.078,N/A,Drogba,Unknown,8,1,CF Montréal,Attack - Centre-Forward,"1,89 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/didier-drogba/profil/spieler/3924,https://img.a.transfermarkt.technology/portrait/small/3924-1683633427.jpg?lm=1,N/A,11.03.1978,Abidjan,Retired
5,Roberto Brown,Roberto Ronaldo Brown Perea,83,22,12,5.462,N/A,Brown,Unknown,14,4,CF Montréal,Attack - Centre-Forward,"1,85 m",Panama,pa,https://www.transfermarkt.us/roberto-brown/profil/spieler/22744,https://img.a.transfermarkt.technology/portrait/small/22744-1609191134.jpg?lm=1,N/A,15.07.1977,Panama City,Retired
6,Saphir Taïder,Saphir Sliti Taïder,86,22,22,7.221,N/A,Taïder,#10,8,1,CF Montréal,Midfield - Central Midfield,"1,80 m",Algeria,dz,https://www.transfermarkt.us/saphir-taider/profil/spieler/144779,https://img.a.transfermarkt.technology/portrait/small/144779-1583613481.jpg?lm=1,N/A,29.02.1992,Castres,Gulf United FC
7,Eduardo Sebrango,Eduardo Sebrango Rodríguez,91,21,5,4.748,N/A,Sebrango,Unknown,7,0,CF Montréal,Attack - Centre-Forward,"1,85 m",Cuba,cu,https://www.transfermarkt.us/eduardo-sebrango/profil/spieler/59775,https://img.a.transfermarkt.technology/portrait/small/59775-1717090368.jpg?lm=1,N/A,13.04.1973,Sancti Spiritus,Retired
8,Sunusi Ibrahim,Unknown,100,20,5,4.095,N/A,Ibrahim,#14,2,0,CF Montréal,Attack - Centre-Forward,"1,68 m",Nigeria,ng,https://www.transfermarkt.us/sunusi-ibrahim/profil/spieler/672502,https://img.a.transfermarkt.technology/portrait/small/672502-1740597204.jpg?lm=1,N/A,01.10.2002,Keffi,CF Montréal
9,Tony Donatelli,Anthony Donatelli,101,20,9,6.340,N/A,Donatelli,Unknown,4,0,CF Montréal,Midfield - Central Midfield,"1,85 m",United States,us,https://www.transfermarkt.us/tony-donatelli/profil/spieler/59746,https://img.a.transfermarkt.technology/portrait/small/59746-1587908994.jpg?lm=1,N/A,07.06.1984,"Glenside, Pennsylvania",Retired
10,Anthony Jackson-Hamel,Unknown,91,18,6,3.459,N/A,Jackson-Hamel,Unknown,2,0,CF Montréal,Attack - Centre-Forward,"1,82 m",Canada,ca,https://www.transfermarkt.us/anthony-jackson-hamel/profil/spieler/333093,https://img.a.transfermarkt.technology/portrait/small/333093-1583613248.jpg?lm=1,N/A,03.08.1993,"Quebec City, Quebec",Retired
