rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Franco Jara,Franco Daniel Jara,169,83,19,12.704,N/A,Jara,#29,33,4,CF Pachuca,Attack - Centre-Forward,"1,81 m",Argentina,ar,https://www.transfermarkt.us/franco-jara/profil/spieler/75035,https://img.a.transfermarkt.technology/portrait/small/75035-1645956564.jpg?lm=1,N/A,15.07.1988,Villa María,Club Atlético Belgrano
2,Gabriel Caballero,Gabriel Esteban Caballero Schiker,388,66,10,30.088,N/A,Caballero,Unknown,54,0,CF Pachuca,Midfield - Attacking Midfield,"1,74 m",Mexico,mx,https://www.transfermarkt.us/gabriel-caballero/profil/spieler/52608,https://img.a.transfermarkt.technology/portrait/small/52608-1716933173.jpeg?lm=1,N/A,05.02.1971,Rosario,Retired
3,Christian Gimenez,Christian Eduardo Gimenez,187,65,31,13.626,N/A,Gimenez,Unknown,32,1,CF Pachuca,Midfield - Attacking Midfield,"1,70 m",Mexico,mx,https://www.transfermarkt.us/christian-gimenez/profil/spieler/28085,https://img.a.transfermarkt.technology/portrait/small/28085-1507888706.jpg?lm=1,N/A,01.02.1981,Resistencia,Retired
4,Juan Carlos Cacho,Juan Carlos Cacho Gutiérrez,202,62,6,10.951,N/A,Cacho,Unknown,24,0,CF Pachuca,Attack - Centre-Forward,"1,78 m",Mexico,mx,https://www.transfermarkt.us/juan-carlos-cacho/profil/spieler/28089,https://img.a.transfermarkt.technology/portrait/small/s_28089_1804_2013_11_06_1.jpg?lm=1,N/A,03.05.1982,Mexiko City,Retired
5,Víctor Guzmán,Víctor Alfonso Guzmán Guzmán,247,57,31,17.666,N/A,Guzmán,#5,35,1,CF Pachuca,Midfield - Attacking Midfield,"1,75 m",Mexico,mx,https://www.transfermarkt.us/victor-guzman/profil/spieler/325598,https://img.a.transfermarkt.technology/portrait/small/325598-1579014254.jpg?lm=1,N/A,03.02.1995,"Tonalá, Jalisco",Deportivo Guadalajara
6,Sergio Santana,Sergio Alejandro Santana Piedra,190,49,0,12.868,N/A,Santana,Unknown,27,1,CF Pachuca,Attack - Centre-Forward,"1,80 m",Mexico,mx,https://www.transfermarkt.us/sergio-santana/profil/spieler/28110,https://img.a.transfermarkt.technology/portrait/small/s_28110_4774_2013_11_06_1.jpg?lm=1,N/A,10.08.1979,Río Grande,Retired
7,Hirving Lozano,Hirving Rodrigo Lozano Bahena,149,43,31,11.798,N/A,Lozano,#11,19,4,CF Pachuca,Attack - Left Winger,"1,75 m",Mexico,mx,https://www.transfermarkt.us/hirving-lozano/profil/spieler/316889,https://img.a.transfermarkt.technology/portrait/small/316889-1741027377.jpg?lm=1,N/A,30.07.1995,Mexico City,San Diego FC
8,Andrés Chitiva,Andrés Chitiva Espinoza,305,42,8,21.923,N/A,Chitiva,Unknown,80,5,CF Pachuca,Midfield - Left Midfield,"1,68 m",Colombia,co,https://www.transfermarkt.us/andres-chitiva/profil/spieler/52611,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.08.1979,Bogotá,Retired
9,Nicolás Ibáñez,Nicolás Alejandro Ibañez,62,35,2,4.957,N/A,Ibáñez,#9,8,0,CF Pachuca,Attack - Centre-Forward,"1,78 m",Argentina,ar,https://www.transfermarkt.us/nicolas-ibanez/profil/spieler/267753,https://img.a.transfermarkt.technology/portrait/small/267753-1611773421.jpg?lm=1,N/A,23.08.1994,Venado Tuerto,Tigres UANL
10,Damián Álvarez,Damián Ariel Álvarez,188,33,40,12.389,N/A,Álvarez,Unknown,32,2,CF Pachuca,Attack - Left Winger,"1,68 m",Mexico,mx,https://www.transfermarkt.us/damian-alvarez/profil/spieler/52588,https://img.a.transfermarkt.technology/portrait/small/52588-1471449801.png?lm=1,N/A,21.05.1978,Buenos Aires,Retired
11,Salomón Rondón,José Salomón Rondón Giménez,60,31,7,4.802,N/A,Rondón,#23,8,1,CF Pachuca,Attack - Centre-Forward,"1,89 m",Venezuela,ve,https://www.transfermarkt.us/salomon-rondon/profil/spieler/80197,https://img.a.transfermarkt.technology/portrait/small/80197-1719230840.jpg?lm=1,N/A,16.09.1989,Caracas,CF Pachuca
12,Edgar Benítez,Edgar Milciades Benítez Santander,106,30,15,6.707,N/A,Benítez,#11,18,0,CF Pachuca,Attack - Left Winger,"1,76 m",Paraguay,py,https://www.transfermarkt.us/edgar-benitez/profil/spieler/90147,https://img.a.transfermarkt.technology/portrait/small/90147-1652212896.jpg?lm=1,N/A,08.11.1987,Repatriación,Club Rubio Ñú (Asunción)
13,Ariel Nahuelpán,Ariel Geraldo Nahuelpán Osten,60,28,7,3.361,N/A,Nahuelpán,#37,11,0,CF Pachuca,Attack - Centre-Forward,"1,87 m",Argentina,ar,https://www.transfermarkt.us/ariel-nahuelpan/profil/spieler/68562,https://img.a.transfermarkt.technology/portrait/small/68562-1565169459.jpg?lm=1,N/A,15.10.1987,Buenos Aires,PSBS Biak
14,Lorenzo Óscar Sáez,Lorenzo Óscar Sáez Ceballos,31,24,0,2.746,N/A,Sáez,Unknown,1,0,CF Pachuca,Attack - Centre-Forward,"1,72 m",Argentina,ar,https://www.transfermarkt.us/lorenzo-oscar-saez/profil/spieler/1041398,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.07.1969,Marcos Juárez,Retired
15,Ulises Mendívil,Ulises Mendívil Armenta,46,23,6,2.290,N/A,Mendívil,Unknown,8,0,CF Pachuca,Attack - Centre-Forward,"1,80 m",Mexico,mx,https://www.transfermarkt.us/ulises-mendivil/profil/spieler/53942,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.09.1980,Ciudad Constitución,Retired
16,Érick Gutiérrez,Érick Gabriel Gutiérrez Galaviz,178,23,26,13.893,N/A,Gutiérrez,#15,17,0,CF Pachuca,Midfield - Central Midfield,"1,81 m",Mexico,mx,https://www.transfermarkt.us/erick-gutierrez/profil/spieler/298796,https://img.a.transfermarkt.technology/portrait/small/298796-1613229788.jpg?lm=1,N/A,15.06.1995,Los Mochis,Deportivo Guadalajara
