rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Felipe Silva,Unknown,105,53,21,7.540,N/A,Felipe Silva,#9,14,1,Chengdu Rongcheng,Attack - Centre-Forward,"1,93 m",Brazil,br,https://www.transfermarkt.us/felipe-silva/profil/spieler/592377,https://img.a.transfermarkt.technology/portrait/small/592377-1585245159.jpg?lm=1,N/A,03.04.1992,Teresina (PI),Chengdu Rongcheng
2,Rômulo,Unknown,89,27,24,6.627,N/A,Rômulo,#10,9,0,Chengdu Rongcheng,Midfield - Attacking Midfield,"1,70 m",Brazil,br,https://www.transfermarkt.us/romulo/profil/spieler/345544,https://img.a.transfermarkt.technology/portrait/small/345544-1582742771.jpg?lm=1,N/A,27.10.1995,Recife,Chengdu Rongcheng
3,Xiaolei Ma,马晓磊,44,23,0,3.520,N/A,Ma,Unknown,6,1,Chengdu Rongcheng,Attack - Right Winger,"1,78 m",China,cn,https://www.transfermarkt.us/xiaolei-ma/profil/spieler/179997,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.01.1987,Unknown,Retired
4,Leonardo,Leonardo Benedito Da Silva,51,16,2,3.690,N/A,Leonardo,#9,3,0,Chengdu Rongcheng,Attack - Centre-Forward,"1,84 m",Brazil,br,https://www.transfermarkt.us/leonardo/profil/spieler/374092,https://img.a.transfermarkt.technology/portrait/small/374092-1688920953.jpg?lm=1,N/A,22.10.1992,Pirassununga,Chongqing Tonglianglong
5,Tim Chow,周定洋,90,14,9,7.765,N/A,Chow,#8,16,1,Chengdu Rongcheng,Midfield - Defensive Midfield,"1,80 m",Chinese Taipei,unknown,https://www.transfermarkt.us/tim-chow/profil/spieler/196693,https://img.a.transfermarkt.technology/portrait/small/196693-1703022773.jpg?lm=1,N/A,18.01.1994,Wigan,Chengdu Rongcheng
6,Ruofan Liu,刘若钒,32,13,1,2.095,N/A,Liu,#26,2,0,Chengdu Rongcheng,Attack - Right Winger,"1,88 m",China,cn,https://www.transfermarkt.us/ruofan-liu/profil/spieler/465128,https://img.a.transfermarkt.technology/portrait/small/465128-1564397358.jpg?lm=1,N/A,28.01.1999,"Nanchong, Sichuan",Shanghai Port
7,Mingtian Hu,胡明天,73,12,0,3.919,N/A,Hu,#38,6,0,Chengdu Rongcheng,Midfield - Left Midfield,"1,81 m",China,cn,https://www.transfermarkt.us/mingtian-hu/profil/spieler/254834,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.08.1994,Unknown,Shaanxi Union
8,Guichao Wu,吴贵超,70,10,3,4.462,N/A,Wu,#15,7,0,Chengdu Rongcheng,Midfield,"1,73 m",China,cn,https://www.transfermarkt.us/guichao-wu/profil/spieler/424968,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.01.1997,Unknown,Guangxi Pingguo
9,Min-woo Kim,김민우,58,10,14,5.046,N/A,Kim,#10,1,0,Chengdu Rongcheng,Midfield - Attacking Midfield,"1,74 m","Korea, South",unknown,https://www.transfermarkt.us/min-woo-kim/profil/spieler/128376,https://img.a.transfermarkt.technology/portrait/small/128376-1588755176.jpg?lm=1,N/A,25.02.1990,"Jinju, Gyeongnam",Ulsan HD FC
10,Manuel Palacios,Manuel Emilio Palacios Murillo,46,10,7,2.452,N/A,Palacios,#11,3,0,Chengdu Rongcheng,Attack - Right Winger,"1,81 m",Colombia,co,https://www.transfermarkt.us/manuel-palacios/profil/spieler/242552,https://img.a.transfermarkt.technology/portrait/small/242552-1615487903.jpg?lm=1,N/A,13.02.1993,"Quibdó, Chocó",Wuhan Three Towns
11,Elkeson,艾克森,35,10,2,2.076,N/A,Elkeson,Unknown,1,0,Chengdu Rongcheng,Attack - Centre-Forward,"1,80 m",China,cn,https://www.transfermarkt.us/elkeson/profil/spieler/103588,https://img.a.transfermarkt.technology/portrait/small/103588-1563350233.jpg?lm=1,N/A,13.07.1989,Coelho Neto,Without Club
12,Shihao Wei,韦世豪,28,10,4,1.623,N/A,Wei,#7,3,1,Chengdu Rongcheng,Attack - Left Winger,"1,78 m",China,cn,https://www.transfermarkt.us/shihao-wei/profil/spieler/267556,https://img.a.transfermarkt.technology/portrait/small/267556-1573641477.jpg?lm=1,N/A,08.04.1995,"Bengbu, Anhui",Chengdu Rongcheng
13,Tao Liu,刘涛,129,9,1,10.667,N/A,Liu,#33,18,0,Chengdu Rongcheng,Midfield - Defensive Midfield,"1,85 m",China,cn,https://www.transfermarkt.us/tao-liu/profil/spieler/156838,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.01.1985,"Suzhou, Jiangsu",Suzhou Dongwu
14,Zhuoyi Feng,冯卓毅,84,9,4,5.553,N/A,Feng,#6,10,2,Chengdu Rongcheng,Midfield - Defensive Midfield,"1,84 m",China,cn,https://www.transfermarkt.us/zhuoyi-feng/profil/spieler/211095,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.06.1989,Unknown,Chengdu Rongcheng
15,Rui Gan,甘锐,110,9,5,8.403,N/A,Gan,Unknown,17,0,Chengdu Rongcheng,Defender - Centre-Back,"1,80 m",China,cn,https://www.transfermarkt.us/rui-gan/profil/spieler/155657,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.01.1985,Chongqing,Retired
16,Mutallep Iminqari,木塔力甫·依明卡日,46,6,2,2.047,N/A,Iminqari,#29,2,0,Chengdu Rongcheng,Midfield - Central Midfield,"1,79 m",China,cn,https://www.transfermarkt.us/mutallep-iminqari/profil/spieler/1014231,https://img.a.transfermarkt.technology/portrait/small/1014231-1693333338.jpg?lm=1,N/A,18.03.2004,Unknown,Chengdu Rongcheng
17,Chuang Tang,唐创,33,6,0,1.027,N/A,Tang,#24,4,0,Chengdu Rongcheng,Attack - Centre-Forward,"1,88 m",China,cn,https://www.transfermarkt.us/chuang-tang/profil/spieler/633614,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.04.1996,Unknown,Chengdu Rongcheng
18,Chao Gan,甘超,108,6,4,6.907,N/A,Gan,#39,17,1,Chengdu Rongcheng,Midfield - Defensive Midfield,"1,75 m",China,cn,https://www.transfermarkt.us/chao-gan/profil/spieler/269035,https://img.a.transfermarkt.technology/portrait/small/269035-1566206746.jpg?lm=1,N/A,13.02.1995,Chongqing,Chengdu Rongcheng
19,Junchen Gou,勾俊晨,53,5,0,4.011,N/A,Gou,#26,10,1,Chengdu Rongcheng,Defender - Centre-Back,"1,86 m",China,cn,https://www.transfermarkt.us/junchen-gou/profil/spieler/279695,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.03.1990,Unknown,Wuxi Wugo
20,Baixu Xiang,向柏旭,23,5,1,912.000,N/A,Xiang,Unknown,0,0,Chengdu Rongcheng,Attack - Centre-Forward,"1,88 m",China,cn,https://www.transfermarkt.us/baixu-xiang/profil/spieler/267557,https://img.a.transfermarkt.technology/portrait/small/267557-1566207781.jpg?lm=1,N/A,09.08.1995,"Chengdu, Sichuan",Without Club
