rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Ante Razov,Unknown,189,88,33,14.757,N/A,Razov,Unknown,25,4,Chicago Fire FC,Attack - Centre-Forward,"1,86 m",United States,us,https://www.transfermarkt.us/ante-razov/profil/spieler/3482,https://img.a.transfermarkt.technology/portrait/small/3482-1586203703.jpg?lm=1,N/A,02.03.1974,"Whittier, California",Retired
2,Nemanja Nikolics,Unknown,104,56,5,8.175,N/A,Nikolics,Unknown,7,0,Chicago Fire FC,Attack - Centre-Forward,"1,80 m",Hungary,hu,https://www.transfermarkt.us/nemanja-nikolics/profil/spieler/102281,https://img.a.transfermarkt.technology/portrait/small/102281-1606069195.jpg?lm=1,N/A,31.12.1987,Senta,Retired
3,Chris Rolfe,Unknown,205,55,20,14.943,N/A,Rolfe,Unknown,13,0,Chicago Fire FC,Attack - Centre-Forward,"1,76 m",United States,us,https://www.transfermarkt.us/chris-rolfe/profil/spieler/39293,https://img.a.transfermarkt.technology/portrait/small/39293-1464104606.jpg?lm=1,N/A,17.01.1983,"Kettering, Ohio",Retired
4,David Accam,Unknown,85,38,15,6.507,N/A,Accam,Unknown,10,2,Chicago Fire FC,Attack - Right Winger,"1,74 m",Ghana,gh,https://www.transfermarkt.us/david-accam/profil/spieler/221855,https://img.a.transfermarkt.technology/portrait/small/221855-1583666521.jpg?lm=1,N/A,28.09.1990,Accra,Retired
5,Josh Wolff,Joshua David Wolff,96,33,15,6.405,N/A,Wolff,Unknown,8,0,Chicago Fire FC,Attack - Right Winger,"1,72 m",United States,us,https://www.transfermarkt.us/josh-wolff/profil/spieler/26860,https://img.a.transfermarkt.technology/portrait/small/26860-1586368067.jpg?lm=1,N/A,25.02.1977,"Stone Mountain, Georgia",Retired
6,Piotr Nowak,Unknown,139,29,36,11.601,N/A,Nowak,Unknown,19,2,Chicago Fire FC,Midfield - Attacking Midfield,"1,68 m",Poland,pl,https://www.transfermarkt.us/piotr-nowak/profil/spieler/6505,https://img.a.transfermarkt.technology/portrait/small/6505-1446129096.jpg?lm=1,N/A,05.07.1964,Pabianice,Retired
7,Mike Magee,Michael Magee,57,27,9,4.243,N/A,Magee,Unknown,9,0,Chicago Fire FC,Attack - Centre-Forward,"1,76 m",United States,us,https://www.transfermarkt.us/mike-magee/profil/spieler/30602,https://img.a.transfermarkt.technology/portrait/small/30602-1587246232.jpg?lm=1,N/A,02.09.1984,"Chicago, Illinois",Retired
8,Dema Kovalenko,Коваленко Дмитро Геннадійович,112,27,15,8.613,N/A,Kovalenko,Unknown,28,0,Chicago Fire FC,Midfield - Defensive Midfield,,Ukraine,ua,https://www.transfermarkt.us/dema-kovalenko/profil/spieler/1457,https://img.a.transfermarkt.technology/portrait/small/1457-1587802270.jpg?lm=1,N/A,28.08.1977,Kiew,Retired
9,Marco Pappa,Marco Pablo Pappa Ponce,129,26,15,9.684,N/A,Pappa,Unknown,15,0,Chicago Fire FC,Attack - Left Winger,"1,78 m",Guatemala,gt,https://www.transfermarkt.us/marco-pappa/profil/spieler/73668,https://img.a.transfermarkt.technology/portrait/small/73668-1464119376.jpg?lm=1,N/A,15.11.1987,Nueva Guatemala de la Asunción,Retired
10,Damani Ralph,Unknown,61,25,8,5.103,N/A,Ralph,Unknown,4,0,Chicago Fire FC,Attack - Centre-Forward,"1,84 m",Jamaica,jm,https://www.transfermarkt.us/damani-ralph/profil/spieler/15504,https://img.a.transfermarkt.technology/portrait/small/15504-1606669589.jpg?lm=1,N/A,06.11.1980,Kingston,Retired
11,Nate Jaqua,Jonathan Jaqua,106,23,10,6.799,N/A,Jaqua,Unknown,11,0,Chicago Fire FC,Attack - Centre-Forward,"1,91 m",United States,us,https://www.transfermarkt.us/nate-jaqua/profil/spieler/39275,https://img.a.transfermarkt.technology/portrait/small/39275-1589276429.jpg?lm=1,N/A,28.10.1981,"Eugene, Oregon",Retired
12,Jesse Marsch,Jesse Alan Marsch,241,23,15,19.500,N/A,Marsch,Unknown,42,0,Chicago Fire FC,Midfield - Right Midfield,"1,80 m",United States,us,https://www.transfermarkt.us/jesse-marsch/profil/spieler/39477,https://img.a.transfermarkt.technology/portrait/small/39477-1579454279.jpg?lm=1,N/A,08.11.1973,"Racine, Wisconsin",Retired
13,Patrick Nyarko,Unknown,219,23,40,14.745,N/A,Nyarko,Unknown,16,0,Chicago Fire FC,Attack - Left Winger,"1,83 m",Ghana,gh,https://www.transfermarkt.us/patrick-nyarko/profil/spieler/70135,https://img.a.transfermarkt.technology/portrait/small/70135-1489537085.jpg?lm=1,N/A,15.01.1986,Kumasi,Retired
14,Hristo Stoichkov,Христо Стоичков Стоичков,65,22,15,3.518,N/A,Stoichkov,Unknown,17,1,Chicago Fire FC,Attack - Left Winger,"1,78 m",Bulgaria,bg,https://www.transfermarkt.us/hristo-stoichkov/profil/spieler/7938,https://img.a.transfermarkt.technology/portrait/small/7938-1461231110.png?lm=1,N/A,08.02.1966,Plovdiv,Retired
15,Brian McBride,Brian Robert McBride,72,21,6,5.489,N/A,McBride,Unknown,1,0,Chicago Fire FC,Attack - Centre-Forward,"1,83 m",United States,us,https://www.transfermarkt.us/brian-mcbride/profil/spieler/3469,https://img.a.transfermarkt.technology/portrait/small/3469-1586204132.jpg?lm=1,N/A,19.06.1972,"Arlington Heights, Illinois",Retired
16,Chad Barrett,Chad Randall Barrett,89,20,11,4.852,N/A,Barrett,Unknown,7,0,Chicago Fire FC,Attack - Centre-Forward,"1,80 m",United States,us,https://www.transfermarkt.us/chad-barrett/profil/spieler/39262,https://img.a.transfermarkt.technology/portrait/small/39262-1606768081.jpg?lm=1,N/A,30.04.1985,"San Diego, California",Retired
17,Dominic Oduro,Unknown,72,20,6,4.799,N/A,Oduro,Unknown,8,0,Chicago Fire FC,Attack - Right Winger,"1,83 m",Ghana,gh,https://www.transfermarkt.us/dominic-oduro/profil/spieler/40117,https://img.a.transfermarkt.technology/portrait/small/40117-1561141905.jpg?lm=1,N/A,13.08.1985,Accra,Retired
18,Robert Beric,Robert Berić,56,20,3,4.146,N/A,Beric,#9,2,0,Chicago Fire FC,Attack - Centre-Forward,"1,88 m",Slovenia,si,https://www.transfermarkt.us/robert-beric/profil/spieler/91415,https://img.a.transfermarkt.technology/portrait/small/91415-1583439126.jpg?lm=1,N/A,17.06.1991,Krsko,Changchun Yatai
19,Cuauhtémoc Blanco,Cuauhtémoc Blanco Bravo,76,19,25,6.312,N/A,Blanco,Unknown,13,0,Chicago Fire FC,Attack - Second Striker,"1,77 m",Mexico,mx,https://www.transfermarkt.us/cuauhtemoc-blanco/profil/spieler/28066,https://img.a.transfermarkt.technology/portrait/small/28066-1593522573.jpg?lm=1,N/A,17.01.1973,Mexico City,Retired
20,Aleksandar Katai,Александар Катаи,66,19,12,4.829,N/A,Katai,#10,12,1,Chicago Fire FC,Midfield - Attacking Midfield,"1,82 m",Serbia,rs,https://www.transfermarkt.us/aleksandar-katai/profil/spieler/139915,https://img.a.transfermarkt.technology/portrait/small/139915-1694784758.jpg?lm=1,N/A,06.02.1991,Srbobran,Red Star Belgrade
