rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Carlos Luna,Carlos Ariel Luna,264,88,20,18.081,N/A,Luna,Unknown,49,0,Club Atlético Tigre,Attack - Centre-Forward,"1,79 m",Argentina,ar,https://www.transfermarkt.us/carlos-luna/profil/spieler/57916,https://img.a.transfermarkt.technology/portrait/small/57916-1697732818.jpg?lm=1,N/A,17.01.1982,Piquillín,Retired
2,Mateo Retegui,Unknown,70,35,4,5.315,N/A,Retegui,#32,12,0,Club Atlético Tigre,Attack - Centre-Forward,"1,86 m",Italy,it,https://www.transfermarkt.us/mateo-retegui/profil/spieler/554903,https://img.a.transfermarkt.technology/portrait/small/554903-1681311414.jpg?lm=1,N/A,29.04.1999,San Fernando,Atalanta BC
3,Pablo Magnin,Pablo Daniel Magnin,78,33,5,5.072,N/A,Magnin,#7,4,0,Club Atlético Tigre,Attack - Centre-Forward,"1,76 m",Argentina,ar,https://www.transfermarkt.us/pablo-magnin/profil/spieler/144236,https://img.a.transfermarkt.technology/portrait/small/144236-1742329388.jpg?lm=1,N/A,25.04.1990,San Jerónimo Norte,CA Sarmiento (Junin)
4,Diego Morales,Diego Alberto Morales,168,29,23,12.245,N/A,Morales,Unknown,23,0,Club Atlético Tigre,Midfield - Attacking Midfield,"1,75 m",Argentina,ar,https://www.transfermarkt.us/diego-morales/profil/spieler/87492,https://img.a.transfermarkt.technology/portrait/small/87492-1650563083.jpg?lm=1,N/A,29.11.1986,Villa María,Miami United FC
5,Federico González,Federico Rafael González,83,24,10,5.895,N/A,González,#9,4,0,Club Atlético Tigre,Attack - Centre-Forward,"1,78 m",Argentina,ar,https://www.transfermarkt.us/federico-gonzalez/profil/spieler/77380,https://img.a.transfermarkt.technology/portrait/small/77380-1732823575.png?lm=1,N/A,06.01.1987,Colón,CA San Martín (San Juan)
6,Martín Morel,Martín Gerardo Morel,68,22,8,4.252,N/A,Morel,Unknown,8,0,Club Atlético Tigre,Midfield - Attacking Midfield,"1,74 m",Argentina,ar,https://www.transfermarkt.us/martin-morel/profil/spieler/53138,https://img.a.transfermarkt.technology/portrait/small/53138-1722434187.JPG?lm=1,N/A,05.11.1980,Rosario,Retired
7,Leandro Lazzaro,Leandro Hernán Lázzaro Liuni,92,22,16,7.003,N/A,Lazzaro,Unknown,18,0,Club Atlético Tigre,Attack - Centre-Forward,"1,88 m",Argentina,ar,https://www.transfermarkt.us/leandro-lazzaro/profil/spieler/53131,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.03.1974,Buenos Aires,Retired
8,Denis Stracqualursi,Denis Andrés Stracqualursi,57,21,1,4.130,N/A,Stracqualursi,Unknown,7,0,Club Atlético Tigre,Attack - Centre-Forward,"1,91 m",Argentina,ar,https://www.transfermarkt.us/denis-stracqualursi/profil/spieler/92544,https://img.a.transfermarkt.technology/portrait/small/92544-1729197985.JPG?lm=1,N/A,20.10.1987,Rafaela,Retired
9,Lucas Menossi,Lucas Ariel Menossi,245,19,19,18.416,N/A,Menossi,#15,46,0,Club Atlético Tigre,Midfield - Central Midfield,"1,69 m",Argentina,ar,https://www.transfermarkt.us/lucas-menossi/profil/spieler/225481,https://img.a.transfermarkt.technology/portrait/small/225481-1614939403.jpg?lm=1,N/A,11.07.1992,Beccar,Club Atlético Belgrano
10,Matías Pérez García,Matías Augusto Pérez García,112,18,14,7.860,N/A,Pérez García,Unknown,10,2,Club Atlético Tigre,Midfield - Attacking Midfield,"1,65 m",Argentina,ar,https://www.transfermarkt.us/matias-perez-garcia/profil/spieler/67439,https://img.a.transfermarkt.technology/portrait/small/67439-1647760473.png?lm=1,N/A,13.10.1984,Tartagal,Without Club
11,Lucas Janson,Lucas Ezequiel Janson,108,17,14,6.337,N/A,Janson,#11,6,0,Club Atlético Tigre,Attack - Left Winger,"1,71 m",Argentina,ar,https://www.transfermarkt.us/lucas-janson/profil/spieler/238448,https://img.a.transfermarkt.technology/portrait/small/238448-1739899503.jpg?lm=1,N/A,16.08.1994,Olavarría,CA Boca Juniors
12,Blas Armoa,Blas Esteban Armoa Núñez,106,16,5,5.189,N/A,Armoa,#18,4,0,Club Atlético Tigre,Attack - Left Winger,"1,79 m",Paraguay,py,https://www.transfermarkt.us/blas-armoa/profil/spieler/491603,https://img.a.transfermarkt.technology/portrait/small/491603-1727450567.jpg?lm=1,N/A,03.02.2000,Luque,Club Atlético Tigre
13,Román Martínez,Román Fernando Martínez,99,15,6,8.096,N/A,Martínez,Unknown,16,1,Club Atlético Tigre,Midfield - Central Midfield,"1,85 m",Argentina,ar,https://www.transfermarkt.us/roman-martinez/profil/spieler/53134,https://img.a.transfermarkt.technology/portrait/small/53134-1463494896.JPG?lm=1,N/A,27.03.1983,Morón,Retired
14,Néstor Ayala,Néstor Ayala Villagra,58,15,5,3.577,N/A,Ayala,Unknown,12,0,Club Atlético Tigre,Attack - Centre-Forward,"1,78 m",Paraguay,py,https://www.transfermarkt.us/nestor-ayala/profil/spieler/56894,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.02.1983,San Lorenzo del Campo Grande,Retired
15,Alexis Castro,Unknown,123,14,9,8.230,N/A,Castro,#22,14,0,Club Atlético Tigre,Midfield - Central Midfield,"1,83 m",Argentina,ar,https://www.transfermarkt.us/alexis-castro/profil/spieler/364602,https://img.a.transfermarkt.technology/portrait/small/364602-1739827158.jpg?lm=1,N/A,18.10.1994,Buenos Aires,Club Estudiantes de La Plata
16,Sebastián Rincón,Sebastián Rincón Lucumí,83,12,11,4.558,N/A,Rincón,Unknown,6,0,Club Atlético Tigre,Attack - Right Winger,"1,85 m",Colombia,co,https://www.transfermarkt.us/sebastian-rincon/profil/spieler/223917,https://img.a.transfermarkt.technology/portrait/small/223917-1547405658.png?lm=1,N/A,14.01.1994,Santiago de Cali,Naft Al-Wassat SC
17,Ezequiel Maggiolo,Ezequiel Carlos Maggiolo,74,12,5,4.597,N/A,Maggiolo,Unknown,16,1,Club Atlético Tigre,Attack - Centre-Forward,"1,81 m",Argentina,ar,https://www.transfermarkt.us/ezequiel-maggiolo/profil/spieler/27458,https://img.a.transfermarkt.technology/portrait/small/27458-1705512569.JPG?lm=1,N/A,15.06.1977,Martínez,Retired
18,Diego Castaño,Diego Rafael Castaño,228,12,8,17.702,N/A,Castaño,Unknown,42,1,Club Atlético Tigre,Midfield - Central Midfield,"1,91 m",Argentina,ar,https://www.transfermarkt.us/diego-castano/profil/spieler/53100,https://img.a.transfermarkt.technology/portrait/small/53100-1722283236.jpg?lm=1,N/A,08.06.1979,Bragado,Retired
19,Rubén Botta,Rubén Alejandro Botta Montero,82,11,12,4.435,N/A,Botta,#10,14,0,Club Atlético Tigre,Midfield - Attacking Midfield,"1,75 m",Argentina,ar,https://www.transfermarkt.us/ruben-botta/profil/spieler/88542,https://img.a.transfermarkt.technology/portrait/small/88542-1647293240.jpg?lm=1,N/A,31.01.1990,San Juan,CA Talleres
20,Facundo Colidio,Unknown,72,11,10,5.217,N/A,Colidio,#11,3,1,Club Atlético Tigre,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/facundo-colidio/profil/spieler/491705,https://img.a.transfermarkt.technology/portrait/small/491705-1693315193.png?lm=1,N/A,04.01.2000,Rafaela,CA River Plate
21,Martín Galmarini,Martín Sebastián Galmarini,288,11,19,22.446,N/A,Galmarini,Unknown,79,3,Club Atlético Tigre,Midfield - Right Midfield,"1,80 m",Argentina,ar,https://www.transfermarkt.us/martin-galmarini/profil/spieler/53109,https://img.a.transfermarkt.technology/portrait/small/s_53109_6709_2014_01_21_1.jpg?lm=1,N/A,28.02.1982,San Isidro,Retired
22,Matías Giménez,Matías Alejandro Giménez,76,10,10,5.214,N/A,Giménez,Unknown,13,1,Club Atlético Tigre,Midfield - Left Midfield,"1,81 m",Argentina,ar,https://www.transfermarkt.us/matias-gimenez/profil/spieler/53110,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.12.1984,Apóstoles,Retired
