rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Luis Miguel Rodríguez,Unknown,317,123,56,23.270,N/A,Rodríguez,#7,39,2,Club Atlético Tucumán,Attack - Second Striker,"1,67 m",Argentina,ar,https://www.transfermarkt.us/luis-miguel-rodriguez/profil/spieler/87497,https://img.a.transfermarkt.technology/portrait/small/87497-1724864613.jpg?lm=1,N/A,01.01.1985,Simoca,Club Atlético Tucumán
2,Cristian Menéndez,Cristian Matías Menéndez,177,40,19,10.561,N/A,Menéndez,Unknown,8,0,Club Atlético Tucumán,Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/cristian-menendez/profil/spieler/74086,https://img.a.transfermarkt.technology/portrait/small/74086-1729695247.jpg?lm=1,N/A,02.04.1988,Mar del Plata,Club Atlético Gimnasia y Esgrima (Jujuy)
3,Guillermo Acosta,Guillermo Gastón Acosta,382,30,37,28.676,N/A,Acosta,#8,83,4,Club Atlético Tucumán,Midfield - Central Midfield,"1,68 m",Argentina,ar,https://www.transfermarkt.us/guillermo-acosta/profil/spieler/422917,https://img.a.transfermarkt.technology/portrait/small/422917-1724864111.jpg?lm=1,N/A,01.07.1988,Banda del Río Salí,Club Atlético Tucumán
4,Leandro Díaz,Leandro Nicolás Díaz,105,29,7,7.203,N/A,Díaz,#27,19,3,Club Atlético Tucumán,Attack - Centre-Forward,"1,84 m",Argentina,ar,https://www.transfermarkt.us/leandro-diaz/profil/spieler/140214,https://img.a.transfermarkt.technology/portrait/small/140214-1721936051.png?lm=1,N/A,06.06.1992,San Miguel de Tucumán,Club Atlético Tucumán
5,Mateo Coronel,Mateo Agustín Coronel,104,24,9,6.443,N/A,Coronel,#37,12,0,Club Atlético Tucumán,Attack - Centre-Forward,"1,72 m",Argentina,ar,https://www.transfermarkt.us/mateo-coronel/profil/spieler/685179,https://img.a.transfermarkt.technology/portrait/small/685179-1724864673.jpg?lm=1,N/A,24.10.1998,Ramallo,Club Atlético Tucumán
6,Javier Toledo,Javier Fabián Toledo,83,23,8,5.760,N/A,Toledo,Unknown,21,0,Club Atlético Tucumán,Attack - Centre-Forward,"1,90 m",Argentina,ar,https://www.transfermarkt.us/javier-toledo/profil/spieler/72620,https://img.a.transfermarkt.technology/portrait/small/72620-1677497976.JPG?lm=1,N/A,20.04.1986,Marcos Juárez,CA Temperley
7,Augusto Lotti,Augusto Diego Lotti,109,21,10,6.201,N/A,Lotti,#21,6,0,Club Atlético Tucumán,Attack - Second Striker,"1,80 m",Argentina,ar,https://www.transfermarkt.us/augusto-lotti/profil/spieler/406296,https://img.a.transfermarkt.technology/portrait/small/406296-1724876632.jpg?lm=1,N/A,10.06.1996,Salto,Club Atlético Platense
8,Fernando Zampedri,Fernando Matías Zampedri,45,20,4,2.963,N/A,Zampedri,#9,8,2,Club Atlético Tucumán,Attack - Centre-Forward,"1,85 m",Chile,cl,https://www.transfermarkt.us/fernando-zampedri/profil/spieler/104006,https://img.a.transfermarkt.technology/portrait/small/104006-1651653330.jpg?lm=1,N/A,14.02.1988,Chajarí,CD Universidad Católica
9,Ramiro Carrera,Ramiro Ángel Carrera,123,19,15,7.911,N/A,Carrera,#23,28,0,Club Atlético Tucumán,Midfield - Right Midfield,"1,82 m",Argentina,ar,https://www.transfermarkt.us/ramiro-carrera/profil/spieler/282283,https://img.a.transfermarkt.technology/portrait/small/282283-1721935700.png?lm=1,N/A,24.10.1993,Tolosa,CA Lanús
10,Marcelo Estigarribia,Marcelo Luciano Estigarribia,74,17,10,5.180,N/A,Estigarribia,#31,10,1,Club Atlético Tucumán,Attack - Centre-Forward,"1,84 m",Argentina,ar,https://www.transfermarkt.us/marcelo-estigarribia/profil/spieler/610266,https://img.a.transfermarkt.technology/portrait/small/610266-1724864721.jpg?lm=1,N/A,10.04.1995,Villaguay,CA Unión (Santa Fe)
11,Leandro González,Unknown,93,15,16,6.847,N/A,González,Unknown,7,0,Club Atlético Tucumán,Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/leandro-gonzalez/profil/spieler/54345,https://img.a.transfermarkt.technology/portrait/small/54345-1722343895.jpg?lm=1,N/A,14.10.1985,Pigüé,ERD Estrella del Sur
12,Leonardo Heredia,Leonardo Matías Heredia,74,13,7,4.009,N/A,Heredia,#12,5,0,Club Atlético Tucumán,Midfield - Attacking Midfield,"1,87 m",Argentina,ar,https://www.transfermarkt.us/leonardo-heredia/profil/spieler/538367,https://img.a.transfermarkt.technology/portrait/small/538367-1720123353.png?lm=1,N/A,11.01.1996,Lomas del Mirador,CA Central Córdoba (SdE)
13,David Barbona,David Matías Barbona,102,12,18,7.006,N/A,Barbona,#19,5,0,Club Atlético Tucumán,Attack - Right Winger,"1,76 m",Argentina,ar,https://www.transfermarkt.us/david-barbona/profil/spieler/356089,https://img.a.transfermarkt.technology/portrait/small/356089-1677163543.JPG?lm=1,N/A,22.02.1995,San Justo,Defensa y Justicia
14,Claudio Sarría,Claudio Romualdo Sarría,42,11,4,2.563,N/A,Sarría,Unknown,6,0,Club Atlético Tucumán,Midfield - Attacking Midfield,"1,78 m",Argentina,ar,https://www.transfermarkt.us/claudio-sarria/profil/spieler/87500,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.08.1975,Córdoba,Retired
15,Juan Pablo Pereyra,Juan Pablo Pereyra,73,11,4,4.171,N/A,Pereyra,Unknown,10,0,Club Atlético Tucumán,Attack - Centre-Forward,"1,93 m",Argentina,ar,https://www.transfermarkt.us/juan-pablo-pereyra/profil/spieler/53145,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.05.1984,San Lorenzo,Retired
16,Cristian Chávez,Cristian Gabriel Chávez,33,11,6,2.867,N/A,Chávez,Unknown,5,0,Club Atlético Tucumán,Attack - Centre-Forward,"1,75 m",Argentina,ar,https://www.transfermarkt.us/cristian-chavez/profil/spieler/70132,https://img.a.transfermarkt.technology/portrait/small/s_70132_6195_2011_1.jpg?lm=1,N/A,04.06.1987,Lomas de Zamora,CSD Liniers
17,Deivis Barone,Deivis Barone Farías,136,11,4,11.702,N/A,Barone,Unknown,33,1,Club Atlético Tucumán,Defender - Centre-Back,"1,84 m",Uruguay,uy,https://www.transfermarkt.us/deivis-barone/profil/spieler/66294,https://img.a.transfermarkt.technology/portrait/small/66294-1722429518.JPG?lm=1,N/A,28.08.1979,San Ramón,Retired
