rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jan Ceulemans,Jan Anna Gumaar Ceulemans,507,242,0,44.892,N/A,Ceulemans,Unknown,18,0,Club Brugge KV,Midfield - Attacking Midfield,"1,88 m",Belgium,be,https://www.transfermarkt.us/jan-ceulemans/profil/spieler/118147,https://img.a.transfermarkt.technology/portrait/small/118147-1634033638.jpg?lm=1,N/A,28.02.1957,Lier,Retired
2,Raoul Lambert,Unknown,395,224,2,33.239,N/A,Lambert,Unknown,2,0,Club Brugge KV,Attack - Centre-Forward,"1,78 m",Belgium,be,https://www.transfermarkt.us/raoul-lambert/profil/spieler/147980,https://img.a.transfermarkt.technology/portrait/small/147980-1633987075.jpg?lm=1,N/A,22.10.1944,Steenbrugge,Retired
3,Gert Verheyen,Unknown,559,196,84,47.185,N/A,Verheyen,Unknown,76,0,Club Brugge KV,Attack - Right Winger,"1,88 m",Belgium,be,https://www.transfermarkt.us/gert-verheyen/profil/spieler/9672,https://img.a.transfermarkt.technology/portrait/small/s_9672_123_2013_10_10_2.jpg?lm=1,N/A,20.09.1970,Hoogstraten,Retired
4,Hans Vanaken,Unknown,497,138,105,42.232,N/A,Vanaken,#20,56,2,Club Brugge KV,Midfield - Attacking Midfield,"1,95 m",Belgium,be,https://www.transfermarkt.us/hans-vanaken/profil/spieler/137576,https://img.a.transfermarkt.technology/portrait/small/137576-1705414489.jpg?lm=1,N/A,24.08.1992,Neerpelt,Club Brugge KV
5,Marc Degryse,Marc Gabriel Degryse,235,107,2,19.513,N/A,Degryse,Unknown,4,0,Club Brugge KV,Attack - Centre-Forward,"1,72 m",Belgium,be,https://www.transfermarkt.us/marc-degryse/profil/spieler/101751,https://img.a.transfermarkt.technology/portrait/small/101751-1537869743.jpg?lm=1,N/A,04.09.1965,Roeselare,Retired
6,Lorenzo Staelens,Lorenzo Jules Staelens,375,107,3,33.316,N/A,Staelens,Unknown,27,1,Club Brugge KV,Midfield - Defensive Midfield,"1,83 m",Belgium,be,https://www.transfermarkt.us/lorenzo-staelens/profil/spieler/15549,https://img.a.transfermarkt.technology/portrait/small/15549-1490117340.jpg?lm=1,N/A,30.04.1964,Kortrijk,Retired
7,Sven Vermant,Unknown,414,89,51,31.076,N/A,Vermant,Unknown,53,0,Club Brugge KV,Midfield - Central Midfield,"1,83 m",Belgium,be,https://www.transfermarkt.us/sven-vermant/profil/spieler/836,https://img.a.transfermarkt.technology/portrait/small/836-1537874089.jpg?lm=1,N/A,04.04.1973,Lier,Retired
8,Johnny Thio,Unknown,265,89,1,23.253,N/A,Thio,Unknown,2,0,Club Brugge KV,Attack - Left Winger,Unknown,Belgium,be,https://www.transfermarkt.us/johnny-thio/profil/spieler/296954,https://img.a.transfermarkt.technology/portrait/small/296954-1677242938.jpg?lm=1,N/A,02.09.1944,Roeselare,---
9,René Vandereycken,Unknown,294,84,1,26.031,N/A,Vandereycken,Unknown,22,0,Club Brugge KV,Midfield - Defensive Midfield,,Belgium,be,https://www.transfermarkt.us/rene-vandereycken/profil/spieler/107174,https://img.a.transfermarkt.technology/portrait/small/107174-1547825098.jpg?lm=1,N/A,22.07.1953,Spalbeek,Retired
10,Rune Lange,Unknown,160,75,38,11.750,N/A,Lange,Unknown,7,1,Club Brugge KV,Attack - Centre-Forward,"1,87 m",Norway,no,https://www.transfermarkt.us/rune-lange/profil/spieler/3448,https://img.a.transfermarkt.technology/portrait/small/3448-1510559702.jpg?lm=1,N/A,24.06.1977,Tromsø,Retired
11,Pierre Carteus,Unknown,225,73,2,19.475,N/A,Carteus,Unknown,1,0,Club Brugge KV,Midfield,Unknown,Belgium,be,https://www.transfermarkt.us/pierre-carteus/profil/spieler/304637,https://img.a.transfermarkt.technology/portrait/small/304637-1683202859.jpg?lm=1,N/A,24.09.1943,Ronse,---
12,Willy Wellens,Willy René Josephina Wellens,189,71,0,15.446,N/A,Wellens,Unknown,6,1,Club Brugge KV,Attack - Centre-Forward,Unknown,Belgium,be,https://www.transfermarkt.us/willy-wellens/profil/spieler/215622,https://img.a.transfermarkt.technology/portrait/small/215622-1634033219.jpg?lm=1,N/A,29.03.1954,Diest,Retired
