rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Mauro Boselli,Unknown,211,93,13,16.123,N/A,Boselli,Unknown,12,1,Club Estudiantes de La Plata,Attack - Centre-Forward,"1,81 m",Argentina,ar,https://www.transfermarkt.us/mauro-boselli/profil/spieler/40822,https://img.a.transfermarkt.technology/portrait/small/40822-1425462626.jpg?lm=1,N/A,22.05.1985,Buenos Aires,Retired
2,Ernesto Farías,Ernesto Antonio Farías,162,81,15,13.856,N/A,Farías,Unknown,16,2,Club Estudiantes de La Plata,Attack - Centre-Forward,"1,78 m",Argentina,ar,https://www.transfermarkt.us/ernesto-farias/profil/spieler/18539,https://img.a.transfermarkt.technology/portrait/small/s_18539_609_2010_3.jpg?lm=1,N/A,29.05.1980,Trenque Lauquen,Retired
3,Mariano Pavone,Hugo Mariano Pavone,235,70,10,15.333,N/A,Pavone,Unknown,40,5,Club Estudiantes de La Plata,Attack - Centre-Forward,"1,77 m",Argentina,ar,https://www.transfermarkt.us/mariano-pavone/profil/spieler/27462,https://img.a.transfermarkt.technology/portrait/small/27462-1640617204.JPG?lm=1,N/A,27.05.1982,Tres Sargentos,Retired
4,Guido Carrillo,Guido Marcelo Carrillo,222,63,13,13.258,N/A,Carrillo,#9,15,2,Club Estudiantes de La Plata,Attack - Centre-Forward,"1,87 m",Argentina,ar,https://www.transfermarkt.us/guido-carrillo/profil/spieler/184672,https://img.a.transfermarkt.technology/portrait/small/184672-1739829310.jpg?lm=1,N/A,25.05.1991,Magdalena,Club Estudiantes de La Plata
5,Gastón Fernández,Gastón Nicolás Fernández,229,42,19,14.780,N/A,Fernández,Unknown,30,0,Club Estudiantes de La Plata,Midfield - Attacking Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/gaston-fernandez/profil/spieler/23882,https://img.a.transfermarkt.technology/portrait/small/23882-1601202262.jpg?lm=1,N/A,12.10.1983,Buenos Aires,Retired
6,Ezequiel Maggiolo,Ezequiel Carlos Maggiolo,155,40,11,9.836,N/A,Maggiolo,Unknown,11,0,Club Estudiantes de La Plata,Attack - Centre-Forward,"1,81 m",Argentina,ar,https://www.transfermarkt.us/ezequiel-maggiolo/profil/spieler/27458,https://img.a.transfermarkt.technology/portrait/small/27458-1705512569.JPG?lm=1,N/A,15.06.1977,Martínez,Retired
7,José Luis Calderón,Unknown,131,37,1,8.763,N/A,Calderón,Unknown,20,1,Club Estudiantes de La Plata,Attack - Centre-Forward,"1,77 m",Argentina,ar,https://www.transfermarkt.us/jose-luis-calderon/profil/spieler/30870,https://img.a.transfermarkt.technology/portrait/small/30870-1698931997.JPG?lm=1,N/A,24.10.1970,La Plata,Retired
8,Leandro Díaz,Leandro Nicolás Díaz,93,28,10,6.169,N/A,Díaz,#27,28,0,Club Estudiantes de La Plata,Attack - Centre-Forward,"1,84 m",Argentina,ar,https://www.transfermarkt.us/leandro-diaz/profil/spieler/140214,https://img.a.transfermarkt.technology/portrait/small/140214-1721936051.png?lm=1,N/A,06.06.1992,San Miguel de Tucumán,Club Atlético Tucumán
9,Juan Sebastián Verón,Unknown,216,25,37,17.923,N/A,Verón,Unknown,66,3,Club Estudiantes de La Plata,Midfield - Central Midfield,"1,82 m",Argentina,ar,https://www.transfermarkt.us/juan-sebastian-veron/profil/spieler/3143,https://img.a.transfermarkt.technology/portrait/small/3143-1482941253.jpg?lm=1,N/A,09.03.1975,La Plata,Retired
10,José Sosa,José Ernesto Sosa,283,24,32,17.935,N/A,Sosa,#7,30,0,Club Estudiantes de La Plata,Midfield - Attacking Midfield,"1,81 m",Argentina,ar,https://www.transfermarkt.us/jose-sosa/profil/spieler/20137,https://img.a.transfermarkt.technology/portrait/small/20137-1739827277.jpg?lm=1,N/A,19.06.1985,Carcarañá,Club Estudiantes de La Plata
11,Duván Zapata,Duván Esteban Zapata Banguero,46,22,1,3.396,N/A,Zapata,#91,4,0,Club Estudiantes de La Plata,Attack - Centre-Forward,"1,88 m",Colombia,co,https://www.transfermarkt.us/duvan-zapata/profil/spieler/73794,https://img.a.transfermarkt.technology/portrait/small/73794-1730126644.jpg?lm=1,N/A,01.04.1991,Santiago de Cali,Torino FC
12,Leandro Desábato,Unknown,423,21,9,37.056,N/A,Desábato,Unknown,82,1,Club Estudiantes de La Plata,Defender - Centre-Back,"1,87 m",Argentina,ar,https://www.transfermarkt.us/leandro-desabato/profil/spieler/27454,https://img.a.transfermarkt.technology/portrait/small/s_27454_288_2012_1.jpg?lm=1,N/A,24.01.1979,Cafferata,Retired
13,Pablo Piatti,Pablo Daniel Piatti,124,19,15,6.597,N/A,Piatti,Unknown,10,0,Club Estudiantes de La Plata,Midfield - Attacking Midfield,"1,64 m",Argentina,ar,https://www.transfermarkt.us/pablo-piatti/profil/spieler/56067,https://img.a.transfermarkt.technology/portrait/small/56067-1447247506.jpg?lm=1,N/A,31.03.1989,La Carlota,Retired
14,Pablo Lugüercio,Pablo Ariel Lugüercio,136,19,3,5.594,N/A,Lugüercio,Unknown,13,0,Club Estudiantes de La Plata,Attack - Right Winger,"1,77 m",Argentina,ar,https://www.transfermarkt.us/pablo-luguercio/profil/spieler/27456,https://img.a.transfermarkt.technology/portrait/small/27456-1722281315.JPG?lm=1,N/A,10.03.1982,La Plata,Retired
15,Enzo Pérez,Enzo Nicolás Pérez,227,18,25,16.686,N/A,Pérez,#24,55,2,Club Estudiantes de La Plata,Midfield - Defensive Midfield,"1,78 m",Argentina,ar,https://www.transfermarkt.us/enzo-perez/profil/spieler/56066,https://img.a.transfermarkt.technology/portrait/small/56066-1625771376.png?lm=1,N/A,22.02.1986,Maipú,CA River Plate
16,Leandro Benítez,Leandro Damián Benítez,270,18,46,17.958,N/A,Benítez,Unknown,57,3,Club Estudiantes de La Plata,Midfield - Left Midfield,"1,80 m",Argentina,ar,https://www.transfermarkt.us/leandro-benitez/profil/spieler/56065,https://img.a.transfermarkt.technology/portrait/small/s_56065_288_2012_1.jpg?lm=1,N/A,05.04.1981,Ensenada,Retired
17,Manuel Castro,Luis Manuel Castro Cáceres,117,17,11,7.926,N/A,Castro,#17,9,0,Club Estudiantes de La Plata,Attack - Right Winger,"1,75 m",Uruguay,uy,https://www.transfermarkt.us/manuel-castro/profil/spieler/335984,https://img.a.transfermarkt.technology/portrait/small/335984-1646656618.JPG?lm=1,N/A,27.09.1995,Durazno,FC Juárez
18,Mauro Méndez,Mauro Andrés Méndez Acosta,81,17,5,3.708,N/A,Méndez,#16,7,0,Club Estudiantes de La Plata,Attack - Centre-Forward,"1,76 m",Uruguay,uy,https://www.transfermarkt.us/mauro-mendez/profil/spieler/675468,https://img.a.transfermarkt.technology/portrait/small/675468-1739829194.jpg?lm=1,N/A,17.01.1999,Salto,Club Estudiantes de La Plata
19,Marcelo Carrusca,Marcelo Adrián Carrusca,134,15,12,8.636,N/A,Carrusca,Unknown,12,0,Club Estudiantes de La Plata,Midfield - Attacking Midfield,"1,72 m",Argentina,ar,https://www.transfermarkt.us/marcelo-carrusca/profil/spieler/27451,https://img.a.transfermarkt.technology/portrait/small/27451-1413467935.jpg?lm=1,N/A,01.09.1983,La Plata,Retired
20,Carlos Auzqui,Carlos Daniel Auzqui,168,15,14,10.720,N/A,Auzqui,#28,21,2,Club Estudiantes de La Plata,Attack - Right Winger,"1,80 m",Argentina,ar,https://www.transfermarkt.us/carlos-auzqui/profil/spieler/100001,https://img.a.transfermarkt.technology/portrait/small/100001-1604497657.jpg?lm=1,N/A,16.03.1991,Longchamps,Club Atlético Tucumán
21,Santiago Ascacíbar,Santiago Lionel Ascacíbar,160,15,4,13.705,N/A,Ascacíbar,#5,43,2,Club Estudiantes de La Plata,Midfield - Central Midfield,"1,69 m",Argentina,ar,https://www.transfermarkt.us/santiago-ascacibar/profil/spieler/423436,https://img.a.transfermarkt.technology/portrait/small/423436-1739827128.jpg?lm=1,N/A,25.02.1997,La Plata,Club Estudiantes de La Plata
