rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Víctor Lojero,Víctor Hugo Lojero Alexanderson,154,87,2,11.864,N/A,Lojero,Unknown,16,0,Club Necaxa,Attack - Centre-Forward,"1,72 m",Mexico,mx,https://www.transfermarkt.us/victor-lojero/profil/spieler/67185,https://img.a.transfermarkt.technology/portrait/small/67185-1443624514.png?lm=1,N/A,17.11.1984,Mexico City,Chapulineros de Oaxaca
2,Alfredo Moreno,Alfredo David Moreno Rojas,182,60,1,12.995,N/A,Moreno,Unknown,39,5,Club Necaxa,Attack - Centre-Forward,"1,79 m",Argentina,ar,https://www.transfermarkt.us/alfredo-moreno/profil/spieler/53337,https://img.a.transfermarkt.technology/portrait/small/53337-1471527111.png?lm=1,N/A,12.01.1980,Santiago del Estero,---
3,Álex Aguinaga,Álex Darío Aguinaga Garzón,229,40,9,17.862,N/A,Aguinaga,Unknown,46,6,Club Necaxa,Midfield - Attacking Midfield,,Ecuador,ec,https://www.transfermarkt.us/alex-aguinaga/profil/spieler/80438,https://img.a.transfermarkt.technology/portrait/small/80438-1640004217.jpg?lm=1,N/A,09.07.1969,Ibarra,Retired
4,Agustín Delgado,Agustín Javier Delgado Chalá,91,39,0,7.244,N/A,Delgado,Unknown,8,0,Club Necaxa,Attack - Centre-Forward,"1,88 m",Ecuador,ec,https://www.transfermarkt.us/agustin-delgado/profil/spieler/3849,https://img.a.transfermarkt.technology/portrait/small/3849-1669024533.jpg?lm=1,N/A,23.12.1974,Ibarra,Retired
5,Sergio Vázquez,Sergio Marcelo Vázquez Robledo,121,35,5,9.294,N/A,Vázquez,Unknown,17,1,Club Necaxa,Midfield - Attacking Midfield,"1,76 m",Uruguay,uy,https://www.transfermarkt.us/sergio-vazquez/profil/spieler/262179,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.10.1972,Trinidad,Retired
6,Jesús Isijara,Jesús Antonio Isijara Rodríguez,216,32,17,12.840,N/A,Isijara,Unknown,28,2,Club Necaxa,Attack - Right Winger,"1,80 m",Mexico,mx,https://www.transfermarkt.us/jesus-isijara/profil/spieler/103790,https://img.a.transfermarkt.technology/portrait/small/103790-1469552328.png?lm=1,N/A,26.09.1989,Navolato,Without Club
7,Diber Cambindo,Diber Armando Cambindo Abonía,47,26,4,3.594,N/A,Cambindo,#27,9,1,Club Necaxa,Attack - Centre-Forward,"1,88 m",Colombia,co,https://www.transfermarkt.us/diber-cambindo/profil/spieler/650861,https://img.a.transfermarkt.technology/portrait/small/650861-1692206129.jpg?lm=1,N/A,17.02.1996,Guachené,Club Necaxa
8,Hugo Rodallega,Hugo Rodallega Martínez,51,25,3,4.540,N/A,Rodallega,#11,10,0,Club Necaxa,Attack - Centre-Forward,"1,81 m",Colombia,co,https://www.transfermarkt.us/hugo-rodallega/profil/spieler/37934,https://img.a.transfermarkt.technology/portrait/small/37934-1698777152.JPG?lm=1,N/A,25.07.1985,El Carmelo,Independiente Santa Fe
9,Fabiano,Unknown,99,24,4,7.965,N/A,Fabiano,Unknown,24,4,Club Necaxa,Midfield - Central Midfield,"1,81 m",Brazil,br,https://www.transfermarkt.us/fabiano/profil/spieler/15695,https://img.a.transfermarkt.technology/portrait/small/s_15695_2035_2010_2.jpg?lm=1,N/A,06.04.1978,Marília,Retired
10,Danny Santoya,Danny Manuel Santoya Otero,38,24,0,2.884,N/A,Santoya,Unknown,5,0,Club Necaxa,Attack - Centre-Forward,"1,81 m",Colombia,co,https://www.transfermarkt.us/danny-santoya/profil/spieler/77189,https://img.a.transfermarkt.technology/portrait/small/77189-1669152161.jpg?lm=1,N/A,24.04.1988,Cartagena,Fursan Caracas FC
11,Pedro Pineda,Pedro Pineda Deras,46,24,1,2.974,N/A,Pineda,Unknown,8,0,Club Necaxa,Attack,"1,78 m",Mexico,mx,https://www.transfermarkt.us/pedro-pineda/profil/spieler/438640,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.11.1971,Nezahualcóyotl,Retired
12,Zaguinho,Unknown,104,24,3,6.711,N/A,Zaguinho,Unknown,22,2,Club Necaxa,Attack - Centre-Forward,"1,90 m",Mexico,mx,https://www.transfermarkt.us/zaguinho/profil/spieler/102519,https://img.a.transfermarkt.technology/portrait/small/102519-1589985332.jpg?lm=1,N/A,23.05.1967,Mexico City,Retired
13,Braulio Luna,Braulio Luna Guzmán,85,24,0,6.921,N/A,Luna,Unknown,7,0,Club Necaxa,Midfield - Left Midfield,"1,80 m",Mexico,mx,https://www.transfermarkt.us/braulio-luna/profil/spieler/28100,https://img.a.transfermarkt.technology/portrait/small/s_28100_5138_2013_03_20_1.jpg?lm=1,N/A,08.09.1974,Mexico City,Retired
14,Sergio Zárate,Sergio Fabián Zárate Riga,70,23,2,5.414,N/A,Zárate,Unknown,10,2,Club Necaxa,Attack - Centre-Forward,,Argentina,ar,https://www.transfermarkt.us/sergio-zarate/profil/spieler/17984,https://img.a.transfermarkt.technology/portrait/small/17984-1513157080.jpg?lm=1,N/A,14.01.1969,Buenos Aires,Retired
15,Nelson Maz,Nelson Sebastián Maz Rosano,42,23,0,3.641,N/A,Maz,Unknown,17,1,Club Necaxa,Attack - Centre-Forward,"1,80 m",Uruguay,uy,https://www.transfermarkt.us/nelson-maz/profil/spieler/66860,https://img.a.transfermarkt.technology/portrait/small/s_66860_4941_2012_1.jpg?lm=1,N/A,20.11.1984,Durazno,Retired
16,Kléber Pereira,Kléber João Boas Pereira,39,20,1,3.425,N/A,Pereira,Unknown,12,1,Club Necaxa,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/kleber-pereira/profil/spieler/28109,https://img.a.transfermarkt.technology/portrait/small/28109-1720056102.jpg?lm=1,N/A,13.08.1975,Peri Mirim,Retired
17,Luis Hernández,Luis Arturo Hernández Carreón,51,19,0,3.474,N/A,Hernández,Unknown,11,3,Club Necaxa,Attack - Centre-Forward,"1,75 m",Mexico,mx,https://www.transfermarkt.us/luis-hernandez/profil/spieler/80014,https://img.a.transfermarkt.technology/portrait/small/80014-1589144242.jpg?lm=1,N/A,22.12.1968,Poza Rica,Retired
