rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Raúl Enríquez,Raúl Enríquez Arámbula,203,81,6,13.990,N/A,Enríquez,Unknown,21,2,Club Tijuana,Attack - Centre-Forward,"1,73 m",Mexico,mx,https://www.transfermarkt.us/raul-enriquez/profil/spieler/53893,https://img.a.transfermarkt.technology/portrait/small/s_53893_13353_2013_03_02_1.jpg?lm=1,N/A,20.05.1985,Armeria,Halcones FC (MEX)
2,Dayro Moreno,Dayro Mauricio Moreno Galindo,101,50,12,7.665,N/A,Moreno,#17,26,0,Club Tijuana,Attack - Centre-Forward,"1,78 m",Colombia,co,https://www.transfermarkt.us/dayro-moreno/profil/spieler/42457,https://img.a.transfermarkt.technology/portrait/small/42457-1696364738.jpg?lm=1,N/A,16.09.1985,Chicoral,Once Caldas
3,Fidel Martínez,Fidel Francisco Martínez Tenorio,110,30,9,7.119,N/A,Martínez,#8,12,1,Club Tijuana,Attack - Left Winger,"1,79 m",Ecuador,ec,https://www.transfermarkt.us/fidel-martinez/profil/spieler/75612,https://img.a.transfermarkt.technology/portrait/small/75612-1717531383.jpg?lm=1,N/A,15.02.1990,Shushufindi,CD El Nacional
4,Darío Benedetto,Darío Ismael Benedetto,50,23,10,3.575,N/A,Benedetto,#9,6,0,Club Tijuana,Attack - Centre-Forward,"1,75 m",Argentina,ar,https://www.transfermarkt.us/dario-benedetto/profil/spieler/92693,https://img.a.transfermarkt.technology/portrait/small/92693-1709648436.jpg?lm=1,N/A,17.05.1990,Berazategui,Olimpia Asunción
5,Miler Bolaños,Miler Alejandro Bolaños Reascos,112,22,15,8.378,N/A,Bolaños,#10,33,2,Club Tijuana,Midfield - Attacking Midfield,"1,72 m",Ecuador,ec,https://www.transfermarkt.us/miler-bolanos/profil/spieler/103246,https://img.a.transfermarkt.technology/portrait/small/103246-1717453902.jpg?lm=1,N/A,01.06.1990,Eloy Alfaro,Guayaquil City FC
6,Valtencir Gómes,Valtencir Gómes da Silva,51,22,0,3.899,N/A,Gómes,Unknown,3,0,Club Tijuana,Midfield,,Brazil,br,https://www.transfermarkt.us/valtencir-gomes/profil/spieler/67153,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.12.1969,Populina,Retired
7,Duvier Riascos,Duvier Orlando Riascos Barahona,65,22,6,5.188,N/A,Riascos,Unknown,19,0,Club Tijuana,Attack - Centre-Forward,"1,82 m",Colombia,co,https://www.transfermarkt.us/duvier-riascos/profil/spieler/119229,https://img.a.transfermarkt.technology/portrait/small/119229-1670575501.png?lm=1,N/A,26.06.1986,Buenaventura,Without Club
8,Gustavo Bou,Gustavo Leonardo Bou,55,21,14,4.163,N/A,Bou,Unknown,9,0,Club Tijuana,Attack - Centre-Forward,"1,77 m",Argentina,ar,https://www.transfermarkt.us/gustavo-bou/profil/spieler/71608,https://img.a.transfermarkt.technology/portrait/small/71608-1678478326.jpg?lm=1,N/A,18.02.1990,Concordia,Club Defensores del Barrio Nébel
9,Alfredo Moreno,Alfredo David Moreno Rojas,78,20,16,4.463,N/A,Moreno,Unknown,15,0,Club Tijuana,Attack - Centre-Forward,"1,79 m",Argentina,ar,https://www.transfermarkt.us/alfredo-moreno/profil/spieler/53337,https://img.a.transfermarkt.technology/portrait/small/53337-1471527111.png?lm=1,N/A,12.01.1980,Santiago del Estero,---
10,Mauro Gerk,Mauro Néstor Gerk Larrea,75,20,2,4.262,N/A,Gerk,Unknown,6,0,Club Tijuana,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/mauro-gerk/profil/spieler/66837,https://img.a.transfermarkt.technology/portrait/small/s_66837_28185_2012_11_05_1.jpg?lm=1,N/A,09.05.1977,Coronel Dorrego,Retired
11,José Raúl Zúñiga,José Raúl Zúñiga Murillo,49,18,2,2.796,N/A,Zúñiga,#26,6,0,Club Tijuana,Attack - Centre-Forward,"1,81 m",Colombia,co,https://www.transfermarkt.us/jose-raul-zuniga/profil/spieler/690681,https://img.a.transfermarkt.technology/portrait/small/690681-1617737169.jpg?lm=1,N/A,13.07.1994,Chocó,Club Tijuana
12,Richard Ruiz,Richard Ruiz Toledo,219,18,11,15.023,N/A,Ruiz,Unknown,20,0,Club Tijuana,Defender - Right-Back,"1,79 m",Mexico,mx,https://www.transfermarkt.us/richard-ruiz/profil/spieler/67668,https://img.a.transfermarkt.technology/portrait/small/67668-1580381491.jpg?lm=1,N/A,14.01.1986,Jiquipilas,Without Club
13,Carlos González,Carlos Gabriel González Espinola,50,16,2,3.688,N/A,González,#32,3,1,Club Tijuana,Attack - Centre-Forward,"1,83 m",Paraguay,py,https://www.transfermarkt.us/carlos-gonzalez/profil/spieler/366620,https://img.a.transfermarkt.technology/portrait/small/366620-1696368873.jpeg?lm=1,N/A,04.02.1993,Iturbe,CA Newell's Old Boys
14,Joe Corona,Joe Benny Corona Crespín,247,16,10,14.236,N/A,Corona,#6,20,2,Club Tijuana,Midfield - Central Midfield,"1,76 m",United States,us,https://www.transfermarkt.us/joe-corona/profil/spieler/162940,https://img.a.transfermarkt.technology/portrait/small/162940-1647680251.JPG?lm=1,N/A,09.07.1990,"Los Angeles, California",Club Tijuana
15,Juan Martín Lucero,Unknown,76,15,4,4.166,N/A,Lucero,#9,8,0,Club Tijuana,Attack - Centre-Forward,"1,82 m",Argentina,ar,https://www.transfermarkt.us/juan-martin-lucero/profil/spieler/162807,https://img.a.transfermarkt.technology/portrait/small/162807-1636330927.JPG?lm=1,N/A,10.10.1991,Mendoza,Fortaleza Esporte Clube
16,Diego Torres,Diego Alejandro Torres Ortiz González,69,14,0,3.661,N/A,Torres,Unknown,10,1,Club Tijuana,Attack - Centre-Forward,"1,81 m",Mexico,mx,https://www.transfermarkt.us/diego-torres/profil/spieler/67163,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.10.1979,Aguascalientes,Retired
17,Cristian Pellerano,Cristian Alberto Pellerano,91,14,5,7.759,N/A,Pellerano,Unknown,43,1,Club Tijuana,Midfield - Defensive Midfield,"1,82 m",Argentina,ar,https://www.transfermarkt.us/cristian-pellerano/profil/spieler/55941,https://img.a.transfermarkt.technology/portrait/small/55941-1677766275.jpeg?lm=1,N/A,01.02.1982,Buenos Aires,Retired
18,Gabriel Hauche,Gabriel Agustín Hauche,73,14,14,5.319,N/A,Hauche,Unknown,16,0,Club Tijuana,Attack - Centre-Forward,"1,69 m",Argentina,ar,https://www.transfermarkt.us/gabriel-hauche/profil/spieler/54845,https://img.a.transfermarkt.technology/portrait/small/54845-1694004068.JPG?lm=1,N/A,27.11.1986,Remedios de Escalada,CA Temperley
19,Christian Rivera,Christian Hernando Rivera Cuéllar,149,14,3,11.024,N/A,Rivera,#14,27,1,Club Tijuana,Midfield - Defensive Midfield,"1,85 m",Colombia,co,https://www.transfermarkt.us/christian-rivera/profil/spieler/426324,https://img.a.transfermarkt.technology/portrait/small/426324-1633314171.jpg?lm=1,N/A,14.01.1996,Santiago de Cali,Sport Club do Recife
20,Ariel Nahuelpán,Ariel Geraldo Nahuelpán Osten,43,13,4,3.161,N/A,Nahuelpán,#37,11,1,Club Tijuana,Attack - Centre-Forward,"1,87 m",Argentina,ar,https://www.transfermarkt.us/ariel-nahuelpan/profil/spieler/68562,https://img.a.transfermarkt.technology/portrait/small/68562-1565169459.jpg?lm=1,N/A,15.10.1987,Buenos Aires,PSBS Biak
21,Henry Martin,Henry Josué Martin Mex,94,13,10,4.757,N/A,Martin,#21,4,0,Club Tijuana,Attack - Centre-Forward,"1,77 m",Mexico,mx,https://www.transfermarkt.us/henry-martin/profil/spieler/286339,https://img.a.transfermarkt.technology/portrait/small/286339-1565165533.png?lm=1,N/A,18.11.1992,Mérida,CF América
22,Lucas Rodríguez,Lucas Ariel Rodríguez,87,13,13,6.454,N/A,Rodríguez,#10,14,2,Club Tijuana,Midfield - Attacking Midfield,"1,69 m",Argentina,ar,https://www.transfermarkt.us/lucas-rodriguez/profil/spieler/380996,https://img.a.transfermarkt.technology/portrait/small/380996-1551294997.jpg?lm=1,N/A,27.04.1997,Buenos Aires,Querétaro FC
23,Avilés Hurtado,Avilés Hurtado Herrera,46,13,11,3.601,N/A,Hurtado,#18,5,0,Club Tijuana,Attack - Left Winger,"1,71 m",Colombia,co,https://www.transfermarkt.us/aviles-hurtado/profil/spieler/148713,https://img.a.transfermarkt.technology/portrait/small/148713-1580827692.png?lm=1,N/A,20.04.1987,Timbiquí,FC Juárez
24,José Sand,José Gustavo Sand,34,12,6,2.487,N/A,Sand,Unknown,7,2,Club Tijuana,Attack - Centre-Forward,"1,82 m",Argentina,ar,https://www.transfermarkt.us/jose-sand/profil/spieler/26269,https://img.a.transfermarkt.technology/portrait/small/26269-1722344526.JPG?lm=1,N/A,17.07.1980,Bella Vista,Retired
25,Juan Arango,Juan Fernando Arango Sáenz,50,12,10,3.752,N/A,Arango,Unknown,2,0,Club Tijuana,Midfield - Left Midfield,,Venezuela,ve,https://www.transfermarkt.us/juan-arango/profil/spieler/26063,https://img.a.transfermarkt.technology/portrait/small/26063-1588074868.jpg?lm=1,N/A,16.05.1980,Maracay,Retired
26,Paul Arriola,Paul Joseph Arriola Hendricks,116,11,3,5.657,N/A,Arriola,#17,13,0,Club Tijuana,Attack - Right Winger,"1,67 m",United States,us,https://www.transfermarkt.us/paul-arriola/profil/spieler/189876,https://img.a.transfermarkt.technology/portrait/small/189876-1740862746.jpg?lm=1,N/A,05.02.1995,"Chula Vista, California",Seattle Sounders FC
27,Kevin Castañeda,Kevin Castañeda Vargas,75,10,6,3.875,N/A,Castañeda,#10,8,0,Club Tijuana,Midfield - Attacking Midfield,"1,70 m",Mexico,mx,https://www.transfermarkt.us/kevin-castaneda/profil/spieler/599732,https://img.a.transfermarkt.technology/portrait/small/599732-1580383081.jpg?lm=1,N/A,28.10.1999,Guadalajara,Club Tijuana
28,Camilo Sanvezzo,Camilo da Silva Sanvezzo,24,10,1,1.648,N/A,Sanvezzo,Unknown,3,1,Club Tijuana,Attack - Centre-Forward,"1,70 m",Brazil,br,https://www.transfermarkt.us/camilo-sanvezzo/profil/spieler/172285,https://img.a.transfermarkt.technology/portrait/small/172285-1691697574.jpg?lm=1,N/A,21.07.1988,Presidente Prudente,Retired
29,Mauro Manotas,Mauro Andrés Manotas Páez,47,10,5,3.261,N/A,Manotas,#11,5,0,Club Tijuana,Attack - Centre-Forward,"1,82 m",Colombia,co,https://www.transfermarkt.us/mauro-manotas/profil/spieler/325614,https://img.a.transfermarkt.technology/portrait/small/325614-1583526846.jpg?lm=1,N/A,15.07.1995,Sabanalarga,Atlas Guadalajara
