rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Romário,Unknown,89,78,3,7.540,N/A,Romário,Unknown,5,0,Clube de Regatas Vasco da Gama,Attack - Centre-Forward,"1,69 m",Brazil,br,https://www.transfermarkt.us/romario/profil/spieler/7942,https://img.a.transfermarkt.technology/portrait/small/7942-1464018929.jpg?lm=1,N/A,29.01.1966,Rio de Janeiro,Retired
2,Nenê,Unknown,199,60,31,16.156,N/A,Nenê,#10,48,0,Clube de Regatas Vasco da Gama,Midfield - Attacking Midfield,"1,81 m",Brazil,br,https://www.transfermarkt.us/nene/profil/spieler/29091,https://img.a.transfermarkt.technology/portrait/small/29091-1724955986.jpg?lm=1,N/A,19.07.1981,Jundiaí,Esporte Clube Juventude
3,Edmundo,Unknown,98,50,12,7.691,N/A,Edmundo,Unknown,22,4,Clube de Regatas Vasco da Gama,Attack - Second Striker,"1,78 m",Brazil,br,https://www.transfermarkt.us/edmundo/profil/spieler/53219,https://img.a.transfermarkt.technology/portrait/small/53219-1491319081.jpg?lm=1,N/A,02.04.1971,Niterói,Retired
4,Élton,Unknown,91,43,4,6.180,N/A,Élton,Unknown,14,0,Clube de Regatas Vasco da Gama,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/elton/profil/spieler/41052,https://img.a.transfermarkt.technology/portrait/small/41052-1684691906.jpg?lm=1,N/A,01.08.1985,Iramaia,Retired
5,Germán Cano,Germán Ezequiel Cano,101,43,4,8.657,N/A,Cano,#14,13,0,Clube de Regatas Vasco da Gama,Attack - Centre-Forward,"1,76 m",Argentina,ar,https://www.transfermarkt.us/german-cano/profil/spieler/54590,https://img.a.transfermarkt.technology/portrait/small/54590-1701505203.jpg?lm=1,N/A,02.02.1988,Posadas,Fluminense Football Club
6,Pablo Vegetti,Pablo Ezequiel Vegetti Pfaffen,89,43,7,7.642,N/A,Vegetti,#99,15,0,Clube de Regatas Vasco da Gama,Attack - Centre-Forward,"1,87 m",Argentina,ar,https://www.transfermarkt.us/pablo-vegetti/profil/spieler/334229,https://img.a.transfermarkt.technology/portrait/small/334229-1694903119.jpg?lm=1,N/A,15.10.1988,Santo Domingo,Clube de Regatas Vasco da Gama
7,Leandro Amaral,Leandro Camara do Amaral,82,40,14,7.054,N/A,Amaral,Unknown,9,1,Clube de Regatas Vasco da Gama,Attack - Centre-Forward,"1,77 m",Brazil,br,https://www.transfermarkt.us/leandro-amaral/profil/spieler/17479,https://img.a.transfermarkt.technology/portrait/small/s_17479_123_2013_10_10_1.jpg?lm=1,N/A,06.08.1977,São Paulo,Retired
8,Yago Pikachu,Glaybson Yago Souza Lisboa,248,39,17,18.771,N/A,Pikachu,#22,44,2,Clube de Regatas Vasco da Gama,Attack - Right Winger,"1,72 m",Brazil,br,https://www.transfermarkt.us/yago-pikachu/profil/spieler/265660,https://img.a.transfermarkt.technology/portrait/small/265660-1547648152.jpg?lm=1,N/A,05.06.1992,Belém,Fortaleza Esporte Clube
9,Juninho Pernambucano,Unknown,152,31,40,11.766,N/A,Juninho Pernambucano,Unknown,28,2,Clube de Regatas Vasco da Gama,Midfield - Attacking Midfield,"1,78 m",Brazil,br,https://www.transfermarkt.us/juninho-pernambucano/profil/spieler/5354,https://img.a.transfermarkt.technology/portrait/small/5354-1683633269.jpg?lm=1,N/A,30.01.1975,Recife,Retired
10,Thalles,Unknown,134,31,6,7.629,N/A,Thalles,Unknown,19,1,Clube de Regatas Vasco da Gama,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/thalles/profil/spieler/291864,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.05.1995,São Gonçalo,---
11,Morais,Unknown,137,27,6,10.044,N/A,Morais,Unknown,23,0,Clube de Regatas Vasco da Gama,Midfield - Attacking Midfield,"1,70 m",Brazil,br,https://www.transfermarkt.us/morais/profil/spieler/16877,https://img.a.transfermarkt.technology/portrait/small/s_16877_7178_2012_1.jpg?lm=1,N/A,17.07.1984,Maceió,Murici Futebol Clube (AL)
12,Gabriel Pec,Unknown,178,26,14,10.699,N/A,Gabriel Pec,#11,24,0,Clube de Regatas Vasco da Gama,Attack - Right Winger,"1,78 m",Brazil,br,https://www.transfermarkt.us/gabriel-pec/profil/spieler/703321,https://img.a.transfermarkt.technology/portrait/small/703321-1740776543.jpg?lm=1,N/A,11.02.2001,Petrópolis,Los Angeles Galaxy
