rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Álex Arce,Álex Adrián Arce Barrios,37,28,4,3.109,N/A,Arce,#19,5,0,CS Independiente Rivadavia,Attack - Centre-Forward,"1,87 m",Paraguay,py,https://www.transfermarkt.us/alex-arce/profil/spieler/970518,https://img.a.transfermarkt.technology/portrait/small/970518-1718721471.jpg?lm=1,N/A,16.06.1995,Carapeguá,LDU Quito
2,Matías Quiroga,Matías Alejandro Quiroga,62,22,10,4.636,N/A,Quiroga,Unknown,7,0,CS Independiente Rivadavia,Attack - Centre-Forward,"1,96 m",Argentina,ar,https://www.transfermarkt.us/matias-quiroga/profil/spieler/103456,https://img.a.transfermarkt.technology/portrait/small/103456-1729199910.JPG?lm=1,N/A,17.12.1985,San Luis,Without Club
3,Mauricio Ferradas,Mauricio Javier Ferradas,110,22,8,8.809,N/A,Ferradas,Unknown,5,0,CS Independiente Rivadavia,Attack,"1,73 m",Argentina,ar,https://www.transfermarkt.us/mauricio-ferradas/profil/spieler/55918,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.11.1979,Junin (Buenos Aires),Retired
4,Javier Velázquez,Unknown,51,17,2,3.760,N/A,Velázquez,Unknown,11,0,CS Independiente Rivadavia,Attack - Centre-Forward,"1,87 m",Argentina,ar,https://www.transfermarkt.us/javier-velazquez/profil/spieler/121761,https://img.a.transfermarkt.technology/portrait/small/121761-1639164974.JPG?lm=1,N/A,03.02.1984,Zárate,Retired
5,Diego Cardozo,Diego Daniel Cardozo,49,14,5,2.738,N/A,Cardozo,Unknown,12,1,CS Independiente Rivadavia,Midfield - Attacking Midfield,"1,73 m",Argentina,ar,https://www.transfermarkt.us/diego-cardozo/profil/spieler/80347,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.06.1987,Granadero Baigorria,CDS Juventud Unida (San Miguel)
6,Lucas Ambrogio,Unknown,53,13,5,3.558,N/A,Ambrogio,Unknown,8,0,CS Independiente Rivadavia,Attack - Left Winger,"1,81 m",Argentina,ar,https://www.transfermarkt.us/lucas-ambrogio/profil/spieler/697584,https://img.a.transfermarkt.technology/portrait/small/697584-1724864433.jpg?lm=1,N/A,14.07.1999,Villa Mercedes,CA Atlanta
7,Diego Caballero,Diego Fabriel Caballero,72,11,2,3.329,N/A,Caballero,Unknown,9,0,CS Independiente Rivadavia,Attack - Second Striker,"1,74 m",Argentina,ar,https://www.transfermarkt.us/diego-caballero/profil/spieler/87835,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.09.1985,Eldorado,Retired
8,Daniel Imperiale,Daniel Ernesto Imperiale Granados,71,11,3,4.815,N/A,Imperiale,Unknown,8,0,CS Independiente Rivadavia,Midfield - Central Midfield,"1,90 m",Argentina,ar,https://www.transfermarkt.us/daniel-imperiale/profil/spieler/420445,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.04.1988,Guaymallén,Without Club
9,Mauricio Asenjo,Mauricio Gabriel Asenjo Albelda,60,10,1,3.853,N/A,Asenjo,Unknown,12,1,CS Independiente Rivadavia,Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/mauricio-asenjo/profil/spieler/333762,https://img.a.transfermarkt.technology/portrait/small/333762-1724874003.jpg?lm=1,N/A,23.07.1994,Mendoza,CA Los Andes
10,Victorio Ramis,Victorio Gabriel Ramis,68,9,3,3.458,N/A,Ramis,#7,8,1,CS Independiente Rivadavia,Attack - Centre-Forward,"1,81 m",Argentina,ar,https://www.transfermarkt.us/victorio-ramis/profil/spieler/381065,https://img.a.transfermarkt.technology/portrait/small/381065-1724873868.jpg?lm=1,N/A,07.07.1994,Córdoba,CS Independiente Rivadavia
11,Gabriel Pérez Tarifa,Gerardo Gabriel Pérez Tarifa,27,9,2,1.989,N/A,Pérez Tarifa,Unknown,5,0,CS Independiente Rivadavia,Attack - Centre-Forward,"1,86 m",Argentina,ar,https://www.transfermarkt.us/gabriel-perez-tarifa/profil/spieler/62183,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.06.1987,Córdoba,Retired
12,Federico Castro,Federico Gastón Castro,37,9,1,2.709,N/A,Castro,Unknown,6,0,CS Independiente Rivadavia,Attack - Centre-Forward,"1,83 m",Argentina,ar,https://www.transfermarkt.us/federico-castro/profil/spieler/359042,https://img.a.transfermarkt.technology/portrait/small/359042-1724873850.jpg?lm=1,N/A,24.08.1993,Villa Ramallo,CA Patronato
13,Alejandro Rébola,Alejandro Daniel Rébola,71,7,0,6.340,N/A,Rébola,Unknown,18,0,CS Independiente Rivadavia,Defender - Centre-Back,"1,85 m",Argentina,ar,https://www.transfermarkt.us/alejandro-rebola/profil/spieler/88080,https://img.a.transfermarkt.technology/portrait/small/88080-1675102207.JPG?lm=1,N/A,24.07.1988,Colazo,CA Chacarita Juniors
14,Franco Coronel,Franco Emir Coronel,37,7,2,1.947,N/A,Coronel,Unknown,6,0,CS Independiente Rivadavia,Attack - Second Striker,"1,70 m",Argentina,ar,https://www.transfermarkt.us/franco-coronel/profil/spieler/730119,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.07.1993,Villa Ramallo,CA Agropecuario
15,Sebastián Villa,Sebastián Villa Cano,33,7,8,2.929,N/A,Villa,#22,7,0,CS Independiente Rivadavia,Attack - Left Winger,"1,79 m",Colombia,co,https://www.transfermarkt.us/sebastian-villa/profil/spieler/493000,https://img.a.transfermarkt.technology/portrait/small/493000-1724873773.JPEG?lm=1,N/A,19.05.1996,Bello,CS Independiente Rivadavia
16,Cristian Fabbiani,Cristian Gastón Fabbiani,17,7,0,931.000,N/A,Fabbiani,Unknown,6,2,CS Independiente Rivadavia,Attack - Centre-Forward,"1,89 m",Argentina,ar,https://www.transfermarkt.us/cristian-fabbiani/profil/spieler/30612,https://img.a.transfermarkt.technology/portrait/small/30612-1722345696.JPG?lm=1,N/A,03.09.1983,Ciudad Evita,Retired
17,Juan Elordi,Juan Manuel Elordi,35,6,1,3.180,N/A,Elordi,#33,10,0,CS Independiente Rivadavia,Defender - Left-Back,"1,76 m",Argentina,ar,https://www.transfermarkt.us/juan-elordi/profil/spieler/728602,https://img.a.transfermarkt.technology/portrait/small/728602-1742570582.png?lm=1,N/A,21.08.1994,Saladillo (BUE),CA Rosario Central
18,Cristian Tarragona,Cristian Alberto Tarragona,12,6,0,1.047,N/A,Tarragona,#25,2,0,CS Independiente Rivadavia,Attack - Centre-Forward,"1,76 m",Argentina,ar,https://www.transfermarkt.us/cristian-tarragona/profil/spieler/422698,https://img.a.transfermarkt.technology/portrait/small/422698-1699915095.jpg?lm=1,N/A,09.04.1991,Santa Fe,CA Talleres
19,Luis Salmerón,Luis Ángel Salmerón,16,6,1,1.318,N/A,Salmerón,Unknown,5,1,CS Independiente Rivadavia,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/luis-salmeron/profil/spieler/54652,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.03.1982,Córdoba,Retired
20,José Méndez,José Alejandro Méndez,27,5,2,1.714,N/A,Méndez,Unknown,4,0,CS Independiente Rivadavia,Attack - Right Winger,"1,71 m",Argentina,ar,https://www.transfermarkt.us/jose-mendez/profil/spieler/422918,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.03.1993,Mendoza,Club de Gimnasia y Tiro
21,Marcos Brítez Ojeda,Unknown,40,5,0,3.496,N/A,Brítez Ojeda,Unknown,8,0,CS Independiente Rivadavia,Midfield - Central Midfield,"1,84 m",Argentina,ar,https://www.transfermarkt.us/marcos-britez-ojeda/profil/spieler/88056,https://img.a.transfermarkt.technology/portrait/small/88056-1722428110.JPG?lm=1,N/A,22.05.1986,Buenos Aires,CA Los Andes
22,Franco Negri,Unknown,56,5,0,4.013,N/A,Negri,#22,8,0,CS Independiente Rivadavia,Defender - Left-Back,"1,76 m",Argentina,ar,https://www.transfermarkt.us/franco-negri/profil/spieler/459242,https://img.a.transfermarkt.technology/portrait/small/459242-1741027562.jpg?lm=1,N/A,20.02.1995,San Martín,San Diego FC
23,Pablo Palacio,Pablo Agustín Palacio,90,5,7,5.321,N/A,Palacio,Unknown,16,0,CS Independiente Rivadavia,Attack - Left Winger,"1,80 m",Argentina,ar,https://www.transfermarkt.us/pablo-palacio/profil/spieler/655659,https://img.a.transfermarkt.technology/portrait/small/655659-1715822608.jpg?lm=1,N/A,18.05.2000,Godoy Cruz,Club Ferro Carril Oeste
24,Cristian Lucero,Cristian Alfredo Lucero,35,5,0,1.460,N/A,Lucero,Unknown,1,0,CS Independiente Rivadavia,Attack - Centre-Forward,"1,70 m",Argentina,ar,https://www.transfermarkt.us/cristian-lucero/profil/spieler/550754,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.10.1987,Arguello,Gutiérrez SC
25,Braian Sánchez,Unknown,23,5,2,1.026,N/A,Sánchez,#35,2,0,CS Independiente Rivadavia,Midfield - Attacking Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/braian-sanchez/profil/spieler/540163,https://img.a.transfermarkt.technology/portrait/small/540163-1645363467.JPG?lm=1,N/A,11.06.1993,General Arenales,Club Deportivo Riestra
26,Gonzalo Klusener,Gonzalo Martín Klusener,13,5,1,1.170,N/A,Klusener,Unknown,6,0,CS Independiente Rivadavia,Attack - Centre-Forward,"1,83 m",Argentina,ar,https://www.transfermarkt.us/gonzalo-klusener/profil/spieler/87367,https://img.a.transfermarkt.technology/portrait/small/87367-1729199086.JPG?lm=1,N/A,21.10.1983,La Plata,Arsenal FC
27,Sebastián Romero,Miguel Ángel Sebastián Romero,39,5,2,2.167,N/A,Romero,Unknown,3,0,CS Independiente Rivadavia,Midfield - Right Midfield,"1,78 m",Argentina,ar,https://www.transfermarkt.us/sebastian-romero/profil/spieler/56042,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.12.1979,Florida,Retired
28,Juan Pablo Pereyra,Juan Pablo Pereyra,11,4,0,762.000,N/A,Pereyra,Unknown,2,0,CS Independiente Rivadavia,Attack - Centre-Forward,"1,93 m",Argentina,ar,https://www.transfermarkt.us/juan-pablo-pereyra/profil/spieler/53145,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.05.1984,San Lorenzo,Retired
29,Juan Alvacete,Juan Ignacio Alvacete,34,4,0,2.892,N/A,Alvacete,Unknown,9,0,CS Independiente Rivadavia,Defender - Centre-Back,"1,84 m",Argentina,ar,https://www.transfermarkt.us/juan-alvacete/profil/spieler/142348,https://img.a.transfermarkt.technology/portrait/small/142348-1723502553.jpg?lm=1,N/A,12.01.1991,Mendoza,CA Central Norte
30,Julio Mozzo,Julio Fabián Mozzo Váldez,28,4,2,2.520,N/A,Mozzo,Unknown,9,0,CS Independiente Rivadavia,Defender - Centre-Back,"1,84 m",Uruguay,uy,https://www.transfermarkt.us/julio-mozzo/profil/spieler/59300,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.04.1981,Montevideo,Retired
31,Gabriel Loeschbor,Gabriel Alejandro Loeschbor,35,4,0,3.150,N/A,Loeschbor,Unknown,8,0,CS Independiente Rivadavia,Defender - Centre-Back,"1,86 m",Argentina,ar,https://www.transfermarkt.us/gabriel-loeschbor/profil/spieler/5665,https://img.a.transfermarkt.technology/portrait/small/5665-1729197902.JPG?lm=1,N/A,04.06.1977,Santa Fé,Retired
32,Martín Gómez,Alberto Martín Gómez Manzanela,36,4,0,1.885,N/A,Gómez,Unknown,8,1,CS Independiente Rivadavia,Attack - Centre-Forward,"1,60 m",Argentina,ar,https://www.transfermarkt.us/martin-gomez/profil/spieler/87855,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.01.1983,Mendoza del Nuevo Valle de La Rioja,Retired
33,Ezequiel Ham,Alessio Ezequiel Naim Ham,67,4,10,4.515,N/A,Ham,#8,3,1,CS Independiente Rivadavia,Midfield - Central Midfield,"1,73 m",Syria,sy,https://www.transfermarkt.us/ezequiel-ham/profil/spieler/321612,https://img.a.transfermarkt.technology/portrait/small/321612-1724873132.jpg?lm=1,N/A,10.03.1994,Buenos Aires,CA Unión (Santa Fe)
