rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Grigoriy Fedotov,Федотов Григорий Иванович,177,137,0,15.145,N/A,Fedotov,Unknown,0,0,CSKA Moscow,Attack - Centre-Forward,"1,74 m",Russia,unknown,https://www.transfermarkt.us/grigoriy-fedotov/profil/spieler/662766,https://img.a.transfermarkt.technology/portrait/small/662766-1553712031.jpg?lm=1,N/A,11.04.1916,"Noginsk, Moskovskaya Gubernya",---
2,Vágner Love,Unknown,259,124,53,21.084,N/A,Vágner Love,#9,38,2,CSKA Moscow,Attack - Centre-Forward,"1,72 m",Brazil,br,https://www.transfermarkt.us/vagner-love/profil/spieler/18829,https://img.a.transfermarkt.technology/portrait/small/18829-1588240175.jpg?lm=1,N/A,11.06.1984,Rio de Janeiro,Avaí FC
3,Valentin Nikolaev,Николаев Валентин Александрович,233,102,1,20.945,N/A,Nikolaev,Unknown,0,1,CSKA Moscow,Attack - Right Winger,,Russia,unknown,https://www.transfermarkt.us/valentin-nikolaev/profil/spieler/303084,https://img.a.transfermarkt.technology/portrait/small/303084-1634587069.jpg?lm=1,N/A,16.08.1921,"Erosovo, Vladimir Region",---
4,Vladimir Fedotov,Федотов Владимир Григорьевич,427,100,3,35.810,N/A,Fedotov,Unknown,2,1,CSKA Moscow,Attack - Centre-Forward,,Russia,unknown,https://www.transfermarkt.us/vladimir-fedotov/profil/spieler/301092,https://img.a.transfermarkt.technology/portrait/small/301092-1553709496.jpg?lm=1,N/A,18.01.1943,Moskau,---
5,Vsevolod Bobrov,Бобров Всеволод Михайлович,98,99,0,8.441,N/A,Bobrov,Unknown,0,1,CSKA Moscow,Attack - Centre-Forward,,Russia,unknown,https://www.transfermarkt.us/vsevolod-bobrov/profil/spieler/302341,https://img.a.transfermarkt.technology/portrait/small/302341-1553700967.jpg?lm=1,N/A,01.12.1922,"Morshansk, Tambov Oblast",---
6,Seydou Doumbia,Unknown,150,95,36,11.181,N/A,Doumbia,Unknown,13,0,CSKA Moscow,Attack - Centre-Forward,"1,79 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/seydou-doumbia/profil/spieler/75287,https://img.a.transfermarkt.technology/portrait/small/75287-1510680050.jpg?lm=1,N/A,31.12.1987,Abidjan,Retired
7,Aleksey Grinin,Алексей Григорьевич Гринин,277,95,0,24.570,N/A,Grinin,Unknown,0,1,CSKA Moscow,Attack - Centre-Forward,,Russia,unknown,https://www.transfermarkt.us/aleksey-grinin/profil/spieler/665146,https://img.a.transfermarkt.technology/portrait/small/665146-1619028300.jpg?lm=1,N/A,21.08.1919,"Oserki, Gouvernement Moskau (Osjory, Oblast Moskau)",---
8,Boris Kopeikin,Копейкин Борис Аркадьевич,264,94,2,21.247,N/A,Kopeikin,Unknown,4,1,CSKA Moscow,Attack - Second Striker,,Russia,unknown,https://www.transfermarkt.us/boris-kopeikin/profil/spieler/298624,https://img.a.transfermarkt.technology/portrait/small/298624-1693052705.jpeg?lm=1,N/A,27.03.1946,Chelyabinsk,Retired
9,Vladimir Demin,Владимир Тимофеевич Дёмин,225,94,0,20.205,N/A,Demin,Unknown,0,0,CSKA Moscow,Attack - Left Winger,"1,63 m",Russia,unknown,https://www.transfermarkt.us/vladimir-demin/profil/spieler/665145,https://img.a.transfermarkt.technology/portrait/small/665145-1597353191.jpg?lm=1,N/A,10.03.1921,"Aljoschkino, Gouvernement Rjasan",---
10,Fedor Chalov,Чалов Фёдор Николаевич,263,89,44,17.284,N/A,Chalov,#9,15,0,CSKA Moscow,Attack - Centre-Forward,"1,81 m",Russia,unknown,https://www.transfermarkt.us/fedor-chalov/profil/spieler/287183,https://img.a.transfermarkt.technology/portrait/small/287183-1727967630.png?lm=1,N/A,10.04.1998,Moskau,PAOK Thessaloniki
11,Yuriy Chesnokov,Чесноков Юрий Иванович,289,87,8,23.759,N/A,Chesnokov,Unknown,9,0,CSKA Moscow,Attack - Centre-Forward,,Russia,unknown,https://www.transfermarkt.us/yuriy-chesnokov/profil/spieler/294793,https://img.a.transfermarkt.technology/portrait/small/294793-1586535543.jpg?lm=1,N/A,25.01.1952,Kimry,---
12,Sergey Semak,Семак Сергей Богданович,329,84,39,27.973,N/A,Semak,Unknown,26,1,CSKA Moscow,Midfield - Central Midfield,"1,78 m",Russia,unknown,https://www.transfermarkt.us/sergey-semak/profil/spieler/15373,https://img.a.transfermarkt.technology/portrait/small/15373-1416992417.jpg?lm=1,N/A,27.02.1976,"Sychanskoe, Lugansk Oblast",Retired
13,Vladimir Polikarpov,Поликарпов Владимир Иванович,383,83,1,32.438,N/A,Polikarpov,Unknown,0,0,CSKA Moscow,Midfield - Central Midfield,,Russia,unknown,https://www.transfermarkt.us/vladimir-polikarpov/profil/spieler/301097,https://img.a.transfermarkt.technology/portrait/small/301097-1634585771.jpg?lm=1,N/A,24.01.1943,Moskau,---
