rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jaime Moreno,Jaime Moreno Morales,404,155,80,31.252,N/A,Moreno,Unknown,38,6,D.C. United,Attack - Centre-Forward,"1,78 m",Bolivia,bo,https://www.transfermarkt.us/jaime-moreno/profil/spieler/16739,https://img.a.transfermarkt.technology/portrait/small/16739-1579451445.jpg?lm=1,N/A,19.01.1974,Santa Cruz de la Sierra,Retired
2,Christian Gómez,Christian Gustavo Gómez,160,60,30,11.810,N/A,Gómez,Unknown,32,1,D.C. United,Midfield - Attacking Midfield,"1,72 m",Argentina,ar,https://www.transfermarkt.us/christian-gomez/profil/spieler/39413,https://img.a.transfermarkt.technology/portrait/small/39413-1589276235.jpg?lm=1,N/A,07.11.1974,Buenos Aires,Retired
3,Luciano Emílio,Luciano Emílio da Silva,120,55,10,9.248,N/A,Emílio,Unknown,9,1,D.C. United,Attack - Centre-Forward,,Brazil,br,https://www.transfermarkt.us/luciano-emilio/profil/spieler/56124,https://img.a.transfermarkt.technology/portrait/small/56124-1607368829.jpg?lm=1,N/A,12.12.1978,Ilha Solteira,Retired
4,Raúl Díaz Arce,Raúl Ignacio Díaz Arce,85,55,10,7.247,N/A,Díaz Arce,Unknown,7,0,D.C. United,Attack - Centre-Forward,"1,75 m",El Salvador,sv,https://www.transfermarkt.us/raul-diaz-arce/profil/spieler/487591,https://img.a.transfermarkt.technology/portrait/small/487591-1536132871.jpg?lm=1,N/A,01.02.1970,San Miguel,Retired
5,Christian Benteke,Christian Benteke Liolo,80,44,9,6.931,N/A,Benteke,#20,21,1,D.C. United,Attack - Centre-Forward,"1,90 m",Belgium,be,https://www.transfermarkt.us/christian-benteke/profil/spieler/50201,https://img.a.transfermarkt.technology/portrait/small/50201-1740673905.jpg?lm=1,N/A,03.12.1990,Kinshasa,D.C. United
6,Roy Lassiter,Unknown,82,43,8,6.361,N/A,Lassiter,Unknown,12,2,D.C. United,Attack - Centre-Forward,"1,77 m",United States,us,https://www.transfermarkt.us/roy-lassiter/profil/spieler/154786,https://img.a.transfermarkt.technology/portrait/small/154786-1571036581.png?lm=1,N/A,09.03.1969,Washington D.C.,Retired
7,Marco Etcheverry,Marco Antonio Etcheverry Vargas,226,39,76,19.217,N/A,Etcheverry,Unknown,58,3,D.C. United,Midfield - Attacking Midfield,"1,79 m",Bolivia,bo,https://www.transfermarkt.us/marco-etcheverry/profil/spieler/101397,https://img.a.transfermarkt.technology/portrait/small/101397-1586204175.jpg?lm=1,N/A,26.09.1970,Santa Cruz de la Sierra,Retired
8,Chris Pontius,Christopher Richard Pontius,182,37,22,13.117,N/A,Pontius,Unknown,13,0,D.C. United,Attack - Left Winger,"1,82 m",United States,us,https://www.transfermarkt.us/chris-pontius/profil/spieler/105993,https://img.a.transfermarkt.technology/portrait/small/105993-1550074323.JPG?lm=1,N/A,12.05.1987,"Yorba Linda, California",Retired
9,Ola Kamara,Ola Williams Kamara,87,37,6,5.087,N/A,Kamara,Unknown,0,0,D.C. United,Attack - Centre-Forward,"1,84 m",Norway,no,https://www.transfermarkt.us/ola-kamara/profil/spieler/62067,https://img.a.transfermarkt.technology/portrait/small/62067-1657272558.jpg?lm=1,N/A,15.10.1989,Oslo,Without Club
10,Ben Olsen,Benjamin Robert Olsen,271,33,40,21.202,N/A,Olsen,Unknown,58,2,D.C. United,Midfield - Right Midfield,"1,74 m",United States,us,https://www.transfermarkt.us/ben-olsen/profil/spieler/38774,https://img.a.transfermarkt.technology/portrait/small/38774-1586203954.jpg?lm=1,N/A,03.05.1977,"Harrisburg, Pennsylvania",Retired
11,Dwayne de Rosario,Dwayne Anthony De Rosario,74,28,16,5.708,N/A,de Rosario,Unknown,7,0,D.C. United,Midfield - Attacking Midfield,"1,80 m",Canada,ca,https://www.transfermarkt.us/dwayne-de-rosario/profil/spieler/38214,https://img.a.transfermarkt.technology/portrait/small/38214-1586203812.jpg?lm=1,N/A,15.05.1978,"Scarborough, Ontario",Retired
12,Santino Quaranta,Unknown,185,26,35,12.451,N/A,Quaranta,Unknown,25,0,D.C. United,Midfield - Right Midfield,"1,86 m",United States,us,https://www.transfermarkt.us/santino-quaranta/profil/spieler/39433,https://img.a.transfermarkt.technology/portrait/small/39433-1599840381.jpg?lm=1,N/A,14.10.1984,"Baltimore, Maryland",Retired
13,Alecko Eskandarian,Unknown,92,26,6,5.349,N/A,Eskandarian,Unknown,18,1,D.C. United,Attack - Centre-Forward,"1,75 m",United States,us,https://www.transfermarkt.us/alecko-eskandarian/profil/spieler/39409,https://img.a.transfermarkt.technology/portrait/small/39409-1599841573.jpg?lm=1,N/A,09.07.1982,"Montvale, New Jersey",Retired
14,Wayne Rooney,Wayne Mark Rooney,52,25,14,4.397,N/A,Rooney,Unknown,6,2,D.C. United,Attack - Centre-Forward,"1,76 m",England,unknown,https://www.transfermarkt.us/wayne-rooney/profil/spieler/3332,https://img.a.transfermarkt.technology/portrait/small/3332-1406462596.jpg?lm=1,N/A,24.10.1985,Liverpool,Retired
15,Luciano Acosta,Luciano Federico Acosta,137,25,29,10.159,N/A,Acosta,#10,17,3,D.C. United,Midfield - Attacking Midfield,"1,60 m",Argentina,ar,https://www.transfermarkt.us/luciano-acosta/profil/spieler/315169,https://img.a.transfermarkt.technology/portrait/small/315169-1740505898.jpg?lm=1,N/A,31.05.1994,Rosario,FC Dallas
16,Edgar Espíndola,Edgar Fabián Espíndola,69,24,21,5.293,N/A,Espíndola,Unknown,11,3,D.C. United,Attack - Centre-Forward,"1,75 m",Argentina,ar,https://www.transfermarkt.us/edgar-espindola/profil/spieler/59528,https://img.a.transfermarkt.technology/portrait/small/59528-1471506461.png?lm=1,N/A,04.05.1985,Merlo,Retired
