rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Xuebin Zhao,赵学斌,32,10,1,2.012,N/A,Zhao,#8,1,0,Dalian Yingbo,Attack - Centre-Forward,"1,73 m",China,cn,https://www.transfermarkt.us/xuebin-zhao/profil/spieler/211446,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.01.1993,Unknown,Dalian Yingbo
2,Peng Yan,闫鹏,44,9,0,2.040,N/A,Yan,#9,2,0,Dalian Yingbo,Attack,"1,80 m",China,cn,https://www.transfermarkt.us/peng-yan/profil/spieler/279531,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.05.1995,"Anshan, Liaoning",Dalian Yingbo
3,Andrej Kotnik,Unknown,24,8,3,1.965,N/A,Kotnik,#44,3,0,Dalian Yingbo,Midfield - Attacking Midfield,"1,89 m",Slovenia,si,https://www.transfermarkt.us/andrej-kotnik/profil/spieler/382007,https://img.a.transfermarkt.technology/portrait/small/382007-1486636705.jpg?lm=1,N/A,04.08.1995,Nova Gorica,Dalian K'un City
4,Pengyu Zhu,朱鹏宇,29,6,4,1.423,N/A,Zhu,#16,2,0,Dalian Yingbo,Attack - Centre-Forward,"1,89 m",China,cn,https://www.transfermarkt.us/pengyu-zhu/profil/spieler/1238422,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.05.2005,Unknown,Dalian Yingbo
5,Fernando Karanga,Unknown,14,6,1,785.000,N/A,Fernando Karanga,#7,4,1,Dalian Yingbo,Attack - Centre-Forward,"1,91 m",Brazil,br,https://www.transfermarkt.us/fernando-karanga/profil/spieler/118654,https://img.a.transfermarkt.technology/portrait/small/118654-1553681630.jpg?lm=1,N/A,14.04.1991,Camaragibe,Dalian Yingbo
6,Zhuoyi Lü,吕焯毅,32,5,5,2.117,N/A,Lü,#38,1,0,Dalian Yingbo,Attack,"1,75 m",China,cn,https://www.transfermarkt.us/zhuoyi-lu/profil/spieler/607991,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.04.2001,Unknown,Dalian Yingbo
7,Bo Sun,孙铂,52,4,6,3.259,N/A,Sun,#29,8,0,Dalian Yingbo,Attack - Right Winger,"1,77 m",China,cn,https://www.transfermarkt.us/bo-sun/profil/spieler/212150,https://img.a.transfermarkt.technology/portrait/small/212150-1588750728.jpg?lm=1,N/A,22.02.1991,Dalian,Dalian Yingbo
8,Yu Fei,费煜,25,4,1,1.788,N/A,Fei,#28,2,0,Dalian Yingbo,Midfield - Defensive Midfield,"1,87 m",China,cn,https://www.transfermarkt.us/yu-fei/profil/spieler/211902,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.02.1991,Shanghai,Dalian Yingbo
9,Xiangchuang Yan,阎相闯,28,3,4,1.313,N/A,Yan,#39,0,0,Dalian Yingbo,Attack - Centre-Forward,"1,74 m",China,cn,https://www.transfermarkt.us/xiangchuang-yan/profil/spieler/147827,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.09.1986,Dalian,Dalian Yingbo
10,Xuanhong Wang,王选宏,17,3,0,536.000,N/A,Wang,Unknown,6,1,Dalian Yingbo,Midfield - Attacking Midfield,"1,82 m",China,cn,https://www.transfermarkt.us/xuanhong-wang/profil/spieler/156067,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.07.1989,"Dalian, Liaoning",Dalian Kewei
