rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Nicolás Fernández,Nicolás Emanuel Fernández,173,56,15,12.665,N/A,Fernández,#22,24,0,Defensa y Justicia,Attack - Centre-Forward,"1,66 m",Argentina,ar,https://www.transfermarkt.us/nicolas-fernandez/profil/spieler/333921,https://img.a.transfermarkt.technology/portrait/small/333921-1677163670.JPG?lm=1,N/A,08.02.1996,Santa Fe,Club Atlético Belgrano
2,Miguel Merentiel,Miguel Ángel Merentiel Serrano,80,27,9,4.164,N/A,Merentiel,#16,8,1,Defensa y Justicia,Attack - Centre-Forward,"1,76 m",Uruguay,uy,https://www.transfermarkt.us/miguel-merentiel/profil/spieler/481367,https://img.a.transfermarkt.technology/portrait/small/481367-1739899560.jpg?lm=1,N/A,24.02.1996,Paysandú,CA Boca Juniors
3,Víctor Píriz Álvez,Víctor Enrique Píriz Álvez,49,24,1,4.286,N/A,Píriz Álvez,Unknown,12,0,Defensa y Justicia,Attack - Centre-Forward,"1,82 m",Uruguay,uy,https://www.transfermarkt.us/victor-piriz-alvez/profil/spieler/26743,https://img.a.transfermarkt.technology/portrait/small/26743-1722345172.JPG?lm=1,N/A,22.06.1980,Artigas,Retired
4,Gastón Togni,Gastón Alberto Togni,123,24,28,9.767,N/A,Togni,#11,12,0,Defensa y Justicia,Attack - Left Winger,"1,81 m",Argentina,ar,https://www.transfermarkt.us/gaston-togni/profil/spieler/503342,https://img.a.transfermarkt.technology/portrait/small/503342-1636411058.JPG?lm=1,N/A,20.09.1997,Villa Francia,Defensa y Justicia
5,Walter Bou,Walter Ariel Bou,76,23,18,6.057,N/A,Bou,#9,7,0,Defensa y Justicia,Attack - Centre-Forward,"1,74 m",Argentina,ar,https://www.transfermarkt.us/walter-bou/profil/spieler/334233,https://img.a.transfermarkt.technology/portrait/small/334233-1721936038.png?lm=1,N/A,25.08.1993,Concordia,CA Lanús
6,Braian Romero,Braian Ezequiel Romero,34,21,2,2.611,N/A,Romero,#9,7,1,Defensa y Justicia,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/braian-romero/profil/spieler/357937,https://img.a.transfermarkt.technology/portrait/small/357937-1720648116.jpg?lm=1,N/A,15.06.1991,San Isidro,CA Vélez Sarsfield
7,Cristian Milla,Cristian Humberto Milla,45,18,0,3.650,N/A,Milla,Unknown,5,1,Defensa y Justicia,Attack - Centre-Forward,"1,77 m",Argentina,ar,https://www.transfermarkt.us/cristian-milla/profil/spieler/69571,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.06.1984,Buenos Aires,Retired
8,Fernando Márquez,Fernando Andrés Márquez,53,17,2,2.952,N/A,Márquez,Unknown,11,0,Defensa y Justicia,Attack - Centre-Forward,"1,83 m",Argentina,ar,https://www.transfermarkt.us/fernando-marquez/profil/spieler/75597,https://img.a.transfermarkt.technology/portrait/small/75597-1690388687.jpg?lm=1,N/A,10.12.1987,Santa Fe,Sportivo Belgrano (San Francisco)
9,Juan Martín,Juan Eduardo Martín,35,16,7,2.925,N/A,Martín,Unknown,3,0,Defensa y Justicia,Attack - Centre-Forward,"1,90 m",Argentina,ar,https://www.transfermarkt.us/juan-martin/profil/spieler/88093,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.04.1982,Leones,Retired
10,Julio Rodríguez,Julio César Rodríguez Giménez,63,16,0,3.979,N/A,Rodríguez,#9,9,0,Defensa y Justicia,Attack - Centre-Forward,"1,83 m",Paraguay,py,https://www.transfermarkt.us/julio-rodriguez/profil/spieler/267703,https://img.a.transfermarkt.technology/portrait/small/267703-1585152413.png?lm=1,N/A,05.12.1990,Asunción,Deportivo Xinabajul
11,Francisco Pizzini,Unknown,85,16,24,6.288,N/A,Pizzini,#20,4,1,Defensa y Justicia,Attack - Right Winger,"1,80 m",Argentina,ar,https://www.transfermarkt.us/francisco-pizzini/profil/spieler/213122,https://img.a.transfermarkt.technology/portrait/small/213122-1720647977.jpg?lm=1,N/A,19.09.1993,Bahía Blanca,CA Vélez Sarsfield
12,Ciro Rius,Ciro Pablo Rius Aragallo,155,14,17,11.659,N/A,Rius,Unknown,16,1,Defensa y Justicia,Attack - Right Winger,"1,71 m",Argentina,ar,https://www.transfermarkt.us/ciro-rius/profil/spieler/101875,https://img.a.transfermarkt.technology/portrait/small/101875-1724877379.jpg?lm=1,N/A,27.10.1988,Rosario,Arsenal FC
