rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Omar Bravo,Omar Bravo Tordecillas,439,156,27,33.218,N/A,Bravo,Unknown,120,6,Deportivo Guadalajara,Attack - Centre-Forward,"1,74 m",Mexico,mx,https://www.transfermarkt.us/omar-bravo/profil/spieler/31425,https://img.a.transfermarkt.technology/portrait/small/31425-1720395883.jpg?lm=1,N/A,04.03.1980,Los Mochis,Retired
2,Ramón Morales,Ramón Morales Higuera,429,73,39,33.846,N/A,Morales,Unknown,41,3,Deportivo Guadalajara,Attack - Left Winger,"1,68 m",Mexico,mx,https://www.transfermarkt.us/ramon-morales/profil/spieler/29577,https://img.a.transfermarkt.technology/portrait/small/29577-1720394226.jpg?lm=1,N/A,10.10.1975,La Piedad de Cabadas,Retired
3,Alberto Medina,Alberto Medina Briseño,382,58,42,24.958,N/A,Medina,Unknown,54,3,Deportivo Guadalajara,Attack - Right Winger,"1,73 m",Mexico,mx,https://www.transfermarkt.us/alberto-medina/profil/spieler/29576,https://img.a.transfermarkt.technology/portrait/small/29576-1425288959.jpg?lm=1,N/A,29.05.1983,Culiacán,Retired
4,Marco Fabián,Marco Jhonfai Fabián de la Mora,234,58,36,15.068,N/A,Fabián,Unknown,53,2,Deportivo Guadalajara,Midfield - Attacking Midfield,"1,71 m",Mexico,mx,https://www.transfermarkt.us/marco-fabian/profil/spieler/67685,https://img.a.transfermarkt.technology/portrait/small/67685-1549988783.JPG?lm=1,N/A,21.07.1989,Guadalajara,Without Club
5,Adolfo Bautista,Adolfo Bautista Herrera,201,55,14,14.463,N/A,Bautista,Unknown,35,5,Deportivo Guadalajara,Attack - Second Striker,"1,86 m",Mexico,mx,https://www.transfermarkt.us/adolfo-bautista/profil/spieler/29572,https://img.a.transfermarkt.technology/portrait/small/29572-1690532635.jpg?lm=1,N/A,15.05.1979,Dolores Hidalgo,Retired
6,Alan Pulido,Alan Pulido Izaguirre,126,43,7,9.377,N/A,Pulido,#9,16,1,Deportivo Guadalajara,Attack - Centre-Forward,"1,76 m",Mexico,mx,https://www.transfermarkt.us/alan-pulido/profil/spieler/143045,https://img.a.transfermarkt.technology/portrait/small/143045-1709930012.jpg?lm=1,N/A,08.03.1991,Ciudad Victoria,Deportivo Guadalajara
7,Ángel Zaldívar,Ángel Zaldívar Caviedes,221,41,14,12.320,N/A,Zaldívar,#29,20,1,Deportivo Guadalajara,Attack - Centre-Forward,"1,78 m",Mexico,mx,https://www.transfermarkt.us/angel-zaldivar/profil/spieler/271321,https://img.a.transfermarkt.technology/portrait/small/271321-1544359374.png?lm=1,N/A,08.02.1994,Guadalajara,FC Juárez
8,Gustavo Nápoles,Gustavo Nápoles Monteón,150,39,0,11.867,N/A,Nápoles,Unknown,29,3,Deportivo Guadalajara,Attack,"1,74 m",Mexico,mx,https://www.transfermarkt.us/gustavo-napoles/profil/spieler/801888,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.05.1973,Monterrey,Retired
9,Sergio Santana,Sergio Alejandro Santana Piedra,155,35,11,10.318,N/A,Santana,Unknown,28,0,Deportivo Guadalajara,Attack - Centre-Forward,"1,80 m",Mexico,mx,https://www.transfermarkt.us/sergio-santana/profil/spieler/28110,https://img.a.transfermarkt.technology/portrait/small/s_28110_4774_2013_11_06_1.jpg?lm=1,N/A,10.08.1979,Río Grande,Retired
10,Chicharito,Unknown,112,32,10,5.314,N/A,Chicharito,#14,9,1,Deportivo Guadalajara,Attack - Centre-Forward,"1,75 m",Mexico,mx,https://www.transfermarkt.us/chicharito/profil/spieler/50935,https://img.a.transfermarkt.technology/portrait/small/50935-1678022181.jpg?lm=1,N/A,01.06.1988,Guadalajara,Deportivo Guadalajara
11,Joel Sánchez,Joel Sánchez Ramos,236,29,0,21.099,N/A,Sánchez,Unknown,40,4,Deportivo Guadalajara,Defender - Centre-Back,"1,75 m",Mexico,mx,https://www.transfermarkt.us/joel-sanchez/profil/spieler/44931,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.08.1974,Guadalajara,Retired
12,Héctor Reynoso,Héctor Reynoso López,449,28,6,38.119,N/A,Reynoso,Unknown,115,10,Deportivo Guadalajara,Defender - Centre-Back,"1,86 m",Mexico,mx,https://www.transfermarkt.us/hector-reynoso/profil/spieler/50950,https://img.a.transfermarkt.technology/portrait/small/50950-1415280855.png?lm=1,N/A,03.10.1980,Mexico City,Retired
13,Alexis Vega,Ernesto Alexis Vega Rojas,147,28,28,10.408,N/A,Vega,#9,17,5,Deportivo Guadalajara,Attack - Left Winger,"1,73 m",Mexico,mx,https://www.transfermarkt.us/alexis-vega/profil/spieler/424689,https://img.a.transfermarkt.technology/portrait/small/424689-1666538728.jpg?lm=1,N/A,25.11.1997,Mexico City,Deportivo Toluca
14,Roberto Alvarado,Roberto Carlos Alvarado Hernández,130,27,24,10.577,N/A,Alvarado,#25,20,0,Deportivo Guadalajara,Midfield - Attacking Midfield,"1,76 m",Mexico,mx,https://www.transfermarkt.us/roberto-alvarado/profil/spieler/353583,https://img.a.transfermarkt.technology/portrait/small/353583-1668454179.jpg?lm=1,N/A,07.09.1998,"Salamanca, Guanajuato",Deportivo Guadalajara
15,José Juan Macías,José Juan Macías Guzmán,94,27,1,5.156,N/A,Macías,Unknown,3,0,Deportivo Guadalajara,Attack - Centre-Forward,"1,80 m",Mexico,mx,https://www.transfermarkt.us/jose-juan-macias/profil/spieler/546047,https://img.a.transfermarkt.technology/portrait/small/546047-1666549774.jpg?lm=1,N/A,22.09.1999,Guadalajara,Without Club
16,Omar Arellano,Omar Arellano Riverón,179,26,19,11.071,N/A,Arellano,Unknown,32,2,Deportivo Guadalajara,Midfield - Central Midfield,"1,78 m",Mexico,mx,https://www.transfermarkt.us/omar-arellano/profil/spieler/52581,https://img.a.transfermarkt.technology/portrait/small/52581-1471615332.jpg?lm=1,N/A,18.06.1987,Guadalajara,Chapulineros de Oaxaca
17,Isaác Brizuela,Isaác Brizuela Muñoz,337,25,34,22.798,N/A,Brizuela,#11,39,1,Deportivo Guadalajara,Attack - Right Winger,"1,71 m",Mexico,mx,https://www.transfermarkt.us/isaac-brizuela/profil/spieler/121166,https://img.a.transfermarkt.technology/portrait/small/121166-1579697544.png?lm=1,N/A,28.08.1990,"San Jose, California",Deportivo Guadalajara
18,Javier Eduardo López,Javier Eduardo López Ramírez,192,24,12,10.043,N/A,López,#19,11,0,Deportivo Guadalajara,Midfield - Attacking Midfield,"1,67 m",Mexico,mx,https://www.transfermarkt.us/javier-eduardo-lopez/profil/spieler/274288,https://img.a.transfermarkt.technology/portrait/small/274288-1645735733.jpg?lm=1,N/A,17.09.1994,Torreón,CF Pachuca
19,Paulo César Chávez,Paulo César Chávez Quirarte,155,23,5,12.829,N/A,Chávez,Unknown,30,1,Deportivo Guadalajara,Midfield - Central Midfield,"1,76 m",Mexico,mx,https://www.transfermarkt.us/paulo-cesar-chavez/profil/spieler/71400,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.01.1976,Guadalajara,Retired
20,Rafael Márquez Lugo,Unknown,59,23,3,4.473,N/A,Márquez Lugo,Unknown,3,2,Deportivo Guadalajara,Attack - Second Striker,"1,76 m",Mexico,mx,https://www.transfermarkt.us/rafael-marquez-lugo/profil/spieler/31436,https://img.a.transfermarkt.technology/portrait/small/s_31436_6711_2013_07_24_1.jpg?lm=1,N/A,02.11.1981,Mexico City,Retired
21,Miguel Sabah,Miguel Sabah Rodríguez,119,22,1,5.917,N/A,Sabah,Unknown,7,2,Deportivo Guadalajara,Attack - Centre-Forward,"1,75 m",Mexico,mx,https://www.transfermarkt.us/miguel-sabah/profil/spieler/53189,https://img.a.transfermarkt.technology/portrait/small/53189-1425462609.jpg?lm=1,N/A,14.11.1979,Cancún,Retired
22,Ramón Ramírez,Jesús Ramón Ramírez Ceceña,176,21,5,12.479,N/A,Ramírez,Unknown,32,5,Deportivo Guadalajara,Midfield - Central Midfield,"1,73 m",Mexico,mx,https://www.transfermarkt.us/ramon-ramirez/profil/spieler/39489,https://img.a.transfermarkt.technology/portrait/small/s_39489_123_2013_12_05_1.jpg?lm=1,N/A,05.12.1969,Tepic,Retired
23,Érick Torres,Érick Estefano Torres Padilla,85,20,14,5.569,N/A,Torres,Unknown,17,2,Deportivo Guadalajara,Attack - Centre-Forward,"1,83 m",Mexico,mx,https://www.transfermarkt.us/erick-torres/profil/spieler/170016,https://img.a.transfermarkt.technology/portrait/small/170016-1618606362.JPG?lm=1,N/A,19.01.1993,Guadalajara,CS Herediano
24,Luis García,Luis García Postigo,49,19,0,3.606,N/A,García,Unknown,5,1,Deportivo Guadalajara,Attack - Centre-Forward,"1,69 m",Mexico,mx,https://www.transfermarkt.us/luis-garcia/profil/spieler/80024,https://img.a.transfermarkt.technology/portrait/small/80024-1630587920.jpg?lm=1,N/A,01.06.1969,Mexico City,Retired
25,Carlos Fierro,Carlos Eduardo Fierro Guerrero,198,19,17,11.729,N/A,Fierro,#8,13,0,Deportivo Guadalajara,Attack - Left Winger,"1,72 m",Mexico,mx,https://www.transfermarkt.us/carlos-fierro/profil/spieler/185365,https://img.a.transfermarkt.technology/portrait/small/185365-1618851091.jpg?lm=1,N/A,24.07.1994,Los Mochis,CD Leones Negros de la UdeG
26,Francisco Palencia,Juan Francisco Palencia Hernández,87,18,0,7.138,N/A,Palencia,Unknown,18,1,Deportivo Guadalajara,Attack - Centre-Forward,"1,71 m",Mexico,mx,https://www.transfermarkt.us/francisco-palencia/profil/spieler/39487,https://img.a.transfermarkt.technology/portrait/small/s_39487_123_2012_1.jpg?lm=1,N/A,28.04.1973,Mexico City,Retired
27,Víctor Guzmán,Víctor Alfonso Guzmán Guzmán,75,17,7,4.657,N/A,Guzmán,#5,12,1,Deportivo Guadalajara,Midfield - Attacking Midfield,"1,75 m",Mexico,mx,https://www.transfermarkt.us/victor-guzman/profil/spieler/325598,https://img.a.transfermarkt.technology/portrait/small/325598-1579014254.jpg?lm=1,N/A,03.02.1995,"Tonalá, Jalisco",Deportivo Guadalajara
28,Ignacio Vázquez,Ignacio Vázquez Barba,75,16,2,4.212,N/A,Vázquez,Unknown,3,1,Deportivo Guadalajara,Attack,"1,78 m",Mexico,mx,https://www.transfermarkt.us/ignacio-vazquez/profil/spieler/438643,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,31.07.1971,San Ignacio Cerro Gordo,Retired
29,Sergio Ávila,Sergio Gabriel Ávila Valle,81,16,9,4.717,N/A,Ávila,Unknown,11,0,Deportivo Guadalajara,Midfield - Attacking Midfield,"1,67 m",Mexico,mx,https://www.transfermarkt.us/sergio-avila/profil/spieler/50968,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.09.1985,Irapuato,Retired
30,Emilio Mora,Emilio Hugo Mora López,51,16,0,3.955,N/A,Mora,Unknown,5,0,Deportivo Guadalajara,Attack,"1,76 m",Mexico,mx,https://www.transfermarkt.us/emilio-mora/profil/spieler/67474,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.03.1978,Apatzingán,Retired
31,Gabriel García,Gabriel García Hernández,58,16,0,3.352,N/A,García,Unknown,7,1,Deportivo Guadalajara,Attack,"1,71 m",Mexico,mx,https://www.transfermarkt.us/gabriel-garcia/profil/spieler/755409,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.02.1974,San Andrés de Salvatierra,Retired
