rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jon Daly,Jonathan Marvin Daly,198,70,21,14.639,N/A,Daly,Unknown,19,0,Dundee United FC,Attack - Centre-Forward,"1,91 m",Ireland,ie,https://www.transfermarkt.us/jon-daly/profil/spieler/16152,https://img.a.transfermarkt.technology/portrait/small/s_16152_124_2014_03_12_1.jpg?lm=1,N/A,08.01.1983,Dublin,Retired
2,Johnny Russell,Jonathan Russell,119,45,15,8.708,N/A,Russell,Unknown,9,2,Dundee United FC,Attack - Right Winger,"1,78 m",Scotland,unknown,https://www.transfermarkt.us/johnny-russell/profil/spieler/55494,https://img.a.transfermarkt.technology/portrait/small/55494-1709929397.jpg?lm=1,N/A,08.04.1990,Glasgow,Without Club
3,David Goodwillie,Unknown,154,44,22,8.926,N/A,Goodwillie,Unknown,14,0,Dundee United FC,Attack - Centre-Forward,"1,75 m",Scotland,unknown,https://www.transfermarkt.us/david-goodwillie/profil/spieler/37677,https://img.a.transfermarkt.technology/portrait/small/37677-1470317041.jpg?lm=1,N/A,28.03.1989,Stirling,Glasgow United FC
4,Nicky Clark,Nicholas Clark,145,43,14,9.376,N/A,Clark,#10,6,0,Dundee United FC,Attack - Centre-Forward,"1,78 m",Scotland,unknown,https://www.transfermarkt.us/nicky-clark/profil/spieler/62163,https://img.a.transfermarkt.technology/portrait/small/62163-1622031798.jpg?lm=1,N/A,03.06.1991,Bellshill,St. Johnstone FC
5,Lawrence Shankland,Unknown,74,40,9,6.234,N/A,Shankland,#9,11,0,Dundee United FC,Attack - Centre-Forward,"1,85 m",Scotland,unknown,https://www.transfermarkt.us/lawrence-shankland/profil/spieler/225744,https://img.a.transfermarkt.technology/portrait/small/225744-1710925414.jpg?lm=1,N/A,10.08.1995,Glasgow,Heart of Midlothian FC
6,Jim McIntyre,James McIntyre,150,38,5,11.841,N/A,McIntyre,Unknown,16,1,Dundee United FC,Attack - Left Winger,"1,75 m",Scotland,unknown,https://www.transfermarkt.us/jim-mcintyre/profil/spieler/12803,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.05.1972,Alexandria,Retired
7,Nadir Çiftçi,Unknown,82,33,20,6.413,N/A,Çiftçi,Unknown,19,1,Dundee United FC,Attack - Centre-Forward,"1,80 m",Türkiye,tr,https://www.transfermarkt.us/nadir-ciftci/profil/spieler/77964,https://img.a.transfermarkt.technology/portrait/small/77964-1674900820.jpg?lm=1,N/A,12.02.1992,Elazig,Without Club
8,Barry Robson,Barry Gordon George Robson,153,32,25,13.007,N/A,Robson,Unknown,35,4,Dundee United FC,Midfield - Right Midfield,"1,80 m",Scotland,unknown,https://www.transfermarkt.us/barry-robson/profil/spieler/12804,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.11.1978,Inverurie,Retired
9,Billy Dodds,William Dodds,97,29,3,6.298,N/A,Dodds,Unknown,12,0,Dundee United FC,Attack - Centre-Forward,"1,73 m",Scotland,unknown,https://www.transfermarkt.us/billy-dodds/profil/spieler/12800,https://img.a.transfermarkt.technology/portrait/small/12800-1416905549.jpg?lm=1,N/A,05.02.1969,New Cumnock,Retired
10,Noel Hunt,Unknown,65,27,4,5.254,N/A,Hunt,Unknown,9,0,Dundee United FC,Attack - Centre-Forward,"1,73 m",Ireland,ie,https://www.transfermarkt.us/noel-hunt/profil/spieler/12628,https://img.a.transfermarkt.technology/portrait/small/s_12628_1032_2012_1.jpg?lm=1,N/A,26.12.1982,Waterford,Retired
