rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Oleg Blokhin,Блохін Олег Володимирович,578,265,106,48.810,N/A,Blokhin,Unknown,12,1,Dynamo Kyiv,Attack - Second Striker,"1,80 m",Ukraine,ua,https://www.transfermarkt.us/oleg-blokhin/profil/spieler/117372,https://img.a.transfermarkt.technology/portrait/small/117372-1464771694.jpg?lm=1,N/A,05.11.1952,Kiew,Retired
2,Sergiy Rebrov,Ребров Сергій Станіславович,360,163,69,26.022,N/A,Rebrov,Unknown,26,0,Dynamo Kyiv,Attack - Second Striker,"1,75 m",Ukraine,ua,https://www.transfermarkt.us/sergiy-rebrov/profil/spieler/3122,https://img.a.transfermarkt.technology/portrait/small/3122-1602169592.jpg?lm=1,N/A,03.06.1974,"Gorlovka, Donetsk Oblast",Retired
3,Andriy Yarmolenko,Ярмоленко Андрій Миколайович,384,152,96,30.084,N/A,Yarmolenko,#7,59,2,Dynamo Kyiv,Attack - Right Winger,"1,89 m",Ukraine,ua,https://www.transfermarkt.us/andriy-yarmolenko/profil/spieler/69015,https://img.a.transfermarkt.technology/portrait/small/69015-1726135604.png?lm=1,N/A,23.10.1989,Leningrad,Dynamo Kyiv
4,Maksim Shatskikh,Шацких Максим Александрович,328,141,76,23.173,N/A,Shatskikh,Unknown,20,0,Dynamo Kyiv,Attack - Centre-Forward,"1,87 m",Uzbekistan,uz,https://www.transfermarkt.us/maksim-shatskikh/profil/spieler/9798,https://img.a.transfermarkt.technology/portrait/small/9798-1636358395.png?lm=1,N/A,30.08.1978,Tashkent,Retired
5,Andriy Shevchenko,Шевченко Андрій Миколайович,249,124,41,18.938,N/A,Shevchenko,Unknown,25,0,Dynamo Kyiv,Attack - Centre-Forward,"1,83 m",Ukraine,ua,https://www.transfermarkt.us/andriy-shevchenko/profil/spieler/3522,https://img.a.transfermarkt.technology/portrait/small/3522-1570438190.jpg?lm=1,N/A,29.09.1976,"Dvirkivschyna, Kiev Oblast",Retired
6,Oleg Gusev,Гусєв Олег Анатолійович,443,96,66,29.549,N/A,Gusev,Unknown,41,0,Dynamo Kyiv,Midfield - Right Midfield,"1,79 m",Ukraine,ua,https://www.transfermarkt.us/oleg-gusev/profil/spieler/9794,https://img.a.transfermarkt.technology/portrait/small/9794-1419868454.jpg?lm=1,N/A,25.04.1983,"Stepanivka, Sumy Oblast",Retired
7,Viktor Tsygankov,Циганков Віктор Віталійович,236,94,64,17.918,N/A,Tsygankov,#8,19,0,Dynamo Kyiv,Attack - Right Winger,"1,78 m",Ukraine,ua,https://www.transfermarkt.us/viktor-tsygankov/profil/spieler/264372,https://img.a.transfermarkt.technology/portrait/small/264372-1715881945.jpg?lm=1,N/A,15.11.1997,Nahariya,Girona FC
8,Artem Milevskyi,Мілевський Артем Володимирович,276,87,74,17.982,N/A,Milevskyi,Unknown,60,1,Dynamo Kyiv,Attack - Centre-Forward,"1,89 m",Ukraine,ua,https://www.transfermarkt.us/artem-milevskyi/profil/spieler/9800,https://img.a.transfermarkt.technology/portrait/small/9800-1611591092.png?lm=1,N/A,12.01.1985,Minsk,Retired
9,Viktor Kanevskyi,Каневський Віктор Ізраїльович,208,85,0,17.742,N/A,Kanevskyi,Unknown,0,0,Dynamo Kyiv,Attack - Centre-Forward,,Ukraine,ua,https://www.transfermarkt.us/viktor-kanevskyi/profil/spieler/237763,https://img.a.transfermarkt.technology/portrait/small/237763-1634586163.jpg?lm=1,N/A,03.10.1936,Kiew,---
10,Leonid Buryak,Буряк Леонід Йосипович,406,82,55,31.205,N/A,Buryak,Unknown,9,1,Dynamo Kyiv,Midfield - Central Midfield,,Ukraine,ua,https://www.transfermarkt.us/leonid-buryak/profil/spieler/129232,https://img.a.transfermarkt.technology/portrait/small/129232-1554135497.jpg?lm=1,N/A,10.07.1953,Odessa,Retired
11,Viktor Kolotov,Колотов Віктор Михайлович,291,81,26,23.862,N/A,Kolotov,Unknown,3,0,Dynamo Kyiv,Midfield - Attacking Midfield,,Ukraine,ua,https://www.transfermarkt.us/viktor-kolotov/profil/spieler/215885,https://img.a.transfermarkt.technology/portrait/small/215885-1706371193.jpeg?lm=1,N/A,03.07.1949,"Yudino, Tatarstan",---
12,Viktor Serebryanikov,Серебряников Віктор Петрович,335,79,4,29.150,N/A,Serebryanikov,Unknown,0,2,Dynamo Kyiv,Midfield - Attacking Midfield,"1,73 m",Ukraine,ua,https://www.transfermarkt.us/viktor-serebryanikov/profil/spieler/233854,https://img.a.transfermarkt.technology/portrait/small/233854-1634576484.png?lm=1,N/A,29.03.1940,Zaporizhya,---
13,Vitaliy Buyalskyi,Буяльський Віталій Казимирович,350,79,62,26.093,N/A,Buyalskyi,#29,51,2,Dynamo Kyiv,Midfield - Attacking Midfield,"1,75 m",Ukraine,ua,https://www.transfermarkt.us/vitaliy-buyalskyi/profil/spieler/167722,https://img.a.transfermarkt.technology/portrait/small/167722-1726135167.png?lm=1,N/A,06.01.1993,"Kalynivka, Vinnytsya Oblast",Dynamo Kyiv
14,Viktor Leonenko,Леоненко Віктор Євгенович,129,79,20,9.600,N/A,Leonenko,Unknown,7,0,Dynamo Kyiv,Attack - Centre-Forward,"1,75 m",Ukraine,ua,https://www.transfermarkt.us/viktor-leonenko/profil/spieler/107652,https://img.a.transfermarkt.technology/portrait/small/107652-1642088257.jpg?lm=1,N/A,05.10.1969,Tyumen,Retired
15,Andriy Biba,Біба Андрій Андрійович,270,77,2,22.401,N/A,Biba,Unknown,0,1,Dynamo Kyiv,Midfield - Attacking Midfield,,Ukraine,ua,https://www.transfermarkt.us/andriy-biba/profil/spieler/539932,https://img.a.transfermarkt.technology/portrait/small/539932-1634668288.jpg?lm=1,N/A,10.08.1937,Kyiv,Retired
16,Vadym Yevtushenko,Євтушенко Вадим Анатолійович,288,75,32,18.390,N/A,Yevtushenko,Unknown,7,0,Dynamo Kyiv,Midfield - Attacking Midfield,,Ukraine,ua,https://www.transfermarkt.us/vadym-yevtushenko/profil/spieler/117381,https://img.a.transfermarkt.technology/portrait/small/117381-1613508261.jpg?lm=1,N/A,01.01.1958,"Pyatykhatky, Dnipropetrovsk Oblast",Retired
17,Diogo Rincón,Unknown,194,72,30,13.377,N/A,Diogo Rincón,Unknown,19,0,Dynamo Kyiv,Midfield - Attacking Midfield,"1,85 m",Brazil,br,https://www.transfermarkt.us/diogo-rincon/profil/spieler/9789,https://img.a.transfermarkt.technology/portrait/small/9789-1650532811.png?lm=1,N/A,18.04.1980,Porto Alegre,Retired
18,Pavlo Vynkovatov,"Павло Іванович Віньковатов (Віньковатий) , Павел Иванович Виньковатов (Виньковатый)",233,70,4,20.035,N/A,Vynkovatov,Unknown,0,1,Dynamo Kyiv,Attack,"1,71 m",Ukraine,ua,https://www.transfermarkt.us/pavlo-vynkovatov/profil/spieler/732649,https://img.a.transfermarkt.technology/portrait/small/732649-1674485390.jpg?lm=1,N/A,25.07.1921,Kharkow,---
19,Mykhaylo Koman,Коман Михайло Михайлович,182,70,3,14.739,N/A,Koman,Unknown,0,2,Dynamo Kyiv,Attack - Centre-Forward,,Ukraine,ua,https://www.transfermarkt.us/mykhaylo-koman/profil/spieler/720606,https://img.a.transfermarkt.technology/portrait/small/720606-1674151525.jpg?lm=1,N/A,01.04.1928,Ľubotín,---
20,Volodymyr Muntyan,Мунтян Володимир Федорович,371,70,36,30.011,N/A,Muntyan,Unknown,3,0,Dynamo Kyiv,Midfield - Central Midfield,,Ukraine,ua,https://www.transfermarkt.us/volodymyr-muntyan/profil/spieler/233831,https://img.a.transfermarkt.technology/portrait/small/233831-1581444300.jpg?lm=1,N/A,14.09.1946,"Kotovsk, Odessa Oblast",Retired
21,Valentin Belkevich,Белькевич Валентин Николаевич,344,69,125,24.758,N/A,Belkevich,Unknown,4,0,Dynamo Kyiv,Midfield - Attacking Midfield,"1,80 m",Belarus,by,https://www.transfermarkt.us/valentin-belkevich/profil/spieler/9784,https://img.a.transfermarkt.technology/portrait/small/9784-1634673094.png?lm=1,N/A,27.01.1973,Minsk,---
22,Oleg Bazylevych,Базилевич Олег Петрович,178,63,1,14.473,N/A,Bazylevych,Unknown,0,0,Dynamo Kyiv,Attack - Centre-Forward,,Ukraine,ua,https://www.transfermarkt.us/oleg-bazylevych/profil/spieler/539938,https://img.a.transfermarkt.technology/portrait/small/539938-1674150958.jpg?lm=1,N/A,06.07.1938,Kyiv,---
23,Anatoliy Puzach,Пузач Анатолій Кирилович,250,63,22,20.124,N/A,Puzach,Unknown,1,0,Dynamo Kyiv,Attack - Second Striker,,Ukraine,ua,https://www.transfermarkt.us/anatoliy-puzach/profil/spieler/233843,https://img.a.transfermarkt.technology/portrait/small/233843-1634580637.jpg?lm=1,N/A,03.06.1941,"Krasny Kut, Saratov Oblast",---
24,Vitaliy Khmelnytskyi,Хмельницький Віталій Григорович,247,60,13,20.959,N/A,Khmelnytskyi,Unknown,0,2,Dynamo Kyiv,Attack - Centre-Forward,Unknown,Ukraine,ua,https://www.transfermarkt.us/vitaliy-khmelnytskyi/profil/spieler/233802,https://img.a.transfermarkt.technology/portrait/small/233802-1581447074.jpg?lm=1,N/A,12.06.1943,"Timoshevka, Zaporizhya Oblast",---
25,Anatoliy Byshovets,Бышовец Анатолий Фёдорович,161,55,6,11.112,N/A,Byshovets,Unknown,0,2,Dynamo Kyiv,Attack - Second Striker,,Russia,unknown,https://www.transfermarkt.us/anatoliy-byshovets/profil/spieler/233763,https://img.a.transfermarkt.technology/portrait/small/233763-1554136036.jpg?lm=1,N/A,23.04.1946,Kiew,Retired
26,Volodymyr Onyshchenko,Онищенко Володимир Іванович,164,55,11,12.362,N/A,Onyshchenko,Unknown,5,0,Dynamo Kyiv,Attack - Right Winger,,Ukraine,ua,https://www.transfermarkt.us/volodymyr-onyshchenko/profil/spieler/215888,https://img.a.transfermarkt.technology/portrait/small/215888-1554135958.jpg?lm=1,N/A,28.10.1949,"Stechanka, Kiew Region",Retired
27,Denys Garmash,Гармаш Денис Вікторович,361,54,45,19.902,N/A,Garmash,#4,78,2,Dynamo Kyiv,Midfield - Attacking Midfield,"1,86 m",Ukraine,ua,https://www.transfermarkt.us/denys-garmash/profil/spieler/70754,https://img.a.transfermarkt.technology/portrait/small/70754-1665388189.png?lm=1,N/A,19.04.1990,"Milove, Lugansk Oblast",FK Lisne
28,Igor Belanov,Ігор Іванович Бєланов,158,52,15,12.032,N/A,Belanov,Unknown,4,0,Dynamo Kyiv,Attack - Centre-Forward,,Ukraine,ua,https://www.transfermarkt.us/igor-belanov/profil/spieler/85752,https://img.a.transfermarkt.technology/portrait/small/s_85752_123_2012_1.jpg?lm=1,N/A,25.09.1960,Odessa,Retired
29,Oleksiy Mykhaylychenko,Михайличенко Олексій Олександрович,176,51,13,12.040,N/A,Mykhaylychenko,Unknown,5,0,Dynamo Kyiv,Midfield - Central Midfield,"1,86 m",Ukraine,ua,https://www.transfermarkt.us/oleksiy-mykhaylychenko/profil/spieler/101040,https://img.a.transfermarkt.technology/portrait/small/101040-1464018896.jpg?lm=1,N/A,30.03.1963,Kiew,Retired
30,Yozhef Sabo,Сабо Йожеф Йожефович,278,49,1,23.870,N/A,Sabo,Unknown,0,3,Dynamo Kyiv,Midfield - Central Midfield,,Ukraine,ua,https://www.transfermarkt.us/yozhef-sabo/profil/spieler/251141,https://img.a.transfermarkt.technology/portrait/small/251141-1684200485.jpeg?lm=1,N/A,29.02.1940,Ungvar (Uzhgorod),Retired
31,Oleksandr Zavarov,Заваров Олександр Анатолійович,170,48,32,12.832,N/A,Zavarov,Unknown,10,0,Dynamo Kyiv,Midfield - Attacking Midfield,"1,70 m",Ukraine,ua,https://www.transfermarkt.us/oleksandr-zavarov/profil/spieler/107149,https://img.a.transfermarkt.technology/portrait/small/107149-1574539056.jpg?lm=1,N/A,26.04.1961,Lugansk,Retired
32,Oleg Salenko,Саленко Олег Анатольевич,129,45,18,10.427,N/A,Salenko,Unknown,5,0,Dynamo Kyiv,Attack - Centre-Forward,"1,82 m",Russia,unknown,https://www.transfermarkt.us/oleg-salenko/profil/spieler/88147,https://img.a.transfermarkt.technology/portrait/small/88147-1528116108.jpg?lm=1,N/A,25.10.1969,St. Petersburg,Retired
33,Brown Ideye,Aide Brown Ideye,107,45,12,7.586,N/A,Ideye,#34,7,1,Dynamo Kyiv,Attack - Centre-Forward,"1,81 m",Nigeria,ng,https://www.transfermarkt.us/brown-ideye/profil/spieler/64308,https://img.a.transfermarkt.technology/portrait/small/64308-1488278287.jpg?lm=1,N/A,10.10.1988,Yenagoa,Enyimba Aba
34,Vladyslav Vanat,Ванат Владислав Андрійович,102,44,18,7.084,N/A,Vanat,#11,11,0,Dynamo Kyiv,Attack - Centre-Forward,"1,82 m",Ukraine,ua,https://www.transfermarkt.us/vladyslav-vanat/profil/spieler/631821,https://img.a.transfermarkt.technology/portrait/small/631821-1726135390.png?lm=1,N/A,04.01.2002,"Kamyanets-Podilskyi, Khmelnytskyi Oblast",Dynamo Kyiv
35,Valeriy Lobanovskyi,Лобановський Валерій Васильович,150,43,1,13.088,N/A,Lobanovskyi,Unknown,0,0,Dynamo Kyiv,Attack - Left Winger,,Ukraine,ua,https://www.transfermarkt.us/valeriy-lobanovskyi/profil/spieler/129234,https://img.a.transfermarkt.technology/portrait/small/129234-1634660851.jpg?lm=1,N/A,06.01.1939,Kiew,---
36,Artem Kravets,Кравець Артем Анатолійович,144,43,15,7.147,N/A,Kravets,Unknown,13,0,Dynamo Kyiv,Attack - Centre-Forward,"1,89 m",Ukraine,ua,https://www.transfermarkt.us/artem-kravets/profil/spieler/58405,https://img.a.transfermarkt.technology/portrait/small/58405-1664104417.png?lm=1,N/A,03.06.1989,"Dniprodzerzhinsk, Dnipropetrovsk Oblast",Retired
37,Pavlo Shkapenko,Шкапенко Павло Леонідович,156,42,5,9.715,N/A,Shkapenko,Unknown,5,0,Dynamo Kyiv,Midfield - Attacking Midfield,"1,77 m",Ukraine,ua,https://www.transfermarkt.us/pavlo-shkapenko/profil/spieler/25842,https://img.a.transfermarkt.technology/portrait/small/25842-1681737705.jpg?lm=1,N/A,16.12.1972,Zaporizhya,---
38,Florin Cernat,Florin Lucian Cernat,196,41,37,10.611,N/A,Cernat,Unknown,9,0,Dynamo Kyiv,Midfield - Attacking Midfield,"1,68 m",Romania,ro,https://www.transfermarkt.us/florin-cernat/profil/spieler/3132,https://img.a.transfermarkt.technology/portrait/small/s_3132_126_2013_09_13_1.jpg?lm=1,N/A,10.03.1980,Galaţi,Retired
39,Tiberiu Ghioane,Unknown,265,41,41,17.357,N/A,Ghioane,Unknown,24,0,Dynamo Kyiv,Midfield - Central Midfield,"1,82 m",Romania,ro,https://www.transfermarkt.us/tiberiu-ghioane/profil/spieler/9793,https://img.a.transfermarkt.technology/portrait/small/9793-1697715806.jpg?lm=1,N/A,18.06.1981,Târgu Secuiesc,Retired
40,Volodymyr Bezsonov,Безсонов Володимир Васильович,364,40,19,30.582,N/A,Bezsonov,Unknown,16,0,Dynamo Kyiv,Defender - Right-Back,,Ukraine,ua,https://www.transfermarkt.us/volodymyr-bezsonov/profil/spieler/117371,https://img.a.transfermarkt.technology/portrait/small/117371-1551692822.jpg?lm=1,N/A,05.03.1958,Kharkiv,Retired
41,Ismaël Bangoura,Unknown,71,40,9,4.565,N/A,Bangoura,Unknown,7,1,Dynamo Kyiv,Attack - Centre-Forward,"1,74 m",Guinea,gn,https://www.transfermarkt.us/ismael-bangoura/profil/spieler/34529,https://img.a.transfermarkt.technology/portrait/small/34529-1449648993.jpg?lm=1,N/A,02.01.1985,Conakry,Retired
42,Viktor Shilovskiy,Виктор Константинович Шиловский (Віктор Констянтинович Шиловський)),94,38,0,8.490,N/A,Shilovskiy,Unknown,0,0,Dynamo Kyiv,Attack,,Russia,unknown,https://www.transfermarkt.us/viktor-shilovskiy/profil/spieler/770431,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.07.1911,Donetsk,---
43,Pavel Komarov,Комаров Павел Николаевич,103,38,0,8.920,N/A,Komarov,Unknown,0,1,Dynamo Kyiv,Attack,Unknown,Russia,unknown,https://www.transfermarkt.us/pavel-komarov/profil/spieler/767323,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.03.1913,"Reutov, Moskva Region",---
