rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Sergey Solovjev,Сергей Александрович Соловьёв,230,149,0,19.888,N/A,Solovjev,Unknown,0,0,Dynamo Moscow,Attack - Centre-Forward,"1,75 m",Russia,unknown,https://www.transfermarkt.us/sergey-solovjev/profil/spieler/769410,https://img.a.transfermarkt.technology/portrait/small/769410-1611763903.jpg?lm=1,N/A,09.03.1915,Sokol,---
2,Konstantin Beskov,Константин Иванович Бесков,224,113,0,19.401,N/A,Beskov,Unknown,0,0,Dynamo Moscow,Attack - Right Winger,,Russia,unknown,https://www.transfermarkt.us/konstantin-beskov/profil/spieler/665151,https://img.a.transfermarkt.technology/portrait/small/665151-1634582757.jpg?lm=1,N/A,18.11.1920,Moskau,---
3,Valeriy Gazzaev,Газзаев Валерий Георгиевич,237,87,9,21.025,N/A,Gazzaev,Unknown,17,1,Dynamo Moscow,Attack - Centre-Forward,,Russia,unknown,https://www.transfermarkt.us/valeriy-gazzaev/profil/spieler/130428,https://img.a.transfermarkt.technology/portrait/small/130428-1700749193.jpg?lm=1,N/A,07.08.1954,Vladikavkaz,Retired
4,Oleg Terekhin,Терёхин Олег Иванович,179,79,11,15.561,N/A,Terekhin,Unknown,28,1,Dynamo Moscow,Attack - Centre-Forward,"1,85 m",Russia,unknown,https://www.transfermarkt.us/oleg-terekhin/profil/spieler/24176,https://img.a.transfermarkt.technology/portrait/small/24176-1636380996.jpg?lm=1,N/A,12.08.1970,"Engels, Saratov Region",Retired
5,Vasiliy Trofimov,Трофимов Василий Дмитриевич,232,74,0,20.172,N/A,Trofimov,Unknown,0,0,Dynamo Moscow,Attack - Right Winger,"1,61 m",Russia,unknown,https://www.transfermarkt.us/vasiliy-trofimov/profil/spieler/754792,https://img.a.transfermarkt.technology/portrait/small/754792-1584905696.jpg?lm=1,N/A,07.01.1919,"Kostino, Moskovskaya Oblast",---
6,Igor Chislenko,Численко Игорь Леонидович,250,73,0,21.408,N/A,Chislenko,Unknown,0,3,Dynamo Moscow,Attack - Right Winger,"1,71 m",Russia,unknown,https://www.transfermarkt.us/igor-chislenko/profil/spieler/216051,https://img.a.transfermarkt.technology/portrait/small/216051-1710689324.png?lm=1,N/A,04.01.1939,Moskau,---
7,Vladimir Kozlov,Козлов Владимир Владимирович,217,73,1,15.499,N/A,Kozlov,Unknown,0,0,Dynamo Moscow,Attack - Left Winger,"1,75 m",Russia,unknown,https://www.transfermarkt.us/vladimir-kozlov/profil/spieler/291372,https://img.a.transfermarkt.technology/portrait/small/291372-1634662956.jpg?lm=1,N/A,04.03.1946,Moskau,Retired
8,Vasily Kartsev,Василий Михайлович Карцев,109,72,1,8.624,N/A,Kartsev,Unknown,0,1,Dynamo Moscow,Attack - Centre-Forward,"1,70 m",Russia,unknown,https://www.transfermarkt.us/vasily-kartsev/profil/spieler/665150,https://img.a.transfermarkt.technology/portrait/small/665150-1634583536.jpg?lm=1,N/A,09.04.1920,"Yegorjevsk, Gouvernement Ryazan",---
9,Vladimir Ilyin,Владимир Васильевич Ильин,174,69,0,14.150,N/A,Ilyin,Unknown,0,0,Dynamo Moscow,Attack,"1,73 m",Russia,unknown,https://www.transfermarkt.us/vladimir-ilyin/profil/spieler/732628,https://img.a.transfermarkt.technology/portrait/small/732628-1638828969.jpg?lm=1,N/A,15.01.1928,Kolomna,---
10,Vladimir Savdunin,Владимир Григорьевич Савдунин,213,69,1,17.899,N/A,Savdunin,Unknown,0,1,Dynamo Moscow,Defender - Right-Back,"1,77 m",Russia,unknown,https://www.transfermarkt.us/vladimir-savdunin/profil/spieler/665149,https://img.a.transfermarkt.technology/portrait/small/665149-1651694264.jpg?lm=1,N/A,10.05.1924,Moskau,---
