rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Bernd Hölzenbein,Unknown,524,212,39,45.280,N/A,Hölzenbein,17,10,1,Eintracht Frankfurt,Midfield - Attacking Midfield,,Germany,de,https://www.transfermarkt.us/bernd-holzenbein/profil/spieler/39780,https://img.a.transfermarkt.technology/portrait/small/39780-1713254226.jpg?lm=1,N/A,09.03.1946,Runkel,---
2,Bernd Nickel,Unknown,534,178,37,45.639,N/A,Nickel,-,18,1,Eintracht Frankfurt,Midfield - Attacking Midfield,,Germany,de,https://www.transfermarkt.us/bernd-nickel/profil/spieler/98237,https://img.a.transfermarkt.technology/portrait/small/98237-1635339647.jpg?lm=1,N/A,15.03.1949,Siegbach,---
3,Jürgen Grabowski,Unknown,545,147,76,48.903,N/A,Grabowski,11,34,0,Eintracht Frankfurt,Attack - Right Winger,,Germany,de,https://www.transfermarkt.us/jurgen-grabowski/profil/spieler/72497,https://img.a.transfermarkt.technology/portrait/small/72497-1646995358.PNG?lm=1,N/A,07.07.1944,Wiesbaden,---
4,Alexander Meier,Unknown,379,137,55,30.220,N/A,Meier,-,32,0,Eintracht Frankfurt,Attack - Second Striker,"1,96 m",Germany,de,https://www.transfermarkt.us/alexander-meier/profil/spieler/1565,https://img.a.transfermarkt.technology/portrait/small/1565-1502271996.jpg?lm=1,N/A,17.01.1983,Buchholz in der Nordheide,Retired
5,Alfred Pfaff,Unknown,323,111,1,29.100,N/A,Pfaff,-,0,0,Eintracht Frankfurt,Midfield - Attacking Midfield,,Germany,de,https://www.transfermarkt.us/alfred-pfaff/profil/spieler/102178,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.07.1926,Frankfurt am Main,---
6,Erwin Stein,Unknown,180,111,7,16.170,N/A,Stein,-,0,0,Eintracht Frankfurt,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/erwin-stein/profil/spieler/99724,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.06.1935,Frankfurt am Main,---
7,Wilhelm Huberts,Unknown,261,89,29,23.285,N/A,Huberts,-,0,0,Eintracht Frankfurt,Midfield - Attacking Midfield,,Austria,at,https://www.transfermarkt.us/wilhelm-huberts/profil/spieler/99707,https://img.a.transfermarkt.technology/portrait/small/99707-1446130856.jpg?lm=1,N/A,22.02.1938,Voitsberg,---
8,Anthony Yeboah,Unknown,156,89,29,13.036,N/A,Yeboah,-,6,1,Eintracht Frankfurt,Attack - Centre-Forward,"1,80 m",Ghana,gh,https://www.transfermarkt.us/anthony-yeboah/profil/spieler/328,https://img.a.transfermarkt.technology/portrait/small/328-1479802731.jpg?lm=1,N/A,06.06.1966,Kumasi,Retired
9,Wolfgang Solz,Unknown,223,81,18,19.953,N/A,Solz,-,0,0,Eintracht Frankfurt,Attack - Left Winger,,Germany,de,https://www.transfermarkt.us/wolfgang-solz/profil/spieler/99723,https://img.a.transfermarkt.technology/portrait/small/99723-1622714639.jpg?lm=1,N/A,12.02.1940,Frankfurt am Main,---
10,Richard Kreß,Unknown,325,80,8,29.325,N/A,Kreß,-,0,1,Eintracht Frankfurt,Attack - Right Winger,,Germany,de,https://www.transfermarkt.us/richard-kress/profil/spieler/99750,https://img.a.transfermarkt.technology/portrait/small/99750-1451894703.png?lm=1,N/A,06.03.1925,Niesig,---
