rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Gilberto,Unknown,189,83,13,14.026,N/A,Gilberto,#9,26,0,Esporte Clube Bahia,Attack - Centre-Forward,"1,78 m",Brazil,br,https://www.transfermarkt.us/gilberto/profil/spieler/164013,https://img.a.transfermarkt.technology/portrait/small/164013-1464164132.jpg?lm=1,N/A,05.06.1989,Piranhas,Esporte Clube Juventude
2,Edigar Junio,Unknown,141,46,5,10.328,N/A,Edigar Junio,#11,3,0,Esporte Clube Bahia,Attack - Centre-Forward,"1,74 m",Brazil,br,https://www.transfermarkt.us/edigar-junio/profil/spieler/189612,https://img.a.transfermarkt.technology/portrait/small/189612-1660740077.jpg?lm=1,N/A,06.05.1991,Brasília,V-Varen Nagasaki
3,Kieza,Unknown,72,35,4,6.107,N/A,Kieza,Unknown,16,0,Esporte Clube Bahia,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/kieza/profil/spieler/112335,https://img.a.transfermarkt.technology/portrait/small/112335-1543928922.jpg?lm=1,N/A,24.09.1986,Vitória,River AC
4,Everaldo,Unknown,124,34,11,7.526,N/A,Everaldo,#9,18,0,Esporte Clube Bahia,Attack - Centre-Forward,"1,82 m",Brazil,br,https://www.transfermarkt.us/everaldo/profil/spieler/205041,https://img.a.transfermarkt.technology/portrait/small/205041-1684595619.jpg?lm=1,N/A,05.07.1991,Garibaldi,Fluminense Football Club
5,Fernandão,Unknown,99,31,1,5.362,N/A,Fernandão,Unknown,13,1,Esporte Clube Bahia,Attack - Centre-Forward,"1,92 m",Brazil,br,https://www.transfermarkt.us/fernandao/profil/spieler/83886,https://img.a.transfermarkt.technology/portrait/small/83886-1689608610.jpg?lm=1,N/A,27.03.1987,Rio de Janeiro,Without Club
6,Hernane,Unknown,72,31,6,5.523,N/A,Hernane,Unknown,17,0,Esporte Clube Bahia,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/hernane/profil/spieler/195004,https://img.a.transfermarkt.technology/portrait/small/195004-1681746757.jpg?lm=1,N/A,08.04.1986,Bom Jesus da Lapa,Nacional FC
7,Nonato,Unknown,58,28,0,4.263,N/A,Nonato,Unknown,5,1,Esporte Clube Bahia,Attack - Centre-Forward,"1,76 m",Brazil,br,https://www.transfermarkt.us/nonato/profil/spieler/117564,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.07.1979,Unknown,Retired
8,Thaciano,Unknown,121,26,17,8.793,N/A,Thaciano,#16,14,0,Esporte Clube Bahia,Midfield - Attacking Midfield,"1,82 m",Brazil,br,https://www.transfermarkt.us/thaciano/profil/spieler/392487,https://img.a.transfermarkt.technology/portrait/small/392487-1725393041.jpg?lm=1,N/A,12.05.1995,Campina Grande,Santos FC
9,Souza,Unknown,67,23,10,4.703,N/A,Souza,Unknown,13,1,Esporte Clube Bahia,Attack - Centre-Forward,"1,88 m",Brazil,br,https://www.transfermarkt.us/souza/profil/spieler/15037,https://img.a.transfermarkt.technology/portrait/small/s_15037_10010_2012_1.jpg?lm=1,N/A,04.03.1982,Rio de Janeiro,Retired
10,Jael,Unknown,44,22,0,3.389,N/A,Jael,Unknown,11,1,Esporte Clube Bahia,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/jael/profil/spieler/80815,https://img.a.transfermarkt.technology/portrait/small/80815-1543929082.jpg?lm=1,N/A,30.10.1988,Várzea Grande,Without Club
11,Régis,Unknown,120,22,16,5.426,N/A,Régis,#10,14,1,Esporte Clube Bahia,Midfield - Attacking Midfield,"1,71 m",Brazil,br,https://www.transfermarkt.us/regis/profil/spieler/272554,https://img.a.transfermarkt.technology/portrait/small/272554-1662693071.jpg?lm=1,N/A,30.11.1992,Jales,Goiás EC
12,Cauly,Unknown,127,21,20,8.984,N/A,Cauly,#8,7,1,Esporte Clube Bahia,Midfield - Attacking Midfield,"1,75 m",Brazil,br,https://www.transfermarkt.us/cauly/profil/spieler/162812,https://img.a.transfermarkt.technology/portrait/small/162812-1622913414.png?lm=1,N/A,15.09.1995,Porto Seguro,Esporte Clube Bahia
13,Hugo Rodallega,Hugo Rodallega Martínez,60,19,3,3.161,N/A,Rodallega,#11,6,1,Esporte Clube Bahia,Attack - Centre-Forward,"1,81 m",Colombia,co,https://www.transfermarkt.us/hugo-rodallega/profil/spieler/37934,https://img.a.transfermarkt.technology/portrait/small/37934-1698777152.JPG?lm=1,N/A,25.07.1985,El Carmelo,Independiente Santa Fe
14,Rodriguinho,Unknown,93,19,9,5.857,N/A,Rodriguinho,Unknown,8,0,Esporte Clube Bahia,Midfield - Attacking Midfield,"1,77 m",Brazil,br,https://www.transfermarkt.us/rodriguinho/profil/spieler/77059,https://img.a.transfermarkt.technology/portrait/small/77059-1543929615.jpg?lm=1,N/A,27.03.1988,Natal,Retired
15,Élber,José Élber Pimentel da Silva,152,18,13,10.019,N/A,Élber,#7,14,1,Esporte Clube Bahia,Attack - Left Winger,"1,70 m",Brazil,br,https://www.transfermarkt.us/elber/profil/spieler/201792,https://img.a.transfermarkt.technology/portrait/small/201792-1543929840.jpg?lm=1,N/A,27.05.1992,Passo de Camaragibe,Yokohama F. Marinos
16,Zé Rafael,Unknown,128,18,12,10.242,N/A,Zé Rafael,#8,26,0,Esporte Clube Bahia,Midfield - Central Midfield,"1,75 m",Brazil,br,https://www.transfermarkt.us/ze-rafael/profil/spieler/225432,https://img.a.transfermarkt.technology/portrait/small/225432-1543841602.jpg?lm=1,N/A,16.06.1993,Ponta Grossa,Santos FC
17,Maximiliano Biancucchi,Maximiliano Daniel Biancucchi Cuccittini,83,18,2,5.789,N/A,Biancucchi,Unknown,11,0,Esporte Clube Bahia,Attack - Centre-Forward,"1,65 m",Argentina,ar,https://www.transfermarkt.us/maximiliano-biancucchi/profil/spieler/55306,https://img.a.transfermarkt.technology/portrait/small/s_55306_2125_2012_2.jpg?lm=1,N/A,15.09.1984,Rosario,Retired
18,Biel,Unknown,99,17,18,5.131,N/A,Biel,#30,15,0,Esporte Clube Bahia,Attack - Left Winger,"1,70 m",Brazil,br,https://www.transfermarkt.us/biel/profil/spieler/875328,https://img.a.transfermarkt.technology/portrait/small/875328-1684595840.jpg?lm=1,N/A,01.04.2001,Maracanaú,Sporting CP
19,Fahel,Unknown,149,16,4,12.426,N/A,Fahel,Unknown,47,2,Esporte Clube Bahia,Midfield - Defensive Midfield,,Brazil,br,https://www.transfermarkt.us/fahel/profil/spieler/33538,https://img.a.transfermarkt.technology/portrait/small/s_33538_10010_2012_1.jpg?lm=1,N/A,15.08.1981,Teófilo Otoni,Retired
20,Vina,Unknown,87,15,5,4.983,N/A,Vina,#10,13,1,Esporte Clube Bahia,Midfield - Attacking Midfield,"1,77 m",Brazil,br,https://www.transfermarkt.us/vina/profil/spieler/106281,https://img.a.transfermarkt.technology/portrait/small/106281-1662313481.jpg?lm=1,N/A,15.04.1991,Curitiba,Al-Jubail Club
21,Adriano Michael Jackson,Unknown,27,15,0,1.725,N/A,Adriano Michael Jackson,Unknown,5,0,Esporte Clube Bahia,Attack - Centre-Forward,"1,72 m",Brazil,br,https://www.transfermarkt.us/adriano-michael-jackson/profil/spieler/147841,https://img.a.transfermarkt.technology/portrait/small/147841-1584688585.jpg?lm=1,N/A,28.09.1987,Valença,Esporte Clube Jacuipense (BA)
22,Ademir,Unknown,108,15,18,4.709,N/A,Ademir,#7,9,0,Esporte Clube Bahia,Attack - Right Winger,"1,72 m",Brazil,br,https://www.transfermarkt.us/ademir/profil/spieler/544259,https://img.a.transfermarkt.technology/portrait/small/544259-1606987987.jpg?lm=1,N/A,16.02.1995,São Paulo,Esporte Clube Bahia
23,Juninho Valoura,Unknown,106,15,4,7.705,N/A,Juninho Valoura,Unknown,15,0,Esporte Clube Bahia,Midfield - Central Midfield,"1,72 m",Brazil,br,https://www.transfermarkt.us/juninho-valoura/profil/spieler/101542,https://img.a.transfermarkt.technology/portrait/small/101542-1561451171.jpg?lm=1,N/A,20.03.1986,Rio de Janeiro,Without Club
24,Luciano Rodríguez,Luciano Rodríguez Rosales,36,14,2,2.035,N/A,Rodríguez,#17,5,0,Esporte Clube Bahia,Attack - Centre-Forward,"1,79 m",Uruguay,uy,https://www.transfermarkt.us/luciano-rodriguez/profil/spieler/856143,https://img.a.transfermarkt.technology/portrait/small/856143-1718703439.jpg?lm=1,N/A,16.07.2003,Montevideo,Esporte Clube Bahia
