rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Mendes,Unknown,54,27,0,4.050,N/A,Mendes,Unknown,14,1,Esporte Clube Juventude,Attack - Centre-Forward,"1,87 m",Brazil,br,https://www.transfermarkt.us/mendes/profil/spieler/75095,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.04.1976,Salvador,Retired
2,Zulu,Unknown,74,25,0,5.847,N/A,Zulu,Unknown,10,0,Esporte Clube Juventude,Attack - Centre-Forward,"1,91 m",Brazil,br,https://www.transfermarkt.us/zulu/profil/spieler/106528,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.09.1983,Tramandaí,Retired
3,Marcos Denner,Unknown,44,19,0,3.372,N/A,Marcos Denner,Unknown,2,0,Esporte Clube Juventude,Attack - Centre-Forward,"1,74 m",Brazil,br,https://www.transfermarkt.us/marcos-denner/profil/spieler/116890,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.12.1976,Rio de Janeiro,Retired
4,Da Silva,Unknown,40,17,0,2.833,N/A,Da Silva,Unknown,7,0,Esporte Clube Juventude,Attack - Centre-Forward,"1,79 m",Brazil,br,https://www.transfermarkt.us/da-silva/profil/spieler/55450,https://img.a.transfermarkt.technology/portrait/small/55450-1675351348.jpg?lm=1,N/A,12.04.1976,Ibirité,Retired
5,Enílton,Unknown,27,17,0,1.896,N/A,Enílton,Unknown,7,2,Esporte Clube Juventude,Attack - Centre-Forward,"1,76 m",Brazil,br,https://www.transfermarkt.us/enilton/profil/spieler/53943,https://img.a.transfermarkt.technology/portrait/small/53943-1698184365.jpg?lm=1,N/A,11.10.1977,Rio de Janeiro,Retired
6,Breno Lopes,Unknown,63,17,3,3.739,N/A,Breno Lopes,#26,7,0,Esporte Clube Juventude,Attack - Left Winger,"1,78 m",Brazil,br,https://www.transfermarkt.us/breno-lopes/profil/spieler/542598,https://img.a.transfermarkt.technology/portrait/small/542598-1612174017.jpg?lm=1,N/A,24.01.1996,Belo Horizonte,Fortaleza Esporte Clube
7,Renato Cajá,Unknown,81,16,10,5.720,N/A,Renato Cajá,Unknown,13,0,Esporte Clube Juventude,Midfield - Attacking Midfield,"1,73 m",Brazil,br,https://www.transfermarkt.us/renato-caja/profil/spieler/55489,https://img.a.transfermarkt.technology/portrait/small/55489-1458740697.jpg?lm=1,N/A,15.09.1984,Cajazeiras,Retired
8,Lucas Barbosa,Unknown,56,14,5,4.241,N/A,Lucas Barbosa,#21,17,1,Esporte Clube Juventude,Attack - Right Winger,"1,94 m",Brazil,br,https://www.transfermarkt.us/lucas-barbosa/profil/spieler/816144,https://img.a.transfermarkt.technology/portrait/small/816144-1654725465.jpg?lm=1,N/A,22.02.2001,Bebedouro,Red Bull Bragantino
9,Wallacer,Unknown,70,14,4,4.695,N/A,Wallacer,Unknown,4,0,Esporte Clube Juventude,Midfield - Attacking Midfield,"1,78 m",Brazil,br,https://www.transfermarkt.us/wallacer/profil/spieler/243527,https://img.a.transfermarkt.technology/portrait/small/243527-1700265893.jpg?lm=1,N/A,03.06.1986,Macaé,EC Passo Fundo
10,Gilberto,Unknown,42,13,1,2.449,N/A,Gilberto,#9,7,0,Esporte Clube Juventude,Attack - Centre-Forward,"1,78 m",Brazil,br,https://www.transfermarkt.us/gilberto/profil/spieler/164013,https://img.a.transfermarkt.technology/portrait/small/164013-1464164132.jpg?lm=1,N/A,05.06.1989,Piranhas,Esporte Clube Juventude
