rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Dinei,Unknown,143,39,5,9.389,N/A,Dinei,Unknown,14,0,Esporte Clube Vitória,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/dinei/profil/spieler/55453,https://img.a.transfermarkt.technology/portrait/small/55453-1663027014.jpg?lm=1,N/A,11.11.1983,São Domingos,Retired
2,Marquinhos,Unknown,139,38,18,10.168,N/A,Marquinhos,Unknown,7,0,Esporte Clube Vitória,Attack - Right Winger,"1,75 m",Brazil,br,https://www.transfermarkt.us/marquinhos/profil/spieler/74567,https://img.a.transfermarkt.technology/portrait/small/s_74567_2125_2012_2.jpg?lm=1,N/A,19.10.1989,Prado,Atlético Catarinense
3,Neto Baiano,Unknown,101,37,0,7.463,N/A,Neto Baiano,Unknown,16,2,Esporte Clube Vitória,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/neto-baiano/profil/spieler/74305,https://img.a.transfermarkt.technology/portrait/small/s_74305_3197_2012_2.jpg?lm=1,N/A,17.09.1982,Ituaçú,AA Iguaçu (PR)
4,Neilton,Unknown,86,28,10,6.227,N/A,Neilton,Unknown,17,0,Esporte Clube Vitória,Attack - Left Winger,"1,66 m",Brazil,br,https://www.transfermarkt.us/neilton/profil/spieler/264284,https://img.a.transfermarkt.technology/portrait/small/264284-1662721661.jpg?lm=1,N/A,17.02.1994,Nanuque,EC Água Santa (SP)
5,Léo Ceará,Leonardo de Sousa Pereira,82,28,3,5.822,N/A,Léo Ceará,#9,16,0,Esporte Clube Vitória,Attack - Centre-Forward,"1,78 m",Brazil,br,https://www.transfermarkt.us/leo-ceara/profil/spieler/422027,https://img.a.transfermarkt.technology/portrait/small/422027-1712078219.jpg?lm=1,N/A,03.02.1995,Fortaleza,Kashima Antlers
6,Kieza,Unknown,80,25,3,6.680,N/A,Kieza,Unknown,13,0,Esporte Clube Vitória,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/kieza/profil/spieler/112335,https://img.a.transfermarkt.technology/portrait/small/112335-1543928922.jpg?lm=1,N/A,24.09.1986,Vitória,River AC
7,André Lima,André Luiz Barretto Silva Lima,82,24,3,4.105,N/A,Lima,Unknown,15,0,Esporte Clube Vitória,Attack - Centre-Forward,,Brazil,br,https://www.transfermarkt.us/andre-lima/profil/spieler/52692,https://img.a.transfermarkt.technology/portrait/small/52692-1561124236.jpg?lm=1,N/A,03.05.1985,Rio de Janeiro,Retired
8,Santiago Tréllez,Santiago Tréllez Vivero,79,23,3,5.146,N/A,Tréllez,Unknown,7,1,Esporte Clube Vitória,Attack - Centre-Forward,"1,85 m",Colombia,co,https://www.transfermarkt.us/santiago-trellez/profil/spieler/142216,https://img.a.transfermarkt.technology/portrait/small/142216-1709253430.jpg?lm=1,N/A,17.01.1990,Medellín,Asociación Deportivo Pasto
9,Élton,Unknown,64,22,5,4.847,N/A,Élton,Unknown,4,0,Esporte Clube Vitória,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/elton/profil/spieler/41052,https://img.a.transfermarkt.technology/portrait/small/41052-1684691906.jpg?lm=1,N/A,01.08.1985,Iramaia,Retired
10,Obina,Unknown,50,22,5,2.413,N/A,Obina,Unknown,9,1,Esporte Clube Vitória,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/obina/profil/spieler/53076,https://img.a.transfermarkt.technology/portrait/small/53076-1628638813.jpg?lm=1,N/A,31.01.1983,Vera Cruz,Retired
11,Edílson,Unknown,42,21,4,3.514,N/A,Edílson,Unknown,7,0,Esporte Clube Vitória,Attack - Centre-Forward,"1,68 m",Brazil,br,https://www.transfermarkt.us/edilson/profil/spieler/130295,https://img.a.transfermarkt.technology/portrait/small/130295-1589803052.jpg?lm=1,N/A,17.09.1971,Salvador,Retired
12,Marinho,Unknown,43,21,6,3.687,N/A,Marinho,#11,15,0,Esporte Clube Vitória,Attack - Right Winger,"1,69 m",Brazil,br,https://www.transfermarkt.us/marinho/profil/spieler/74758,https://img.a.transfermarkt.technology/portrait/small/74758-1729175331.jpg?lm=1,N/A,29.05.1990,Penedo,Fortaleza Esporte Clube
13,Alerrandro,Unknown,52,21,7,3.764,N/A,Alerrandro,#7,5,0,Esporte Clube Vitória,Attack - Centre-Forward,"1,81 m",Brazil,br,https://www.transfermarkt.us/alerrandro/profil/spieler/371996,https://img.a.transfermarkt.technology/portrait/small/371996-1739819632.png?lm=1,N/A,12.01.2000,Lavras,CSKA Moscow
