rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Kléber,Unknown,86,31,6,5.824,N/A,Kléber,Unknown,21,1,Estoril Praia,Attack - Centre-Forward,"1,87 m",Brazil,br,https://www.transfermarkt.us/kleber/profil/spieler/103585,https://img.a.transfermarkt.technology/portrait/small/103585-1478617638.jpg?lm=1,N/A,02.05.1990,Estância Velha,Retired
2,Roberto,Unknown,55,28,6,4.147,N/A,Roberto,#17,4,1,Estoril Praia,Attack - Centre-Forward,"1,80 m",Portugal,pt,https://www.transfermarkt.us/roberto/profil/spieler/194330,https://img.a.transfermarkt.technology/portrait/small/194330-1550245053.jpg?lm=1,N/A,28.11.1988,Porto,CD Tondela
3,Luís Leal,Luís Leal dos Anjos,86,27,7,6.384,N/A,Leal,#20,11,0,Estoril Praia,Attack - Centre-Forward,"1,76 m",Sao Tome and Principe,st,https://www.transfermarkt.us/luis-leal/profil/spieler/158419,https://img.a.transfermarkt.technology/portrait/small/158419-1445962508.jpg?lm=1,N/A,29.05.1987,Arrentela,Bentín Tacna Heroica
4,Léo Bonatini,Leonardo Bonatini Lohner Maia,53,24,5,4.288,N/A,Bonatini,#9,4,1,Estoril Praia,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/leo-bonatini/profil/spieler/181781,https://img.a.transfermarkt.technology/portrait/small/181781-1630734813.jpg?lm=1,N/A,28.03.1994,Belo Horizonte,Atlético de San Luis
5,Alejandro Marqués,Alejandro José Marqués Méndez,84,24,2,4.192,N/A,Marqués,#9,6,0,Estoril Praia,Attack - Centre-Forward,"1,89 m",Venezuela,ve,https://www.transfermarkt.us/alejandro-marques/profil/spieler/525602,https://img.a.transfermarkt.technology/portrait/small/525602-1724848350.jpg?lm=1,N/A,04.08.2000,Caracas,Estoril Praia
6,Steven Vitória,Steven de Sousa Vitória,97,24,0,8.276,N/A,Vitória,#19,22,2,Estoril Praia,Defender - Centre-Back,"1,95 m",Canada,ca,https://www.transfermarkt.us/steven-vitoria/profil/spieler/54716,https://img.a.transfermarkt.technology/portrait/small/54716-1630252446.jpg?lm=1,N/A,11.01.1987,"Toronto, Ontario",Boavista FC
7,Licá,Unknown,90,21,4,7.692,N/A,Licá,#88,10,0,Estoril Praia,Attack - Left Winger,"1,81 m",Portugal,pt,https://www.transfermarkt.us/lica/profil/spieler/51058,https://img.a.transfermarkt.technology/portrait/small/51058-1548346834.jpg?lm=1,N/A,08.09.1988,Lamelas,ACDR Lamelas
8,Evandro,Unknown,73,16,11,5.674,N/A,Evandro,Unknown,14,2,Estoril Praia,Midfield - Attacking Midfield,"1,79 m",Brazil,br,https://www.transfermarkt.us/evandro/profil/spieler/53359,https://img.a.transfermarkt.technology/portrait/small/53359-1445515318.jpg?lm=1,N/A,23.08.1986,Blumenau,Retired
9,Leandro,Unknown,69,16,0,3.857,N/A,Leandro,Unknown,5,0,Estoril Praia,Attack - Centre-Forward,"1,81 m",Brazil,br,https://www.transfermarkt.us/leandro/profil/spieler/25293,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.01.1977,Volta Redonda,Retired
10,André Franco,André Filipe Russo Franco,72,15,10,4.685,N/A,Franco,#20,12,1,Estoril Praia,Midfield - Attacking Midfield,"1,77 m",Portugal,pt,https://www.transfermarkt.us/andre-franco/profil/spieler/448470,https://img.a.transfermarkt.technology/portrait/small/448470-1669112459.png?lm=1,N/A,12.04.1998,Lisboa,FC Porto
