rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Yuki Oshitani,押谷 祐樹,146,44,13,9.352,N/A,Oshitani,#27,21,1,Fagiano Okayama,Attack - Second Striker,"1,71 m",Japan,jp,https://www.transfermarkt.us/yuki-oshitani/profil/spieler/86198,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.09.1989,"Hamamatsu, Shizuoka",Fukui United
2,Kohei Kiyama,喜山 康平,277,27,12,21.530,N/A,Kiyama,#11,29,0,Fagiano Okayama,Midfield - Defensive Midfield,"1,79 m",Japan,jp,https://www.transfermarkt.us/kohei-kiyama/profil/spieler/143415,https://img.a.transfermarkt.technology/portrait/small/143415-1628638575.jpg?lm=1,N/A,22.02.1988,"Komae, Tokyo",Giravanz Kitakyushu
3,Yong-jae Lee,이용재,91,27,6,6.576,N/A,Lee,Unknown,0,0,Fagiano Okayama,Attack - Centre-Forward,"1,84 m","Korea, South",unknown,https://www.transfermarkt.us/yong-jae-lee/profil/spieler/154541,https://img.a.transfermarkt.technology/portrait/small/154541-1605799657.jpg?lm=1,N/A,08.06.1991,Seoul,Retired
4,Hayato Nakama,仲間 隼斗,79,23,9,6.188,N/A,Nakama,#19,6,1,Fagiano Okayama,Midfield - Left Midfield,"1,70 m",Japan,jp,https://www.transfermarkt.us/hayato-nakama/profil/spieler/177131,https://img.a.transfermarkt.technology/portrait/small/177131-1605799945.jpg?lm=1,N/A,16.05.1992,"Higashiagatsuma, Gunma",Kashiwa Reysol
5,Tiago Alves,Unknown,64,22,6,3.542,N/A,Tiago Alves,#33,4,0,Fagiano Okayama,Attack - Centre-Forward,"1,81 m",Brazil,br,https://www.transfermarkt.us/tiago-alves/profil/spieler/177011,https://img.a.transfermarkt.technology/portrait/small/177011-1614695139.jpg?lm=1,N/A,12.01.1993,São João do Araguaia,Uthai Thani FC
6,Yuta Toyokawa,豊川 雄太,79,20,7,4.085,N/A,Toyokawa,#10,7,0,Fagiano Okayama,Attack - Centre-Forward,"1,71 m",Japan,jp,https://www.transfermarkt.us/yuta-toyokawa/profil/spieler/241347,https://img.a.transfermarkt.technology/portrait/small/241347-1515158244.jpg?lm=1,N/A,09.09.1994,"Kumamoto, Kumamoto",RB Omiya Ardija
7,Satoki Uejo,上門 知樹,84,20,7,7.252,N/A,Uejo,#7,2,0,Fagiano Okayama,Midfield - Left Midfield,"1,66 m",Japan,jp,https://www.transfermarkt.us/satoki-uejo/profil/spieler/415209,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.04.1997,"---, Okinawa",Cerezo Osaka
8,Yasutaka Kobayashi,小林 康剛,39,20,7,3.133,N/A,Kobayashi,Unknown,9,0,Fagiano Okayama,Attack - Centre-Forward,"1,83 m",Japan,jp,https://www.transfermarkt.us/yasutaka-kobayashi/profil/spieler/155626,https://img.a.transfermarkt.technology/portrait/small/s_155626_28753_2012_1.jpg?lm=1,N/A,15.06.1980,"Tokai, Ibaraki",Retired
9,Kengo Kawamata,川又 堅碁,40,18,6,3.007,N/A,Kawamata,#20,5,0,Fagiano Okayama,Attack - Centre-Forward,"1,84 m",Japan,jp,https://www.transfermarkt.us/kengo-kawamata/profil/spieler/79318,https://img.a.transfermarkt.technology/portrait/small/79318-1618822610.jpg?lm=1,N/A,14.10.1989,"Saijo, Ehime",azul claro Numazu
10,Shingo Akamine,赤嶺 真吾,155,18,10,9.382,N/A,Akamine,Unknown,7,0,Fagiano Okayama,Attack - Centre-Forward,"1,80 m",Japan,jp,https://www.transfermarkt.us/shingo-akamine/profil/spieler/79527,https://img.a.transfermarkt.technology/portrait/small/79527-1618832474.jpg?lm=1,N/A,08.12.1983,"Naha, Okinawa",Retired
