rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Aleksandr Minaev,Минаев Александр Алексеевич,271,62,0,22.771,N/A,Minaev,Unknown,8,0,Fakel Voronezh,Defender - Centre-Back,"1,78 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-minaev/profil/spieler/491630,https://img.a.transfermarkt.technology/portrait/small/491630-1694433994.jpg?lm=1,N/A,20.08.1958,"Ignashino, Amur Region",---
2,Viktor Pimushin,Пимушин Виктор Юрьевич,188,61,0,15.946,N/A,Pimushin,Unknown,2,0,Fakel Voronezh,Attack - Centre-Forward,,Russia,unknown,https://www.transfermarkt.us/viktor-pimushin/profil/spieler/520234,https://img.a.transfermarkt.technology/portrait/small/520234-1673624248.jpg?lm=1,N/A,29.04.1955,"Dzerzhinskiy, Moskau Oblast",Retired
3,Valeriy Shmarov,Шмаров Валерий Валентинович,208,48,8,14.716,N/A,Shmarov,Unknown,13,0,Fakel Voronezh,Midfield - Attacking Midfield,,Russia,unknown,https://www.transfermarkt.us/valeriy-shmarov/profil/spieler/17278,https://img.a.transfermarkt.technology/portrait/small/17278-1514904587.jpg?lm=1,N/A,23.02.1965,Voronezh,Retired
4,Mikhail Biryukov,Бирюков Михаил Петрович,141,44,7,9.378,N/A,Biryukov,Unknown,8,1,Fakel Voronezh,Attack - Centre-Forward,"1,81 m",Russia,unknown,https://www.transfermarkt.us/mikhail-biryukov/profil/spieler/238751,https://img.a.transfermarkt.technology/portrait/small/238751-1569595844.png?lm=1,N/A,15.03.1987,"Krivyanskaya, Rostov Region",Retired
5,Maksim Maksimov,Максимов Максим Сергеевич,121,39,5,6.257,N/A,Maksimov,#9,15,0,Fakel Voronezh,Attack - Centre-Forward,"1,90 m",Russia,unknown,https://www.transfermarkt.us/maksim-maksimov/profil/spieler/316296,https://img.a.transfermarkt.technology/portrait/small/316296-1720981430.png?lm=1,N/A,04.11.1995,Voronezh,Torpedo Moscow
6,Gennadiy Semin,Сёмин Геннадий Владимирович,269,36,15,21.208,N/A,Semin,Unknown,25,0,Fakel Voronezh,Attack - Left Winger,"1,79 m",Russia,unknown,https://www.transfermarkt.us/gennadiy-semin/profil/spieler/89028,https://img.a.transfermarkt.technology/portrait/small/89028-1676206715.jpg?lm=1,N/A,04.12.1967,Moskau,---
7,Oleg Yelyshev,Елышев Олег Вячеславович,120,27,4,8.965,N/A,Yelyshev,Unknown,15,0,Fakel Voronezh,Midfield - Right Midfield,"1,81 m",Russia,unknown,https://www.transfermarkt.us/oleg-yelyshev/profil/spieler/168697,https://img.a.transfermarkt.technology/portrait/small/168697-1591309105.jpg?lm=1,N/A,30.05.1971,Kaliningrad,Retired
8,Aleksandr Stepin,Стёпин Александр Валерьевич,220,26,5,15.325,N/A,Stepin,Unknown,18,0,Fakel Voronezh,Midfield,"1,79 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-stepin/profil/spieler/524512,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.02.1972,Bryansk,Retired
9,Vyacheslav Murashkintsev,Вячеслав Юрьевич Мурашкинцев,197,23,0,15.788,N/A,Murashkintsev,Unknown,4,0,Fakel Voronezh,Midfield,"1,74 m",Russia,unknown,https://www.transfermarkt.us/vyacheslav-murashkintsev/profil/spieler/797293,https://img.a.transfermarkt.technology/portrait/small/797293-1700751428.jpg?lm=1,N/A,18.03.1957,Moskau,Retired
10,Oganez Mkhitaryan,Мхитарян Оганез Арменакович,326,23,0,23.767,N/A,Mkhitaryan,Unknown,4,0,Fakel Voronezh,Midfield,"1,72 m",Russia,unknown,https://www.transfermarkt.us/oganez-mkhitaryan/profil/spieler/780250,https://img.a.transfermarkt.technology/portrait/small/780250-1700809325.jpeg?lm=1,N/A,26.08.1962,Tiflis,Retired
